date,coal,natural_gas
2001-03-31,10.996,6.264
2001-06-30,9.878,5.472
2001-09-30,10.312,14.654
2001-12-31,8.704,12.897
2002-03-31,9.356,15.356
2002-06-30,8.69,17.688
2002-09-30,7.502,26.458
2002-12-31,8.557,15.285
2003-03-31,11.097,10.011
2003-06-30,10.706,10.808
2003-09-30,10.473,13.825
2003-12-31,9.488,12.883
2004-03-31,11.79217,11.94467
2004-06-30,10.51887,16.67492
2004-09-30,11.05174,20.64579
2004-12-31,10.53407,13.2681
2005-03-31,11.34468,14.14043
2005-06-30,10.76083,18.91766
2005-09-30,10.69263,19.90287
2005-12-31,9.07862,13.93545
2006-03-31,11.95658,17.70852
2006-06-30,11.26812,20.75763
2006-09-30,11.91813,24.50864
2006-12-31,10.48657,19.1719
2007-03-31,11.70775,17.38339
2007-06-30,10.65445,19.58112
2007-09-30,11.52154,24.93832
2007-12-31,5.9621200000000005,18.40369
2008-03-31,11.65398,14.08066
2008-06-30,10.18275,15.85218
2008-09-30,12.10239,19.42635
2008-12-31,11.24851,16.25995
2009-03-31,8.44467,17.67359
2009-06-30,4.27659,15.41103
2009-09-30,5.39899,24.20009
2009-12-31,8.14485,20.2987
2010-03-31,7.48578,18.03413
2010-06-30,6.43559,20.02671
2010-09-30,9.03699,29.92572
2010-12-31,5.75275,24.35531
2011-03-31,2.98336,24.53412
2011-06-30,0.63817,26.24043
2011-09-30,2.45978,36.37044
2011-12-31,0.0,31.2496
2012-03-31,2.32625,26.67188
2012-06-30,1.99315,26.69022
2012-09-30,2.5167200000000003,39.73859
2012-12-31,2.45398,34.92381
2013-03-31,3.48774,30.16079
2013-06-30,0.27991,30.58575
2013-09-30,1.13234,35.21904
2013-12-31,2.77951,28.53502
2014-03-31,6.58108,22.9401
2014-06-30,0.46018,29.48688
2014-09-30,0.60816,34.46347
2014-12-31,1.44751,29.19828
2015-03-31,6.12145,30.35306
2015-06-30,0.04715,30.6478
2015-09-30,0.2473,39.07371
2015-12-31,0.12003,35.37854
2016-03-31,0.7002700000000001,32.83515
2016-06-30,0.0,34.68084
2016-09-30,0.63187,38.14493
2016-12-31,1.00811,32.66233
2017-03-31,0.98277,30.94038
2017-06-30,0.15639,25.13442
2017-09-30,0.19234,34.23134
2017-12-31,1.17546,34.62358
2018-03-31,2.11236,32.36882
2018-06-30,0.5531600000000001,32.77226
2018-09-30,0.39762,46.7018
2018-12-31,0.96021,41.78203
2019-03-31,0.83508,35.58725
2019-06-30,0.0,36.94498
2019-09-30,0.03183,48.61624
2019-12-31,0.0,40.52507
2020-03-31,0.0,42.20588
2020-06-30,0.0,40.95847
2020-09-30,0.03586,51.39258
2020-12-31,0.03086,40.68717
2021-03-31,2.87962,42.30064
2021-06-30,0.0,41.32792
2021-09-30,0.0,51.65374
2021-12-31,0.0,46.91334
2022-03-31,-0.7472371121308417,41.7386276101313
2022-06-30,-2.741999270297919,43.008602769304574
2022-09-30,-2.267573406483667,50.750474852369805
2022-12-31,-3.0346579493056947,45.63087414693456
2023-03-31,-1.2064751585928342,43.39425676326511
2023-06-30,-3.5706713311517966,45.09490816769163
2023-09-30,-3.1295830782652825,53.12329333188249
2023-12-31,-4.530276781174601,47.993033384469896
2024-03-31,-2.544507227276512,45.59655491970904
2024-06-30,-3.730942654554914,46.24405748216767
2024-09-30,-3.128506002249612,53.19266233032072
2024-12-31,-2.7982335229313997,47.6634695034965
