date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,2014.011,1369.017,170.217,0.0,0.0,0.0,0.0,0.0
2001-06-30,1710.555,881.875,278.551,0.0,0.0,0.0,0.0,0.0
2001-09-30,2030.135,804.426,753.215,0.0,0.0,0.0,0.0,0.0
2001-12-31,1052.984,313.189,373.503,0.0,0.0,0.0,0.0,0.0
2002-03-31,1073.03,534.036,299.916,0.0,0.0,0.0,0.0,0.0
2002-06-30,1366.079,843.616,314.934,0.0,0.0,0.0,0.0,0.0
2002-09-30,2200.618,1110.792,660.936,0.0,0.0,0.0,0.0,0.0
2002-12-31,1362.763,975.12,167.098,0.0,0.0,0.0,0.0,0.0
2003-03-31,2389.531,1301.025,266.567,0.0,0.0,0.0,0.0,0.0
2003-06-30,1327.388,758.626,251.186,0.0,0.0,0.0,0.0,0.0
2003-09-30,2592.677,1315.966,706.081,0.0,0.0,0.0,0.0,0.0
2003-12-31,1082.691,650.877,239.946,0.0,0.0,0.0,0.0,0.0
2004-03-31,2269.67573,1363.87467,373.75314,0.0,0.0,0.0,0.0,0.0
2004-06-30,1916.94721,1165.40378,451.13874,0.0,0.0,0.0,0.0,0.0
2004-09-30,1985.25866,1275.8252,440.17913,0.0,0.0,0.0,0.0,0.0
2004-12-31,1683.67098,938.73167,453.34843,0.0,0.0,0.0,0.0,0.0
2005-03-31,2097.16672,1259.38593,429.54007,0.0,0.0,0.0,0.0,0.0
2005-06-30,1407.01081,825.36693,276.26716,0.0,0.0,0.0,0.0,0.0
2005-09-30,2873.94975,1542.80384,714.08054,0.0,0.0,0.0,0.0,0.0
2005-12-31,1758.44079,1205.28713,170.92888,0.0,0.0,0.0,0.0,0.0
2006-03-31,1784.02574,1321.47936,207.76998,0.0,0.0,0.0,0.0,0.0
2006-06-30,1574.78557,1105.77696,255.28219,0.0,0.0,0.0,0.0,0.0
2006-09-30,2096.54018,1252.86098,526.89188,0.0,0.0,0.0,0.0,0.0
2006-12-31,1726.82788,1288.69422,180.82379,0.0,0.0,0.0,0.0,0.417
2007-03-31,1891.08666,1305.17486,270.68389,0.0,0.0,0.0,0.0,11.92261
2007-06-30,1758.27745,1129.89654,418.15843,0.0,0.0,0.0,0.0,11.4264
2007-09-30,2750.2876,1619.41737,863.12532,0.0,0.0,0.0,0.0,12.76692
2007-12-31,2134.51156,1567.33373,350.01598,0.0,0.0,0.0,0.0,12.00007
2008-03-31,2107.33077,1622.29727,174.85136,0.0,0.0,0.0,0.0,41.67961
2008-06-30,1600.27891,1111.67015,315.61602,0.0,0.0,0.0,0.0,46.24098
2008-09-30,2180.22168,1231.87613,673.65597,0.0,0.0,0.0,0.0,43.74433
2008-12-31,1636.00728,1301.07127,222.88538,0.0,0.0,0.0,0.0,42.65061
2009-03-31,1400.60494,1001.34708,196.03883,0.0,0.0,0.0,0.0,36.50185
2009-06-30,669.61056,381.736,141.83816,0.0,0.0,0.0,0.0,28.59217
2009-09-30,1447.13425,635.95793,589.70465,0.0,0.0,0.0,0.0,36.95018
2009-12-31,1324.21311,829.12988,448.81893,0.0,0.0,0.0,0.0,29.4441
2010-03-31,1227.28155,875.63242,304.2209,0.0,0.0,0.0,0.0,29.96107
2010-06-30,1397.10833,563.59932,791.37218,0.0,0.0,0.0,0.0,36.35335
2010-09-30,2062.61217,744.19997,1265.53395,0.0,0.0,0.81508,0.0,40.39664
2010-12-31,940.64296,384.93828,503.85591,0.0,0.0,1.74093,0.0,28.93036
2011-03-31,1055.56032,412.76707,592.82652,0.0,0.0,1.4057,0.0,32.80809
2011-06-30,1737.58918,471.82948,1169.99896,0.0,0.0,0.97498,0.0,41.59125
2011-09-30,2102.38601,450.19402,1490.83288,0.0,0.0,0.71726,0.0,39.12398
2011-12-31,1694.6593,120.2053,1477.71064,0.0,0.0,1.72707,0.0,31.20834
2012-03-31,1755.49302,128.98929,1530.90093,0.0,0.0,1.36959,0.0,31.98799
2012-06-30,2403.22716,369.08433,1923.20609,0.0,0.0,0.7806400000000001,0.0,26.45005
2012-09-30,2666.91452,518.38273,2014.2965,0.0,0.0,0.53005,0.0,27.44452
2012-12-31,1808.05931,406.24619,1346.32372,0.0,0.0,0.95773,0.0,18.97106
2013-03-31,1656.13435,249.3857,1352.89225,0.0,0.0,1.59766,0.0,14.50872
2013-06-30,1867.3513,391.12857,1423.31908,0.0,0.0,1.13573,0.0,14.13783
2013-09-30,2469.54035,495.49671,1861.78583,0.0,0.0,0.52222,0.0,13.62885
2013-12-31,1767.83501,408.70953,1293.29071,0.0,0.0,1.20239,0.0,15.0716
2014-03-31,1765.46564,508.68949,1020.00731,0.0,0.0,1.64974,25.14256,20.74747
2014-06-30,1749.13916,236.35415,1438.04501,0.0,0.0,1.05488,35.16016,19.49808
2014-09-30,2379.43644,114.4438,2124.59632,0.0,0.0,0.7292700000000001,34.8148,17.63274
2014-12-31,1809.54228,5.8968,1714.80976,0.0,0.0,1.61711,25.86604,18.62108
2015-03-31,1658.15294,358.19929,1103.82202,0.0,0.0,1.74565,24.86104,17.90689
2015-06-30,2310.19668,72.07392,2151.32799,0.0,0.0,1.15503,39.13101,17.71511
2015-09-30,2505.13026,146.03176,2219.70124,0.0,0.0,0.6503,38.37189,19.45527
2015-12-31,1336.5257,22.28307,1214.41543,0.0,0.0,1.57503,25.48341,21.22071
2016-03-31,1655.33349,210.49917,1327.414,0.0,0.0,1.71815,20.35705,16.88201
2016-06-30,2246.56969,9.47078,2119.87774,0.0,0.0,1.06211,32.15502,17.64903
2016-09-30,3102.25864,251.13566,2718.20879,0.0,0.0,0.72035,35.54655,16.50434
2016-12-31,1727.09874,8.24423,1621.96796,0.0,0.0,1.82041,30.45383,16.95161
2017-03-31,1501.57352,56.68401,1361.15166,0.0,0.0,1.733,28.79481,16.87948
2017-06-30,2077.05862,30.33768,1935.64495,0.0,0.0,1.004,42.49129,15.16364
2017-09-30,2445.08482,171.71171,2162.25969,0.0,0.0,0.873,42.45762,14.36947
2017-12-31,1472.25931,100.06373,1264.13209,0.0,0.0,1.355,28.89215,16.40239
2018-03-31,1546.39676,82.29304,1195.92209,0.0,0.0,1.625,33.33339,15.32678
2018-06-30,1407.93845,45.18876,1274.92421,0.0,0.0,1.206,47.41447,14.52012
2018-09-30,2078.49692,149.62191,1807.25609,0.0,0.0,0.893,46.85444,13.92562
2018-12-31,1207.81178,-3.71557,1122.0525,0.0,0.0,1.483,31.90152,15.32849
2019-03-31,1044.56703,34.54431,928.14122,0.0,0.0,1.622,36.92937,15.54405
2019-06-30,1177.28033,-3.96211,1111.38504,0.0,0.0,1.361,54.25759,15.2719
2019-09-30,2142.74208,92.58158,1940.39624,0.0,0.0,0.735,52.6285,15.07282
2019-12-31,893.94857,-4.0437,826.31669,0.0,0.0,1.552,34.48907,15.50023
2020-03-31,921.77889,-8.81642,858.46041,0.0,0.0,1.536,38.77162,19.08759
2020-06-30,1346.92114,-6.75564,1282.61071,0.0,0.0,1.474,55.8349,17.78795
2020-09-30,2151.8768,86.46573,1974.36443,0.0,0.0,0.793,53.40876,17.29019
2020-12-31,784.79517,31.38051,702.65826,0.0,0.0,1.376,34.59099,17.87627
2021-03-31,562.42329,119.46085,366.75174,0.0,0.0,1.61,39.84867,17.94453
2021-06-30,931.61438,34.9549,826.00089,0.0,0.0,1.074,62.41767,17.87742
2021-09-30,1523.38127,119.38936,1322.14179,0.0,0.0,0.772,60.30997,17.5079
2021-12-31,1022.55197,2.92428,949.95215,0.0,0.0,1.393,39.19171,17.71322
2022-03-31,1359.9363566722482,-95.27400493361016,1416.2995268945133,0.0,0.0,1.845998339627508,53.89620945030647,24.505287871603077
2022-06-30,1375.5996836179156,-272.72675040631106,1695.1031728115977,0.0,0.0,1.596656246468711,60.145631448464144,24.95973752743765
2022-09-30,2069.599412394024,-86.22004126931051,2124.538146528745,0.0,0.0,1.4401865485507308,60.352528372995465,25.29727685935193
2022-12-31,1222.8845244801255,-274.079747659798,1554.4409270377596,0.0,0.0,1.8990780628122088,55.28191961098321,23.97959596669252
2023-03-31,1301.7520582022937,-184.91790469454804,1444.8191191302,0.0,0.0,1.9672675671322597,60.11634849917522,23.80182737940829
2023-06-30,1306.9670735571349,-365.1418386413261,1746.6711530967066,0.0,0.0,1.7300174571321367,66.49070127878421,25.114527924749048
2023-09-30,2068.04838770524,-157.63184723075102,2198.3964618956024,0.0,0.0,1.578633499279181,66.5454568164467,25.53392355996145
2023-12-31,1172.092624545227,-382.58102530630254,1636.9568395975436,0.0,0.0,2.1029663743084352,61.13971096476992,24.23403041513997
2024-03-31,1438.5461473039563,-184.9651038316376,1637.5974492621149,0.0,0.0,1.9728257677891496,60.12931030412587,29.44191729206417
2024-06-30,1497.9349228595097,-356.9178132252105,1900.974005616403,0.0,0.0,1.7045850274833647,66.31209764222737,28.246705662107505
2024-09-30,2052.8674818013064,-207.33318774250444,2271.956084899828,0.0,0.0,1.5106924276902358,66.81716755876948,28.32624652352
2024-12-31,1258.797708396335,-327.75705555127706,1668.0875769787797,0.0,0.0,1.8580290244561983,62.33142657417515,27.02228985123784
