date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,1703.914,14.252,63.78,0.0,1464.853,0.0,0.0,158.181
2001-06-30,2452.995,23.465,80.995,0.0,2190.07,0.0,0.0,157.711
2001-09-30,3015.175,21.325,560.028,0.0,2248.136,0.0,0.0,185.664
2001-12-31,2174.858,13.242,700.483,0.0,1320.068,0.0,0.0,140.966
2002-03-31,2083.163,18.021,104.101,0.0,1829.533,0.0,0.0,131.49
2002-06-30,3098.937,28.301,80.505,0.0,2842.95,0.0,0.0,147.16
2002-09-30,3080.373,28.104,90.426,0.0,2794.205,0.0,0.0,167.624
2002-12-31,1524.459,16.246,53.956,0.0,1302.633,0.0,0.0,151.612
2003-03-31,2026.52,17.566,346.786,0.0,1519.137,0.0,0.0,143.02
2003-06-30,3333.14,28.775,107.667,0.0,3042.331,0.0,0.0,154.313
2003-09-30,3221.138,27.928,548.672,0.0,2497.705,0.0,0.0,146.825
2003-12-31,1842.138,16.022,371.694,0.0,1294.861,0.0,0.0,159.517
2004-03-31,2363.59248,24.70479,530.77042,0.0,1665.47503,0.0,0.0,142.60826
2004-06-30,3169.60886,24.79724,232.28529,0.0,2758.96558,0.0,0.0,153.52676
2004-09-30,3456.01265,24.8562,474.14793,0.0,2808.54117,0.0,0.0,148.43335
2004-12-31,1873.82471,24.84481,466.6197,0.0,1228.67306,0.0,0.0,153.65315
2005-03-31,2138.02732,24.08791,470.65202,0.0,1506.33725,0.0,0.0,136.94883
2005-06-30,3327.58492,21.20506,199.14087,0.0,2970.35952,0.0,0.0,136.87838
2005-09-30,3241.34196,26.21791,454.14393,0.0,2601.87548,0.0,0.0,159.10337
2005-12-31,2118.02965,23.67043,473.34308,0.0,1463.54883,0.0,0.0,157.46603
2006-03-31,3103.62938,20.3051,174.46052,0.0,2720.08168,42.89663,0.0,145.85223
2006-06-30,4392.57355,20.41817,128.48433,0.0,4070.7829,45.63985,0.0,127.20861
2006-09-30,3566.65895,21.40669,500.2258,0.0,2846.59054,31.50119,0.0,166.89236
2006-12-31,2323.22338,20.1719,495.22394,0.0,1604.91688,49.57933,0.0,153.3026
2007-03-31,2523.5697,25.74783,314.21585,0.0,2023.19327,43.41826,0.0,116.96394
2007-06-30,3510.17371,16.42661,173.55116,0.0,3135.28218,43.79747,0.0,141.07489
2007-09-30,3398.22216,17.6515,533.39775,0.0,2655.37106,40.77621,0.0,151.00008
2007-12-31,2052.12506,23.73825,636.09016,0.0,1207.84349,44.27506,0.0,140.14161
2008-03-31,2498.32983,31.97397,588.94858,0.0,1672.26061,57.85766,0.0,147.25256
2008-06-30,3807.29659,16.06364,243.05174,0.0,3342.37964,51.12893,0.0,154.64042
2008-09-30,3702.86217,11.16221,434.02642,0.0,3074.31867,34.71868,0.0,148.61208
2008-12-31,1962.06435,31.24966,433.52675,0.0,1273.54183,63.76673,0.0,159.95217
2009-03-31,2569.9818,27.52969,357.08539,0.0,1951.70875,84.53006,0.0,149.12044
2009-06-30,4314.84983,9.67106,115.76153,0.0,3969.3244,69.3265,0.0,150.75413
2009-09-30,4009.87394,14.16279,641.23423,0.0,3133.93423,54.83639,0.0,165.69631
2009-12-31,2205.44627,31.20123,529.51378,0.0,1379.29648,104.72505,0.0,160.69841
2010-03-31,2377.42855,28.17825,525.67406,0.0,1607.78506,73.04162,0.0,142.73352
2010-06-30,3406.28073,16.06726,201.61951,0.0,2931.77539,92.88225,0.0,163.91305
2010-09-30,3894.98575,14.24485,504.38668,0.0,3132.13714,70.87268,0.0,173.32934
2010-12-31,2345.86908,29.78752,457.55214,0.0,1482.54626,203.94945,0.0,172.01411
2011-03-31,4266.64656,28.11118,158.25022,0.0,3620.6648,311.43354,0.0,148.18084
2011-06-30,4603.02948,8.77505,110.84855,0.0,3950.48556,369.9619,0.0,162.95046
2011-09-30,4882.425,15.55382,346.20195,0.0,4096.20456,253.21163,0.0,171.24729
2011-12-31,2816.68487,30.97196,495.44298,0.0,1737.44408,372.07494,0.0,180.74464
2012-03-31,3683.73786,26.36747,511.23869,0.0,2503.71815,479.03097,0.0,163.37862
2012-06-30,4623.12303,4.89011,133.76603,0.0,3915.83229,393.32276,0.0,175.30636
2012-09-30,4322.73597,10.10304,804.20674,0.0,3018.32615,312.75428,0.0,177.34142
2012-12-31,2869.49245,35.37655,448.9558,0.0,1502.52815,705.451,0.0,177.17577
2013-03-31,3171.11597,29.21107,746.5822,0.0,1603.95606,608.96465,0.0,182.39227
2013-06-30,4500.44992,19.18356,476.64286,0.0,3124.17052,684.51836,0.0,195.92499
2013-09-30,4473.68613,7.45248,1195.21331,0.0,2501.74824,586.12298,0.0,183.14108
2013-12-31,3040.87619,35.771,973.4715,0.0,1243.57596,580.52502,0.0,207.52214
2014-03-31,3856.57866,23.955,765.85781,0.0,2043.93419,832.20137,0.7143700000000001,190.63
2014-06-30,4159.94769,10.78652,237.20235,0.0,2985.39543,738.19584,1.32129,188.36727
2014-09-30,4350.85257,18.41724,1015.66679,0.0,2613.91457,509.9484,1.43905,192.90535
2014-12-31,2817.03759,24.51251,533.81077,0.0,1358.96599,725.4544,0.8509,174.29371
2015-03-31,3678.09297,25.78131,506.04269,0.0,2410.06407,564.21501,0.94614,171.97463
2015-06-30,4348.74757,15.35212,919.14394,0.0,2711.06726,515.44707,1.82256,187.72014
2015-09-30,4355.0558,16.26394,1298.35592,0.0,2341.10185,505.7174,2.14413,193.60262
2015-12-31,3285.19841,21.59542,1080.04519,0.0,1294.38869,684.80653,1.30507,204.34795
2016-03-31,3956.37493,8.9724,1045.66754,0.0,1961.87534,768.27843,1.51842,171.53876
2016-06-30,4659.80675,1.25794,521.83768,0.0,3302.22554,643.67957,2.93834,190.74529
2016-09-30,4225.00063,8.83085,1203.9621,0.0,2395.22823,466.27115,17.66482,136.41027
2016-12-31,2819.7561,10.12708,549.99507,0.0,1373.94299,700.18587,17.58314,169.92196
2017-03-31,4109.02021,8.9855,663.758,0.0,2510.25628,709.45384,59.10169,159.78396
2017-06-30,4032.82603,1.64676,179.03248,0.0,2883.0579,645.44058,166.78091,161.45666
2017-09-30,4842.92955,4.68014,1207.02643,0.0,2862.26589,461.66522,157.5,155.45879
2017-12-31,4411.24777,8.52414,1029.59058,0.0,2414.82866,728.11536,92.20364,141.48178
2018-03-31,4422.74305,8.67715,657.10512,0.0,2759.79105,725.8044,106.52375,169.44402
2018-06-30,4640.0368,0.11016,361.55336,0.0,3217.76396,710.10531,193.69333,166.40171
2018-09-30,4959.69626,3.91604,1234.25742,0.0,2847.06211,561.8788,188.32983,135.93591
2018-12-31,4149.64358,7.6348,1025.82608,0.0,2199.7247,657.2635,100.65045,165.84288
2019-03-31,4548.14834,8.01429,1225.02964,0.0,2396.53499,651.628,109.42461,166.15215
2019-06-30,4395.20609,2.0973,469.27581,0.0,2934.56381,635.92924,196.56425,173.82711
2019-09-30,5273.87568,2.76037,1349.35008,0.0,2974.82142,600.91588,198.97459,167.07539
2019-12-31,4190.58187,8.1365,1223.02876,0.0,2027.31501,662.33789,110.01018,171.948
2020-03-31,4532.88882,7.74323,1305.29099,0.0,2118.65422,824.99432,113.59127,176.78582
2020-06-30,4126.09099,3.71153,367.96839,0.0,2693.70549,702.26159,217.3671,167.44956
2020-09-30,4684.05455,2.37154,1251.26309,0.0,2549.98394,526.67096,222.22984,160.7443
2020-12-31,4343.10113,6.21768,1232.57595,0.0,2145.76919,716.64348,99.54673,159.69522
2021-03-31,4463.61134,0.0,1048.6125,0.0,2406.42387,741.97189,126.92979,153.4785
2021-06-30,4191.74878,0.0,925.77653,0.0,2239.2356,665.97901,240.504,150.91812
2021-09-30,4084.25974,0.0,1370.43494,0.0,1857.31993,501.16972,214.18489,174.97616
2021-12-31,4208.96713,0.0,1066.03006,0.0,2147.11038,748.12711,102.3824,165.5518
2022-03-31,4497.602004414225,8.069754738439268,1002.8265221219582,0.0,2376.044417952512,848.4584276783119,160.9088658757238,158.43956550674685
2022-06-30,5231.84862467054,2.1663380930946783,781.1332395920184,0.0,3311.4702984486626,834.5836597162954,185.67759374348745,163.6202546610989
2022-09-30,5330.766181018216,3.502993107004163,1274.1782394349902,0.0,2980.4251850547384,772.0179895774294,186.45009700193356,170.9195038529283
2022-12-31,4106.837723757189,8.111477043401322,1166.6305363789634,0.0,1775.332118398251,862.1320360864357,167.6261681825809,167.61153945575626
2023-03-31,4724.866181852758,7.315171446615469,974.9836249596196,0.0,2572.820269652724,875.1703701346943,180.4745303674456,152.41759588313727
2023-06-30,5390.219949912561,2.153139000819112,842.9075828738316,0.0,3357.3438730975136,879.7013617426051,201.36121384592929,164.0366559495995
2023-09-30,5567.077682503732,3.932170992901682,1304.0715964081437,0.0,3103.830524978749,834.5079911529424,202.4107748192521,169.44276488944678
2023-12-31,4195.774128414841,6.411435173907457,1233.8352657678658,0.0,1768.2430177076365,898.2163444759208,186.7955341246473,171.06678460505572
2024-03-31,4647.930827395916,5.683857201579626,1254.504348380801,0.0,2109.087242828776,973.08208520087,189.97730833381013,160.9318222966952
2024-06-30,5354.571885303069,-2.1354560294175258,824.7254461224849,0.0,3291.1529735859094,919.8943551173768,220.26380400237613,166.4005271156376
2024-09-30,5401.464479973912,-1.513640371409842,1388.0851993954534,0.0,2868.055508267557,825.1391644665617,222.42976870419983,158.83362402420022
2024-12-31,4245.20542703222,7.552278609207571,1195.8360793536158,0.0,1783.8299642404677,974.2756569643998,196.90369234735428,162.6968342198763
