date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,20021.073,4874.759,8007.795,4445.494,170.863,0.0,0.0,867.831
2001-06-30,22338.303,5267.529,10752.266,4270.548,280.405,0.0,0.0,852.38801
2001-09-30,25804.819,6430.027,13321.176,4390.94,131.466,0.0,0.0,945.28201
2001-12-31,19730.184,5395.831,8291.516,4229.153,149.483,0.0,0.0,929.14101
2002-03-31,22076.261,5633.225,10564.742,4279.751,231.589,0.0,0.0,736.185
2002-06-30,23336.81,4774.129,12638.611,3939.41,366.642,0.0,0.0,813.134
2002-09-30,27694.652,5659.45,15512.039,4457.452,118.241,0.0,0.0,1020.068
2002-12-31,21863.24,5984.102,9185.455,4628.715,174.969,0.0,0.0,890.895
2003-03-31,22571.274,5665.326,10607.498,3858.057,244.5,0.0,0.0,898.109
2003-06-30,23718.156,5032.54,11648.594,4180.596,296.711,0.0,0.0,989.46701
2003-09-30,26595.637,6148.392,13495.011,4482.503,194.17,0.0,0.0,1025.40901
2003-12-31,21999.974,6042.672,9683.095,3605.166,156.61,0.0,0.0,1005.435
2004-03-31,23900.92655,5250.06663,11649.14322,4539.022,285.868,0.0,0.0,932.78687
2004-06-30,24384.96961,5865.37089,11050.49327,4508.47,321.251,0.0,0.0,910.62933
2004-09-30,27149.77223,6689.36249,12940.19256,4456.844,226.948,0.0,0.0,950.27624
2004-12-31,22736.64024,5853.01146,10529.70864,3575.645,264.758,0.0,0.0,936.28848
2005-03-31,22513.54843,6215.67882,9766.07859,4062.718,344.805,0.0,0.0,881.72968
2005-06-30,22950.49069,4802.07336,12762.94564,2828.422,273.616,0.0,0.0,830.17928
2005-09-30,25800.93403,6141.82817,13224.33746,4141.851,110.208,0.0,0.0,896.69377
2005-12-31,21351.90505,5927.7844,8414.5424,4643.362,82.319,0.0,0.0,827.89595
2006-03-31,20330.72591,5422.7649,8553.69309,4381.274,214.677,0.0,0.0,903.23375
2006-06-30,22417.35989,5668.83561,10726.85581,4069.143,234.078,0.0,0.0,896.23107
2006-09-30,26576.7844,6796.14579,13236.64678,4660.727,70.667,0.0,0.0,937.07156
2006-12-31,21596.95922,6507.45869,9416.13886,3624.304,193.793,0.0,0.0,941.31864
2007-03-31,21279.16429,5277.276,9213.7493,4636.413,278.818,0.0,0.0,913.90741
2007-06-30,22364.87462,5198.06796,10987.96667,3968.057,303.762,0.0,0.0,903.50999
2007-09-30,27190.87805,6703.49507,13695.21622,4619.833,134.37,0.0,0.0,927.15799
2007-12-31,21743.41176,5872.34362,10018.0828,3853.269,109.692,0.0,0.0,901.71171
2008-03-31,21291.22879,6088.65603,10326.98874,3038.344,254.783,0.0,0.0,770.59382
2008-06-30,23330.04786,6075.23434,11529.23291,3613.758,383.842,0.0,0.0,834.76793
2008-09-30,25588.55737,6230.42866,13405.54948,3911.092,273.661,0.0,0.0,825.77393
2008-12-31,22243.30737,5705.72319,10082.61525,4807.794,152.087,0.0,0.0,736.14605
2009-03-31,21302.02826,5576.48161,9405.93585,4690.209,294.609,0.0,0.0,610.38655
2009-06-30,22323.74293,5085.04272,10722.67365,4694.133,387.061,0.0,0.0,716.20577
2009-09-30,25972.73663,6375.02418,13436.65132,4443.274,241.194,0.0,0.0,749.71845
2009-12-31,21395.16827,6030.588,10438.00342,2954.461,313.487,0.0,0.0,743.83428
2010-03-31,23098.66234,6129.65163,10249.94749,4657.427,337.185,0.0,0.0,626.10719
2010-06-30,24975.74973,5069.71711,13064.44014,4676.749,330.211,0.0,0.0,797.76623
2010-09-30,30361.93215,6478.47387,16926.14506,4559.654,293.317,0.0,0.0,818.35953
2010-12-31,24448.59598,6245.90631,11103.54594,4745.517,148.081,0.0,0.0,784.73561
2011-03-31,24830.58343,5904.15539,12575.44204,3726.788,198.302,0.0,0.0,682.20253
2011-06-30,26302.54909,5798.27038,14560.97815,3519.344,342.724,0.0,0.0,718.6339
2011-09-30,29784.84747,7045.04079,15419.54738,4709.049,287.936,0.0,0.0,712.09366
2011-12-31,24572.75696,5880.05291,11766.49665,4659.794,215.057,0.0,0.0,769.17055
2012-03-31,23669.5287,4738.60436,12049.61319,4670.702,342.71,0.0,0.0,655.34915
2012-06-30,26299.00022,4294.17476,16403.98389,3923.734,212.946,0.0,0.0,618.34175
2012-09-30,29743.73555,6410.36659,17218.3564,4496.755,49.709,0.0,0.0,717.4809
2012-12-31,23695.44134,5978.72311,12891.80223,2567.941,74.579,0.0,0.0,814.58465
2013-03-31,22932.23587,5459.90179,11351.50313,3200.24,296.784,0.0,0.0,856.56287
2013-06-30,25310.59096,4958.34753,12965.53722,4347.048,352.298,0.0,0.0,820.20225
2013-09-30,28902.46045,6170.54261,15066.966,4675.06,252.916,0.0,0.0,861.35329
2013-12-31,24864.88972,4254.92059,13126.16849,4732.046,142.563,0.0,0.0,927.73791
2014-03-31,25353.76216,4813.94923,12975.64825,4647.258,291.628,0.0,18.38728,847.97022
2014-06-30,24748.69586,4204.30383,14322.71458,3579.819,360.964,0.0,28.93969,793.04975
2014-09-30,29526.25215,6236.64678,15458.37909,4659.325,238.452,0.0,30.51042,852.03617
2014-12-31,24600.69147,3966.11917,13363.82247,4424.928,198.994,0.0,25.71287,819.74508
2015-03-31,25291.14897,4628.00818,14136.42072,3689.359,227.587,0.0,28.8718,832.60903
2015-06-30,26009.1561,3068.68901,16110.45257,4129.716,284.149,0.0,42.31578,837.2367
2015-09-30,30603.52944,4533.79308,18412.75558,4621.749,283.647,0.0,43.67434,920.02842
2015-12-31,25908.51902,2934.46758,17551.20311,2859.912,203.653,0.0,38.52573,903.08505
2016-03-31,25843.29174,2626.64257,16580.52466,3657.387,327.106,0.0,39.21623,886.04764
2016-06-30,27150.23272,2703.50149,17244.31917,4292.24,281.237,0.0,55.57512,878.81303
2016-09-30,30200.59307,4030.53555,18491.27068,4684.35,284.884,0.0,53.56553,931.82719
2016-12-31,24074.68604,2652.96937,14163.02717,4517.849,209.796,0.0,42.20741,906.18107
2017-03-31,22266.03238,3018.43693,12922.85104,3528.952,248.22426,0.0,0.0,787.763
2017-06-30,24314.02534,3102.86284,15485.43848,3030.163,280.84784,0.0,0.0,821.05804
2017-09-30,27133.18572,3551.74991,16521.01209,4092.163,197.49718,0.0,0.0,939.45658
2017-12-31,24005.96908,2642.87563,14071.79045,4758.467,179.66773,0.0,0.0,825.11754
2018-03-31,23092.03832,2595.49334,13998.98633,3565.912,320.70242,0.0,48.67424,783.2328
2018-06-30,25758.72437,2570.14585,15827.797,4643.523,357.04045,0.0,67.55928,821.48218
2018-09-30,29455.90104,3982.55484,18014.27322,4441.013,258.02399,0.0,64.13111,826.78369
2018-12-31,23821.821,2638.52965,13940.71744,4502.134,244.08815,0.0,49.77595,818.78057
2019-03-31,21744.98719,2023.02044,15147.2563,1946.211,410.44115,0.0,50.94743,726.34645
2019-06-30,25667.94151,1850.42876,18637.56684,2900.678,429.1033,0.0,71.40502,604.44829
2019-09-30,29813.1768,2407.42714,20296.37033,4515.348,324.47428,0.0,67.24697,764.96009
2019-12-31,22948.65655,1137.93783,15441.76054,4619.098,201.64527,0.0,52.599,725.18371
2020-03-31,24243.42791,506.54239,16788.0251,4692.136,312.17427,0.0,53.65443,715.29458
2020-06-30,25549.31219,1139.35023,17268.243,4658.305,379.32484,0.0,76.68431,703.17923
2020-09-30,27527.08501,1615.63697,19411.80872,4286.694,281.43271,0.0,84.00486,586.15444
2020-12-31,23453.94574,656.89455,17313.46958,3312.452,230.81218,0.0,82.01517,716.38095
2021-03-31,21989.5121,1353.49739,14315.10994,3887.396,293.59182,0.0,90.02776,629.02642
2021-06-30,23534.95726,1527.65961,15767.82027,4396.359,276.38889,0.0,129.69173,568.1728
2021-09-30,27582.95779,3340.25807,17390.61884,4247.417,289.34822,0.0,119.51401,605.86814
2021-12-31,24954.53588,1651.53634,16100.37712,4717.502,299.57951,0.0,91.19849,627.91974
2022-03-31,22772.810983670992,917.578663338194,15966.498963279271,3841.430813946402,327.6710349086632,0.0,80.17987817782698,680.1672300081715
2022-06-30,24287.875118753876,429.7185699475449,18063.79276253753,3870.295929574186,375.9721896386297,0.0,87.6320712652469,693.0411980753782
2022-09-30,28262.09108863426,1625.0250618294883,20150.8359154588,4406.958645862685,268.7198816727237,0.0,87.97157776400398,754.8466251345092
2022-12-31,23223.94191746127,641.8956915018061,16502.33714433048,4076.323327494849,238.3326962281786,0.0,84.83211486516878,733.4513943377508
2023-03-31,23113.451140184043,578.840741069449,16688.795238969193,3685.6235520208047,326.3490069041148,0.0,89.00534348544784,677.2528441298164
2023-06-30,24653.328319772976,-62.86344755770188,18856.05750154181,3731.131605677076,387.78982365991806,0.0,96.29703297135904,694.1824861247037
2023-09-30,28819.561152821625,1132.818618778565,20995.18653283782,4502.995358892188,284.06781115191,0.0,96.42083451492304,763.410603976384
2023-12-31,23275.76263611944,148.433573289185,17312.601028182515,4058.3705886802654,239.17241558011855,0.0,93.35221218511415,738.8100919958492
2024-03-31,23139.3481392447,-453.4997687300565,17562.164061354677,4078.610174414215,352.78257599472124,0.0,94.03983832707908,659.5176486240649
2024-06-30,24624.28016598105,-411.1962261563822,19016.75144712001,4066.275233563618,365.9357309009556,0.0,102.4490670165732,658.5215320643149
2024-09-30,27290.953182689147,580.5650888222699,20653.782606955952,4230.024444261619,265.7662896787383,0.0,103.19254461062908,686.7374721256323
2024-12-31,22671.64170906552,-333.4853713478369,17453.412674986466,3911.884832920893,247.51607914267188,0.0,100.61492005304888,693.3601824069597
