date,coal,natural_gas
2001-03-31,45.859,13.959
2001-06-30,47.263,35.453
2001-09-30,50.103,67.836
2001-12-31,51.328,52.406
2002-03-31,19.301,40.803
2002-06-30,39.594,48.174
2002-09-30,46.094,61.874
2002-12-31,45.718,25.083
2003-03-31,35.221,26.857
2003-06-30,45.96,29.238
2003-09-30,50.088,31.593
2003-12-31,44.912,19.763
2004-03-31,43.73423,22.8069
2004-06-30,43.65255,35.63974
2004-09-30,51.16955,38.28181
2004-12-31,42.93467,20.62223
2005-03-31,45.81721,24.71564
2005-06-30,46.72179,34.33502
2005-09-30,43.95384,61.28229
2005-12-31,37.16984,25.2638
2006-03-31,41.03016,16.18521
2006-06-30,42.65007,42.52214
2006-09-30,51.817,65.12119
2006-12-31,51.21584,28.61283
2007-03-31,45.43378,35.0679
2007-06-30,47.65491,48.18376
2007-09-30,49.36718,80.66081
2007-12-31,39.15652,34.22834
2008-03-31,44.5763,42.17647
2008-06-30,48.84173,40.88195
2008-09-30,47.97327,55.98603
2008-12-31,32.86429,37.23651
2009-03-31,28.01537,41.31094
2009-06-30,34.90263,49.5285
2009-09-30,42.2705,60.60057
2009-12-31,33.97565,40.25454
2010-03-31,33.90923,53.23349
2010-06-30,34.86562,58.6075
2010-09-30,45.14257,82.18794
2010-12-31,31.69646,49.14854
2011-03-31,22.45024,51.53348
2011-06-30,30.16705,59.90656
2011-09-30,32.86004,82.83144
2011-12-31,19.4467,56.5503
2012-03-31,15.99283,73.76564
2012-06-30,20.53541,92.79881
2012-09-30,27.69164,89.05562
2012-12-31,15.62861,57.95851
2013-03-31,19.05579,61.38971
2013-06-30,24.50667,61.14161
2013-09-30,30.39523,76.21012
2013-12-31,21.00793,57.28824
2014-03-31,28.86499,61.6688
2014-06-30,31.81275,56.72944
2014-09-30,35.90211,68.96294
2014-12-31,17.44083,61.32752
2015-03-31,20.04295,88.53432
2015-06-30,18.09719,82.86353
2015-09-30,23.12866,98.16042
2015-12-31,7.79529,79.12353
2016-03-31,14.82987,91.90834
2016-06-30,11.06101,94.85134
2016-09-30,21.59143,118.55967
2016-12-31,13.73622,80.38251
2017-03-31,12.91374,77.56828
2017-06-30,13.98986,89.66479
2017-09-30,14.15894,106.51441
2017-12-31,12.7164,84.68841
2018-03-31,11.20551,93.50686
2018-06-30,16.32878,103.86376
2018-09-30,16.13131,116.80911
2018-12-31,16.34928,71.16553
2019-03-31,10.04225,78.50219
2019-06-30,17.34332,88.56089
2019-09-30,16.78168,124.04609
2019-12-31,6.29525,89.06563
2020-03-31,10.88743,94.65823
2020-06-30,12.52921,105.34628
2020-09-30,19.09445,122.34827
2020-12-31,9.42929,89.64966
2021-03-31,17.54554,89.79151
2021-06-30,15.81735,96.26788
2021-09-30,15.64713,108.76129
2021-12-31,13.2444,84.81137
2022-03-31,4.361204066589011,97.19341001157052
2022-06-30,9.063161387069698,105.20365546162353
2022-09-30,12.668263171331034,124.07808850157936
2022-12-31,4.90017240550425,96.41996987031496
2023-03-31,1.7752606781716054,100.86110670511472
2023-06-30,7.636813582099727,107.30192134365576
2023-09-30,10.990720329521992,129.04579013329786
2023-12-31,2.05794010030742,100.11146712535243
2024-03-31,2.0500554092610628,107.39284019176462
2024-06-30,3.229553184114081,116.97337516801387
2024-09-30,8.563435968955133,129.83237551899305
2024-12-31,0.7013085053566499,103.91275908536905
