date,coal,natural_gas
2001-03-31,74.174,12.09
2001-06-30,70.536,16.925
2001-09-30,76.041,17.19
2001-12-31,74.472,10.195
2002-03-31,65.565,8.36
2002-06-30,74.582,10.722
2002-09-30,70.92,13.533
2002-12-31,71.165,8.484
2003-03-31,73.116,8.261
2003-06-30,78.38,9.789
2003-09-30,79.561,14.06
2003-12-31,72.503,8.516
2004-03-31,68.78828,8.03101
2004-06-30,75.11266,9.37831
2004-09-30,83.18005,10.97396
2004-12-31,80.27762,7.40187
2005-03-31,77.94894,8.76673
2005-06-30,75.14546,12.68893
2005-09-30,82.6551,16.47649
2005-12-31,80.16516,10.13849
2006-03-31,76.7575,8.13671
2006-06-30,73.84778,15.11248
2006-09-30,84.98723,19.12055
2006-12-31,78.61485,14.57749
2007-03-31,73.0424,11.89833
2007-06-30,67.69489,13.91469
2007-09-30,81.06495,21.66785
2007-12-31,72.3103,15.47259
2008-03-31,56.49786,15.22221
2008-06-30,68.33333,18.74045
2008-09-30,79.66424,19.27871
2008-12-31,78.2858,18.95523
2009-03-31,69.11717,17.91
2009-06-30,76.64118,16.89503
2009-09-30,80.14344,22.06878
2009-12-31,78.79815,15.82107
2010-03-31,54.74866,17.81639
2010-06-30,63.90821,16.83436
2010-09-30,74.54276,22.57147
2010-12-31,73.18239,15.88982
2011-03-31,70.79093,16.39635
2011-06-30,67.27889,17.38841
2011-09-30,78.74155,24.48721
2011-12-31,67.35458,18.10272
2012-03-31,63.00409,17.06301
2012-06-30,57.76159,20.26242
2012-09-30,74.74853,24.27821
2012-12-31,66.91005,15.70173
2013-03-31,68.8275,15.58824
2013-06-30,59.95221,20.34131
2013-09-30,65.45097,24.70957
2013-12-31,60.9064,17.36692
2014-03-31,51.41958,17.794620000000002
2014-06-30,52.24147,21.20344
2014-09-30,57.61968,23.70079
2014-12-31,52.61694,18.51818
2015-03-31,46.56813,19.53126
2015-06-30,54.25539,18.71739
2015-09-30,57.94128,24.37577
2015-12-31,55.24787,20.02415
2016-03-31,42.09816,20.38749
2016-06-30,42.73292,21.29156
2016-09-30,49.75072,25.92331
2016-12-31,60.69277,19.29727
2017-03-31,55.11961,17.71559
2017-06-30,42.96393,19.85906
2017-09-30,54.97164,24.46411
2017-12-31,44.28159,18.12557
2018-03-31,23.56567,18.87762
2018-06-30,28.24292,28.10119
2018-09-30,40.91424,31.6912
2018-12-31,42.30823,25.05373
2019-03-31,34.57464,22.74867
2019-06-30,30.68507,24.94086
2019-09-30,46.5031,34.73206
2019-12-31,38.24722,25.46669
2020-03-31,33.93037,24.94005
2020-06-30,28.62908,23.15642
2020-09-30,45.88761,33.25077
2020-12-31,28.9645,22.54278
2021-03-31,29.82661,19.85132
2021-06-30,26.42134,23.11586
2021-09-30,39.51402,26.966
2021-12-31,36.07198,16.01053
2022-03-31,24.383243890226595,23.72368833777365
2022-06-30,24.462732143998235,26.53597049055701
2022-09-30,32.16481429153752,31.28368000806913
2022-12-31,27.313801232613294,24.99067563825099
2023-03-31,20.37770319390528,24.551275968675384
2023-06-30,21.001589713662224,26.74664595248313
2023-09-30,28.748096512701306,32.88841814407233
2023-12-31,22.09645523588252,26.58913136801593
2024-03-31,16.739151057210307,25.9515667178407
2024-06-30,16.155117482829322,28.020161995243683
2024-09-30,26.75169686099737,31.66195173140696
2024-12-31,23.167408439733563,25.12755151029714
