date,coal,natural_gas
2001-03-31,184.608,0.754
2001-06-30,178.258,3.533
2001-09-30,210.016,11.463
2001-12-31,166.617,1.96
2002-03-31,177.437,4.071
2002-06-30,172.827,7.525
2002-09-30,219.733,17.357
2002-12-31,186.196,4.004
2003-03-31,201.684,2.905
2003-06-30,165.388,1.701
2003-09-30,209.485,9.092
2003-12-31,180.191,1.242
2004-03-31,209.68076,2.78416
2004-06-30,187.1693,7.98287
2004-09-30,194.7362,9.38526
2004-12-31,170.39657,2.0298
2005-03-31,190.51155,4.29568
2005-06-30,181.90168,4.72182
2005-09-30,232.31776,16.348770000000002
2005-12-31,191.70324,2.59507
2006-03-31,183.78619,2.40433
2006-06-30,192.69963,5.61196
2006-09-30,214.44074,18.65099
2006-12-31,175.15365,2.85982
2007-03-31,197.42294,3.76627
2007-06-30,200.6738,8.89773
2007-09-30,222.13564,24.58102
2007-12-31,197.37716,4.66767
2008-03-31,202.29828,4.322
2008-06-30,199.82859,8.7922
2008-09-30,208.86461,16.21936
2008-12-31,169.03994,7.72222
2009-03-31,174.10048,6.53561
2009-06-30,153.22092,7.74662
2009-09-30,178.53939,20.64198
2009-12-31,161.27465,5.72596
2010-03-31,193.79493,10.54143
2010-06-30,175.56204,20.48483
2010-09-30,204.90364,29.02994
2010-12-31,163.35039,15.7973
2011-03-31,165.67664,13.45149
2011-06-30,161.38969,23.1035
2011-09-30,178.73454,32.94042
2011-12-31,110.02384,23.65514
2012-03-31,118.13964,34.90278
2012-06-30,132.36441,38.24443
2012-09-30,154.96966,52.65138
2012-12-31,122.80191,29.93937
2013-03-31,122.42837,47.92647
2013-06-30,111.05779,48.7808
2013-09-30,139.97434,59.13652
2013-12-31,113.08088,51.84287
2014-03-31,158.73067,43.05582
2014-06-30,112.55179,54.36067
2014-09-30,123.60695,63.26962
2014-12-31,101.64646,53.35411
2015-03-31,124.48405,65.8099
2015-06-30,93.0248,74.4187
2015-09-30,128.96084,79.86315
2015-12-31,55.86737,69.28954
2016-03-31,79.9222,80.20173
2016-06-30,76.2789,73.55764
2016-09-30,144.92685,87.90385
2016-12-31,77.47482,67.45525
2017-03-31,75.48367,74.15984
2017-06-30,86.07864,65.18742
2017-09-30,117.51746,80.11745
2017-12-31,68.1628,75.37896
2018-03-31,85.39753,80.09197
2018-06-30,83.06701,77.48994
2018-09-30,92.46496,104.99128
2018-12-31,61.96895,85.65508
2019-03-31,55.28025,82.74284
2019-06-30,72.69647,71.22727
2019-09-30,121.27043,91.96517
2019-12-31,67.46583,77.50274
2020-03-31,33.89171,90.24912
2020-06-30,43.03144,65.42874
2020-09-30,96.21817,91.32513
2020-12-31,49.24685,77.11357
2021-03-31,68.17996,80.06011
2021-06-30,58.85646,72.0177
2021-09-30,73.94523,117.5633
2021-12-31,19.84659,109.37169
2022-03-31,44.85923239156506,99.60228510956895
2022-06-30,34.316400707774136,101.95871727870797
2022-09-30,62.47252538343632,116.16468803604612
2022-12-31,21.29822110719184,104.38860809109148
2023-03-31,39.11221636507079,105.69080917562276
2023-06-30,25.796389260281728,109.76804313089367
2023-09-30,55.53437924755097,122.9962223755539
2023-12-31,9.554659640355624,110.67921110643334
2024-03-31,13.155709624742885,116.05701728215338
2024-06-30,9.56063155223265,112.70046345199796
2024-09-30,40.3016232625472,127.94302433276384
2024-12-31,-0.22506316293709,115.1053116477484
