date,coal,natural_gas
2001-03-31,85.784,0.023
2001-06-30,74.013,0.027
2001-09-30,83.823,0.034
2001-12-31,84.448,0.025
2002-03-31,85.738,0.192
2002-06-30,74.708,0.082
2002-09-30,83.979,0.025
2002-12-31,87.492,0.204
2003-03-31,87.64,0.113
2003-06-30,70.246,0.094
2003-09-30,84.753,0.111
2003-12-31,84.873,0.109
2004-03-31,80.6313,0.09536
2004-06-30,74.1012,0.05521
2004-09-30,79.37485,0.0442
2004-12-31,79.48355,0.35473
2005-03-31,85.31656,0.19211
2005-06-30,74.9033,0.11403
2005-09-30,89.44592,0.06331
2005-12-31,89.53933,0.03746
2006-03-31,84.44636,0.20392
2006-06-30,72.78032,0.08733
2006-09-30,89.27521,0.02701
2006-12-31,76.37998,0.03096
2007-03-31,84.38984,0.26033
2007-06-30,77.43755,0.16698
2007-09-30,86.12004,0.15058
2007-12-31,82.05164,0.23187
2008-03-31,85.49133,0.00014
2008-06-30,73.01668,0.00016
2008-09-30,88.96415,0.00024
2008-12-31,89.01463,0.0001
2009-03-31,88.34479,0.25471
2009-06-30,79.65857,0.22911
2009-09-30,80.16792,0.36053
2009-12-31,85.07765,0.17926
2010-03-31,87.4376,0.17773
2010-06-30,72.73386,0.22626
2010-09-30,79.99457,0.50992
2010-12-31,77.32921,0.16681
2011-03-31,87.46422,0.21502
2011-06-30,63.53713,0.23181
2011-09-30,75.57901,0.61543
2011-12-31,78.42905,0.14334
2012-03-31,83.39342,0.22175
2012-06-30,71.53703,0.45098
2012-09-30,82.79645,0.6065
2012-12-31,78.30121,0.19037
2013-03-31,82.24683,0.24507
2013-06-30,68.7045,0.24384
2013-09-30,80.66996,0.46145
2013-12-31,77.23323,0.5238700000000001
2014-03-31,85.18382,0.6298100000000001
2014-06-30,64.3216,0.8197500000000001
2014-09-30,78.43954,1.00983
2014-12-31,81.39366,0.98927
2015-03-31,82.7175,1.14073
2015-06-30,73.54296,1.93535
2015-09-30,82.31847,4.39916
2015-12-31,76.43124,0.93769
2016-03-31,77.24382,2.23731
2016-06-30,61.12507,2.52569
2016-09-30,86.76972,4.39092
2016-12-31,78.004,3.90981
2017-03-31,78.9638,1.55607
2017-06-30,63.93007,2.1709
2017-09-30,84.09907,2.67924
2017-12-31,79.66853,2.09779
2018-03-31,82.7944,2.39799
2018-06-30,72.75267,3.25824
2018-09-30,85.48458,3.6487
2018-12-31,74.9487,2.4015
2019-03-31,80.4518,3.43509
2019-06-30,56.09119,4.11927
2019-09-30,78.56924,5.43239
2019-12-31,77.05022,3.99357
2020-03-31,76.13867,4.6836
2020-06-30,58.68273,4.48669
2020-09-30,75.30793,5.30977
2020-12-31,70.95019,4.53394
2021-03-31,74.26521,4.44241
2021-06-30,59.21197,4.02286
2021-09-30,80.60897,4.48328
2021-12-31,66.94791,3.83702
2022-03-31,76.95104470120319,4.611074653678475
2022-06-30,62.89821668652488,4.843113686998285
2022-09-30,75.4525551871794,5.324691266856682
2022-12-31,72.61832090096851,4.832718114209456
2023-03-31,77.1553783103322,5.017615063320271
2023-06-30,61.12951034207734,5.3160111701842165
2023-09-30,73.90036786978348,5.964144451021728
2023-12-31,71.59426409441039,5.16571615377455
2024-03-31,72.75346741871891,5.634231630788232
2024-06-30,60.25541108150446,5.677448205765517
2024-09-30,74.83591170264984,6.078647967011412
2024-12-31,71.33668491505236,5.989889240927294
