date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,7954.776,7528.357,0.5630000000000001,0.0,396.325,0.0,0.0,1.911
2001-06-30,6885.435,6531.895,0.627,0.0,321.681,0.0,0.0,1.881
2001-09-30,7821.187,7455.382,0.795,0.0,335.524,0.0,0.0,1.807
2001-12-31,7670.674,7361.541,0.551,0.0,278.546,0.0,0.0,2.066
2002-03-31,7988.543,7649.041,3.087,0.0,306.858,0.0,0.0,0.186
2002-06-30,7036.411,6654.717,1.308,0.0,361.391,0.0,0.0,0.048
2002-09-30,7976.01,7460.859,0.388,0.0,502.482,0.0,0.0,0.177
2002-12-31,8305.342,7846.906,3.26,0.0,421.885,0.0,0.0,0.0
2003-03-31,8287.892,7808.044,2.499,0.0,450.469,1.99,0.0,0.141
2003-06-30,6849.17,6348.765,2.065,0.0,474.711,1.682,0.0,0.154
2003-09-30,8135.606,7612.598,2.463,0.0,494.742,1.237,0.0,0.154
2003-12-31,8049.459,7657.902,2.419,0.0,303.982,53.969,0.0,0.153
2004-03-31,7813.38901,7273.57474,2.10014,0.0,451.981,59.144,0.0,1.40067
2004-06-30,6980.44182,6511.06744,1.09196,0.0,391.726,50.233,0.0,1.40067
2004-09-30,7570.94437,7104.62044,0.8626600000000001,0.0,397.663,43.375,0.0,1.40067
2004-12-31,7571.33091,7174.9617,4.9893600000000005,0.0,304.494,61.771,0.0,1.40067
2005-03-31,7988.67095,7618.83656,3.75963,0.0,293.3,49.825,0.0,2.27338
2005-06-30,7100.67415,6645.29173,2.15783,0.0,365.242,60.991,0.0,2.5319000000000003
2005-09-30,8439.75474,8005.08929,1.33187,0.0,361.371,43.304,0.0,2.62672
2005-12-31,8403.51558,7989.54146,0.7629100000000001,0.0,321.911,66.225,0.0,2.55707
2006-03-31,8021.72982,7546.45613,4.11092,0.0,354.928,91.645,0.0,0.98894
2006-06-30,7027.56414,6525.50439,1.82307,0.0,380.899,94.537,0.0,0.79139
2006-09-30,8552.54571,7974.66487,0.5592600000000001,0.0,479.618,73.09,0.0,0.8144500000000001
2006-12-31,7279.29713,6832.36577,0.57152,0.0,305.589,110.213,0.0,0.94962
2007-03-31,7985.21124,7462.43757,5.35067,0.0,329.322,158.17271,0.0,3.40973
2007-06-30,7289.02621,6789.60306,3.47569,0.0,321.156,145.80319,0.0,2.92715
2007-09-30,8149.72723,7612.69837,3.06308,0.0,373.414,132.80023,0.0,3.82894
2007-12-31,7800.14035,7298.81423,4.68478,0.0,281.501,183.99576,0.0,4.31421
2008-03-31,8067.24245,7546.93849,-0.01121,0.0,316.491,171.99896,0.0,15.88261
2008-06-30,7148.1505,6462.20813,-0.00584,0.0,295.651,359.92218,0.0,17.03816
2008-09-30,8565.20637,7759.37379,-0.01367,0.0,337.232,440.95701,0.0,17.23676
2008-12-31,8953.97985,7903.70988,-0.02042,0.0,303.416,720.57971,0.0,16.90224
2009-03-31,8966.30795,7778.6016,4.14866,0.0,334.628,825.06244,0.0,2.39815
2009-06-30,8116.21509,7064.69862,3.72052,0.0,329.456,694.03319,0.0,3.07252
2009-09-30,8243.5382,7162.06476,5.82654,0.0,435.462,615.74433,0.0,3.25853
2009-12-31,8870.40544,7601.60062,2.91019,0.0,375.705,862.69003,0.0,2.8428
2010-03-31,9067.81969,7791.28463,2.6968300000000003,0.0,411.579,829.55947,0.0,11.31694
2010-06-30,8007.7881,6547.9664,3.41915,0.0,357.809,1065.41327,0.0,12.26425
2010-09-30,8840.80947,7224.6968,7.71335,0.0,561.082,1018.32492,0.0,13.01969
2010-12-31,8823.12441,6898.09262,2.5233,0.0,711.648,1182.34315,0.0,13.03311
2011-03-31,9831.31582,7766.49867,3.54556,0.0,639.758,1394.36913,0.0,11.75116
2011-06-30,7675.62773,5654.34514,3.83413,0.0,635.818,1349.97564,0.0,14.08689
2011-09-30,8314.53576,6715.72142,10.14881,0.0,621.204,928.58695,0.0,14.92023
2011-12-31,9258.42081,6972.36098,2.37383,0.0,683.262,1562.65828,0.0,13.40257
2012-03-31,9561.48539,7428.05184,3.28111,0.0,588.966,1509.76093,0.0,15.71048
2012-06-30,8599.0573,6394.8728,6.6575,0.0,713.1,1441.23961,0.0,17.50556
2012-09-30,9099.16165,7426.54806,8.951740000000001,0.0,650.975,979.50403,0.0,18.67831
2012-12-31,8865.45454,6964.89146,2.80631,0.0,524.189,1344.00445,0.0,17.41978
2013-03-31,9272.99248,7311.45283,3.73022,0.0,514.664,1416.77994,0.0,9.38818
2013-06-30,8113.30114,6128.22068,3.71145,0.0,506.419,1446.59002,0.0,8.91932
2013-09-30,8761.23206,7204.60509,13.24671,0.0,501.606,1011.16992,0.0,12.56388
2013-12-31,8874.14707,6833.54372,33.50629,0.0,329.732,1644.41813,0.0,12.66263
2014-03-31,9944.28004,7507.43409,42.7361,0.0,450.555,1915.8528,0.0542,8.10566
2014-06-30,7980.56508,5672.74393,55.62388,0.0,738.515,1494.53452,0.10679,8.53567
2014-09-30,8989.50995,6984.70012,68.82478,0.0,790.196,1118.18588,0.11047,9.439
2014-12-31,9548.15261,7229.19003,67.13038,0.0,552.094,1673.83878,0.05586,8.0117
2015-03-31,9825.59845,7303.05452,97.21818,0.0,564.237,1840.72014,0.04774,8.52876
2015-06-30,8868.04523,6510.03919,163.83647,0.0,602.462,1570.69663,0.09379,12.04211
2015-09-30,9522.36331,7267.56456,369.5712,0.0,548.708,1289.13768,0.09238,12.77301
2015-12-31,8940.60538,6653.75484,80.41826,0.0,378.761,1805.14974,0.04445,12.41778
2016-03-31,9251.6362,6719.94687,183.30358,0.0,482.375,1832.82454,0.04863,12.42588
2016-06-30,8177.40278,5355.02905,208.06157,0.0,500.993,2086.67122,0.09644,11.63979
2016-09-30,10313.17352,7686.3991,355.15515,0.0,540.747,1703.16193,0.09581,13.44515
2016-12-31,10114.23927,6818.97458,324.58697,0.0,387.89,2549.26431,0.0486,13.20211
2017-03-31,10479.80225,6826.97433,120.51441,0.0,569.41079,2922.27801,0.05427,13.32436
2017-06-30,9469.91975,5537.21934,168.08097,0.0,816.68454,2922.08598,0.10693,12.62576
2017-09-30,10380.8275,7408.92642,224.7399,0.0,600.46627,2115.98816,0.10561,13.7917
2017-12-31,11174.52407,6983.34456,162.69581,0.0,595.54541,3398.88085,0.05176,13.55769
2018-03-31,11050.84329,7122.80186,205.94055,0.0,613.19754,3077.86059,0.05569,12.31625
2018-06-30,9964.99012,6350.07879,292.86728,0.0,708.68757,2577.63657,0.11025,13.01036
2018-09-30,10843.12221,7516.99215,327.63605,0.0,783.67243,2178.71895,0.11377,13.91633
2018-12-31,10756.36562,6550.79227,192.82895,0.0,1074.59647,2898.69713,0.08131,13.74183
2019-03-31,10982.32595,6905.81745,293.87318,0.0,874.00239,2868.14293,0.10734,12.03998
2019-06-30,8890.32958,4797.67216,356.64742,0.0,1067.76183,2638.13821,0.22633,11.99619
2019-09-30,10331.86779,6831.27464,491.38849,0.0,592.74531,2385.79398,0.24201,12.44861
2019-12-31,10942.80028,6616.67305,328.67573,0.0,644.78248,3320.9495,0.12038,13.2665
2020-03-31,11314.47316,6658.57004,387.07839,0.0,808.00243,3431.03579,0.1299,8.817
2020-06-30,9631.51166,5124.22493,336.64607,0.0,767.81646,3376.18413,0.25863,9.95294
2020-09-30,10433.29633,6577.19576,434.27821,0.0,460.69678,2936.55756,0.27266,9.89551
2020-12-31,10797.14287,6136.8164,330.42843,0.0,413.87934,3890.07653,0.15464,9.8719
2021-03-31,11118.14427,6481.93464,318.23667,0.0,613.2302,3678.36725,0.17675,10.49954
2021-06-30,9474.72984,5129.50426,344.72184,0.0,571.53697,3402.70172,0.40224,9.52444
2021-09-30,11082.60187,7005.85264,436.19286,0.0,480.52205,3136.31894,0.41487,9.81077
2021-12-31,11029.75616,5771.93742,346.16545,0.0,553.18492,4323.91138,0.23469,10.96002
2022-03-31,11477.60677280747,6633.449951843875,388.50039972334025,0.0,707.948721027987,3825.855915984851,0.2178990773148091,14.35897929006251
2022-06-30,10249.731632976138,5413.34836032376,413.6091479661777,0.0,761.8413161120206,3738.865355499666,0.2541861499495431,14.87801725411092
2022-09-30,11235.64189949058,6548.57450282301,455.3289877186835,0.0,748.249230398568,3558.0614233363094,0.2593968629114693,15.52950282669785
2022-12-31,11321.273238518905,6268.250992967485,411.5048321937122,0.0,705.2048356620581,4001.55728537245,0.2328039855912716,15.3800407534994
2023-03-31,11770.396273765888,6631.731221916594,428.3803934688235,0.0,755.0604551736966,4057.435594953994,0.2443007011336342,14.21756913372714
2023-06-30,10341.682733391825,5238.073113293291,459.59750476044223,0.0,820.4490863381144,3943.835828137097,0.2767643662965794,14.954603382267148
2023-09-30,11348.545592566115,6380.224861325001,514.4959382776422,0.0,805.07810508652,3778.0934633719135,0.2825812463997561,15.536786262887738
2023-12-31,11404.556987472415,6157.144312871562,443.4489259777552,0.0,763.5935276843895,4191.056652620664,0.2572393770471262,15.42591579882986
2024-03-31,11630.85260472403,6251.197208211166,475.3715826314053,0.0,719.4649336342297,4294.193664766038,0.2613488040778514,17.312170415181107
2024-06-30,10571.605169882794,5132.245310383056,475.9235098826059,0.0,730.3194010131327,4357.121704253028,0.3039822725543256,17.48402748856975
2024-09-30,11643.08253272166,6448.310165051587,516.0805739064376,0.0,704.1098670884387,4114.66002221501,0.3094737319309709,18.21821945532392
2024-12-31,11760.668205139951,6121.942732043959,504.5893649519292,0.0,631.9598720925164,4661.439310185506,0.2774898594369341,18.03182928942754
