date,coal,natural_gas
2001-03-31,328.587,3.916
2001-06-30,303.309,5.012
2001-09-30,330.667,9.397
2001-12-31,299.57,3.683
2002-03-31,310.677,2.138
2002-06-30,323.849,5.052
2002-09-30,353.494,16.122
2002-12-31,323.439,2.503
2003-03-31,334.513,4.195
2003-06-30,313.338,4.267
2003-09-30,360.733,11.635
2003-12-31,353.443,3.069
2004-03-31,332.48381,3.85144
2004-06-30,316.98864,8.4771
2004-09-30,332.59401,7.83241
2004-12-31,322.85237,2.19687
2005-03-31,351.14336,4.25588
2005-06-30,311.27465,7.64895
2005-09-30,375.81146,15.26001
2005-12-31,353.61872,3.16988
2006-03-31,335.77381,2.08257
2006-06-30,314.55547,4.08247
2006-09-30,363.74145,13.57494
2006-12-31,340.68491,5.83587
2007-03-31,328.70326,4.97163
2007-06-30,313.5747,8.44905
2007-09-30,374.4688,18.7428
2007-12-31,346.28895,7.97326
2008-03-31,355.13379,5.04779
2008-06-30,317.9419,5.07239
2008-09-30,337.79453,11.8409
2008-12-31,324.38978,4.03308
2009-03-31,312.0146,8.84814
2009-06-30,264.92794,9.15997
2009-09-30,303.39885,16.36145
2009-12-31,302.88524,6.37822
2010-03-31,316.97094,4.86984
2010-06-30,298.98279,12.45218
2010-09-30,341.43861,25.24836
2010-12-31,284.4696,19.52823
2011-03-31,301.40579,22.36152
2011-06-30,265.12692,20.52815
2011-09-30,325.68235,30.6169
2011-12-31,224.69338,26.85985
2012-03-31,216.4554,45.3585
2012-06-30,218.3267,46.07368
2012-09-30,257.27797,52.32806
2012-12-31,199.91308,38.60999
2013-03-31,246.50394,43.96011
2013-06-30,235.95171,39.20434
2013-09-30,257.31628,44.62128
2013-12-31,233.24757,44.22754
2014-03-31,276.09157,47.43272
2014-06-30,209.0955,42.95668
2014-09-30,236.20024,55.21444
2014-12-31,205.38485,40.42395
2015-03-31,238.15248,62.87101
2015-06-30,158.52453,50.2697
2015-09-30,211.45138,62.03414
2015-12-31,134.97261,50.8387
2016-03-31,161.93065,63.28618
2016-06-30,162.72273,49.61746
2016-09-30,224.13949,69.82212
2016-12-31,167.90677,51.39501
2017-03-31,185.16805,53.2116
2017-06-30,173.29986,48.73755
2017-09-30,186.62332,62.90934
2017-12-31,156.47209,68.50913
2018-03-31,172.7358,83.95237
2018-06-30,122.98514,79.38441
2018-09-30,160.35568,96.17839
2018-12-31,148.3686,96.38565
2019-03-31,144.20932,103.96125
2019-06-30,108.13669,94.71129
2019-09-30,131.4329,109.77259
2019-12-31,97.72692,93.39703
2020-03-31,111.21238,113.24151
2020-06-30,83.17628,95.18374
2020-09-30,132.41117,111.12679
2020-12-31,137.29105,94.89931
2021-03-31,127.5078,105.18637
2021-06-30,94.50124,93.94622
2021-09-30,151.86732,107.62477
2021-12-31,98.17195,117.2434
2022-03-31,101.53049068815494,112.53533364583616
2022-06-30,68.84745537974322,111.96414107125506
2022-09-30,107.584424014276,123.09489303353465
2022-12-31,71.29484911639679,117.26082335172612
2023-03-31,87.94958410002664,123.16739052155977
2023-06-30,48.62584945155663,121.17801606981848
2023-09-30,93.6263880314068,134.1100967077681
2023-12-31,46.19969703513948,125.46081145385811
2024-03-31,49.54462190021377,132.6908923243445
2024-06-30,30.894113360274105,128.62507647876714
2024-09-30,65.98811256235217,139.30210603909543
2024-12-31,40.44889185523425,130.6562270151549
