date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,36432.033,32645.524,115.253,3266.131,120.545,0.0,0.0,116.034
2001-06-30,33773.814,29459.943,203.134,3669.951,140.505,0.0,0.0,101.999
2001-09-30,37622.205,32622.05,504.416,4078.005,120.829,0.0,0.0,106.384
2001-12-31,34433.757,29485.719,101.614,4449.675,128.906,0.0,0.0,106.544
2002-03-31,35961.153,31933.852,115.208,3574.025,152.673,0.0,0.0,40.412
2002-06-30,36031.682,33079.597,337.895,2302.212,106.702,0.0,0.0,48.778
2002-09-30,39334.86,35200.492,1184.699,2416.029,105.633,0.0,0.0,256.173
2002-12-31,35741.152,32739.125,128.852,2572.636,123.322,0.0,0.0,54.849
2003-03-31,36935.801,33822.396,244.233,2473.796,108.973,0.0,0.0,113.985
2003-06-30,32497.949,30897.965,287.108,929.75,124.292,0.0,0.0,107.729
2003-09-30,39107.132,35163.398,1128.036,2377.345,149.242,0.0,0.0,123.033
2003-12-31,38097.246,34885.379,134.205,2694.125,128.327,0.0,0.0,122.132
2004-03-31,36105.37295,32566.99706,183.26836,2698.754,141.9791,0.0,0.0,109.98694
2004-06-30,36523.91573,31106.12144,587.67517,4127.059,140.96684,0.0,0.0,101.18099
2004-09-30,38387.20706,32542.0486,529.29446,4554.667,219.83557,0.0,0.0,110.84713
2004-12-31,37329.40957,31941.61469,90.75679,4569.641,227.0945,0.0,0.0,105.77299
2005-03-31,37969.21865,34977.88779,326.94277,2060.418,100.70824,2.22243,0.0,100.64477
2005-06-30,35315.01062,30515.21971,677.42111,3454.129,136.47913,3.05294,0.0,104.3995
2005-09-30,43259.73998,36442.72296,1496.20067,4646.519,137.01458,2.41119,0.0,116.34888
2005-12-31,40432.35354,34889.76769,195.06355,4641.667,141.54207,5.58143,0.0,113.22623
2006-03-31,38102.1241,33311.17241,98.82582,4041.286,144.23144,4.20382,0.0,108.2263
2006-06-30,35883.19781,30893.16255,382.81637,3862.077,173.54192,3.41391,0.0,108.77305
2006-09-30,42111.17101,35412.30625,1372.78283,4600.078,177.64932,2.4974,0.0,111.81792
2006-12-31,39337.58228,33783.51518,524.63663,4343.498,136.51333,4.28587,0.0,118.2016
2007-03-31,37842.36626,32298.0972,419.98882,4584.189,60.66387,2.39645,0.0,108.16387
2007-06-30,35168.96674,30756.99912,874.59696,2901.345,98.94016,3.87814,0.0,103.31499
2007-09-30,42976.79134,36476.84189,1962.28144,3948.44,136.04434,2.58903,0.0,111.11847
2007-12-31,39167.42102,33598.74087,718.03007,4330.075,114.78765,5.88439,0.0,101.11989
2008-03-31,39786.16295,34996.43462,449.61939,3683.989,61.90759,2.94357,0.0,156.85579
2008-06-30,36676.42928,31115.4849,488.84848,4356.505,99.44639,3.35977,0.0,150.79778
2008-09-30,39500.78921,32845.41473,1226.07211,4737.52,122.05313,2.11451,0.0,152.2822
2008-12-31,37448.86966,31736.97576,319.85114,4735.864,103.02791,6.66616,0.0,159.35576
2009-03-31,35171.7582,30164.51101,849.27838,3579.216,97.89391,3.85578,0.0,157.45383
2009-06-30,29757.10428,25432.32752,1036.89275,2655.997,125.29681,3.43839,0.0,145.02744
2009-09-30,36242.06366,28841.6884,2029.24593,4744.586,154.34583,1.77532,0.0,157.00533
