date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,12331.026,8487.513,2656.902,0.0,1002.241,0.0,0.0,55.547
2001-06-30,12995.112,8273.884,3959.963,0.0,720.001,0.0,0.0,47.584
2001-09-30,17224.003,9265.7,7597.408,0.0,311.81,0.0,0.0,65.146
2001-12-31,12699.312,8588.671,3729.536,0.0,310.639,0.0,0.0,62.419
2002-03-31,13382.613,8534.65,4323.267,0.0,477.282,0.0,0.0,55.26
2002-06-30,14825.343,8363.669,5464.456,0.0,967.723,0.0,0.0,48.413
2002-09-30,18576.203,9769.929,8409.995,0.0,352.693,0.0,0.0,66.244
2002-12-31,12399.261,9296.53,2851.322,0.0,190.146,0.0,0.0,69.128
2003-03-31,13285.991,9162.178,3622.644,0.0,353.72,0.0,0.0,68.426
2003-06-30,14869.821,8847.069,5217.315,0.0,751.982,0.0,0.0,70.377
2003-09-30,19187.475,9626.129,9130.349,0.0,399.959,0.0,0.0,66.736
2003-12-31,13283.569,9040.95,3852.389,0.0,292.751,54.47,0.0,68.982
2004-03-31,14010.98427,8523.13627,4609.60523,0.0,701.24372,145.479,0.0,66.42153
2004-06-30,14614.33273,7095.5564,6424.52846,0.0,891.88915,163.925,0.0,72.82306
2004-09-30,18778.59048,9694.6946,8330.83237,0.0,620.90771,123.955,0.0,64.31408
2004-12-31,13325.65298,8487.99851,3920.6134,0.0,762.63531,139.385,0.0,55.18354
2005-03-31,14580.67298,9255.11061,4166.20173,0.0,993.49541,125.269,0.0,68.35193
2005-06-30,17068.20216,8608.0366,7405.77621,0.0,738.32986,268.0872,0.0,74.58725
2005-09-30,22148.75706,9937.59138,11307.8063,0.0,657.82911,197.15249,0.0,76.57082
2005-12-31,14810.19497,8507.81781,5710.4353,0.0,240.70663,257.26432,0.0,76.05205
2006-03-31,14924.34811,8276.71544,5989.37851,0.0,93.25224,465.179,0.0,78.15226
2006-06-30,18816.59306,8358.64566,9642.37641,0.0,292.03287,438.748,0.0,74.12131
2006-09-30,21276.25136,9765.38726,11024.86227,0.0,132.8098,329.04,0.0,72.05916
2006-12-31,15597.68765,8631.27471,6324.07271,0.0,105.48412,479.474,0.0,78.39468
2007-03-31,16819.87968,9178.61836,6389.03836,0.0,605.05651,510.404,0.0,58.00834
2007-06-30,17709.62935,8060.82313,8024.52855,0.0,1115.88294,439.114,0.0,73.24118
2007-09-30,22313.46656,9260.62736,11590.71513,0.0,1021.99699,396.002,0.0,88.85203
2007-12-31,15976.11951,7937.86862,7139.62926,0.0,322.92556,503.624,0.0,85.02117
2008-03-31,17493.8611,8776.94594,7137.04032,0.0,929.8504,622.15956,0.0,51.84371
2008-06-30,18592.88325,8435.09662,8026.27614,0.0,1464.34538,661.15536,0.0,44.0813
2008-09-30,22146.38356,9993.83476,10750.4986,0.0,980.9906,415.22558,0.0,55.4983
2008-12-31,18095.78054,9109.04007,7860.3517,0.0,436.08664,659.5393,0.0,53.89173
2009-03-31,18135.2201,8501.85641,8435.54389,0.0,471.04374,690.69569,0.0,57.93203
2009-06-30,19118.47349,8438.33371,8686.28285,0.0,1313.23322,659.75091,0.0,56.75791
2009-09-30,21684.0068,9174.58382,11261.48919,0.0,693.13328,517.33432,0.0,59.35116
2009-12-31,16129.10888,7944.33293,6247.98324,0.0,1075.16275,830.41853,0.0,58.95778
2010-03-31,16633.2342,8014.17387,6704.33983,0.0,1038.86633,817.43244,0.0,90.97247
2010-06-30,17615.10398,7154.82935,8379.57288,0.0,958.14365,1073.94841,0.0,82.57212
2010-09-30,23248.13793,9286.1116,12404.60717,0.0,685.74559,834.32087,0.0,90.35308
