date,coal,natural_gas
2001-03-31,11.843,21.769
2001-06-30,8.94,20.09
2001-09-30,11.751,25.755
2001-12-31,11.74,24.487
2002-03-31,11.122,21.53
2002-06-30,5.189,10.588
2002-09-30,8.61,15.043
2002-12-31,12.565,18.612
2003-03-31,11.302,19.411
2003-06-30,8.168,8.59
2003-09-30,12.331,30.549
2003-12-31,12.661,24.972
2004-03-31,12.06189,25.69237
2004-06-30,4.02132,18.74288
2004-09-30,7.94786,30.76564
2004-12-31,12.21233,30.17178
2005-03-31,11.97686,28.66659
2005-06-30,8.48511,15.97793
2005-09-30,12.07093,28.16852
2005-12-31,3.05951,30.26031
2006-03-31,0.0,19.10362
2006-06-30,0.59233,6.6043400000000005
2006-09-30,11.82517,32.47694
2006-12-31,11.81111,30.57584
2007-03-31,10.7222,24.33347
2007-06-30,7.77406,18.71402
2007-09-30,12.38011,37.97315
2007-12-31,12.25506,39.16209
2008-03-31,11.42843,39.70182
2008-06-30,5.00346,19.71047
2008-09-30,11.13165,32.90495
2008-12-31,12.15657,37.06901
2009-03-31,11.51352,33.39791
2009-06-30,1.25738,9.74616
2009-09-30,6.21277,40.41788
2009-12-31,12.23345,34.87916
2010-03-31,11.69648,34.08654
2010-06-30,4.98808,14.75612
2010-09-30,11.69252,32.98287
2010-12-31,12.31941,32.35627
2011-03-31,8.99294,13.68182
2011-06-30,2.32451,5.67329
2011-09-30,10.21103,16.02949
2011-12-31,11.76733,28.73057
2012-03-31,7.98465,31.56978
2012-06-30,0.0,7.07758
2012-09-30,7.25293,23.37287
2012-12-31,11.27747,26.68287
2013-03-31,11.35178,31.94726
2013-06-30,6.49455,12.85158
2013-09-30,7.6427,30.78735
2013-12-31,11.42828,34.35793
2014-03-31,9.3714,27.14791
2014-06-30,1.41489,8.86234
2014-09-30,10.87045,31.93673
2014-12-31,10.0482,30.14414
2015-03-31,0.25401,20.61106
2015-06-30,2.79523,27.4168
2015-09-30,10.56434,38.64758
2015-12-31,10.5373,36.95457
2016-03-31,3.19423,29.54033
2016-06-30,1.01901,16.42768
2016-09-30,9.90099,40.81485
2016-12-31,5.32548,30.83364
2017-03-31,5.7083,26.57805
2017-06-30,0.0,7.18496
2017-09-30,9.72052,41.59575
2017-12-31,2.34143,41.20586
2018-03-31,0.0,32.74048
2018-06-30,0.31381,15.46086
2018-09-30,8.69448,47.64332
2018-12-31,6.48625,40.17993
2019-03-31,8.29942,43.55134
2019-06-30,0.00069,21.24208
2019-09-30,9.77827,49.21512
2019-12-31,8.16601,44.19976
2020-03-31,6.38936,44.64076
2020-06-30,0.0,19.43645
2020-09-30,9.30002,39.64506
2020-12-31,1.28645,40.88039
2021-03-31,0.0,37.90602
2021-06-30,0.0,29.85439
2021-09-30,0.0,45.40361
2021-12-31,0.0,41.24311
2022-03-31,3.550204536605371,35.34564481979508
2022-06-30,-0.6021155763561998,22.743980955343574
2022-09-30,5.8182858884289645,42.03679097693404
2022-12-31,5.612314508459876,41.30179094818459
2023-03-31,2.721877648249646,32.998754743655944
2023-06-30,-0.6692900364534669,23.483192774210405
2023-09-30,6.1797620735120375,42.82367686034393
2023-12-31,6.327821578851117,42.513194263518585
2024-03-31,3.791047679232872,42.67998208841964
2024-06-30,-2.0055469575444427,24.76257175291825
2024-09-30,3.698890000823653,42.89013050588976
2024-12-31,2.7861209053670817,42.15491695223835
