date,coal,natural_gas
2001-03-31,98.195,1.051
2001-06-30,91.921,2.293
2001-09-30,106.722,6.088
2001-12-31,76.239,2.816
2002-03-31,85.238,6.876
2002-06-30,93.307,12.941
2002-09-30,103.42,17.313
2002-12-31,86.752,2.111
2003-03-31,93.114,1.902
2003-06-30,85.684,3.265
2003-09-30,104.759,7.891
2003-12-31,96.438,1.219
2004-03-31,100.28859,5.26678
2004-06-30,98.13449,8.35903
2004-09-30,107.13799,13.58683
2004-12-31,95.01759,5.51258
2005-03-31,96.01464,8.85283
2005-06-30,96.9353,9.32801
2005-09-30,110.31108,25.67654
2005-12-31,101.46948,3.01004
2006-03-31,97.93875,4.93213
2006-06-30,99.07894,11.06044
2006-09-30,109.85031,26.87133
2006-12-31,98.43137,9.72804
2007-03-31,92.01821,9.85875
2007-06-30,105.41149,9.6114
2007-09-30,115.61802,28.06837
2007-12-31,106.97244,5.31182
2008-03-31,110.8145,8.39563
2008-06-30,108.18909,13.33382
2008-09-30,116.26845,15.23186
2008-12-31,87.87924,10.98406
2009-03-31,90.79011,11.55826
2009-06-30,82.84319,18.17993
2009-09-30,90.98887,29.56436
2009-12-31,90.499,18.18611
2010-03-31,102.34989,11.78594
2010-06-30,91.98349,22.53916
2010-09-30,111.55047,33.40673
2010-12-31,82.13999,22.19333
2011-03-31,88.43908,20.43262
2011-06-30,98.90972,26.42399
2011-09-30,104.4597,31.58303
2011-12-31,60.72274,25.55648
2012-03-31,68.71031,27.39781
2012-06-30,73.75129,30.17015
2012-09-30,84.51731,34.29237
2012-12-31,64.41185,29.81567
2013-03-31,62.21299,23.3236
2013-06-30,58.04115,24.87839
2013-09-30,66.35411,32.5188
2013-12-31,63.26277,17.68002
2014-03-31,76.49521,18.30507
2014-06-30,77.94681,26.16516
2014-09-30,81.00569,27.37437
2014-12-31,63.03297,19.35768
2015-03-31,69.34555,24.13582
2015-06-30,56.8458,35.67631
2015-09-30,68.02967,42.61554
2015-12-31,40.60766,40.08715
2016-03-31,53.87726,29.8699
2016-06-30,52.57439,30.77293
2016-09-30,67.988,46.55865
2016-12-31,42.22256,33.95716
2017-03-31,43.08001,29.1521
2017-06-30,51.81985,37.50369
2017-09-30,55.25719,41.55143
2017-12-31,36.71414,36.59065
2018-03-31,45.38333,32.04253
2018-06-30,48.63489,39.77627
2018-09-30,56.93133,64.76292
2018-12-31,49.50758,46.92267
2019-03-31,36.41266,39.99032
2019-06-30,37.48776,48.29451
2019-09-30,50.00922,60.26087
2019-12-31,32.93015,44.49115
2020-03-31,26.80026,47.62725
2020-06-30,26.39037,48.67779
2020-09-30,46.43074,58.16162
2020-12-31,34.81018,40.98915
2021-03-31,44.37544,36.33683
2021-06-30,36.14216,46.03227
2021-09-30,46.63569,55.50709
2021-12-31,33.04026,52.09738
2022-03-31,27.811353938555712,45.53740744025754
2022-06-30,27.22678538839304,51.469652430055895
2022-09-30,37.1502513472356,61.36753657214682
2022-12-31,19.92161786774176,49.85599200208724
2023-03-31,23.18762402581952,47.95037503310033
2023-06-30,23.25985017817285,54.59843863257848
2023-09-30,33.88325362131734,65.1001903410826
2023-12-31,13.911483543309645,53.13041062464904
2024-03-31,16.614260162239177,52.670121495741206
2024-06-30,14.63228532906666,55.84860365291334
2024-09-30,26.179931365648443,63.62287653594774
2024-12-31,8.955910841584995,54.116635021839095
