date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,1801.62,968.462,63.681,0.0,730.906,0.0,0.0,0.0
2001-06-30,1445.785,883.851,119.6,0.0,434.208,0.0,0.0,0.0
2001-09-30,2315.458,910.759,112.329,0.0,1289.086,0.0,0.0,0.0
2001-12-31,1837.88,848.608,9.191,0.0,977.665,0.871,0.0,0.0
2002-03-31,1696.809,952.761,13.511,0.0,728.465,1.447,0.0,0.0
2002-06-30,2072.639,846.033,20.355,0.0,1203.461,1.5670000000000002,0.0,0.0
2002-09-30,2276.295,764.317,49.546,0.0,1459.139,1.198,0.0,0.0
2002-12-31,1676.215,708.412,2.366,0.0,962.588,1.831,0.0,0.0
2003-03-31,1733.561,891.238,38.2,0.0,798.142,1.289,0.0,0.0
2003-06-30,2028.374,796.308,30.874,0.0,1197.696,1.65,0.0,0.0
2003-09-30,2435.56,952.247,90.992,0.0,1387.72,0.79,0.0,0.0
2003-12-31,1746.342,791.41,15.958,0.0,892.745,40.52,0.0,0.0
2004-03-31,1811.81664,998.88998,11.41715,0.0,743.105,44.27,0.0,0.0
2004-06-30,2157.13668,864.36724,12.35664,0.0,1241.925,37.227,0.0,0.0
2004-09-30,2082.52788,857.19074,66.44174,0.0,1121.915,33.714,0.0,0.0
2004-12-31,1458.7328,899.55305,22.03947,0.0,490.564,42.467,0.0,0.0
2005-03-31,1716.7022,940.63953,19.62537,0.0,719.862,34.883,0.0,0.0
2005-06-30,1372.90349,408.29575,105.68766,0.0,800.487,46.197,0.0,0.0
2005-09-30,2015.23019,813.17462,120.31357,0.0,1042.805,35.001,0.0,0.018
2005-12-31,1415.93313,834.2371,25.31939,0.0,511.412,42.023,0.0,0.003
2006-03-31,1599.64192,864.86925,6.61116,0.0,685.264,41.054,0.0,0.008
2006-06-30,1625.64623,652.25876,45.34469,0.0,890.663,36.337,0.0,0.013
2006-09-30,2388.03669,902.24599,175.18147,0.0,1277.694,31.907,0.0,0.018
2006-12-31,1518.91816,896.53699,38.67967,0.0,543.212,39.667,0.0,0.018
2007-03-31,1555.78394,750.48265,39.82285,0.0,675.515,41.281,0.0,0.01442
2007-06-30,1382.85279,712.97219,65.57314,0.0,565.159,38.046,0.0,0.00922
2007-09-30,2150.06015,881.57426,167.19967,0.0,1067.308,33.735,0.0,0.00274
2007-12-31,1047.90762,310.30446,78.4459,0.0,609.301,36.956,0.0,0.0
2008-03-31,1773.95406,985.42523,12.93908,0.0,722.31863,29.89834,0.0,12.13817
2008-06-30,1471.34268,813.03438,22.75478,0.0,592.21119,34.81377,0.0,7.21671
2008-09-30,2081.71426,905.60919,177.39111,0.0,964.1543,25.79705,0.0,7.93565
2008-12-31,1755.66054,956.41355,15.48424,0.0,714.42288,54.62685,0.0,4.91195
2009-03-31,1694.40391,902.83608,5.0437,0.0,709.87161,66.88387,0.0,4.31341
2009-06-30,1913.34141,700.88554,36.82402,0.0,1040.73811,123.83866,0.0,9.83498
2009-09-30,2579.91435,742.65277,21.3538,0.0,1707.68597,97.28595,0.0,10.02174
2009-12-31,2008.87134,870.97833,17.11228,0.0,974.15532,132.97252,0.0,12.92282
2010-03-31,1917.82363,990.77389,-0.8413600000000001,0.0,684.679,243.18612,0.0,0.0
2010-06-30,2070.37778,693.40728,15.18145,0.0,978.475,381.60834,0.0,0.0
2010-09-30,3184.88124,832.18725,109.80912,0.0,1893.154,348.71606,0.0,0.0
2010-12-31,2876.55349,781.8871,10.55657,0.0,1682.493,398.2391,0.0,0.0
2011-03-31,2516.93562,871.57713,1.74927,0.0,961.91,680.50169,0.0,0.0
2011-06-30,3361.11601,720.75031,2.25089,0.0,1883.296,754.10278,0.0,0.0
2011-09-30,3509.36995,658.39807,116.06159,0.0,2285.627,447.7002,0.0,0.0
2011-12-31,2611.46392,334.83955,9.2515,0.0,1477.331,785.99533,0.0,0.0
2012-03-31,2544.37222,631.70698,0.5817500000000001,0.0,1261.86045,648.23531,0.0,0.0
2012-06-30,2726.20968,584.3653,34.27555,0.0,1470.89192,635.80635,0.0,0.0
2012-09-30,3457.85735,856.31822,156.59992,0.0,1982.82041,459.65548,0.0,0.0
2012-12-31,2744.95773,846.36548,22.64352,0.0,1265.39223,610.15987,0.0,0.0
2013-03-31,2413.09397,825.51199,27.15845,0.0,854.86721,703.29301,0.0,0.0
2013-06-30,2183.73735,571.96605,16.76159,0.0,884.23121,709.43774,0.0,0.0
2013-09-30,2896.95522,761.5024,245.15065,0.0,1380.00734,508.04644,0.0,0.0
2013-12-31,2615.09995,690.403,213.13028,0.0,943.50324,766.92183,0.0,0.0
2014-03-31,2379.82929,747.68462,64.95052,0.0,890.33664,673.22611,0.0591,0.0
2014-06-30,2578.51928,670.57971,62.72501,0.0,1280.86238,563.47831,0.09742,0.0
2014-09-30,2973.43047,630.31172,186.30004,0.0,1714.22717,441.25115,0.16331,0.0
2014-12-31,3063.46074,640.6397,150.84169,0.0,1612.78809,658.33742,0.0949,0.0
2015-03-31,2457.35787,522.92501,138.64923,0.0,1121.41687,662.80356,0.10357,0.0
