date,coal,natural_gas
2001-03-31,0.0,0.04
2001-06-30,0.0,0.06
2001-09-30,0.0,0.007
2001-12-31,0.0,0.01
2002-03-31,0.0,0.009
2002-06-30,0.0,0.008
2002-09-30,0.0,0.01
2002-12-31,0.0,0.011
2003-03-31,0.0,0.003
2003-06-30,0.0,0.007
2003-09-30,0.0,0.008
2003-12-31,0.0,0.012
2004-03-31,0.0,0.00453
2004-06-30,0.0,0.02601
2004-09-30,0.0,0.01244
2004-12-31,0.0,0.00862
2005-03-31,0.0,0.00967
2005-06-30,0.0,0.00532
2005-09-30,0.0,0.00629
2005-12-31,0.0,0.00738
2006-03-31,0.0,0.00261
2006-06-30,0.0,0.00644
2006-09-30,0.0,0.01027
2006-12-31,0.0,0.01173
2007-03-31,0.0,0.0038
2007-06-30,0.0,0.00718
2007-09-30,0.0,0.00847
2007-12-31,0.0,0.007
2008-03-31,0.0,0.00478
2008-06-30,0.0,0.00653
2008-09-30,0.0,0.01138
2008-12-31,0.0,0.01522
2009-03-31,0.0,0.01564
2009-06-30,0.0,0.0161
2009-09-30,0.0,0.01639
2009-12-31,0.0,0.01598
2010-03-31,0.0,0.01478
2010-06-30,0.0,0.0122
2010-09-30,0.0,0.01321
2010-12-31,0.0,0.01559
2011-03-31,0.0,0.01403
2011-06-30,0.0,0.01357
2011-09-30,0.0,0.01182
2011-12-31,0.0,0.01038
2012-03-31,0.0,0.00997
2012-06-30,0.0,0.00964
2012-09-30,0.0,0.0084
2012-12-31,0.0,0.01032
2013-03-31,0.0,0.01297
2013-06-30,0.0,0.0095
2013-09-30,0.0,0.0098
2013-12-31,0.0,0.01206
2014-03-31,0.0,0.01063
2014-06-30,0.0,0.00615
2014-09-30,0.0,0.00869
2014-12-31,0.0,0.011
2015-03-31,0.0,0.0139
2015-06-30,0.0,0.01243
2015-09-30,0.0,0.00283
2015-12-31,0.0,0.00352
2016-03-31,0.0,0.01576
2016-06-30,0.0,0.0209
2016-09-30,0.0,0.03036
2016-12-31,0.0,0.02008
2017-03-31,0.0,0.03268
2017-06-30,0.0,0.00895
2017-09-30,0.0,0.01462
2017-12-31,0.0,0.02726
2018-03-31,0.0,0.03707
2018-06-30,0.0,0.01143
2018-09-30,0.0,0.01973
2018-12-31,0.0,0.02665
2019-03-31,0.0,0.04227
2019-06-30,0.0,0.01667
2019-09-30,0.0,0.01633
2019-12-31,0.0,0.0202
2020-03-31,0.0,0.02758
2020-06-30,0.0,0.02548
2020-09-30,0.0,0.03606
2020-12-31,0.0,0.01762
2021-03-31,0.0,0.03136
2021-06-30,0.0,0.01473
2021-09-30,0.0,0.03243
2021-12-31,0.0,0.04069
2022-03-31,0.0,0.0241919066525127
2022-06-30,0.0,0.0200931248313615
2022-09-30,0.0,0.0194673439599688
2022-12-31,0.0,0.0214550651226311
2023-03-31,0.0,0.0246252656953165
2023-06-30,0.0,0.0180119758169826
2023-09-30,0.0,0.0171668514890647
2023-12-31,0.0,0.0205110967062796
2024-03-31,0.0,0.0249657689228648
2024-06-30,0.0,0.0268404508253647
2024-09-30,0.0,0.026800280684364
2024-12-31,0.0,0.0250745871999624
