date,coal,natural_gas
2001-03-31,26.199,29.031
2001-06-30,17.521,29.225
2001-09-30,26.27,26.699
2001-12-31,28.688,18.637
2002-03-31,28.815,15.789
2002-06-30,13.115,6.164
2002-09-30,25.586,11.572
2002-12-31,32.411,15.642
2003-03-31,30.298,17.109
2003-06-30,26.556,5.901
2003-09-30,29.748,22.124
2003-12-31,30.884,19.75
2004-03-31,30.52703,17.85781
2004-06-30,21.8877,10.5678
2004-09-30,29.89575,25.54103
2004-12-31,29.26756,18.96206
2005-03-31,29.94943,18.70161
2005-06-30,21.7713,10.43374
2005-09-30,30.36761,24.54092
2005-12-31,29.86709,17.91186
2006-03-31,20.39587,9.24732
2006-06-30,2.04225,5.12501
2006-09-30,19.16399,28.24725
2006-12-31,26.83001,22.62744
2007-03-31,20.3169,10.53819
2007-06-30,18.89369,4.13646
2007-09-30,28.10688,23.71515
2007-12-31,27.16568,22.51846
2008-03-31,25.8608,23.13895
2008-06-30,10.62951,11.6488
2008-09-30,26.17052,27.65234
2008-12-31,30.82733,18.31866
2009-03-31,29.30327,19.10631
2009-06-30,4.74194,5.936
2009-09-30,24.72183,43.74438
2009-12-31,23.74554,29.62871
2010-03-31,28.37878,18.51919
2010-06-30,11.01305,12.52
2010-09-30,28.59982,34.93612
2010-12-31,26.38568,19.76157
2011-03-31,9.2119,7.98755
2011-06-30,0.46796,3.73777
2011-09-30,19.12577,15.40757
2011-12-31,28.08235,18.02633
2012-03-31,4.96437,14.9041
2012-06-30,0.36886,4.34577
2012-09-30,14.00514,15.99022
2012-12-31,23.11376,14.35224
2013-03-31,18.7135,18.30561
2013-06-30,1.6214400000000002,10.80822
2013-09-30,26.47277,34.70831
2013-12-31,27.94149,31.48835
2014-03-31,23.84953,23.8288
2014-06-30,4.68786,8.57217
2014-09-30,25.16994,35.27294
2014-12-31,22.35946,24.6912
2015-03-31,6.67091,12.83956
2015-06-30,8.40295,22.73062
2015-09-30,21.5426,37.91695
2015-12-31,21.64379,34.78918
2016-03-31,4.58694,24.28652
2016-06-30,2.40862,15.03679
2016-09-30,24.85372,36.3401
2016-12-31,21.38115,19.91722
2017-03-31,9.5043,19.80931
2017-06-30,0.44833,8.5981
2017-09-30,24.61938,35.30094
2017-12-31,27.20343,31.86542
2018-03-31,8.4309,18.81468
2018-06-30,1.34103,12.6961
2018-09-30,25.72042,42.64813
2018-12-31,25.64462,15.93586
2019-03-31,23.33015,26.8061
2019-06-30,4.37417,18.33988
2019-09-30,25.90946,48.15024
2019-12-31,27.19342,36.84744
2020-03-31,13.47248,34.76383
2020-06-30,0.22236,18.83433
2020-09-30,18.10061,35.3412
2020-12-31,27.60735,29.92717
2021-03-31,11.29956,31.75209
2021-06-30,1.38205,26.33481
2021-09-30,14.21377,42.15847
2021-12-31,10.01896,35.04836
2022-03-31,11.625159587619006,25.651540597936204
2022-06-30,0.6610524843162509,18.89961038754022
2022-09-30,16.526612266956562,38.44514650875799
2022-12-31,18.08432570817503,31.59161909158712
2023-03-31,10.984634931131351,23.43135142827394
2023-06-30,1.139298652932201,18.8147443214342
2023-09-30,16.04354908252401,38.9020719893348
2023-12-31,17.66614790506059,33.51812884619395
2024-03-31,9.01595767296867,32.19896281535315
2024-06-30,-2.4278895665438824,21.72520716573162
2024-09-30,14.047272529798658,39.02094559973568
2024-12-31,16.603199306799226,30.475052825859244
