date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,23074.804,22599.197,31.16,0.0,332.389,0.0,0.0,8.979
2001-06-30,20296.423,19865.637,34.509,0.0,297.796,0.0,0.0,12.936
2001-09-30,22060.499,21608.006,155.755,0.0,199.855,0.0,0.0,3.751
2001-12-31,16404.999,16141.564,54.441,0.0,121.903,0.0,0.0,0.671
2002-03-31,24036.411,23572.996,48.829,0.0,277.511,0.0,0.0,6.109
2002-06-30,22274.584,21763.444,65.573,0.0,328.593,0.0,0.0,5.079
2002-09-30,24027.149,23696.894,89.089,0.0,127.675,0.0,0.0,8.225
2002-12-31,24423.608,23917.982,37.65,0.0,331.958,9.023,0.0,2.936
2003-03-31,24640.63,24087.655,37.794,0.0,335.096,47.421,0.0,7.149
2003-06-30,23131.722,22556.138,52.052,0.0,370.471,40.649,0.0,7.896
2003-09-30,24004.414,23419.53,124.449,0.0,338.956,27.046,0.0,1.838
2003-12-31,22934.787,22405.66,63.543,0.0,311.506,54.646,0.0,4.376
2004-03-31,24242.84436,23640.02385,46.20245,0.0,356.14758,59.224,0.0,8.274000000000001
2004-06-30,20120.80524,19520.95272,109.83734,0.0,354.99929,35.701,0.0,0.534
2004-09-30,23757.65267,23368.97963,46.76117,0.0,239.01981,22.039,0.0,1.325
2004-12-31,21628.25943,21054.64143,52.50896,0.0,368.11233,44.227,0.0,4.691
2005-03-31,23223.00542,22554.52958,78.28125,0.0,450.18253,46.242,0.0,3.445
2005-06-30,21364.50777,20768.62187,53.43789,0.0,416.27246,35.957,0.0,1.87
2005-09-30,25836.07223,25379.17452,89.30625,0.0,287.45643,19.596,0.0,5.165
2005-12-31,23202.69989,22714.67739,66.06661,0.0,293.6546,52.097,0.0,1.448
2006-03-31,24917.37158,24310.8928,45.60036,0.0,430.70212,63.273,0.0,2.92488
2006-06-30,22250.4775,21695.21157,64.6778,0.0,399.60366,32.639,0.0,1.3808
2006-09-30,25290.45116,24695.19348,170.49961,0.0,349.26308,24.53,0.0,1.63545
2006-12-31,21357.50398,20772.02285,81.05874,0.0,392.86415,53.315,0.0,0.8332100000000001
2007-03-31,23568.31425,22886.45653,84.56883,0.0,475.93303,59.698,0.0,0.40799
2007-06-30,22396.17741,21877.44942,82.33977,0.0,326.44186,34.77,0.0,0.02016
2007-09-30,25281.85753,24890.79911,153.8714,0.0,152.79341,18.728,0.0,0.02199
2007-12-31,22686.75991,22211.55975,68.01424,0.0,299.2287,54.392,0.0,0.02047
2008-03-31,25595.09542,24980.71445,60.3151,0.0,436.75722,65.046,0.0,2.09128
2008-06-30,21951.05801,21380.07567,44.3908,0.0,405.15948,66.003,0.0,0.03861
2008-09-30,23534.92836,23214.88716,40.58352,0.0,170.01562,65.012,0.0,0.03898
2008-12-31,20042.01483,19537.80276,35.12064,0.0,236.10469,195.849,0.0,-0.35961
2009-03-31,19614.70813,18846.51405,32.68868,0.0,451.27045,240.032,0.0,0.27587
2009-06-30,16730.77324,16002.70722,23.76954,0.0,499.917,151.506,0.0,-0.49548
2009-09-30,16683.7383,16235.41772,22.72208,0.0,250.61285,126.674,0.0,0.18721
2009-12-31,17753.29464,16995.26079,30.25489,0.0,444.12671,224.227,0.0,-0.33993
2010-03-31,22192.60267,21356.76623,15.39577,0.0,514.39931,256.074,0.0,0.10992
2010-06-30,20523.85465,19811.67927,20.51192,0.0,420.84371,220.137,0.0,0.11352
2010-09-30,20878.6211,20442.54225,78.84454,0.0,163.20236,148.107,0.0,0.26709
2010-12-31,17193.86882,16536.5753,24.84906,0.0,268.91562,314.854,0.0,0.12733
2011-03-31,20312.11358,19437.30215,18.13936,0.0,449.22727,326.349,0.0,1.72979
2011-06-30,19251.31151,18462.25478,85.15733,0.0,428.38163,225.235,0.0,2.39294
2011-09-30,22702.26876,22150.80127,139.75454,0.0,190.94805,172.84031,0.0,2.63517
2011-12-31,16733.92972,15913.74916,8.41327,0.0,384.55204,378.088,0.0,2.7133000000000003
2012-03-31,16770.9835,15652.4236,43.06123,0.0,545.72217,484.052,0.0,2.63689
2012-06-30,16630.09872,15853.39668,66.83462,0.0,383.42135,279.603,0.0,2.59614
2012-09-30,20337.27999,19811.02021,98.24814,0.0,191.64351,190.579,0.0,2.50014
2012-12-31,19675.04249,18950.58807,34.75024,0.0,310.65297,331.79,0.0,2.8058
2013-03-31,20205.2964,19112.72965,52.35845,0.0,501.39569,502.084,0.0,1.01175
2013-06-30,16120.33162,15168.25221,69.42087,0.0,487.34332,352.61,0.0,0.98588
2013-09-30,19815.22136,19068.38666,125.00565,0.0,404.54804,164.04,0.0,0.95039
2013-12-31,19722.21726,18934.98992,22.85441,0.0,345.48897,367.782,0.0,1.051
2014-03-31,23262.89324,22089.91988,203.11576,0.0,423.09721,479.325,0.74831,1.22564
2014-06-30,18108.55098,17389.44412,65.66083,0.0,304.2987,305.331,1.08964,1.29831
2014-09-30,20414.78969,19800.19886,200.01909,0.0,172.83279,207.241,1.08076,1.00128
2014-12-31,19273.34277,18235.08225,184.50603,0.0,341.74529,459.486,0.7232000000000001,1.08979
2015-03-31,21861.89573,20828.94787,100.83954,0.0,407.24695,476.173,0.91603,1.08139
2015-06-30,15841.05582,14776.94337,347.11092,0.0,356.78978,315.39,1.33422,1.18197
2015-09-30,19736.36342,18688.71738,568.43034,0.0,259.72914,179.688,1.33502,1.3928
2015-12-31,14855.95393,13761.48432,287.24921,0.0,361.27713,404.981,0.8945400000000001,1.32345
2016-03-31,19198.39141,18066.81559,162.88036,0.0,477.57064,464.474,1.10541,-3.72914
2016-06-30,17607.39396,16407.22987,406.4346,0.0,470.3767,286.419,1.71253,-3.07531
2016-09-30,20936.56215,20083.70379,325.52657,0.0,300.56999,193.548,1.69723,-2.88423
2016-12-31,18200.62005,16955.21175,329.72514,0.0,389.72968,487.713,1.146,-2.59234
2017-03-31,18217.19873,17039.11714,188.04783,0.0,485.20345,468.25611,1.55478,-3.357
2017-06-30,17711.65915,16373.38151,280.04578,0.0,553.17276,468.88212,2.33901,-3.694
2017-09-30,20287.60237,19035.3225,604.90195,0.0,331.19063,282.44482,2.38219,-3.289
2017-12-31,17140.61992,15901.18832,453.73218,0.0,288.92517,462.75795,1.62309,-3.406
2018-03-31,17116.56639,15974.61533,184.10052,0.0,377.99669,524.99671,1.94944,-3.35101
2018-06-30,16104.1418,14835.78185,321.40076,0.0,433.4908,470.95099,2.82029,-3.20056
2018-09-30,19417.27322,18079.61126,563.92461,0.0,437.48377,303.87454,2.84922,-3.11132
2018-12-31,14611.04337,13148.827,350.96454,0.0,598.67174,470.16177,1.92408,-1.89512
2019-03-31,16315.28474,14998.15554,243.88375,0.0,604.56387,435.06197,2.45533,-1.74504
2019-06-30,15217.87352,13780.22167,438.5437,0.0,513.04645,444.2047,3.59019,-1.71008
2019-09-30,18353.07741,16859.725,869.68507,0.0,270.55628,304.7409,3.696,-1.46088
2019-12-31,14039.403,12543.52692,691.24113,0.0,317.84441,447.09042,2.62817,-1.502
2020-03-31,13022.32498,11381.74122,427.37006,0.0,587.85608,566.38,3.17382,-2.20983
2020-06-30,13365.48952,11583.67828,755.16906,0.0,463.66566,532.59,4.60286,-2.35924
2020-09-30,17033.54443,15649.10682,821.89585,0.0,262.25338,251.349,4.53317,-3.04025
2020-12-31,13240.17418,11601.87175,772.23801,0.0,278.24989,547.484,3.06289,-2.72468
2021-03-31,17592.80313,16205.81064,412.62591,0.0,394.52948,531.158,3.90314,-2.08473
2021-06-30,16316.71919,14766.87672,772.98301,0.0,366.35367,359.865,6.51522,-2.62808
2021-09-30,19050.72443,17664.18297,706.49726,0.0,374.71204,253.215,6.82677,-2.81009
2021-12-31,12670.31264,10975.95375,775.03886,0.0,380.58677,479.898,4.78988,-2.40883
2022-03-31,16844.899089856975,15192.977306347651,605.8062876900558,0.0,505.9775315524199,575.3629503533174,4.767658980889557,-3.053776682582084
2022-06-30,14578.527192895215,12958.498486691127,679.4637552411439,0.0,473.2268503930422,512.0773255597178,5.222669931314966,-3.231523567461054
2022-09-30,17108.261238067065,15583.508097706756,808.2581404070502,0.0,330.4488014139528,436.452716603447,5.336758611727679,-3.617107161313868
2022-12-31,14040.871064956922,12393.525367465563,719.1161255955817,0.0,414.8164073737889,564.5408711212706,5.087289148633758,-3.96720433495267
2023-03-31,16888.954585865617,15179.405617054204,660.0876573504743,0.0,507.9310004796856,589.9779684029656,5.361157742875404,-3.520842560351881
2023-06-30,14557.997768965914,12875.627968020151,732.6641338409524,0.0,469.1997389614502,537.4781308219855,5.735275330330257,-3.146658471283104
2023-09-30,17099.97311815265,15451.412974503935,913.241455790264,0.0,331.83693073429794,469.4506554398455,5.852354005562292,-3.7583513742737313
2023-12-31,13587.081352552392,11849.294919303233,786.1474012515296,0.0,434.1997496254701,586.7784639768728,5.657250112298527,-4.022990370539117
2024-03-31,14932.564795072036,13082.523812202253,737.1729657725771,0.0,539.2006356348415,647.8090893582125,5.867005306688595,-3.731600340958977
2024-06-30,12968.00152282956,11135.858747499438,850.4684398137351,0.0,502.32218207297495,564.4687390854261,6.428574793726573,-5.014526602909459
2024-09-30,15920.932161229024,14344.359179662752,856.6298295006961,0.0,341.8488389274139,469.132494680155,6.522187079916101,-5.120910166960472
2024-12-31,13437.373052986974,11650.594898760834,850.3071987799151,0.0,392.7467402304286,629.6480007008314,6.159249759687354,-5.241253973995908
