date,all_sources,coal,natural_gas,nuclear,hydro,wind,solar_all,other
2001-03-31,11861.191,11465.084,166.053,0.0,129.583,70.411,0.0,20.486
2001-06-30,10581.918,10077.116,121.238,0.0,297.068,52.088,0.0,22.283
2001-09-30,11014.193,10412.885,148.203,0.0,349.356,69.11,0.0,23.84
2001-12-31,11319.636,10834.225,156.348,0.0,103.104,173.55,0.0,41.3
2002-03-31,11281.51,10875.86,162.769,0.0,96.935,114.995,0.0,21.126
2002-06-30,9490.454,8991.994,158.034,0.0,199.223,104.198,0.0,21.699
2002-09-30,11520.544,10967.692,208.156,0.0,220.978,98.302,0.0,17.707
2002-12-31,11491.331,11087.615,184.122,0.0,66.477,129.836,0.0,16.016
2003-03-31,11462.781,11149.068,113.925,0.0,64.853,125.401,0.0,0.0
2003-06-30,9721.918,9381.718,49.756,0.0,207.968,67.008,0.0,0.0
2003-09-30,11252.093,10859.022,81.797,0.0,252.646,47.847,0.0,0.0
2003-12-31,11189.81,10951.645,34.717,0.0,68.088,126.223,0.0,0.0
2004-03-31,11448.6813,11049.7256,22.31671,0.0,148.28676,186.094,0.0,26.67501
2004-06-30,9933.05125,9568.08263,24.4978,0.0,148.28676,149.375,0.0,26.67501
2004-09-30,11784.28976,11470.54182,18.66742,0.0,148.28676,107.84,0.0,26.67501
2004-12-31,11641.58214,11257.39023,21.41556,0.0,148.28676,173.206,0.0,26.67501
2005-03-31,11192.75234,10869.41129,25.48616,0.0,81.49935,190.35864,0.0,15.64313
2005-06-30,10174.05887,9558.14516,74.57836,0.0,288.4641,162.23013,0.0,16.54601
2005-09-30,12219.56153,11463.71518,146.96975,0.0,354.47507,118.40421,0.0,18.10237
2005-12-31,11980.93424,11454.40399,77.94711,0.0,83.93648,246.27102,0.0,14.82847
2006-03-31,11852.14239,11266.9307,135.84632,0.0,87.70534,243.57388,0.0,12.01008
2006-06-30,9530.98675,8776.53549,117.88626,0.0,369.53619,163.06208,0.0,12.06575
2006-09-30,12205.15301,11582.28408,119.74749,0.0,316.22628,106.56439,0.0,12.14539
2006-12-31,11812.0877,11266.07643,127.79005,0.0,69.84821,245.86064,0.0,12.81085
2007-03-31,11022.22962,10415.92825,180.32093,0.0,67.58574,241.62897,0.0,17.5649
2007-06-30,10407.25528,9773.71192,137.90063,0.0,258.99168,138.74416,0.0,13.22022
2007-09-30,12218.66208,11538.06882,130.87042,0.0,337.12855,115.59993,0.0,17.35677
2007-12-31,11985.33941,11399.10023,144.93388,0.0,65.71805,258.90794,0.0,20.89178
2008-03-31,12031.01364,11358.23413,150.45057,0.0,165.48347,230.13982,0.0,18.59511
2008-06-30,10206.63593,9572.47079,114.68756,0.0,271.72183,150.84907,0.0,17.4981
2008-09-30,12299.20228,11724.53174,103.98163,0.0,241.15931,144.01717,0.0,21.79118
2008-12-31,11963.59648,11152.66645,125.55902,0.0,156.91038,437.53595,0.0,9.49308
2009-03-31,12217.92481,11161.95658,151.3528,0.0,206.63126,605.95148,0.0,5.26709
2009-06-30,8905.12297,7960.68622,118.83551,0.0,318.07027,404.5428,0.0,15.72889
2009-09-30,11910.60252,11162.88704,82.52399,0.0,247.99256,327.91878,0.0,21.60573
2009-12-31,12995.56217,11668.73651,135.30156,0.0,193.8779,887.79151,0.0,17.01174
2010-03-31,12329.26139,11255.42418,137.43091,0.0,92.66994,735.47146,0.0,16.72665
2010-06-30,10545.68333,9139.93559,96.65636,0.0,444.66759,769.97569,0.0,16.24138
2010-09-30,12318.40663,11124.39495,97.5782,0.0,414.19181,586.68254,0.0,18.5075
2010-12-31,12925.90249,11466.76872,127.31779,0.0,72.35766,1154.66335,0.0,16.38141
2011-03-31,12141.52173,10198.25914,145.66775,0.0,174.47158,1505.50515,0.0,14.19963
2011-06-30,10518.28828,8687.16666,109.05073,0.0,526.33801,1104.61083,0.0,11.85606
2011-09-30,12089.93865,10846.47684,81.18451,0.0,454.80295,639.86841,0.0,19.26526
2011-12-31,12888.72219,11229.54606,123.02715,0.0,68.11747,1361.88361,0.0,16.78567
2012-03-31,13089.94463,11238.99543,143.12193,0.0,101.82176,1492.0443,0.0,16.28731
2012-06-30,10157.83428,8611.29786,127.61474,0.0,378.28572,944.38894,0.0,16.05092
2012-09-30,12648.01656,11542.93389,110.70034,0.0,345.43385,559.2343,0.0,16.42333
2012-12-31,13692.81075,12018.53891,131.47781,0.0,67.92866,1373.43948,0.0,18.23421
2013-03-31,13483.71441,11743.16062,148.51754,0.0,80.62688,1404.3751,0.0,14.94058
2013-06-30,11885.26328,10439.31845,128.00782,0.0,247.9666,973.72567,0.0,13.71459
2013-09-30,13377.00935,12266.36167,100.84362,0.0,310.26857,620.1132,0.0,20.62722
2013-12-31,13737.07836,11987.8379,135.06969,0.0,72.01612,1435.07004,0.0,19.99782
2014-03-31,13376.14569,11416.61711,155.82667,0.0,89.30224,1582.75531,0.43766,18.06486
2014-06-30,11010.65158,9528.82058,111.58194,0.0,330.18704,941.03264,0.7036,16.72618
2014-09-30,12739.07317,11564.35713,117.29431,0.0,365.79858,586.28094,0.74282,19.80417
2014-12-31,12570.31293,10898.85622,172.41849,0.0,83.4223,1295.68812,0.49043,19.45771
2015-03-31,12405.89787,10837.0013,151.2991,0.0,91.6583,1197.45127,0.48647,19.26421
2015-06-30,11488.14312,10216.77148,160.38472,0.0,331.53062,662.96326,0.80732,16.45881
2015-09-30,12840.78667,11484.60512,210.25026,0.0,343.03255,666.13465,0.86819,21.73301
2015-12-31,12231.69144,10552.8114,200.37028,0.0,102.03954,1230.15883,0.0,20.31636
2016-03-31,11888.00976,9967.06779,193.37996,0.0,97.92701,1491.05342,0.6142700000000001,17.23395
2016-06-30,9708.52672,8129.11045,227.76584,0.0,445.16373,767.34352,1.02547,15.37273
2016-09-30,12902.59274,11575.72518,152.70714,0.0,350.92674,758.07353,1.07997,16.55557
2016-12-31,12157.50092,10354.9705,214.28967,0.0,79.47072,1372.86754,0.69149,15.85129
2017-03-31,11804.74049,10027.72414,181.41045,0.0,262.69902,1204.596,0.0,17.11086
2017-06-30,9911.00222,8228.41857,180.85343,0.0,303.27172,1095.90657,0.0,4.78298
2017-09-30,13168.67084,11798.64147,199.47707,0.0,304.55259,783.87068,0.0,5.02073
2017-12-31,11857.4324,10013.78232,217.24786,0.0,253.10027,1236.28174,0.0,19.0157
2018-03-31,11670.12651,9978.16282,202.56427,0.0,241.97575,1109.09433,1.08249,21.18437
2018-06-30,9672.67948,7979.89924,203.89856,0.0,285.4196,1085.10471,1.87549,22.19123
2018-09-30,12545.2813,11079.79085,241.40397,0.0,254.82648,858.60129,2.01037,21.80804
2018-12-31,12224.04866,10641.43412,248.25551,0.0,193.47988,1004.35769,2.17934,20.0828
2019-03-31,11679.84955,10002.07052,247.98829,0.0,228.45378,1063.42992,33.3394,20.08554
2019-06-30,8443.63744,6748.23811,225.84906,0.0,283.22583,1037.81019,61.15431,14.86479
2019-09-30,11319.39408,9675.11166,241.01229,0.0,287.63158,980.66985,65.44783,19.1615
2019-12-31,10702.77528,8950.40789,314.40417,0.0,193.11582,1080.90804,29.4073,21.37577
2020-03-31,10318.60756,8105.48864,351.6329,0.0,239.79308,1454.29082,37.99937,20.89893
2020-06-30,8983.03518,7252.32915,258.2467,0.0,308.7666,973.55375,64.65364,21.57162
2020-09-30,10862.29727,9043.38854,467.98145,0.0,293.75316,892.42094,45.96458,15.50438
2020-12-31,11847.04941,8957.89726,295.83608,0.0,243.68516,2192.3695,29.70725,20.79606
2021-03-31,10921.95074,7906.66491,290.72094,0.0,272.94119,2277.84766,37.48294,20.45053
2021-06-30,10027.72793,7404.55698,430.3393,0.0,256.88782,1751.37718,65.79987,19.85427
2021-09-30,11825.81557,9577.37721,469.50988,0.0,216.01533,1401.04269,62.98864,19.98612
2021-12-31,10875.17634,7096.28744,351.90491,0.0,244.14732,3018.38704,30.60643,23.74584
2022-03-31,10903.087360277095,8337.389139538798,338.2325192538342,0.0,188.27830725035844,1753.32633429899,23.649636471190803,16.816120582350965
2022-06-30,9036.20317874392,6487.717691506961,326.0072652153548,0.0,363.6715010622096,1551.3549100350876,27.43463784065438,15.676321487966524
2022-09-30,11016.02760920056,8607.51029689905,343.9338904896245,0.0,366.0912651233329,1398.48392732243,27.3884644580398,17.927481354395734
2022-12-31,10842.207624843264,8174.176970703895,353.68748812556146,0.0,166.1603294970932,1815.4266712050328,22.978145153932125,18.8252635148259
2023-03-31,10496.858782014606,7842.376726194016,365.8865698910157,0.0,179.8639538181792,1800.9215434751738,25.170380794922416,15.556441928585564
2023-06-30,8735.893124136463,6099.878332555527,342.46199519951824,0.0,378.5805441562468,1628.5171754544258,28.63233368572542,13.443861515173747
2023-09-30,10568.831437800747,8020.706697859368,359.94636381785654,0.0,391.3654062800743,1494.9376815416954,29.94237100913164,16.888170039931566
2023-12-31,10375.426331997607,7735.920934413138,379.2704661943207,0.0,153.1236506383657,1781.7931308334034,24.8455899500966,17.330420037398447
2024-03-31,10287.08272557918,7389.831918161235,376.2578751204125,0.0,218.32338149098115,1979.030016373004,27.52357982753872,19.911681334760644
2024-06-30,8354.191107032377,5666.403215206021,373.9436890256191,0.0,353.94252917093496,1652.3310270112636,32.182876026177695,19.977866347868027
2024-09-30,10538.54670611173,7989.9452976865905,397.3255929515637,0.0,331.5923219275977,1516.806907206942,29.284295666377584,20.423905606396367
2024-12-31,10598.912907060228,7522.122590117313,382.9248648255824,0.0,208.3093275015491,2162.416819015317,26.115062937856813,21.317490936271373
