ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-145.56350373941976,208.50860908672792,271.88495371432174,-145.56350373941976,-145.56350373941976,386.97950178036893,386.97950178036893,386.97950178036893,386.97950178036893,386.97950178036893,386.97950178036893,0.0,0.0,0.0,241.41599804094918,304.852
2001-06-30,-146.16277717497724,191.1288271646174,255.20770496479847,-146.16277717497724,-146.16277717497724,371.86913412435325,371.86913412435325,371.86913412435325,371.86913412435325,371.86913412435325,371.86913412435325,0.0,0.0,0.0,225.70635694937602,302.416
2001-09-30,-146.7686360329035,292.1793492993207,355.6261127392733,-146.7686360329035,-146.7686360329035,470.11377017615223,470.11377017615223,470.11377017615223,470.11377017615223,470.11377017615223,470.11377017615223,0.0,0.0,0.0,323.34513414324874,336.989
2001-12-31,-147.37449489082974,235.98301566565286,300.3832350064146,-147.37449489082974,-147.37449489082974,415.1873557354247,415.1873557354247,415.1873557354247,415.1873557354247,415.1873557354247,415.1873557354247,0.0,0.0,0.0,267.812860844595,252.999
2002-03-31,-147.96718290978433,199.64733217008484,265.60433689530817,-147.96718290978433,-147.96718290978433,381.17920535207986,381.17920535207986,381.17920535207986,381.17920535207986,381.17920535207986,381.17920535207986,0.0,0.0,0.0,233.21202244229553,220.084
2002-06-30,-148.56645635117175,183.99989384890492,245.28484027985075,-148.56645635117175,-148.56645635117175,362.58623154357366,362.58623154357366,362.58623154357366,362.58623154357366,362.58623154357366,362.58623154357366,0.0,0.0,0.0,214.0197751924019,210.628
2002-09-30,-149.17231520599537,286.8307312509927,349.34906410264784,-149.17231520599537,-149.17231520599537,466.6017224590774,466.6017224590774,466.6017224590774,466.6017224590774,466.6017224590774,466.6017224590774,0.0,0.0,0.0,317.429407253082,309.783
2002-12-31,-149.778174060819,233.55567668778258,297.2077168570721,-149.778174060819,-149.778174060819,413.564069607485,413.564069607485,413.564069607485,413.564069607485,413.564069607485,413.564069607485,0.0,0.0,0.0,263.785895546666,225.048
2003-03-31,-150.37086207097255,191.83459990271032,256.5469346836143,-150.37086207097255,-150.37086207097255,373.1971859810167,373.1971859810167,373.1971859810167,373.1971859810167,373.1971859810167,373.1971859810167,0.0,0.0,0.0,222.82632391004412,206.743
2003-06-30,-150.97013549158135,169.7670158418198,231.07315345770414,-150.97013549158135,-150.97013549158135,352.30813634506706,352.30813634506706,352.30813634506706,352.30813634506706,352.30813634506706,352.30813634506706,0.0,0.0,0.0,201.3380008534857,182.359
2003-09-30,-151.57599433439458,280.4413391048795,342.1565040645645,-151.57599433439458,-151.57599433439458,461.56542708592474,461.56542708592474,461.56542708592474,461.56542708592474,461.56542708592474,461.56542708592474,0.0,0.0,0.0,309.98943275153016,300.998
