ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,210.4153689739591,-0.11459756749687876,14.441030950445237,210.4153689739591,210.4153689739591,-203.82915434105254,-203.82915434105254,-203.82915434105254,-203.82915434105254,-203.82915434105254,-203.82915434105254,0.0,0.0,0.0,6.586214632906547,10.24
2001-06-30,210.73198660897077,-3.7602988280989558,11.23011895527899,210.73198660897077,210.73198660897077,-207.13955257901782,-207.13955257901782,-207.13955257901782,-207.13955257901782,-207.13955257901782,-207.13955257901782,0.0,0.0,0.0,3.5924340299529547,10.411
2001-09-30,211.0520835586529,1.3419019776220646,16.12821798816306,211.0520835586529,211.0520835586529,-202.24100341153,-202.24100341153,-202.24100341153,-202.24100341153,-202.24100341153,-202.24100341153,0.0,0.0,0.0,8.811080147122908,15.865
2001-12-31,211.37218050833502,-3.945264211409278,11.104102306338001,211.37218050833502,211.37218050833502,-207.7781717118234,-207.7781717118234,-207.7781717118234,-207.7781717118234,-207.7781717118234,-207.7781717118234,0.0,0.0,0.0,3.5940087965116163,9.507
2002-03-31,211.68531882919086,-0.010850312586136251,14.42137868408273,211.68531882919086,211.68531882919086,-204.28050605734234,-204.28050605734234,-204.28050605734234,-204.28050605734234,-204.28050605734234,-204.28050605734234,0.0,0.0,0.0,7.404812771848526,9.029
2002-06-30,212.00193646472286,-3.362453175197876,11.660781516971,212.00193646472286,212.00193646472286,-208.00682038091418,-208.00682038091418,-208.00682038091418,-208.00682038091418,-208.00682038091418,-208.00682038091418,0.0,0.0,0.0,3.995116083808682,10.142
2002-09-30,212.3220334147068,2.676498439758236,17.243857674230668,212.3220334147068,212.3220334147068,-202.34023654405183,-202.34023654405183,-202.34023654405183,-202.34023654405183,-202.34023654405183,-202.34023654405183,0.0,0.0,0.0,9.98179687065496,17.395
2002-12-31,212.64213036469073,-0.9437475654463152,13.562312633894775,212.64213036469073,212.64213036469073,-206.47090296632265,-206.47090296632265,-206.47090296632265,-206.47090296632265,-206.47090296632265,-206.47090296632265,0.0,0.0,0.0,6.1712273983680745,7.761
2003-03-31,212.9552686853272,2.4506459159446776,17.21117061285151,212.9552686853272,212.9552686853272,-203.56692860065166,-203.56692860065166,-203.56692860065166,-203.56692860065166,-203.56692860065166,-203.56692860065166,0.0,0.0,0.0,9.388340084675548,6.751
2003-06-30,213.2718863206188,-2.4827037004965797,12.529904395517326,213.2718863206188,213.2718863206188,-208.24005777574942,-208.24005777574942,-208.24005777574942,-208.24005777574942,-208.24005777574942,-208.24005777574942,0.0,0.0,0.0,5.03182854486937,7.204
2003-09-30,213.59198327058385,3.6911753300988295,18.964889392248896,213.59198327058385,213.59198327058385,-201.98051702776138,-201.98051702776138,-201.98051702776138,-201.98051702776138,-201.98051702776138,-201.98051702776138,0.0,0.0,0.0,11.611466242822473,11.331
2003-12-31,213.91208022054897,1.5498866274749707,15.989334003748331,213.91208022054897,213.91208022054897,-204.77953999856322,-204.77953999856322,-204.77953999856322,-204.77953999856322,-204.77953999856322,-204.77953999856322,0.0,0.0,0.0,9.13254022198575,8.271
2004-03-31,214.22869785552683,4.495864934101167,19.262104914161387,214.22869785552683,214.22869785552683,-202.21184221741754,-202.21184221741754,-202.21184221741754,-202.21184221741754,-202.21184221741754,-202.21184221741754,0.0,0.0,0.0,12.016855638109291,11.27566
2004-06-30,214.54531549050472,1.65359748149415,15.973925442322386,214.54531549050472,214.54531549050472,-205.6433565496886,-205.6433565496886,-205.6433565496886,-205.6433565496886,-205.6433565496886,-205.6433565496886,0.0,0.0,0.0,8.901958940816115,8.07026
2004-09-30,214.86541244074613,5.508868290009478,20.695097355637397,214.86541244074613,214.86541244074613,-201.68505327455992,-201.68505327455992,-201.68505327455992,-201.68505327455992,-201.68505327455992,-201.68505327455992,0.0,0.0,0.0,13.180359166186207,7.71487
