ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-13.812021621087958,84.48185003633225,100.62007606847922,-13.812021621087958,-13.812021621087958,106.36913107728971,106.36913107728971,106.36913107728971,106.36913107728971,106.36913107728971,106.36913107728971,0.0,0.0,0.0,92.55710945620174,87.752
2001-06-30,-13.985772316125672,81.24357936820434,97.71886341241536,-13.985772316125672,-13.985772316125672,103.41197129961357,103.41197129961357,103.41197129961357,103.41197129961357,103.41197129961357,103.41197129961357,0.0,0.0,0.0,89.4261989834879,84.038
2001-09-30,-14.161432359460504,98.61194907829315,114.99761016761882,-14.161432359460504,-14.161432359460504,121.46340121912009,121.46340121912009,121.46340121912009,121.46340121912009,121.46340121912009,121.46340121912009,0.0,0.0,0.0,107.30196885965958,94.785
2001-12-31,-14.337092402795339,85.25919167000525,101.62668283971524,-14.337092402795339,-14.337092402795339,108.25730946108071,108.25730946108071,108.25730946108071,108.25730946108071,108.25730946108071,108.25730946108071,0.0,0.0,0.0,93.92021705828537,84.201
2002-03-31,-14.508933748534265,85.92826147990516,101.88976591437206,-14.508933748534265,-14.508933748534265,107.95644774578739,107.95644774578739,107.95644774578739,107.95644774578739,107.95644774578739,107.95644774578739,0.0,0.0,0.0,93.44751399725313,90.896
2002-06-30,-14.682684442559177,82.11645037019667,99.04194429112296,-14.682684442559177,-14.682684442559177,105.2256590991658,105.2256590991658,105.2256590991658,105.2256590991658,105.2256590991658,105.2256590991658,0.0,0.0,0.0,90.54297465660662,93.371
2002-09-30,-14.858344484766233,97.59422619107207,113.9127298243071,-14.858344484766233,-14.858344484766233,120.76777465009582,120.76777465009582,120.76777465009582,120.76777465009582,120.76777465009582,120.76777465009582,0.0,0.0,0.0,105.90943016532958,104.436
2002-12-31,-15.034004526973286,85.51816716516392,101.71731308773995,-15.034004526973286,-15.034004526973286,108.68262780111355,108.68262780111355,108.68262780111355,108.68262780111355,108.68262780111355,108.68262780111355,0.0,0.0,0.0,93.64862327414026,98.675
2003-03-31,-15.205845872610624,85.71412945750906,102.12909406195958,-15.205845872610624,-15.205845872610624,109.20185101620457,109.20185101620457,109.20185101620457,109.20185101620457,109.20185101620457,109.20185101620457,0.0,0.0,0.0,93.99600514359395,92.549
2003-06-30,-15.37959656651633,83.11278800063506,99.3178411647917,-15.37959656651633,-15.37959656651633,106.9603923155538,106.9603923155538,106.9603923155538,106.9603923155538,106.9603923155538,106.9603923155538,0.0,0.0,0.0,91.58079574903748,89.944
2003-09-30,-15.555256608706715,96.06211539814558,112.36316153336388,-15.555256608706715,-15.555256608706715,120.0112447563375,120.0112447563375,120.0112447563375,120.0112447563375,120.0112447563375,120.0112447563375,0.0,0.0,0.0,104.45598814763079,101.454
2003-12-31,-15.7309166508971,85.37317742284434,101.40911822189132,-15.7309166508971,-15.7309166508971,109.01669107444272,109.01669107444272,109.01669107444272,109.01669107444272,109.01669107444272,109.01669107444272,0.0,0.0,0.0,93.28577442354562,101.674
2004-03-31,-15.904667344135893,80.02849060962585,96.94723482346438,-15.904667344135893,-15.904667344135893,104.44133215142631,104.44133215142631,104.44133215142631,104.44133215142631,104.44133215142631,104.44133215142631,0.0,0.0,0.0,88.53666480729042,93.04043
