ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-146.33891043710523,51.48852837651506,64.94599204209251,-146.33891043710523,-146.33891043710523,204.52420969177186,204.52420969177186,204.52420969177186,204.52420969177186,204.52420969177186,204.52420969177186,0.0,0.0,0.0,58.18529925466663,53.078
2001-06-30,-146.2844447200492,50.548864154475815,64.17351175267628,-146.2844447200492,-146.2844447200492,203.59323449201713,203.59323449201713,203.59323449201713,203.59323449201713,203.59323449201713,203.59323449201713,0.0,0.0,0.0,57.30878977196792,57.392
2001-09-30,-146.22938047862993,63.76186422924912,78.17489117161905,-146.22938047862993,-146.22938047862993,217.38283531898477,217.38283531898477,217.38283531898477,217.38283531898477,217.38283531898477,217.38283531898477,0.0,0.0,0.0,71.15345484035484,70.277
2001-12-31,-146.17431623721066,54.67089366025631,67.72708271282028,-146.17431623721066,-146.17431623721066,207.50825690216837,207.50825690216837,207.50825690216837,207.50825690216837,207.50825690216837,207.50825690216837,0.0,0.0,0.0,61.33394066495771,58.919
2002-03-31,-146.1204490435339,53.5948642591174,67.33646257930982,-146.1204490435339,-146.1204490435339,206.6591025624937,206.6591025624937,206.6591025624937,206.6591025624937,206.6591025624937,206.6591025624937,0.0,0.0,0.0,60.53865351895979,56.798
2002-06-30,-146.06598332548296,50.212307085329435,63.95086424020644,-146.06598332548296,-146.06598332548296,203.1221472837153,203.1221472837153,203.1221472837153,203.1221472837153,203.1221472837153,203.1221472837153,0.0,0.0,0.0,57.05616395823233,54.662
2002-09-30,-146.01091908404763,65.14349439011,78.03567480874733,-146.01091908404763,-146.01091908404763,217.51771904031438,217.51771904031438,217.51771904031438,217.51771904031438,217.51771904031438,217.51771904031438,0.0,0.0,0.0,71.50679995626675,58.692
2002-12-31,-145.9558548426123,54.98758964879874,68.04306061429959,-145.9558548426123,-145.9558548426123,207.61173182503356,207.61173182503356,207.61173182503356,207.61173182503356,207.61173182503356,207.61173182503356,0.0,0.0,0.0,61.65587698242126,61.572
2003-03-31,-145.90198764990382,55.74284605355,68.99227973415269,-145.90198764990382,-145.90198764990382,208.00966561316653,208.00966561316653,208.00966561316653,208.00966561316653,208.00966561316653,208.00966561316653,0.0,0.0,0.0,62.10767796326272,61.516
2003-06-30,-145.84752193343408,50.05990807721874,63.330507157511875,-145.84752193343408,-145.84752193343408,202.48126535918553,202.48126535918553,202.48126535918553,202.48126535918553,202.48126535918553,202.48126535918553,0.0,0.0,0.0,56.63374342575145,53.538
2003-09-30,-145.79245769260754,64.7847673379661,78.29827317161305,-145.79245769260754,-145.79245769260754,217.0196243926977,217.0196243926977,217.0196243926977,217.0196243926977,217.0196243926977,217.0196243926977,0.0,0.0,0.0,71.22716670009015,66.062
2003-12-31,-145.737393451781,54.529255059622976,68.55499511757436,-145.737393451781,-145.737393451781,207.20532351676388,207.20532351676388,207.20532351676388,207.20532351676388,207.20532351676388,207.20532351676388,0.0,0.0,0.0,61.46793006498288,65.349
2004-03-31,-145.6829277372611,49.48245220976776,62.8988703213408,-145.6829277372611,-145.6829277372611,201.60985804089202,201.60985804089202,201.60985804089202,201.60985804089202,201.60985804089202,201.60985804089202,0.0,0.0,0.0,55.92693030363091,56.8993
2004-06-30,-145.6284620227412,51.90562853768545,64.83782979541456,-145.6284620227412,-145.6284620227412,203.89448816384726,203.89448816384726,203.89448816384726,203.89448816384726,203.89448816384726,203.89448816384726,0.0,0.0,0.0,58.26602614110607,63.08129
2004-09-30,-145.57372643947946,64.30624333188563,77.72632183247644,-145.57372643947946,-145.57372643947946,216.61403532957448,216.61403532957448,216.61403532957448,216.61403532957448,216.61403532957448,216.61403532957448,0.0,0.0,0.0,71.04030889009502,72.77976
