ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,881.9068178856966,108.71083359060057,133.1999445824457,881.9068178856966,881.9068178856966,-761.3316725236314,-761.3316725236314,-761.3316725236314,-761.3316725236314,-761.3316725236314,-761.3316725236314,0.0,0.0,0.0,120.5751453620652,110.291
2001-06-30,881.6843158260526,125.7152373938029,149.8956651776776,881.6843158260526,881.6843158260526,-743.5587376116582,-743.5587376116582,-743.5587376116582,-743.5587376116582,-743.5587376116582,-743.5587376116582,0.0,0.0,0.0,138.1255782143944,134.538
2001-09-30,881.4593686888304,144.79613007016673,170.0519221436687,881.4593686888304,881.4593686888304,-724.3882727642294,-724.3882727642294,-724.3882727642294,-724.3882727642294,-724.3882727642294,-724.3882727642294,0.0,0.0,0.0,157.07109592460097,170.24
2001-12-31,881.234421551608,110.34353194044367,135.1300365969043,881.234421551608,881.234421551608,-759.0118184832417,-759.0118184832417,-759.0118184832417,-759.0118184832417,-759.0118184832417,-759.0118184832417,0.0,0.0,0.0,122.22260306836631,111.907
2002-03-31,881.0143645693731,107.08492947701006,131.59845823935623,881.0143645693731,881.0143645693731,-762.0054889520435,-762.0054889520435,-762.0054889520435,-762.0054889520435,-762.0054889520435,-762.0054889520435,0.0,0.0,0.0,119.00887561732964,130.843
2002-06-30,880.7918625095577,124.78684407829752,150.72490800228317,880.7918625095577,880.7918625095577,-742.436879814504,-742.436879814504,-742.436879814504,-742.436879814504,-742.436879814504,-742.436879814504,0.0,0.0,0.0,138.35498269505376,150.495
2002-09-30,880.5669153719845,144.98694231773882,172.00696896170575,880.5669153719845,880.5669153719845,-722.3332317457555,-722.3332317457555,-722.3332317457555,-722.3332317457555,-722.3332317457555,-722.3332317457555,0.0,0.0,0.0,158.23368362622898,177.935
2002-12-31,880.3419682344114,109.58290183824653,134.29898295285375,880.3419682344114,880.3419682344114,-758.9775120509142,-758.9775120509142,-758.9775120509142,-758.9775120509142,-758.9775120509142,-758.9775120509142,0.0,0.0,0.0,121.36445618349717,118.369
2003-03-31,880.1219112520029,109.99541764381249,134.18588843623073,880.1219112520029,880.1219112520029,-758.5808486461613,-758.5808486461613,-758.5808486461613,-758.5808486461613,-758.5808486461613,-758.5808486461613,0.0,0.0,0.0,121.5410626058416,132.665
2003-06-30,879.8994091921751,128.80392697911702,153.96995196063304,879.8994091921751,879.8994091921751,-738.3701371774843,-738.3701371774843,-738.3701371774843,-738.3701371774843,-738.3701371774843,-738.3701371774843,0.0,0.0,0.0,141.52927201469083,142.774
