ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-616.6662865710393,162.08930270573097,184.67273577377532,-616.6662865710393,-616.6662865710393,790.2457203416633,790.2457203416633,790.2457203416633,790.2457203416633,790.2457203416633,790.2457203416633,0.0,0.0,0.0,173.57943377062395,178.519
2001-06-30,-616.4526713574678,155.43568643885357,177.36718914110344,-616.4526713574678,-616.4526713574678,782.403628218494,782.403628218494,782.403628218494,782.403628218494,782.403628218494,782.403628218494,0.0,0.0,0.0,165.95095686102616,170.572
2001-09-30,-616.2367087239669,181.32671716118625,203.51049935609797,-616.2367087239669,-616.2367087239669,808.5806754881021,808.5806754881021,808.5806754881021,808.5806754881021,808.5806754881021,808.5806754881021,0.0,0.0,0.0,192.3439667641352,197.316
2001-12-31,-616.020746090466,164.94989219595232,186.23056901977776,-616.020746090466,-616.020746090466,791.0822760009866,791.0822760009866,791.0822760009866,791.0822760009866,791.0822760009866,791.0822760009866,0.0,0.0,0.0,175.06152991052056,171.002
2002-03-31,-615.8094782980038,166.48042566619566,187.65073398717806,-615.8094782980038,-615.8094782980038,792.9370516189373,792.9370516189373,792.9370516189373,792.9370516189373,792.9370516189373,792.9370516189373,0.0,0.0,0.0,177.1275733209335,161.159
2002-06-30,-615.5958630856254,160.79649985406593,183.2969731952475,-615.5958630856254,-615.5958630856254,787.1716827314876,787.1716827314876,787.1716827314876,787.1716827314876,787.1716827314876,787.1716827314876,0.0,0.0,0.0,171.57581964586223,164.485
2002-09-30,-615.3799004547758,185.496258363166,207.83881045216225,-615.3799004547758,-615.3799004547758,812.1260251875815,812.1260251875815,812.1260251875815,812.1260251875815,812.1260251875815,812.1260251875815,0.0,0.0,0.0,196.7461247328057,192.317
2002-12-31,-615.1639378239264,164.26028778205264,185.43795764110027,-615.1639378239264,-615.1639378239264,789.8694292901279,789.8694292901279,789.8694292901279,789.8694292901279,789.8694292901279,789.8694292901279,0.0,0.0,0.0,174.70549146620147,171.698
2003-03-31,-614.9526700328779,166.40486546119135,188.95224407882887,-614.9526700328779,-614.9526700328779,791.9282742728805,791.9282742728805,791.9282742728805,791.9282742728805,791.9282742728805,791.9282742728805,0.0,0.0,0.0,176.97560424000255,165.984
2003-06-30,-614.739054822892,163.14898261397548,186.21711023258368,-614.739054822892,-614.739054822892,789.8540574621003,789.8540574621003,789.8540574621003,789.8540574621003,789.8540574621003,789.8540574621003,0.0,0.0,0.0,175.11500263920834,167.667
2003-09-30,-614.5230921930162,186.91959863000682,208.08353058981524,-614.5230921930162,-614.5230921930162,812.4716487416199,812.4716487416199,812.4716487416199,812.4716487416199,812.4716487416199,812.4716487416199,0.0,0.0,0.0,197.94855654860373,185.957
2003-12-31,-614.3071295631404,163.23616180633172,186.36598690266555,-614.3071295631404,-614.3071295631404,789.1888127311178,789.1888127311178,789.1888127311178,789.1888127311178,789.1888127311178,789.1888127311178,0.0,0.0,0.0,174.88168316797737,178.44
2004-03-31,-614.0935143517643,159.009156603046,181.41081279034898,-614.0935143517643,-614.0935143517643,783.8377239272448,783.8377239272448,783.8377239272448,783.8377239272448,783.8377239272448,783.8377239272448,0.0,0.0,0.0,169.74420957548057,173.38787
2004-06-30,-613.8798991403881,150.79230474857022,173.15065686344258,-613.8798991403881,-613.8798991403881,775.5608471927407,775.5608471927407,775.5608471927407,775.5608471927407,775.5608471927407,775.5608471927407,0.0,0.0,0.0,161.6809480523525,162.93468
2004-09-30,-613.6639365092001,176.69480960786564,199.58182893542664,-613.6639365092001,-613.6639365092001,801.8557526258679,801.8557526258679,801.8557526258679,801.8557526258679,801.8557526258679,801.8557526258679,0.0,0.0,0.0,188.19181611666784,189.57769
2004-12-31,-613.4479738780119,168.21248685772937,190.29768233230178,-613.4479738780119,-613.4479738780119,792.8193835410641,792.8193835410641,792.8193835410641,792.8193835410641,792.8193835410641,792.8193835410641,0.0,0.0,0.0,179.3714096630522,192.90198
2005-03-31,-613.2367060866322,165.21468416385545,187.58501105992605,-613.2367060866322,-613.2367060866322,790.2457203418137,790.2457203418137,790.2457203418137,790.2457203418137,790.2457203418137,790.2457203418137,0.0,0.0,0.0,177.00901425518146,176.59273
2005-06-30,-613.0231471211888,158.40361373619754,180.17666083340893,-613.0231471211888,-613.0231471211888,782.4036282185531,782.4036282185531,782.4036282185531,782.4036282185531,782.4036282185531,782.4036282185531,0.0,0.0,0.0,169.38048109736428,175.77826
2005-09-30,-612.8072413539272,184.19737562574835,206.81145241971103,-612.8072413539272,-612.8072413539272,808.580675488047,808.580675488047,808.580675488047,808.580675488047,808.580675488047,808.580675488047,0.0,0.0,0.0,195.77343413411973,202.05475
2005-12-31,-612.5913959258259,167.2924464267947,189.13812350668627,-612.5913959258259,-612.5913959258259,791.0822760009627,791.0822760009627,791.0822760009627,791.0822760009627,791.0822760009627,791.0822760009627,0.0,0.0,0.0,178.49088007513683,184.97792
2006-03-31,-612.3802427896397,169.5795191707545,191.34720562253406,-612.3802427896397,-612.3802427896397,792.9370516190579,792.9370516190579,792.9370516190579,792.9370516190579,792.9370516190579,792.9370516190579,0.0,0.0,0.0,180.55680882941817,174.56039
2006-06-30,-612.166743507496,164.1248836161562,186.8189778139567,-612.166743507496,-612.166743507496,787.1716827315706,787.1716827315706,787.1716827315706,787.1716827315706,787.1716827315706,787.1716827315706,0.0,0.0,0.0,175.00493922407463,173.66775
2006-09-30,-611.9510502329622,189.83633426012128,211.3221227580209,-611.9510502329622,-611.9510502329622,812.126025187735,812.126025187735,812.126025187735,812.126025187735,812.126025187735,812.126025187735,0.0,0.0,0.0,200.17497495477278,193.91518
2006-12-31,-611.7353569584283,167.09204720124006,189.03383590279458,-611.7353569584283,-611.7353569584283,789.869429290107,789.869429290107,789.869429290107,789.869429290107,789.869429290107,789.869429290107,0.0,0.0,0.0,178.13407233167868,171.94647
