ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-120.14872079818714,81.9372328459424,91.30150756441682,-120.14872079818714,-120.14872079818714,206.7229406724282,206.7229406724282,206.7229406724282,206.7229406724282,206.7229406724282,206.7229406724282,0.0,0.0,0.0,86.57421987424105,85.784
2001-06-30,-120.1968335922612,69.04492227886706,78.22748597704724,-120.1968335922612,-120.1968335922612,194.0236666568148,194.0236666568148,194.0236666568148,194.0236666568148,194.0236666568148,194.0236666568148,0.0,0.0,0.0,73.82683306455361,74.013
2001-09-30,-120.24547509835804,82.512377185728,91.74352490117579,-120.24547509835804,-120.24547509835804,207.36116536117544,207.36116536117544,207.36116536117544,207.36116536117544,207.36116536117544,207.36116536117544,0.0,0.0,0.0,87.1156902628174,83.823
2001-12-31,-120.2941166044549,79.43751288564508,88.65410289168017,-120.2941166044549,-120.2941166044549,204.31215955880188,204.31215955880188,204.31215955880188,204.31215955880188,204.31215955880188,204.31215955880188,0.0,0.0,0.0,84.01804295434698,84.448
2002-03-31,-120.34170068632119,83.21784189594565,92.69989017722624,-120.34170068632119,-120.34170068632119,207.94778044633307,207.94778044633307,207.94778044633307,207.94778044633307,207.94778044633307,207.94778044633307,0.0,0.0,0.0,87.60607976001188,85.738
2002-06-30,-120.38981348020819,69.07051775217793,78.0322365828572,-120.38981348020819,-120.38981348020819,194.0744693572997,194.0744693572997,194.0744693572997,194.0744693572997,194.0744693572997,194.0744693572997,0.0,0.0,0.0,73.68465587709152,74.708
2002-09-30,-120.43845498531209,81.46269240963923,90.9699239428957,-120.43845498531209,-120.43845498531209,206.8102974970198,206.8102974970198,206.8102974970198,206.8102974970198,206.8102974970198,206.8102974970198,0.0,0.0,0.0,86.37184251170771,83.979
2002-12-31,-120.48709649041602,78.79215648883438,88.52227525318426,-120.48709649041602,-120.48709649041602,204.1575528498814,204.1575528498814,204.1575528498814,204.1575528498814,204.1575528498814,204.1575528498814,0.0,0.0,0.0,83.67045635946538,87.492
2003-03-31,-120.53468057149591,83.75049053421294,92.64213193377888,-120.53468057149591,-120.53468057149591,208.87215447154566,208.87215447154566,208.87215447154566,208.87215447154566,208.87215447154566,208.87215447154566,0.0,0.0,0.0,88.33747390004974,87.64
2003-06-30,-120.58279336481151,68.03637864659127,76.82475604431234,-120.58279336481151,-120.58279336481151,193.02580342880592,193.02580342880592,193.02580342880592,193.02580342880592,193.02580342880592,193.02580342880592,0.0,0.0,0.0,72.44301006399441,70.246
2003-09-30,-120.63143487014156,80.66359769767456,89.91698911689386,-120.63143487014156,-120.63143487014156,205.9781505955805,205.9781505955805,205.9781505955805,205.9781505955805,205.9781505955805,205.9781505955805,0.0,0.0,0.0,85.34671572543894,84.753
2003-12-31,-120.6800763754716,78.69941668265685,87.78364433244371,-120.6800763754716,-120.6800763754716,203.8535364592976,203.8535364592976,203.8535364592976,203.8535364592976,203.8535364592976,203.8535364592976,0.0,0.0,0.0,83.173460083826,84.873
2004-03-31,-120.72818916834781,79.92109670724004,88.87452996844846,-120.72818916834781,-120.72818916834781,205.19225670925593,205.19225670925593,205.19225670925593,205.19225670925593,205.19225670925593,205.19225670925593,0.0,0.0,0.0,84.46406754090812,80.6313
2004-06-30,-120.77630196122401,67.56540133931514,77.060445161622,-120.77630196122401,-120.77630196122401,192.8737172976259,192.8737172976259,192.8737172976259,192.8737172976259,192.8737172976259,192.8737172976259,0.0,0.0,0.0,72.09741533640188,74.1012
2004-09-30,-120.82494346668184,82.17795368477482,91.36364805779532,-120.82494346668184,-120.82494346668184,207.6357075578115,207.6357075578115,207.6357075578115,207.6357075578115,207.6357075578115,207.6357075578115,0.0,0.0,0.0,86.81076409112964,79.37485
2004-12-31,-120.87358497213967,79.0130586259487,88.03385817341966,-120.87358497213967,-120.87358497213967,204.3179704093113,204.3179704093113,204.3179704093113,204.3179704093113,204.3179704093113,204.3179704093113,0.0,0.0,0.0,83.44438543717163,79.48355
2005-03-31,-120.9211690535658,81.38825285924446,90.46000495194635,-120.9211690535658,-120.9211690535658,206.72294067247776,206.72294067247776,206.72294067247776,206.72294067247776,206.72294067247776,206.72294067247776,0.0,0.0,0.0,85.80177161891196,85.31656
2005-06-30,-120.96928184665302,68.53060833023159,77.4423720888324,-120.96928184665302,-120.96928184665302,194.02366665681413,194.02366665681413,194.02366665681413,194.02366665681413,194.02366665681413,194.02366665681413,0.0,0.0,0.0,73.05438481016111,74.9033
2005-09-30,-121.01792335175215,81.65065157714979,91.24898366099956,-121.01792335175215,-121.01792335175215,207.36116536112726,207.36116536112726,207.36116536112726,207.36116536112726,207.36116536112726,207.36116536112726,0.0,0.0,0.0,86.34324200937512,89.44592
2005-12-31,-121.06656485813608,78.61213623707916,88.08507312195856,-121.06656485813608,-121.06656485813608,204.3121595587858,204.3121595587858,204.3121595587858,204.3121595587858,204.3121595587858,204.3121595587858,0.0,0.0,0.0,83.24559470064972,89.53933
2006-03-31,-121.11414894046818,82.4536766735651,91.66340059757911,-121.11414894046818,-121.11414894046818,207.94778044637664,207.94778044637664,207.94778044637664,207.94778044637664,207.94778044637664,207.94778044637664,0.0,0.0,0.0,86.83363150590846,84.44636
2006-06-30,-121.1622617348262,68.22663089332863,78.00836667123491,-121.1622617348262,-121.1622617348262,194.07446935729527,194.07446935729527,194.07446935729527,194.07446935729527,194.07446935729527,194.07446935729527,0.0,0.0,0.0,72.91220762246907,72.78032
2006-09-30,-121.21093132689246,81.02757284652255,90.44187111096815,-121.21093132689246,-121.21093132689246,206.81029749705462,206.81029749705462,206.81029749705462,206.81029749705462,206.81029749705462,206.81029749705462,0.0,0.0,0.0,85.59936617016216,89.27521
2006-12-31,-121.2596009189587,78.31961795500956,87.38850390920979,-121.2596009189587,-121.2596009189587,204.1575528498985,204.1575528498985,204.1575528498985,204.1575528498985,204.1575528498985,204.1575528498985,0.0,0.0,0.0,82.89795193093981,76.37998
2007-03-31,-121.30721247641479,82.97707542564427,92.17240284789233,-121.30721247641479,-121.30721247641479,208.87215447165258,208.87215447165258,208.87215447165258,208.87215447165258,208.87215447165258,208.87215447165258,0.0,0.0,0.0,87.56494199523779,84.38984
2007-06-30,-121.35540222577474,66.90680442319922,76.07553721367968,-121.35540222577474,-121.35540222577474,193.02580342879378,193.02580342879378,193.02580342879378,193.02580342879378,193.02580342879378,193.02580342879378,0.0,0.0,0.0,71.67040120301904,77.43755
2007-09-30,-121.40412153281996,80.12032777126106,89.03956810403018,-121.40412153281996,-121.40412153281996,205.97815059557806,205.97815059557806,205.97815059557806,205.97815059557806,205.97815059557806,205.97815059557806,0.0,0.0,0.0,84.5740290627581,86.12004
2007-12-31,-121.4534663225547,78.01880451264837,86.97190542612358,-121.4534663225547,-121.4534663225547,203.85353645930599,203.85353645930599,203.85353645930599,203.85353645930599,203.85353645930599,203.85353645930599,0.0,0.0,0.0,82.40007013675128,82.05164
2008-03-31,-121.50227475587933,79.18362159507508,88.37961514452435,-121.50227475587933,-121.50227475587933,205.19225670922177,205.19225670922177,205.19225670922177,205.19225670922177,205.19225670922177,205.19225670922177,0.0,0.0,0.0,83.68998195334244,85.49133
2008-06-30,-121.55108318920394,66.49413515502405,76.18886556820343,-121.55108318920394,-121.55108318920394,192.87371729763058,192.87371729763058,192.87371729763058,192.87371729763058,192.87371729763058,192.87371729763058,0.0,0.0,0.0,71.32263410842664,73.01668
2008-09-30,-121.60232372111953,81.4037016456344,90.59681188390203,-121.60232372111953,-121.60232372111953,207.6357075578926,207.6357075578926,207.6357075578926,207.6357075578926,207.6357075578926,207.6357075578926,0.0,0.0,0.0,86.03338383677307,88.96415
2008-12-31,-121.65356425303513,78.43299437280128,87.21331636561904,-121.65356425303513,-121.65356425303513,204.31797040931139,204.31797040931139,204.31797040931139,204.31797040931139,204.31797040931139,204.31797040931139,0.0,0.0,0.0,82.66440615627626,89.01463
2009-03-31,-121.70369086034388,80.24519634083406,89.50986192827435,-121.70369086034388,-121.70369086034388,206.72294067243323,206.72294067243323,206.72294067243323,206.72294067243323,206.72294067243323,206.72294067243323,0.0,0.0,0.0,85.01924981208934,88.34479
2009-06-30,-121.88045472587272,67.64927902136276,76.59284828206896,-121.88045472587272,-121.88045472587272,194.0236666568226,194.0236666568226,194.0236666568226,194.0236666568226,194.0236666568226,194.0236666568226,0.0,0.0,0.0,72.14321193094987,79.65857
2009-09-30,-122.05916105146233,80.69359232663183,89.67115951373944,-122.05916105146233,-122.05916105146233,207.36116536118996,207.36116536118996,207.36116536118996,207.36116536118996,207.36116536118996,207.36116536118996,0.0,0.0,0.0,85.30200430972764,80.16792
2009-12-31,-122.23797793021075,77.28795188307828,86.75688304985829,-122.23797793021075,-122.23797793021075,204.31215955878275,204.31215955878275,204.31215955878275,204.31215955878275,204.31215955878275,204.31215955878275,0.0,0.0,0.0,82.074181628572,85.07765
2010-03-31,-122.41290748550813,80.94129383563791,90.01420275095634,-122.41290748550813,-122.41290748550813,207.94778044639176,207.94778044639176,207.94778044639176,207.94778044639176,207.94778044639176,207.94778044639176,0.0,0.0,0.0,85.53487296088363,87.4376
