ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-871.2670608099814,311.14311353532025,357.1815398571066,-871.2670608099814,-871.2670608099814,1204.8525355139498,1204.8525355139498,1204.8525355139498,1204.8525355139498,1204.8525355139498,1204.8525355139498,0.0,0.0,0.0,333.5854747039683,328.587
2001-06-30,-871.0328407962069,288.5295545369748,334.6788549402266,-871.0328407962069,-871.0328407962069,1183.280856563438,1183.280856563438,1183.280856563438,1183.280856563438,1183.280856563438,1183.280856563438,0.0,0.0,0.0,312.2480157672311,303.309
2001-09-30,-870.7960469361271,328.7604288219868,376.5993729582569,-870.7960469361271,-870.7960469361271,1222.9844023403612,1222.9844023403612,1222.9844023403612,1222.9844023403612,1222.9844023403612,1222.9844023403612,0.0,0.0,0.0,352.188355404234,330.667
2001-12-31,-870.5592530760474,304.9351347231474,350.883386724314,-870.5592530760474,-870.5592530760474,1198.2655275829195,1198.2655275829195,1198.2655275829195,1198.2655275829195,1198.2655275829195,1198.2655275829195,0.0,0.0,0.0,327.7062745068721,299.57
2002-03-31,-870.3276069092564,318.8915523980877,364.829135326658,-870.3276069092564,-870.3276069092564,1212.0039469726175,1212.0039469726175,1212.0039469726175,1212.0039469726175,1212.0039469726175,1212.0039469726175,0.0,0.0,0.0,341.6763400633612,310.677
2002-06-30,-870.0933868961674,290.1958306736986,336.49106083176883,-870.0933868961674,-870.0933868961674,1183.5398271487202,1183.5398271487202,1183.5398271487202,1183.5398271487202,1183.5398271487202,1183.5398271487202,0.0,0.0,0.0,313.44644025255275,323.849
2002-09-30,-869.8565930387816,331.9513760433047,379.4486790775481,-869.8565930387816,-869.8565930387816,1226.5420729751168,1226.5420729751168,1226.5420729751168,1226.5420729751168,1226.5420729751168,1226.5420729751168,0.0,0.0,0.0,356.6854799363351,353.494
2002-12-31,-869.6197991813956,301.7416514462212,350.00937311102535,-869.6197991813956,-869.6197991813956,1194.5177752696754,1194.5177752696754,1194.5177752696754,1194.5177752696754,1194.5177752696754,1194.5177752696754,0.0,0.0,0.0,324.89797608827985,323.439
2003-03-31,-869.3881530165615,323.2558900431767,372.0373616966635,-869.3881530165615,-869.3881530165615,1215.3450640287176,1215.3450640287176,1215.3450640287176,1215.3450640287176,1215.3450640287176,1215.3450640287176,0.0,0.0,0.0,345.95691101215607,334.513
2003-06-30,-869.153933004056,289.632712546668,333.7993092268987,-869.153933004056,-869.153933004056,1180.2402448643707,1180.2402448643707,1180.2402448643707,1180.2402448643707,1180.2402448643707,1180.2402448643707,0.0,0.0,0.0,311.0863118603147,313.338
2003-09-30,-868.9171391452592,336.957872100972,383.2339951789045,-868.9171391452592,-868.9171391452592,1229.5060606365123,1229.5060606365123,1229.5060606365123,1229.5060606365123,1229.5060606365123,1229.5060606365123,0.0,0.0,0.0,360.58892149125313,360.733
2003-12-31,-868.6803452864625,296.10882880928034,341.0333255993334,-868.6803452864625,-868.6803452864625,1186.3446468332152,1186.3446468332152,1186.3446468332152,1186.3446468332152,1186.3446468332152,1186.3446468332152,0.0,0.0,0.0,317.66430154675265,353.443
2004-03-31,-868.4461252783643,302.18734703869467,349.60708875031287,-868.4461252783643,-868.4461252783643,1193.908487181783,1193.908487181783,1193.908487181783,1193.908487181783,1193.908487181783,1193.908487181783,0.0,0.0,0.0,325.4623619034186,332.48381
2004-06-30,-868.2119052702661,287.85944411569125,333.2045248428678,-868.2119052702661,-868.2119052702661,1179.4768941260313,1179.4768941260313,1179.4768941260313,1179.4768941260313,1179.4768941260313,1179.4768941260313,0.0,0.0,0.0,311.2649888557652,316.98864
2004-09-30,-867.9755287841485,327.64531287100795,374.5394946410608,-867.9755287841485,-867.9755287841485,1218.8361705205614,1218.8361705205614,1218.8361705205614,1218.8361705205614,1218.8361705205614,1218.8361705205614,0.0,0.0,0.0,350.86064173641284,332.59401
2004-12-31,-867.7391522980307,306.18767333071486,352.1281688159614,-867.7391522980307,-867.7391522980307,1197.5622270056804,1197.5622270056804,1197.5622270056804,1197.5622270056804,1197.5622270056804,1197.5622270056804,0.0,0.0,0.0,329.82307470764965,322.85237
2005-03-31,-867.5079144311766,314.19093063055544,360.3712137583279,-867.5079144311766,-867.5079144311766,1204.8525355140098,1204.8525355140098,1204.8525355140098,1204.8525355140098,1204.8525355140098,1204.8525355140098,0.0,0.0,0.0,337.3446210828332,351.14336
2005-06-30,-867.2745448570392,292.89566347848603,340.28138791414966,-867.2745448570392,-867.2745448570392,1183.2808565635055,1183.2808565635055,1183.2808565635055,1183.2808565635055,1183.2808565635055,1183.2808565635055,0.0,0.0,0.0,316.00631170646625,311.27465
2005-09-30,-867.0386107820875,332.6181867708763,379.64820384024637,-867.0386107820875,-867.0386107820875,1222.984402340449,1222.984402340449,1222.984402340449,1222.984402340449,1222.984402340449,1222.984402340449,0.0,0.0,0.0,355.9457915583614,375.81146
2005-12-31,-866.8046881142691,307.40484842264783,354.47139763505976,-866.8046881142691,-866.8046881142691,1198.2655275829527,1198.2655275829527,1198.2655275829527,1198.2655275829527,1198.2655275829527,1198.2655275829527,0.0,0.0,0.0,331.4608394686836,353.61872
2006-03-31,-866.5758507218382,323.44636302115447,370.90788454974233,-866.5758507218382,-866.5758507218382,1212.0039469725884,1212.0039469725884,1212.0039469725884,1212.0039469725884,1212.0039469725884,1212.0039469725884,0.0,0.0,0.0,345.4280962507503,335.77381
2006-06-30,-866.3444706917137,294.42559059487513,339.2933415303105,-866.3444706917137,-866.3444706917137,1183.5398271487782,1183.5398271487782,1183.5398271487782,1183.5398271487782,1183.5398271487782,1183.5398271487782,0.0,0.0,0.0,317.19535645706446,314.55547
