ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,244.36476500135808,27.81164458957446,57.7865948061045,244.36476500135808,244.36476500135808,-201.40427423164695,-201.40427423164695,-201.40427423164695,-201.40427423164695,-201.40427423164695,-201.40427423164695,0.0,0.0,0.0,42.96049076971113,29.759
2001-06-30,244.73586348122083,44.00131350647885,72.86959011875285,244.73586348122083,244.73586348122083,-186.31972137096741,-186.31972137096741,-186.31972137096741,-186.31972137096741,-186.31972137096741,-186.31972137096741,0.0,0.0,0.0,58.41614211025342,43.537
2001-09-30,245.1110399663568,69.22666911904945,98.17103014441082,245.1110399663568,245.1110399663568,-161.28754648412655,-161.28754648412655,-161.28754648412655,-161.28754648412655,-161.28754648412655,-161.28754648412655,0.0,0.0,0.0,83.82349348223025,78.941
2001-12-31,245.4862164514927,25.679397688537055,54.77970321130127,245.4862164514927,245.4862164514927,-204.80721186335828,-204.80721186335828,-204.80721186335828,-204.80721186335828,-204.80721186335828,-204.80721186335828,0.0,0.0,0.0,40.67900458813443,38.973
2002-03-31,245.85323692636987,27.93764009541678,57.387194849510735,245.85323692636987,245.85323692636987,-202.53308303090682,-202.53308303090682,-202.53308303090682,-202.53308303090682,-202.53308303090682,-202.53308303090682,0.0,0.0,0.0,43.32015389546305,44.115
2002-06-30,246.2243354065234,42.6274266268741,72.14819382289093,246.2243354065234,246.2243354065234,-188.8837628060102,-188.8837628060102,-188.8837628060102,-188.8837628060102,-188.8837628060102,-188.8837628060102,0.0,0.0,0.0,57.34057260051321,54.477
2002-09-30,246.59951189237654,72.49304254099937,101.073720242171,246.59951189237654,246.59951189237654,-159.57873482627198,-159.57873482627198,-159.57873482627198,-159.57873482627198,-159.57873482627198,-159.57873482627198,0.0,0.0,0.0,87.02077706610456,82.554
2002-12-31,246.97468837822962,28.93457951672847,57.68638425991611,246.97468837822962,246.97468837822962,-203.26490868004745,-203.26490868004745,-203.26490868004745,-203.26490868004745,-203.26490868004745,-203.26490868004745,0.0,0.0,0.0,43.70977969818216,30.677
2003-03-31,247.3417088535207,31.141949059327526,59.64302538172654,247.3417088535207,247.3417088535207,-202.53717173663875,-202.53717173663875,-202.53717173663875,-202.53717173663875,-202.53717173663875,-202.53717173663875,0.0,0.0,0.0,44.80453711688193,37.606
2003-06-30,247.71280733375136,41.24980925171948,70.63086815667687,247.71280733375136,247.71280733375136,-191.19797495803655,-191.19797495803655,-191.19797495803655,-191.19797495803655,-191.19797495803655,-191.19797495803655,0.0,0.0,0.0,56.5148323757148,51.393
2003-09-30,248.08798381925928,76.26489281819332,105.6776402411215,248.08798381925928,248.08798381925928,-156.79598945189994,-156.79598945189994,-156.79598945189994,-156.79598945189994,-156.79598945189994,-156.79598945189994,0.0,0.0,0.0,91.29199436735934,88.292
2003-12-31,248.4631603047672,32.43148304016764,61.65005271851135,248.4631603047672,248.4631603047672,-201.32614888672092,-201.32614888672092,-201.32614888672092,-201.32614888672092,-201.32614888672092,-201.32614888672092,0.0,0.0,0.0,47.137011418046285,37.624
2004-03-31,248.83425878465306,35.41101702047667,64.31785791839121,248.83425878465306,248.83425878465306,-199.1525565041094,-199.1525565041094,-199.1525565041094,-199.1525565041094,-199.1525565041094,-199.1525565041094,0.0,0.0,0.0,49.68170228054365,43.25655
2004-06-30,249.20535726453892,50.82063005131098,80.36000576168105,249.20535726453892,249.20535726453892,-183.50885915439784,-183.50885915439784,-183.50885915439784,-183.50885915439784,-183.50885915439784,-183.50885915439784,0.0,0.0,0.0,65.69649811014108,61.1926
2004-09-30,249.58053374072858,71.4820686755305,102.37914353959883,249.58053374072858,249.58053374072858,-161.9204300421664,-161.9204300421664,-161.9204300421664,-161.9204300421664,-161.9204300421664,-161.9204300421664,0.0,0.0,0.0,87.66010369856218,78.55754
2004-12-31,249.95571021691828,29.098269969633634,58.68290354143938,249.95571021691828,249.95571021691828,-205.95004858549353,-205.95004858549353,-205.95004858549353,-205.95004858549353,-205.95004858549353,-205.95004858549353,0.0,0.0,0.0,44.00566163142474,38.48726
2005-03-31,250.32273068275603,34.33597278187469,63.39226361662344,250.32273068275603,250.32273068275603,-201.40427423165914,-201.40427423165914,-201.40427423165914,-201.40427423165914,-201.40427423165914,-201.40427423165914,0.0,0.0,0.0,48.91845645109689,38.9679
2005-06-30,250.69361793151998,49.84124024434543,78.8541682402853,250.69361793151998,250.69361793151998,-186.3197213709823,-186.3197213709823,-186.3197213709823,-186.3197213709823,-186.3197213709823,-186.3197213709823,0.0,0.0,0.0,64.37389656053767,67.23721
2005-09-30,251.06858086433633,75.80535205241374,104.74403479062684,251.06858086433633,251.06858086433633,-161.28754648412493,-161.28754648412493,-161.28754648412493,-161.28754648412493,-161.28754648412493,-161.28754648412493,0.0,0.0,0.0,89.7810343802114,103.33598
2005-12-31,251.44297263767024,32.677742352402205,61.383753196305896,251.44297263767024,251.44297263767024,-204.80721186334247,-204.80721186334247,-204.80721186334247,-204.80721186334247,-204.80721186334247,-204.80721186334247,0.0,0.0,0.0,46.635760774327764,51.70666
2006-03-31,251.80922545940996,34.14883954692624,64.28508322306041,251.80922545940996,251.80922545940996,-202.53308303090867,-202.53308303090867,-202.53308303090867,-202.53308303090867,-202.53308303090867,-202.53308303090867,0.0,0.0,0.0,49.27614242850129,53.81244
2006-06-30,252.17954775694676,48.858229676922754,78.22794045299719,252.17954775694676,252.17954775694676,-188.88376280603268,-188.88376280603268,-188.88376280603268,-188.88376280603268,-188.88376280603268,-188.88376280603268,0.0,0.0,0.0,63.29578495091408,87.05139
2006-09-30,252.5529911674065,78.01895307461372,109.00906403265019,252.5529911674065,252.5529911674065,-159.57873482624558,-159.57873482624558,-159.57873482624558,-159.57873482624558,-159.57873482624558,-159.57873482624558,0.0,0.0,0.0,92.97425634116092,101.38638
2006-12-31,252.92643457786625,35.03432430963086,65.30162602972213,252.92643457786625,252.92643457786625,-203.26490868002216,-203.26490868002216,-203.26490868002216,-203.26490868002216,-203.26490868002216,-203.26490868002216,0.0,0.0,0.0,49.661525897844086,57.27537
2007-03-31,253.29175965331595,36.08593904119948,65.28402065344119,253.29175965331595,253.29175965331595,-202.53717173663458,-202.53717173663458,-202.53717173663458,-202.53717173663458,-202.53717173663458,-202.53717173663458,0.0,0.0,0.0,50.75458791668137,58.68925
2007-06-30,253.66013053939136,48.16987427611474,77.45150119025185,253.66013053939136,253.66013053939136,-191.1979749580559,-191.1979749580559,-191.1979749580559,-191.1979749580559,-191.1979749580559,-191.1979749580559,0.0,0.0,0.0,62.46215558133545,72.90868
