ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,32.747071254531015,-9.804202180691536,2.2196960044469694,32.747071254531015,32.747071254531015,-36.61062176257637,-36.61062176257637,-36.61062176257637,-36.61062176257637,-36.61062176257637,-36.61062176257637,0.0,0.0,0.0,-3.863550508045357,1.051
2001-06-30,33.306906242581015,-4.929081079845564,6.640634608951217,33.306906242581015,33.306906242581015,-32.48520271783944,-32.48520271783944,-32.48520271783944,-32.48520271783944,-32.48520271783944,-32.48520271783944,0.0,0.0,0.0,0.8217035247415723,2.293
2001-09-30,33.872893263466736,3.195971385507762,16.330407521639998,33.872893263466736,33.872893263466736,-24.156645606289565,-24.156645606289565,-24.156645606289565,-24.156645606289565,-24.156645606289565,-24.156645606289565,0.0,0.0,0.0,9.71624765717717,6.088
2001-12-31,34.43888028435245,-7.252358566737301,5.0678943892646,34.43888028435245,34.43888028435245,-35.50683037614496,-35.50683037614496,-35.50683037614496,-35.50683037614496,-35.50683037614496,-35.50683037614496,0.0,0.0,0.0,-1.067950091792511,2.816
2002-03-31,34.99256323878953,-9.032411221186571,3.5650728536156735,34.99256323878953,34.99256323878953,-37.31120381699268,-37.31120381699268,-37.31120381699268,-37.31120381699268,-37.31120381699268,-37.31120381699268,0.0,0.0,0.0,-2.3186405782031514,6.876
2002-06-30,35.55239822605368,-2.8875860497926795,9.493626564170995,35.55239822605368,35.55239822605368,-32.03018696133043,-32.03018696133043,-32.03018696133043,-32.03018696133043,-32.03018696133043,-32.03018696133043,0.0,0.0,0.0,3.5222112647232535,12.941
2002-09-30,36.118385247090835,7.035772916632569,19.539234786287626,36.118385247090835,36.118385247090835,-22.790687306292735,-22.790687306292735,-22.790687306292735,-22.790687306292735,-22.790687306292735,-22.790687306292735,0.0,0.0,0.0,13.3276979407981,17.313
2002-12-31,36.68437226812798,-3.738905280878761,8.078974359155294,36.68437226812798,36.68437226812798,-34.960616363464474,-34.960616363464474,-34.960616363464474,-34.960616363464474,-34.960616363464474,-34.960616363464474,0.0,0.0,0.0,1.7237559046635056,2.111
2003-03-31,37.23805522349041,-6.495852124251872,5.420385915394061,37.23805522349041,37.23805522349041,-37.510305113384796,-37.510305113384796,-37.510305113384796,-37.510305113384796,-37.510305113384796,-37.510305113384796,0.0,0.0,0.0,-0.2722498898943826,1.9020000000000001
2003-06-30,37.797890212368856,0.1122116844369738,12.448204472413327,37.797890212368856,37.797890212368856,-31.513469647964627,-31.513469647964627,-31.513469647964627,-31.513469647964627,-31.513469647964627,-31.513469647964627,0.0,0.0,0.0,6.284420564404229,3.265
2003-09-30,38.36387723409212,10.44907059727705,22.27829990691885,38.36387723409212,38.36387723409212,-21.67010242658504,-21.67010242658504,-21.67010242658504,-21.67010242658504,-21.67010242658504,-21.67010242658504,0.0,0.0,0.0,16.693774807507083,7.891
2003-12-31,38.929864255815374,-1.4192948303841626,10.616752733223668,38.929864255815374,38.929864255815374,-34.29826663022183,-34.29826663022183,-34.29826663022183,-34.29826663022183,-34.29826663022183,-34.29826663022183,0.0,0.0,0.0,4.6315976255935425,1.219
