ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,103.07037614648948,-4.6224290329206985,5.234550869515886,103.07037614648948,103.07037614648948,-103.0923138201185,-103.0923138201185,-103.0923138201185,-103.0923138201185,-103.0923138201185,-103.0923138201185,0.0,0.0,0.0,-0.021937673629025767,1.581
2001-06-30,103.1804014108362,-5.406727417274199,3.6936242074502723,103.1804014108362,103.1804014108362,-104.09105765616317,-104.09105765616317,-104.09105765616317,-104.09105765616317,-104.09105765616317,-104.09105765616317,0.0,0.0,0.0,-0.910656245326976,2.3810000000000002
2001-09-30,103.29163574402192,-0.6161229612927622,8.74482031732937,103.29163574402192,103.29163574402192,-99.54855773982946,-99.54855773982946,-99.54855773982946,-99.54855773982946,-99.54855773982946,-99.54855773982946,0.0,0.0,0.0,3.743078004192455,4.674
2001-12-31,103.40287007720761,-6.17280344252884,2.874474128239856,103.40287007720761,103.40287007720761,-104.9582625519185,-104.9582625519185,-104.9582625519185,-104.9582625519185,-104.9582625519185,-104.9582625519185,0.0,0.0,0.0,-1.5553924747108852,2.057
2002-03-31,103.5116862723702,-4.084328191447021,5.088674219429627,103.5116862723702,103.5116862723702,-103.12079856129253,-103.12079856129253,-103.12079856129253,-103.12079856129253,-103.12079856129253,-103.12079856129253,0.0,0.0,0.0,0.3908877110776672,1.863
2002-06-30,103.62171153636794,-4.307100547705106,4.655028305844894,103.62171153636794,103.62171153636794,-103.75353540944496,-103.75353540944496,-103.75353540944496,-103.75353540944496,-103.75353540944496,-103.75353540944496,0.0,0.0,0.0,-0.1318238730770247,2.174
2002-09-30,103.73294586969473,-0.5044224715161606,8.84300638562068,103.73294586969473,103.73294586969473,-99.59701987288824,-99.59701987288824,-99.59701987288824,-99.59701987288824,-99.59701987288824,-99.59701987288824,0.0,0.0,0.0,4.135925996806492,3.249
2002-12-31,103.84418020302148,-5.473444751439401,3.777416898793461,103.84418020302148,103.84418020302148,-104.56591571636254,-104.56591571636254,-104.56591571636254,-104.56591571636254,-104.56591571636254,-104.56591571636254,0.0,0.0,0.0,-0.7217355133410592,2.298
2003-03-31,103.95299639866725,-3.4143443753194793,5.573480606140226,103.95299639866725,103.95299639866725,-102.92151486526112,-102.92151486526112,-102.92151486526112,-102.92151486526112,-102.92151486526112,-102.92151486526112,0.0,0.0,0.0,1.0314815334061365,3.645
2003-06-30,104.06302166398662,-3.2220506432260554,5.535015203998864,104.06302166398662,104.06302166398662,-102.82745953417412,-102.82745953417412,-102.82745953417412,-102.82745953417412,-102.82745953417412,-102.82745953417412,0.0,0.0,0.0,1.235562129812493,2.351
2003-09-30,104.17425599815564,0.4174137190448466,9.439054031738861,104.17425599815564,104.17425599815564,-99.44104611381515,-99.44104611381515,-99.44104611381515,-99.44104611381515,-99.44104611381515,-99.44104611381515,0.0,0.0,0.0,4.733209884340496,3.237
2003-12-31,104.28549033232466,-4.29293298771706,4.463857886000171,104.28549033232466,104.28549033232466,-103.90587425815366,-103.90587425815366,-103.90587425815366,-103.90587425815366,-103.90587425815366,-103.90587425815366,0.0,0.0,0.0,0.37961607417099685,1.583
2004-03-31,104.39551559733256,-2.8356520535115473,5.992911601353971,104.39551559733256,104.39551559733256,-102.8340868960685,-102.8340868960685,-102.8340868960685,-102.8340868960685,-102.8340868960685,-102.8340868960685,0.0,0.0,0.0,1.561428701264063,1.67196
