ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,14685.636743898718,1114.659263193688,1464.058610563821,14685.636743898718,14685.636743898718,-13390.459838700166,-13390.459838700166,-13390.459838700166,-13390.459838700166,-13390.459838700166,-13390.459838700166,0.0,0.0,0.0,1295.176905198552,1389.458
2001-06-30,14698.708837088388,1356.683804222989,1708.6597541095941,14698.708837088388,14698.708837088388,-13165.423447969471,-13165.423447969471,-13165.423447969471,-13165.423447969471,-13165.423447969471,-13165.423447969471,0.0,0.0,0.0,1533.285389118917,1687.796
2001-09-30,14711.924579653769,2082.988427854664,2442.8398033171643,14711.924579653769,14711.924579653769,-12449.475340250105,-12449.475340250105,-12449.475340250105,-12449.475340250105,-12449.475340250105,-12449.475340250105,0.0,0.0,0.0,2262.4492394036643,2263.811
2001-12-31,14725.140322219147,1207.3395106557834,1578.518460658109,14725.140322219147,14725.140322219147,-13330.019151028493,-13330.019151028493,-13330.019151028493,-13330.019151028493,-13330.019151028493,-13330.019151028493,0.0,0.0,0.0,1395.1211711906544,1586.655
2002-03-31,14738.068766357292,1122.93916167501,1468.4285089908217,14738.068766357292,14738.068766357292,-13433.090736574923,-13433.090736574923,-13433.090736574923,-13433.090736574923,-13433.090736574923,-13433.090736574923,0.0,0.0,0.0,1304.978029782369,1500.851
2002-06-30,14751.140859874746,1376.0455236105267,1736.0464709770488,14751.140859874746,14751.140859874746,-13204.304616916546,-13204.304616916546,-13204.304616916546,-13204.304616916546,-13204.304616916546,-13204.304616916546,0.0,0.0,0.0,1546.8362429581994,1721.565
2002-09-30,14764.356602714488,2150.5915305122303,2500.6316690086974,14764.356602714488,14764.356602714488,-12432.820100655874,-12432.820100655874,-12432.820100655874,-12432.820100655874,-12432.820100655874,-12432.820100655874,0.0,0.0,0.0,2331.536502058614,2413.385
2002-12-31,14777.572345554227,1307.2075490576353,1650.1725160448304,14777.572345554227,14777.572345554227,-13295.314193394748,-13295.314193394748,-13295.314193394748,-13295.314193394748,-13295.314193394748,-13295.314193394748,0.0,0.0,0.0,1482.2581521594784,1499.777
2003-03-31,14790.50078963658,1214.7018263993482,1571.2074608846463,14790.50078963658,14790.50078963658,-13394.538896325505,-13394.538896325505,-13394.538896325505,-13394.538896325505,-13394.538896325505,-13394.538896325505,0.0,0.0,0.0,1395.961893311076,1415.21
2003-06-30,14803.5728833433,1424.384493959074,1787.8493329863102,14803.5728833433,14803.5728833433,-13197.479047456627,-13197.479047456627,-13197.479047456627,-13197.479047456627,-13197.479047456627,-13197.479047456627,0.0,0.0,0.0,1606.0938358866733,1516.311
2003-09-30,14816.788626431411,2269.809893751277,2603.5848583209613,14816.788626431411,14816.788626431411,-12375.028482477881,-12375.028482477881,-12375.028482477881,-12375.028482477881,-12375.028482477881,-12375.028482477881,0.0,0.0,0.0,2441.76014395353,2149.861
2003-12-31,14830.004369519522,1390.4885475477804,1740.7633332791572,14830.004369519522,14830.004369519522,-13249.707271493198,-13249.707271493198,-13249.707271493198,-13249.707271493198,-13249.707271493198,-13249.707271493198,0.0,0.0,0.0,1580.2970980263235,1417.166
2004-03-31,14843.10138369594,1412.8182534344794,1756.157326503794,14843.10138369594,14843.10138369594,-13266.434308336393,-13266.434308336393,-13266.434308336393,-13266.434308336393,-13266.434308336393,-13266.434308336393,0.0,0.0,0.0,1576.6670753595463,1462.04229
2004-06-30,14856.198397872353,1587.5061798451572,1956.7856750191706,14856.198397872353,14856.198397872353,-13081.153577214764,-13081.153577214764,-13081.153577214764,-13081.153577214764,-13081.153577214764,-13081.153577214764,0.0,0.0,0.0,1775.0448206575893,1741.0519
2004-09-30,14869.43962323425,2259.308123279107,2617.605603337053,14869.43962323425,14869.43962323425,-12425.204582298093,-12425.204582298093,-12425.204582298093,-12425.204582298093,-12425.204582298093,-12425.204582298093,0.0,0.0,0.0,2444.235040936157,2157.8775
2004-12-31,14882.680848596145,1343.5301267205111,1704.8733956049857,14882.680848596145,14882.680848596145,-13353.489400850818,-13353.489400850818,-13353.489400850818,-13353.489400850818,-13353.489400850818,-13353.489400850818,0.0,0.0,0.0,1529.1914477453265,1551.68926
2005-03-31,14895.634221232782,1330.4971042700424,1675.2169049380238,14895.634221232782,14895.634221232782,-13390.459838702318,-13390.459838702318,-13390.459838702318,-13390.459838702318,-13390.459838702318,-13390.459838702318,0.0,0.0,0.0,1505.1743825304638,1420.71657
2005-06-30,14908.737753436846,1570.7357756468828,1905.7791408143637,14908.737753436846,14908.737753436846,-13165.423447970865,-13165.423447970865,-13165.423447970865,-13165.423447970865,-13165.423447970865,-13165.423447970865,0.0,0.0,0.0,1743.3143054659813,1745.94423
2005-09-30,14921.985280500297,2286.1211540377517,2646.185868674436,14921.985280500297,14921.985280500297,-12449.475340248657,-12449.475340248657,-12449.475340248657,-12449.475340248657,-12449.475340248657,-12449.475340248657,0.0,0.0,0.0,2472.5099402516407,2544.26966
2005-12-31,14935.269144803407,1436.4947833170265,1780.6037162711448,14935.269144803407,14935.269144803407,-13330.019151028806,-13330.019151028806,-13330.019151028806,-13330.019151028806,-13330.019151028806,-13330.019151028806,0.0,0.0,0.0,1605.2499937746015,1509.58993
2006-03-31,14948.264229447754,1342.4866381734955,1689.6409002662162,14948.264229447754,14948.264229447754,-13433.09073657622,-13433.09073657622,-13433.09073657622,-13433.09073657622,-13433.09073657622,-13433.09073657622,0.0,0.0,0.0,1515.173492871534,1390.52253
2006-06-30,14961.403703921482,1586.7801600496523,1924.8658040293449,14961.403703921482,14961.403703921482,-13204.304616918611,-13204.304616918611,-13204.304616918611,-13204.304616918611,-13204.304616918611,-13204.304616918611,0.0,0.0,0.0,1757.0990870028709,1897.2815
