ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,5644.495085783948,16324.498855250693,19724.195020385192,5644.495085783948,5644.495085783948,12440.017190123073,12440.017190123073,12440.017190123073,12440.017190123073,12440.017190123073,12440.017190123073,0.0,0.0,0.0,18084.512275907022,17430.289
2001-06-30,5595.720296172385,16943.273596614188,20328.908362431037,5595.720296172385,5595.720296172385,12959.626132669704,12959.626132669704,12959.626132669704,12959.626132669704,12959.626132669704,12959.626132669704,0.0,0.0,0.0,18555.346428842087,17043.527
2001-09-30,5546.409519861794,19402.477130898464,22795.369152183037,5546.409519861794,5546.409519861794,15554.213589417714,15554.213589417714,15554.213589417714,15554.213589417714,15554.213589417714,15554.213589417714,0.0,0.0,0.0,21100.623109279506,20808.621
2001-12-31,5497.098743551204,17058.67800156244,20563.386576907546,5497.098743551204,5497.098743551204,13230.401957539509,13230.401957539509,13230.401957539509,13230.401957539509,13230.401957539509,13230.401957539509,0.0,0.0,0.0,18727.500701090714,16915.677
2002-03-31,5448.859942734732,16779.642945794305,20142.723260505813,5448.859942734732,5448.859942734732,12972.508852900219,12972.508852900219,12972.508852900219,12972.508852900219,12972.508852900219,12972.508852900219,0.0,0.0,0.0,18421.36879563495,14804.407
2002-06-30,5400.08515524252,17208.893861049488,20534.903785449475,5400.08515524252,5400.08515524252,13449.344791981976,13449.344791981976,13449.344791981976,13449.344791981976,13449.344791981976,13449.344791981976,0.0,0.0,0.0,18849.429947224497,17004.817
2002-09-30,5350.774380447687,19463.88328747919,22843.227384631315,5350.774380447687,5350.774380447687,15783.766644262108,15783.766644262108,15783.766644262108,15783.766644262108,15783.766644262108,15783.766644262108,0.0,0.0,0.0,21134.541024709797,21197.363
2002-12-31,5301.463605652853,16674.48888599886,20113.90764724527,5301.463605652853,5301.463605652853,13024.839449097635,13024.839449097635,13024.839449097635,13024.839449097635,13024.839449097635,13024.839449097635,0.0,0.0,0.0,18326.30305475049,19035.079
2003-03-31,5253.224804223124,16719.994019497175,20397.16739797487,5253.224804223124,5253.224804223124,13337.384944882959,13337.384944882959,13337.384944882959,13337.384944882959,13337.384944882959,13337.384944882959,0.0,0.0,0.0,18590.609749106083,17926.817
2003-06-30,5204.450017368483,17486.84343267952,20948.618192471997,5204.450017368483,5204.450017368483,13996.934707859318,13996.934707859318,13996.934707859318,13996.934707859318,13996.934707859318,13996.934707859318,0.0,0.0,0.0,19201.3847252278,18237.524
2003-09-30,5155.139243845109,19479.692923971987,22967.67143682328,5155.139243845109,5155.139243845109,16082.125735683829,16082.125735683829,16082.125735683829,16082.125735683829,16082.125735683829,16082.125735683829,0.0,0.0,0.0,21237.26497952894,21853.402
2003-12-31,5105.828470321735,16287.965501722858,19564.030612961666,5105.828470321735,5105.828470321735,12843.684217533631,12843.684217533631,12843.684217533631,12843.684217533631,12843.684217533631,12843.684217533631,0.0,0.0,0.0,17949.512687855367,18678.649
2004-03-31,5057.053684313992,15135.905851590196,18396.914891618577,5057.053684313992,5057.053684313992,11740.71617070053,11740.71617070053,11740.71617070053,11740.71617070053,11740.71617070053,11740.71617070053,0.0,0.0,0.0,16797.76985501452,16623.82682
2004-06-30,5008.278898306247,15760.03014558522,19206.064205702314,5008.278898306247,5008.278898306247,12529.766138312936,12529.766138312936,12529.766138312936,12529.766138312936,12529.766138312936,12529.766138312936,0.0,0.0,0.0,17538.045036619184,18378.01371
