ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,1776.4062038907664,945.5930399183695,1101.9946718760784,1776.4062038907664,1776.4062038907664,-754.6187303913033,-754.6187303913033,-754.6187303913033,-754.6187303913033,-754.6187303913033,-754.6187303913033,0.0,0.0,0.0,1021.7874734994631,1090.58201
2001-06-30,1770.7177658054588,922.867087597209,1079.3561420517315,1770.7177658054588,1770.7177658054588,-768.6549517311414,-768.6549517311414,-768.6549517311414,-768.6549517311414,-768.6549517311414,-768.6549517311414,0.0,0.0,0.0,1002.0628140743174,1007.15801
2001-09-30,1764.9668174115218,968.8353209209668,1122.7767281047047,1764.9668174115218,1764.9668174115218,-717.7628467356948,-717.7628467356948,-717.7628467356948,-717.7628467356948,-717.7628467356948,-717.7628467356948,0.0,0.0,0.0,1047.203970675827,1060.30301
2001-12-31,1759.2158690175845,901.4963901915094,1049.5723664188242,1759.2158690175845,1759.2158690175845,-785.375912792606,-785.375912792606,-785.375912792606,-785.375912792606,-785.375912792606,-785.375912792606,0.0,0.0,0.0,973.8399562249786,1039.13301
2002-03-31,1753.5899412415176,914.6729795694517,1075.6029886445087,1753.5899412415176,1753.5899412415176,-754.324640159178,-754.324640159178,-754.324640159178,-754.324640159178,-754.324640159178,-754.324640159178,0.0,0.0,0.0,999.2653010823396,1048.004
2002-06-30,1747.9015031568272,896.5563483994746,1055.756494341229,1747.9015031568272,1747.9015031568272,-774.0007324191635,-774.0007324191635,-774.0007324191635,-774.0007324191635,-774.0007324191635,-774.0007324191635,0.0,0.0,0.0,973.9007707376637,952.872
2002-09-30,1742.1505547634358,955.2821201390627,1103.0370325893134,1742.1505547634358,1742.1505547634358,-709.5494645688077,-709.5494645688077,-709.5494645688077,-709.5494645688077,-709.5494645688077,-709.5494645688077,0.0,0.0,0.0,1032.6010901946281,1093.428
2002-12-31,1736.3996063700445,882.9826760865132,1032.0802305341354,1736.3996063700445,1736.3996063700445,-778.161510139648,-778.161510139648,-778.161510139648,-778.161510139648,-778.161510139648,-778.161510139648,0.0,0.0,0.0,958.2380962303964,774.336
2003-03-31,1730.7736785939007,905.2533572839184,1053.8461872457078,1730.7736785939007,1730.7736785939007,-750.6340671530503,-750.6340671530503,-750.6340671530503,-750.6340671530503,-750.6340671530503,-750.6340671530503,0.0,0.0,0.0,980.1396114408504,924.198
2003-06-30,1725.0852405090639,877.1638513685556,1030.7931410803328,1725.0852405090639,1725.0852405090639,-774.8973622449748,-774.8973622449748,-774.8973622449748,-774.8973622449748,-774.8973622449748,-774.8973622449748,0.0,0.0,0.0,950.187878264089,874.405
2003-09-30,1719.3342921156027,934.3240290717854,1092.4653466638622,1719.3342921156027,1719.3342921156027,-703.6327803128329,-703.6327803128329,-703.6327803128329,-703.6327803128329,-703.6327803128329,-703.6327803128329,0.0,0.0,0.0,1015.7015118027698,963.513
2003-12-31,1713.5833437221413,874.6749129592608,1033.572083530798,1713.5833437221413,1713.5833437221413,-758.0642746807194,-758.0642746807194,-758.0642746807194,-758.0642746807194,-758.0642746807194,-758.0642746807194,0.0,0.0,0.0,955.5190690414219,936.286
2004-03-31,1707.8949056366112,877.4387226797603,1027.8429193181382,1707.8949056366112,1707.8949056366112,-751.5843926619092,-751.5843926619092,-751.5843926619092,-751.5843926619092,-751.5843926619092,-751.5843926619092,0.0,0.0,0.0,956.310512974702,943.55101
2004-06-30,1702.206467551081,868.5253784859833,1019.3267942923668,1702.206467551081,1702.206467551081,-758.8808151693783,-758.8808151693783,-758.8808151693783,-758.8808151693783,-758.8808151693783,-758.8808151693783,0.0,0.0,0.0,943.3256523817028,963.45301
2004-09-30,1696.4555191564077,890.5225858301557,1050.2334654316878,1696.4555191564077,1696.4555191564077,-728.2216762747222,-728.2216762747222,-728.2216762747222,-728.2216762747222,-728.2216762747222,-728.2216762747222,0.0,0.0,0.0,968.2338428816855,961.93689
2004-12-31,1690.7045707617342,831.6751722708359,979.8275754175961,1690.7045707617342,1690.7045707617342,-779.6690727065308,-779.6690727065308,-779.6690727065308,-779.6690727065308,-779.6690727065308,-779.6690727065308,0.0,0.0,0.0,911.0354980552034,938.20941
2005-03-31,1685.0786429843365,857.3198621915689,1007.22249730148,1685.0786429843365,1685.0786429843365,-754.6187303909779,-754.6187303909779,-754.6187303909779,-754.6187303909779,-754.6187303909779,-754.6187303909779,0.0,0.0,0.0,930.4599125933586,955.79226
2005-06-30,1679.3902048984703,833.3060619906423,989.0455327450892,1679.3902048984703,1679.3902048984703,-768.6549517312711,-768.6549517312711,-768.6549517312711,-768.6549517312711,-768.6549517312711,-768.6549517312711,0.0,0.0,0.0,910.7352531671992,911.70814
2005-09-30,1673.6392565039682,879.3357753817296,1029.624091155487,1673.6392565039682,1673.6392565039682,-717.7628467360109,-717.7628467360109,-717.7628467360109,-717.7628467360109,-717.7628467360109,-717.7628467360109,0.0,0.0,0.0,955.8764097679573,894.49624
2005-12-31,1667.8883081097988,808.085206591882,958.82491957217,1667.8883081097988,1667.8883081097988,-785.3759127926674,-785.3759127926674,-785.3759127926674,-785.3759127926674,-785.3759127926674,-785.3759127926674,0.0,0.0,0.0,882.5123953171314,909.89807
2006-03-31,1662.2623803328938,834.8645666928002,982.1193677591025,1662.2623803328938,1662.2623803328938,-754.324640158741,-754.324640158741,-754.324640158741,-754.324640158741,-754.324640158741,-754.324640158741,0.0,0.0,0.0,907.9377401741529,975.60756
2006-06-30,1656.573942247357,809.1024154958742,965.3517551532395,1656.573942247357,1656.573942247357,-774.0007324192098,-774.0007324192098,-774.0007324192098,-774.0007324192098,-774.0007324192098,-774.0007324192098,0.0,0.0,0.0,882.5732098281472,948.5196
2006-09-30,1650.8229938541338,867.4397991161717,1024.590336499215,1650.8229938541338,1650.8229938541338,-709.5494645684406,-709.5494645684406,-709.5494645684406,-709.5494645684406,-709.5494645684406,-709.5494645684406,0.0,0.0,0.0,941.2735292856931,1023.62157
2006-12-31,1645.0720454609107,796.0138110371071,945.0917495154571,1645.0720454609107,1645.0720454609107,-778.1615101392717,-778.1615101392717,-778.1615101392717,-778.1615101392717,-778.1615101392717,-778.1615101392717,0.0,0.0,0.0,866.9105353216389,957.64597
2007-03-31,1639.4461176849313,810.9907907260582,961.9539101709536,1639.4461176849313,1639.4461176849313,-750.6340671521305,-750.6340671521305,-750.6340671521305,-750.6340671521305,-750.6340671521305,-750.6340671521305,0.0,0.0,0.0,888.8120505328009,919.59124
2007-06-30,1633.757679600101,775.9057169762137,932.2646676786949,1633.757679600101,1633.757679600101,-774.8973622450452,-774.8973622450452,-774.8973622450452,-774.8973622450452,-774.8973622450452,-774.8973622450452,0.0,0.0,0.0,858.8603173550558,949.02628
2007-09-30,1628.006731206646,849.7439495864335,997.5204035333529,1628.006731206646,1628.006731206646,-703.632780312593,-703.632780312593,-703.632780312593,-703.632780312593,-703.632780312593,-703.632780312593,0.0,0.0,0.0,924.373950894053,1008.44849
2007-12-31,1622.255782812352,783.2440013301707,938.7969764593028,1622.255782812352,1622.255782812352,-758.0642746807571,-758.0642746807571,-758.0642746807571,-758.0642746807571,-758.0642746807571,-758.0642746807571,0.0,0.0,0.0,864.1915081315949,927.13715
2008-03-31,1616.5673447266915,786.2044301404073,935.1948071550252,1616.5673447266915,1616.5673447266915,-751.5843926622132,-751.5843926622132,-751.5843926622132,-751.5843926622132,-751.5843926622132,-751.5843926622132,0.0,0.0,0.0,864.9829520644784,870.78891
2008-06-30,1610.878906641031,774.5905213170429,926.6342805767365,1610.878906641031,1610.878906641031,-758.8808151700549,-758.8808151700549,-758.8808151700549,-758.8808151700549,-758.8808151700549,-758.8808151700549,0.0,0.0,0.0,851.9980914709762,833.09043
2008-09-30,1605.1279582475072,800.7007181640608,954.693025077312,1605.1279582475072,1605.1279582475072,-728.2216762739564,-728.2216762739564,-728.2216762739564,-728.2216762739564,-728.2216762739564,-728.2216762739564,0.0,0.0,0.0,876.9062819735508,885.60617
2008-12-31,1599.3770098539833,746.2144033942596,898.5924534551144,1599.3770098539833,1599.3770098539833,-779.6690727061258,-779.6690727061258,-779.6690727061258,-779.6690727061258,-779.6690727061258,-779.6690727061258,0.0,0.0,0.0,819.7079371478575,776.05027
2009-03-31,1593.7510820777102,764.1073341891517,915.9332841454956,1593.7510820777102,1593.7510820777102,-754.6187303914145,-754.6187303914145,-754.6187303914145,-754.6187303914145,-754.6187303914145,-754.6187303914145,0.0,0.0,0.0,839.1323516862957,789.0537
2009-06-30,1588.0626566709277,737.0468153703493,899.1645310564285,1588.0626566709277,1588.0626566709277,-768.6549517312939,-768.6549517312939,-768.6549517312939,-768.6549517312939,-768.6549517312939,-768.6549517312939,0.0,0.0,0.0,819.4077049396338,824.72426
2009-09-30,1582.3117210948403,791.4055049012868,938.8988761476971,1582.3117210948403,1582.3117210948403,-717.7628467354123,-717.7628467354123,-717.7628467354123,-717.7628467354123,-717.7628467354123,-717.7628467354123,0.0,0.0,0.0,864.548874359428,950.21581
