ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,23456.50619812957,197.07072980554386,4867.220732123601,23456.50619812957,23456.50619812957,-21001.086604407592,-21001.086604407592,-21001.086604407592,-21001.086604407592,-21001.086604407592,-21001.086604407592,0.0,0.0,0.0,2455.4195937219774,2483.927
2001-06-30,23526.86585192126,2817.749105513946,7250.258411494079,23526.86585192126,23526.86585192126,-18486.811755092265,-18486.811755092265,-18486.811755092265,-18486.811755092265,-18486.811755092265,-18486.811755092265,0.0,0.0,0.0,5040.054096828993,3655.748
2001-09-30,23597.998688721647,7213.4325264521385,11715.741198267975,23597.998688721647,23597.998688721647,-14272.191953779808,-14272.191953779808,-14272.191953779808,-14272.191953779808,-14272.191953779808,-14272.191953779808,0.0,0.0,0.0,9325.80673494184,3703.222
2001-12-31,23669.131525522036,1897.3738977118803,6721.485854238038,23669.131525522036,23669.131525522036,-19488.284742785974,-19488.284742785974,-19488.284742785974,-19488.284742785974,-19488.284742785974,-19488.284742785974,0.0,0.0,0.0,4180.846782736062,3029.303
2002-03-31,23738.71799625031,-261.2159825109968,4468.789502830582,23738.71799625031,23738.71799625031,-21527.49072770612,-21527.49072770612,-21527.49072770612,-21527.49072770612,-21527.49072770612,-21527.49072770612,0.0,0.0,0.0,2211.2272685441894,2921.78
2002-06-30,23809.077649986677,2333.5712386529503,6990.063097888492,23809.077649986677,23809.077649986677,-19130.919758245334,-19130.919758245334,-19130.919758245334,-19130.919758245334,-19130.919758245334,-19130.919758245334,0.0,0.0,0.0,4678.157891741343,3507.289
2002-09-30,23880.21048663815,7191.53470096473,11659.932504530741,23880.21048663815,23880.21048663815,-14404.25075459566,-14404.25075459566,-14404.25075459566,-14404.25075459566,-14404.25075459566,-14404.25075459566,0.0,0.0,0.0,9475.95973204249,6041.757
2002-12-31,23951.34332328962,2331.3363154262547,7068.989907456062,23951.34332328962,23951.34332328962,-19197.36069600643,-19197.36069600643,-19197.36069600643,-19197.36069600643,-19197.36069600643,-19197.36069600643,0.0,0.0,0.0,4753.982627283189,4822.19
2003-03-31,24020.92979392693,-71.15191151301688,4281.616509980873,24020.92979392693,24020.92979392693,-21905.612382158422,-21905.612382158422,-21905.612382158422,-21905.612382158422,-21905.612382158422,-21905.612382158422,0.0,0.0,0.0,2115.3174117685085,3401.73
2003-06-30,24091.289447459385,1927.7573543679441,6767.11760484364,24091.289447459385,24091.289447459385,-19747.304521431244,-19747.304521431244,-19747.304521431244,-19747.304521431244,-19747.304521431244,-19747.304521431244,0.0,0.0,0.0,4343.984926028141,3328.023
2003-09-30,24162.422283997686,7608.005618972332,12108.263040376936,24162.422283997686,24162.422283997686,-14424.154551799067,-14424.154551799067,-14424.154551799067,-14424.154551799067,-14424.154551799067,-14424.154551799067,0.0,0.0,0.0,9738.26773219862,8128.58
2003-12-31,24233.55512053599,3009.380328113596,7646.4037428101965,24233.55512053599,24233.55512053599,-18919.00145387288,-18919.00145387288,-18919.00145387288,-18919.00145387288,-18919.00145387288,-18919.00145387288,0.0,0.0,0.0,5314.553666663112,4074.308
