ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-547.4658154752312,-109.33173658887911,29.33909633710476,-547.4658154752312,-547.4658154752312,503.9468084119675,503.9468084119675,503.9468084119675,503.9468084119675,503.9468084119675,503.9468084119675,0.0,0.0,0.0,-43.51900706326376,0.0
2001-06-30,-544.232907742166,-99.33090067895803,35.96132859160907,-544.232907742166,-544.232907742166,512.2739154283361,512.2739154283361,512.2739154283361,512.2739154283361,512.2739154283361,512.2739154283361,0.0,0.0,0.0,-31.95899231382998,0.0
2001-09-30,-540.9644735504958,-135.20651832237633,-2.3048519593126464,-540.9644735504958,-540.9644735504958,473.9254542244742,473.9254542244742,473.9254542244742,473.9254542244742,473.9254542244742,473.9254542244742,0.0,0.0,0.0,-67.03901932602156,0.0
2001-12-31,-537.6960393588255,-107.91146426661464,22.937817629586643,-537.6960393588255,-537.6960393588255,498.67910605525446,498.67910605525446,498.67910605525446,498.67910605525446,498.67910605525446,498.67910605525446,0.0,0.0,0.0,-39.01693330357102,0.0
2002-03-31,-534.4986580853595,-104.38007801669436,25.21153509386548,-534.4986580853595,-534.4986580853595,494.0803914155615,494.0803914155615,494.0803914155615,494.0803914155615,494.0803914155615,494.0803914155615,0.0,0.0,0.0,-40.41826666979796,0.0
2002-06-30,-531.2657503532994,-95.05906687758717,37.95147616325893,-531.2657503532994,-531.2657503532994,505.5356332484128,505.5356332484128,505.5356332484128,505.5356332484128,505.5356332484128,505.5356332484128,0.0,0.0,0.0,-25.730117104886574,0.0
2002-09-30,-527.9973161607792,-121.85576104249536,16.333081094932954,-527.9973161607792,-527.9973161607792,471.26964075106815,471.26964075106815,471.26964075106815,471.26964075106815,471.26964075106815,471.26964075106815,0.0,0.0,0.0,-56.727675409711026,0.0
2002-12-31,-524.728881968259,-106.28169941343666,27.99509053292876,-524.728881968259,-524.728881968259,488.0686313531044,488.0686313531044,488.0686313531044,488.0686313531044,488.0686313531044,488.0686313531044,0.0,0.0,0.0,-36.66025061515455,0.0
2003-03-31,-521.5315006929674,-109.28295135092162,24.184677221727583,-521.5315006929674,-521.5315006929674,481.9314695887712,481.9314695887712,481.9314695887712,481.9314695887712,481.9314695887712,481.9314695887712,0.0,0.0,0.0,-39.60003110419615,0.0
2003-06-30,-518.2985929568639,-90.46610081953148,50.27579507337789,-518.2985929568639,-518.2985929568639,496.8270349179466,496.8270349179466,496.8270349179466,496.8270349179466,496.8270349179466,496.8270349179466,0.0,0.0,0.0,-21.471558038917294,0.0
