ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,1112.2406826563054,469.6495112803451,1120.4139751489947,1112.2406826563054,1112.2406826563054,-301.1268331185533,-301.1268331185533,-301.1268331185533,-301.1268331185533,-301.1268331185533,-301.1268331185533,0.0,0.0,0.0,811.113849537752,884.038
2001-06-30,1114.9434462999138,498.64100150645254,1200.8325041624767,1114.9434462999138,1114.9434462999138,-251.5143710797893,-251.5143710797893,-251.5143710797893,-251.5143710797893,-251.5143710797893,-251.5143710797893,0.0,0.0,0.0,863.4290752201246,621.782
2001-09-30,1117.6759106429026,398.5145138111105,1067.5599266798256,1117.6759106429026,1117.6759106429026,-395.0381794762875,-395.0381794762875,-395.0381794762875,-395.0381794762875,-395.0381794762875,-395.0381794762875,0.0,0.0,0.0,722.6377311666151,554.247
2001-12-31,1120.4083749858914,184.6260068405551,845.2530384122041,1120.4083749858914,1120.4083749858914,-593.104504388231,-593.104504388231,-593.104504388231,-593.104504388231,-593.104504388231,-593.104504388231,0.0,0.0,0.0,527.3038705976604,488.185
2002-03-31,1123.0814378779146,440.4328551916213,1070.6381424358683,1123.0814378779146,1123.0814378779146,-352.42333352490647,-352.42333352490647,-352.42333352490647,-352.42333352490647,-352.42333352490647,-352.42333352490647,0.0,0.0,0.0,770.6581043530082,944.672
2002-06-30,1125.784201468738,505.52376145609827,1145.7125865955693,1125.784201468738,1125.784201468738,-302.8040065959552,-302.8040065959552,-302.8040065959552,-302.8040065959552,-302.8040065959552,-302.8040065959552,0.0,0.0,0.0,822.9801948727829,1019.135
2002-09-30,1128.5166658116718,399.3219263322435,1063.3040372352468,1128.5166658116718,1128.5166658116718,-397.3143456473114,-397.3143456473114,-397.3143456473114,-397.3143456473114,-397.3143456473114,-397.3143456473114,0.0,0.0,0.0,731.2023201643603,1013.084
2002-12-31,1131.2491301546056,167.17110775890978,824.2593080519837,1131.2491301546056,1131.2491301546056,-635.4852126609131,-635.4852126609131,-635.4852126609131,-635.4852126609131,-635.4852126609131,-635.4852126609131,0.0,0.0,0.0,495.7639174936925,458.938
2003-03-31,1133.9221930987799,397.63790411399486,1047.7038494422507,1133.9221930987799,1133.9221930987799,-402.1299610829108,-402.1299610829108,-402.1299610829108,-402.1299610829108,-402.1299610829108,-402.1299610829108,0.0,0.0,0.0,731.7922320158691,697.027
2003-06-30,1136.6249567829072,446.8794028665506,1120.7511696588804,1136.6249567829072,1136.6249567829072,-350.9875208756768,-350.9875208756768,-350.9875208756768,-350.9875208756768,-350.9875208756768,-350.9875208756768,0.0,0.0,0.0,785.6374359072304,817.231
2003-09-30,1139.3574211668604,408.30328889102077,1074.082880540549,1139.3574211668604,1139.3574211668604,-395.2114090107694,-395.2114090107694,-395.2114090107694,-395.2114090107694,-395.2114090107694,-395.2114090107694,0.0,0.0,0.0,744.146012156091,682.052
2003-12-31,1142.0898855508133,146.43072130084477,802.062786293059,1142.0898855508133,1142.0898855508133,-675.8926560632051,-675.8926560632051,-675.8926560632051,-675.8926560632051,-675.8926560632051,-675.8926560632051,0.0,0.0,0.0,466.1972294876082,458.309
2004-03-31,1144.7926491987535,574.8499376942665,1234.6818260513098,1144.7926491987535,1144.7926491987535,-248.27817803352298,-248.27817803352298,-248.27817803352298,-248.27817803352298,-248.27817803352298,-248.27817803352298,0.0,0.0,0.0,896.5144711652305,740.39358
2004-06-30,1147.4954128466936,621.694942572158,1281.5128723243763,1147.4954128466936,1147.4954128466936,-197.1577173173071,-197.1577173173071,-197.1577173173071,-197.1577173173071,-197.1577173173071,-197.1577173173071,0.0,0.0,0.0,950.3376955293866,1097.50773
2004-09-30,1150.2278771725094,438.4116462813523,1092.3946322149234,1150.2278771725094,1150.2278771725094,-388.3882120605282,-388.3882120605282,-388.3882120605282,-388.3882120605282,-388.3882120605282,-388.3882120605282,0.0,0.0,0.0,761.8396651119812,951.21276
2004-12-31,1152.9603414983253,293.4932613915056,910.8798654177949,1152.9603414983253,1152.9603414983253,-548.8174398034774,-548.8174398034774,-548.8174398034774,-548.8174398034774,-548.8174398034774,-548.8174398034774,0.0,0.0,0.0,604.1429016948479,854.32494
2005-03-31,1155.6334044257537,499.1399477820714,1196.2476772379614,1155.6334044257537,1155.6334044257537,-301.12683311924775,-301.12683311924775,-301.12683311924775,-301.12683311924775,-301.12683311924775,-301.12683311924775,0.0,0.0,0.0,854.506571306506,1168.94577
2005-06-30,1158.3361680461778,557.3646218371011,1235.385663504312,1158.3361680461778,1158.3361680461778,-251.5143710803084,-251.5143710803084,-251.5143710803084,-251.5143710803084,-251.5143710803084,-251.5143710803084,0.0,0.0,0.0,906.8217969658695,837.97294
2005-09-30,1161.0686323657274,447.98174587904765,1084.5116517004153,1161.0686323657274,1161.0686323657274,-395.03817947642415,-395.03817947642415,-395.03817947642415,-395.03817947642415,-395.03817947642415,-395.03817947642415,0.0,0.0,0.0,766.0304528893032,796.51722
2005-12-31,1163.8010967083442,247.14238857092582,905.599333397466,1163.8010967083442,1163.8010967083442,-593.104504388358,-593.104504388358,-593.104504388358,-593.104504388358,-593.104504388358,-593.104504388358,0.0,0.0,0.0,570.6965923199862,279.08006
2006-03-31,1166.4741596522085,482.1169672690069,1116.089532056029,1166.4741596522085,1166.4741596522085,-352.42333352561144,-352.42333352561144,-352.42333352561144,-352.42333352561144,-352.42333352561144,-352.42333352561144,0.0,0.0,0.0,814.050826126597,278.43929
2006-06-30,1169.1769232954491,531.4526603572484,1183.7853705775224,1169.1769232954491,1169.1769232954491,-302.80400659643925,-302.80400659643925,-302.80400659643925,-302.80400659643925,-302.80400659643925,-302.80400659643925,0.0,0.0,0.0,866.3729166990099,469.54526
2006-09-30,1171.9093876671252,465.3472714362417,1107.908705890101,1171.9093876671252,1171.9093876671252,-397.3143456473735,-397.3143456473735,-397.3143456473735,-397.3143456473735,-397.3143456473735,-397.3143456473735,0.0,0.0,0.0,774.5950420197516,378.41159
