ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,7413.993798566119,-522.014918366361,1217.7309234350412,7413.993798566119,7413.993798566119,-7047.282689758109,-7047.282689758109,-7047.282689758109,-7047.282689758109,-7047.282689758109,-7047.282689758109,0.0,0.0,0.0,366.71110880801007,389.834
2001-06-30,7467.740711901746,135.78492118335316,1923.6823441799618,7467.740711901746,7467.740711901746,-6419.680674577346,-6419.680674577346,-6419.680674577346,-6419.680674577346,-6419.680674577346,-6419.680674577346,0.0,0.0,0.0,1048.0600373244006,563.537
2001-09-30,7522.078250658643,999.9330456559351,2768.863057220892,7522.078250658643,7522.078250658643,-5703.808575720257,-5703.808575720257,-5703.808575720257,-5703.808575720257,-5703.808575720257,-5703.808575720257,0.0,0.0,0.0,1818.2696749383858,1057.126
2001-12-31,7576.415789415541,-539.2398652268305,1191.9584500831745,7576.415789415541,7576.415789415541,-7320.660389077593,-7320.660389077593,-7320.660389077593,-7320.660389077593,-7320.660389077593,-7320.660389077593,0.0,0.0,0.0,255.75540033794823,696.403
2002-03-31,7629.572077364922,-280.7933858599615,1497.9728663789208,7629.572077364922,7629.572077364922,-7032.008704819254,-7032.008704819254,-7032.008704819254,-7032.008704819254,-7032.008704819254,-7032.008704819254,0.0,0.0,0.0,597.5633725456682,620.346
2002-06-30,7683.318990735963,415.5536969364978,2231.64583199781,7683.318990735963,7683.318990735963,-6376.10558072695,-6376.10558072695,-6376.10558072695,-6376.10558072695,-6376.10558072695,-6376.10558072695,0.0,0.0,0.0,1307.2134100090125,1034.591
2002-09-30,7737.656529553831,1363.5506085742104,3126.8590028696754,7737.656529553831,7737.656529553831,-5493.742271518266,-5493.742271518266,-5493.742271518266,-5493.742271518266,-5493.742271518266,-5493.742271518266,0.0,0.0,0.0,2243.9142580355656,2238.208
2002-12-31,7791.994068371699,-512.4534417572702,1364.4301833075158,7791.994068371699,7791.994068371699,-7356.711632977788,-7356.711632977788,-7356.711632977788,-7356.711632977788,-7356.711632977788,-7356.711632977788,0.0,0.0,0.0,435.2824353939104,709.813
2003-03-31,7845.150356345699,5.568323512317877,1755.8890168335179,7845.150356345699,7845.150356345699,-6962.4064779943465,-6962.4064779943465,-6962.4064779943465,-6962.4064779943465,-6962.4064779943465,-6962.4064779943465,0.0,0.0,0.0,882.7438783513526,1079.079
2003-06-30,7898.897269784204,720.1520767683141,2525.3144599817338,7898.897269784204,7898.897269784204,-6334.575705778674,-6334.575705778674,-6334.575705778674,-6334.575705778674,-6334.575705778674,-6334.575705778674,0.0,0.0,0.0,1564.3215640055296,2038.634
2003-09-30,7953.234808645111,1840.8527001000957,3683.178148528138,7953.234808645111,7953.234808645111,-5228.9270166013175,-5228.9270166013175,-5228.9270166013175,-5228.9270166013175,-5228.9270166013175,-5228.9270166013175,0.0,0.0,0.0,2724.3077920437936,2967.225
2003-12-31,8007.572347506016,-283.436730107214,1532.2933861472925,8007.572347506016,8007.572347506016,-7410.245683877531,-7410.245683877531,-7410.245683877531,-7410.245683877531,-7410.245683877531,-7410.245683877531,0.0,0.0,0.0,597.3266636284852,1215.922
2004-03-31,8061.319260938519,119.32015050548246,1943.5533433944236,8061.319260938519,8061.319260938519,-7008.040344532303,-7008.040344532303,-7008.040344532303,-7008.040344532303,-7008.040344532303,-7008.040344532303,0.0,0.0,0.0,1053.278916406216,1002.78712
2004-06-30,8115.0661743710225,783.4430937708216,2552.4594284508617,8115.0661743710225,8115.0661743710225,-6465.35571215325,-6465.35571215325,-6465.35571215325,-6465.35571215325,-6465.35571215325,-6465.35571215325,0.0,0.0,0.0,1649.7104622177721,1501.33848
2004-09-30,8169.403713261454,1434.253779193752,3193.4205738653122,8169.403713261454,8169.403713261454,-5858.997824643779,-5858.997824643779,-5858.997824643779,-5858.997824643779,-5858.997824643779,-5858.997824643779,0.0,0.0,0.0,2310.4058886176754,1715.65331
2004-12-31,8223.741252151885,81.35020095455134,1850.6963210880328,8223.741252151885,8223.741252151885,-7302.075769723977,-7302.075769723977,-7302.075769723977,-7302.075769723977,-7302.075769723977,-7302.075769723977,0.0,0.0,0.0,921.6654824279085,848.9848
2005-03-31,8276.897540196875,292.5670114640227,2142.645271527976,8276.897540196875,8276.897540196875,-7047.282689758688,-7047.282689758688,-7047.282689758688,-7047.282689758688,-7047.282689758688,-7047.282689758688,0.0,0.0,0.0,1229.6148504381863,664.91835
2005-06-30,8330.64445359875,940.1293121852588,2779.3676285386105,8330.64445359875,8330.64445359875,-6419.68067457675,-6419.68067457675,-6419.68067457675,-6419.68067457675,-6419.68067457675,-6419.68067457675,0.0,0.0,0.0,1910.9637790220004,1577.42
2005-09-30,8384.981992422625,1759.6062003127413,3556.584450915969,8384.981992422625,8384.981992422625,-5703.808575717636,-5703.808575717636,-5703.808575717636,-5703.808575717636,-5703.808575717636,-5703.808575717636,0.0,0.0,0.0,2681.173416704989,2661.62381
2005-12-31,8439.3195312549,223.55256479851752,1963.4259684616627,8439.3195312549,8439.3195312549,-7320.6603890778615,-7320.6603890778615,-7320.6603890778615,-7320.6603890778615,-7320.6603890778615,-7320.6603890778615,0.0,0.0,0.0,1118.6591421770381,1101.69746
2006-03-31,8492.475819242996,546.8750171190712,2389.6698409147466,8492.475819242996,8492.475819242996,-7032.008704819744,-7032.008704819744,-7032.008704819744,-7032.008704819744,-7032.008704819744,-7032.008704819744,0.0,0.0,0.0,1460.4671144232525,801.2312
2006-06-30,8546.222732653181,1276.3392728530841,3059.2616870543957,8546.222732653181,8546.222732653181,-6376.105580726987,-6376.105580726987,-6376.105580726987,-6376.105580726987,-6376.105580726987,-6376.105580726987,0.0,0.0,0.0,2170.1171519261943,3132.12237
2006-09-30,8600.560271508462,2179.1452147678724,3990.9855127670003,8600.560271508462,8600.560271508462,-5493.742271515935,-5493.742271515935,-5493.742271515935,-5493.742271515935,-5493.742271515935,-5493.742271515935,0.0,0.0,0.0,3106.817999992528,3894.81407
2006-12-31,8654.897810363744,380.39183825375966,2138.6082995132883,8654.897810363744,8654.897810363744,-7356.711632978014,-7356.711632978014,-7356.711632978014,-7356.711632978014,-7356.711632978014,-7356.711632978014,0.0,0.0,0.0,1298.18617738573,1454.2181
