ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-223.2841031743596,-20.172788717701113,10.01695861126098,-223.2841031743596,-223.2841031743596,217.91123423971126,217.91123423971126,217.91123423971126,217.91123423971126,217.91123423971126,217.91123423971126,0.0,0.0,0.0,-5.372868934648324,0.0
2001-06-30,-223.19298006223733,-14.17260378723087,17.101563245920648,-223.19298006223733,-223.19298006223733,225.38858366310026,225.38858366310026,225.38858366310026,225.38858366310026,225.38858366310026,225.38858366310026,0.0,0.0,0.0,2.1956036008629383,0.0
2001-09-30,-223.10085559723458,-13.865499509687437,16.81476323503442,-223.10085559723458,-223.10085559723458,224.74853548399798,224.74853548399798,224.74853548399798,224.74853548399798,224.74853548399798,224.74853548399798,0.0,0.0,0.0,1.6476798867633988,0.0
2001-12-31,-223.00873113223184,-21.698763327305716,8.784751754663157,-223.00873113223184,-223.00873113223184,217.4359024241116,217.4359024241116,217.4359024241116,217.4359024241116,217.4359024241116,217.4359024241116,0.0,0.0,0.0,-5.572828708120255,0.0
2002-03-31,-222.91860937287814,-19.83271916534743,11.192000455541429,-222.91860937287814,-222.91860937287814,218.7713531539682,218.7713531539682,218.7713531539682,218.7713531539682,218.7713531539682,218.7713531539682,0.0,0.0,0.0,-4.147256218909945,0.0
2002-06-30,-222.82748626064267,-13.931096730923183,17.523128758511824,-222.82748626064267,-222.82748626064267,224.65811730286458,224.65811730286458,224.65811730286458,224.65811730286458,224.65811730286458,224.65811730286458,0.0,0.0,0.0,1.8306310422219099,0.0
2002-09-30,-222.73536179374366,-14.450172357418667,17.680103171563392,-222.73536179374366,-222.73536179374366,224.22815419024997,224.22815419024997,224.22815419024997,224.22815419024997,224.22815419024997,224.22815419024997,0.0,0.0,0.0,1.492792396506303,0.0
2002-12-31,-222.64323732684466,-23.11977151632151,7.088921568471461,-222.64323732684466,-222.64323732684466,215.7036710884099,215.7036710884099,215.7036710884099,215.7036710884099,215.7036710884099,215.7036710884099,0.0,0.0,0.0,-6.9395662384347645,0.0
2003-03-31,-222.5531155657478,-20.13001174772816,11.438474417028718,-222.5531155657478,-222.5531155657478,218.59596487066912,218.59596487066912,218.59596487066912,218.59596487066912,218.59596487066912,218.59596487066912,0.0,0.0,0.0,-3.957150695078667,0.0
2003-06-30,-222.46199245210005,-16.619951641861896,16.902877738960328,-222.46199245210005,-222.46199245210005,222.71739714536167,222.71739714536167,222.71739714536167,222.71739714536167,222.71739714536167,222.71739714536167,0.0,0.0,0.0,0.2554046932616245,0.0
2003-09-30,-222.3698679855551,-16.820266059104444,16.183306868942253,-222.3698679855551,-222.3698679855551,222.6618296021194,222.6618296021194,222.6618296021194,222.6618296021194,222.6618296021194,222.6618296021194,0.0,0.0,0.0,0.29196161656432196,0.0
2003-12-31,-222.2777435190102,-23.943032441555243,6.404554111624846,-222.2777435190102,-222.2777435190102,214.48828064050733,214.48828064050733,214.48828064050733,214.48828064050733,214.48828064050733,214.48828064050733,0.0,0.0,0.0,-7.78946287850286,0.0
2004-03-31,-222.18662040442715,-20.478430467078617,9.41587229604769,-222.18662040442715,-222.18662040442715,216.00389507151604,216.00389507151604,216.00389507151604,216.00389507151604,216.00389507151604,216.00389507151604,0.0,0.0,0.0,-6.1827253329111045,0.0
2004-06-30,-222.09549728984413,-12.081142035196875,17.905902024530633,-222.09549728984413,-222.09549728984413,224.909677259586,224.909677259586,224.909677259586,224.909677259586,224.909677259586,224.909677259586,0.0,0.0,0.0,2.814179969741872,0.0
2004-09-30,-222.00337282381975,-13.523612391746722,18.41205170327256,-222.00337282381975,-222.00337282381975,224.23252468534042,224.23252468534042,224.23252468534042,224.23252468534042,224.23252468534042,224.23252468534042,0.0,0.0,0.0,2.229151861520677,0.0
2004-12-31,-221.9112483577953,-18.00929582126799,13.38862314064297,-221.9112483577953,-221.9112483577953,219.6831599179944,219.6831599179944,219.6831599179944,219.6831599179944,219.6831599179944,219.6831599179944,0.0,0.0,0.0,-2.2280884398008993,0.0
2005-03-31,-221.821126597554,-19.262894923371825,12.058051624266021,-221.821126597554,-221.821126597554,217.91123423978843,217.91123423978843,217.91123423978843,217.91123423978843,217.91123423978843,217.91123423978843,0.0,0.0,0.0,-3.9098923577655853,0.0
2005-06-30,-221.73000348555107,-12.82448054409556,18.783153906990087,-221.73000348555107,-221.73000348555107,225.38858366308804,225.38858366308804,225.38858366308804,225.38858366308804,225.38858366308804,225.38858366308804,0.0,0.0,0.0,3.658580177536976,0.0
2005-09-30,-221.637879020669,-12.261980921794061,17.03392928522456,-221.637879020669,-221.637879020669,224.7485354839142,224.7485354839142,224.7485354839142,224.7485354839142,224.7485354839142,224.7485354839142,0.0,0.0,0.0,3.110656463245192,0.0
2005-12-31,-221.5457545562075,-18.84551985354138,11.052205846254852,-221.5457545562075,-221.5457545562075,217.4359024240831,217.4359024240831,217.4359024240831,217.4359024240831,217.4359024240831,217.4359024240831,0.0,0.0,0.0,-4.109852132124388,0.0
2006-03-31,-221.45563279749516,-17.403355692151912,12.936931666394784,-221.45563279749516,-221.45563279749516,218.7713531540357,218.7713531540357,218.7713531540357,218.7713531540357,218.7713531540357,218.7713531540357,0.0,0.0,0.0,-2.684279643459462,0.0
2006-06-30,-221.36450968590827,-11.141333895392124,19.835046058826677,-221.36450968590827,-221.36450968590827,224.65811730286265,224.65811730286265,224.65811730286265,224.65811730286265,224.65811730286265,224.65811730286265,0.0,0.0,0.0,3.2936076169543753,0.0
2006-09-30,-221.27238522004828,-12.693316425593732,18.386427586570257,-221.27238522004828,-221.27238522004828,224.22815419031548,224.22815419031548,224.22815419031548,224.22815419031548,224.22815419031548,224.22815419031548,0.0,0.0,0.0,2.9557689702672008,0.0
2006-12-31,-221.1802607541883,-21.231050225151098,10.134005701426817,-221.1802607541883,-221.1802607541883,215.70367108840776,215.70367108840776,215.70367108840776,215.70367108840776,215.70367108840776,215.70367108840776,0.0,0.0,0.0,-5.476589665780551,0.0
2007-03-31,-221.09013899410786,-17.309476750510516,11.693217432462353,-221.09013899410786,-221.09013899410786,218.59596487086617,218.59596487086617,218.59596487086617,218.59596487086617,218.59596487086617,218.59596487086617,0.0,0.0,0.0,-2.4941741232416916,0.0
2007-06-30,-220.99901588076133,-13.01667206327268,17.53804553736587,-220.99901588076133,-220.99901588076133,222.71739714534726,222.71739714534726,222.71739714534726,222.71739714534726,222.71739714534726,222.71739714534726,0.0,0.0,0.0,1.718381264585929,0.0
2007-09-30,-220.90689141452086,-15.226011784974325,16.797438456195554,-220.90689141452086,-220.90689141452086,222.661829602115,222.661829602115,222.661829602115,222.661829602115,222.661829602115,222.661829602115,0.0,0.0,0.0,1.7549381875941492,0.0
2007-12-31,-220.81466239498812,-20.34004167595032,8.416113775871334,-220.81466239498812,-220.81466239498812,214.48828064051,214.48828064051,214.48828064051,214.48828064051,214.48828064051,214.48828064051,0.0,0.0,0.0,-6.3263817544781205,0.0
2008-03-31,-220.72343586479812,-19.80273706167429,12.17789630049362,-220.72343586479812,-220.72343586479812,216.00389507145292,216.00389507145292,216.00389507145292,216.00389507145292,216.00389507145292,216.00389507145292,0.0,0.0,0.0,-4.719540793345203,0.0
2008-06-30,-220.63220933460812,-11.212295327391496,21.294712707625575,-220.63220933460812,-220.63220933460812,224.90967725959027,224.90967725959027,224.90967725959027,224.90967725959027,224.90967725959027,224.90967725959027,0.0,0.0,0.0,4.2774679249821475,0.0
2008-09-30,-220.53996580996431,-12.594370156108143,18.113174012707635,-220.53996580996431,-220.53996580996431,224.23252468548606,224.23252468548606,224.23252468548606,224.23252468548606,224.23252468548606,224.23252468548606,0.0,0.0,0.0,3.6925588755217404,0.0
2008-12-31,-220.4477222853205,-16.534066540510914,14.91270092785633,-220.4477222853205,-220.4477222853205,219.6831599179982,219.6831599179982,219.6831599179982,219.6831599179982,219.6831599179982,219.6831599179982,0.0,0.0,0.0,-0.7645623673222985,0.0
2009-03-31,-220.35748405469067,-18.126514697039504,12.59691836938143,-220.35748405469067,-220.35748405469067,217.91123423971024,217.91123423971024,217.91123423971024,217.91123423971024,217.91123423971024,217.91123423971024,0.0,0.0,0.0,-2.4462498149804333,0.0
