ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,554.5647226245233,4260.82537573864,10007.321309175011,554.5647226245233,554.5647226245233,6652.480460488094,6652.480460488094,6652.480460488094,6652.480460488094,6652.480460488094,6652.480460488094,0.0,0.0,0.0,7207.045183112617,4644.881
2001-06-30,522.7525057793753,8078.4706400151745,13587.54034694031,522.7525057793753,522.7525057793753,10283.108403979391,10283.108403979391,10283.108403979391,10283.108403979391,10283.108403979391,10283.108403979391,0.0,0.0,0.0,10805.860909758767,8195.576
2001-09-30,490.5907041337314,6864.492265052669,13048.248968643506,490.5907041337314,490.5907041337314,9416.968518857411,9416.968518857411,9416.968518857411,9416.968518857411,9416.968518857411,9416.968518857411,0.0,0.0,0.0,9907.559222991142,7839.982
2001-12-31,458.4289024880874,2992.8910153889615,9458.707071206754,458.4289024880874,458.4289024880874,5750.563235229233,5750.563235229233,5750.563235229233,5750.563235229233,5750.563235229233,5750.563235229233,0.0,0.0,0.0,6208.9921377173205,4861.335
2002-03-31,426.96627039462476,4607.604820084122,10341.181203636925,426.96627039462476,426.96627039462476,7088.3914853970455,7088.3914853970455,7088.3914853970455,7088.3914853970455,7088.3914853970455,7088.3914853970455,0.0,0.0,0.0,7515.357755791671,6888.927
2002-06-30,395.1540535001236,8102.868252967127,14162.392392173699,395.1540535001236,395.1540535001236,10798.121841543576,10798.121841543576,10798.121841543576,10798.121841543576,10798.121841543576,10798.121841543576,0.0,0.0,0.0,11193.2758950437,9756.152
2002-09-30,362.9922517905666,6838.065292358148,12964.462259850918,362.9922517905666,362.9922517905666,9691.00246794763,9691.00246794763,9691.00246794763,9691.00246794763,9691.00246794763,9691.00246794763,0.0,0.0,0.0,10053.994719738197,8751.033
2002-12-31,330.8304500810097,3149.862947836785,9576.339471999645,330.8304500810097,330.8304500810097,5914.400191950771,5914.400191950771,5914.400191950771,5914.400191950771,5914.400191950771,5914.400191950771,0.0,0.0,0.0,6245.230642031781,5744.516
2003-03-31,299.3678179738344,4643.550410209506,10644.939156817123,299.3678179738344,299.3678179738344,7522.92799081258,7522.92799081258,7522.92799081258,7522.92799081258,7522.92799081258,7522.92799081258,0.0,0.0,0.0,7822.295808786414,7852.826
2003-06-30,267.555600995422,8617.990445828154,14509.622996308355,267.555600995422,267.555600995422,11281.031536466064,11281.031536466064,11281.031536466064,11281.031536466064,11281.031536466064,11281.031536466064,0.0,0.0,0.0,11548.587137461485,11536.429
