ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-902.5060773780516,8448.711918687372,9703.397894988853,-902.5060773780516,-902.5060773780516,9966.907416547503,9966.907416547503,9966.907416547503,9966.907416547503,9966.907416547503,9966.907416547503,0.0,0.0,0.0,9064.401339169452,8971.491
2001-06-30,-918.6497252427608,7883.792927285981,9157.575233838865,-918.6497252427608,-918.6497252427608,9446.551766146775,9446.551766146775,9446.551766146775,9446.551766146775,9446.551766146775,9446.551766146775,0.0,0.0,0.0,8527.902040904013,8891.489
2001-09-30,-934.970775831258,9030.000097216862,10303.46461199136,-934.970775831258,-934.970775831258,10604.967093647781,10604.967093647781,10604.967093647781,10604.967093647781,10604.967093647781,10604.967093647781,0.0,0.0,0.0,9669.996317816524,9290.322
2001-12-31,-951.2918264197552,8532.218371174873,9723.097002296037,-951.2918264197552,-951.2918264197552,10070.939892767909,10070.939892767909,10070.939892767909,10070.939892767909,10070.939892767909,10070.939892767909,0.0,0.0,0.0,9119.648066348152,8797.726
2002-03-31,-967.2580715289848,8487.235730978728,9687.973490083263,-967.2580715289848,-967.2580715289848,10069.316225040982,10069.316225040982,10069.316225040982,10069.316225040982,10069.316225040982,10069.316225040982,0.0,0.0,0.0,9102.058153511998,8526.802
2002-06-30,-983.4017193616505,7880.838468935259,9154.303611173835,-983.4017193616505,-983.4017193616505,9507.189677791648,9507.189677791648,9507.189677791648,9507.189677791648,9507.189677791648,9507.189677791648,0.0,0.0,0.0,8523.787958429997,8704.675
2002-09-30,-999.7227698894785,9060.921933398899,10319.624904543525,-999.7227698894785,-999.7227698894785,10698.600997926833,10698.600997926833,10698.600997926833,10698.600997926833,10698.600997926833,10698.600997926833,0.0,0.0,0.0,9698.878228037354,9118.704
2002-12-31,-1016.0438204173066,8490.483849154221,9710.643005693211,-1016.0438204173066,-1016.0438204173066,10115.303141835559,10115.303141835559,10115.303141835559,10115.303141835559,10115.303141835559,10115.303141835559,0.0,0.0,0.0,9099.259321418253,9038.07
2003-03-31,-1032.0100654988776,8612.117378894378,9856.641607506488,-1032.0100654988776,-1032.0100654988776,10262.026190178096,10262.026190178096,10262.026190178096,10262.026190178096,10262.026190178096,10262.026190178096,0.0,0.0,0.0,9230.016124679218,8781.734
2003-06-30,-1048.1537133955337,7839.078877507333,9060.563182239614,-1048.1537133955337,-1048.1537133955337,9479.843671224207,9479.843671224207,9479.843671224207,9479.843671224207,9479.843671224207,9479.843671224207,0.0,0.0,0.0,8431.689957828674,8692.616
