ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,4122.286593733036,1527.259429639717,2882.200169198624,4122.286593733036,4122.286593733036,-1911.121325875199,-1911.121325875199,-1911.121325875199,-1911.121325875199,-1911.121325875199,-1911.121325875199,0.0,0.0,0.0,2211.165267857837,2479.403
2001-06-30,4139.7573377130975,1577.2093250273842,2913.1201014745625,4139.7573377130975,4139.7573377130975,-1892.9997602276665,-1892.9997602276665,-1892.9997602276665,-1892.9997602276665,-1892.9997602276665,-1892.9997602276665,0.0,0.0,0.0,2246.7575774854313,2207.184
2001-09-30,4157.420067890742,2320.5046820778666,3698.9907660575773,4157.420067890742,4157.420067890742,-1131.0795664957927,-1131.0795664957927,-1131.0795664957927,-1131.0795664957927,-1131.0795664957927,-1131.0795664957927,0.0,0.0,0.0,3026.340501394949,2434.724
2001-12-31,4175.082798068385,1485.131100887429,2895.58309360805,4175.082798068385,4175.082798068385,-1998.7558597375744,-1998.7558597375744,-1998.7558597375744,-1998.7558597375744,-1998.7558597375744,-1998.7558597375744,0.0,0.0,0.0,2176.3269383308107,2270.477
2002-03-31,4192.3615562450805,1528.6366295160403,2856.767198749767,4192.3615562450805,4192.3615562450805,-1968.1828906438257,-1968.1828906438257,-1968.1828906438257,-1968.1828906438257,-1968.1828906438257,-1968.1828906438257,0.0,0.0,0.0,2224.1786656012546,2007.238
2002-06-30,4209.832300623739,1562.0133433410265,2883.0094028528592,4209.832300623739,4209.832300623739,-1985.9649948126105,-1985.9649948126105,-1985.9649948126105,-1985.9649948126105,-1985.9649948126105,-1985.9649948126105,0.0,0.0,0.0,2223.867305811128,2230.615
2002-09-30,4227.495031463361,2336.143433328551,3727.5956667497085,4227.495031463361,4227.495031463361,-1157.9201750854304,-1157.9201750854304,-1157.9201750854304,-1157.9201750854304,-1157.9201750854304,-1157.9201750854304,0.0,0.0,0.0,3069.5748563779302,2579.265
2002-12-31,4245.157762302982,1714.3660869695682,3103.139947707197,4245.157762302982,4245.157762302982,-1855.2984584482267,-1855.2984584482267,-1855.2984584482267,-1855.2984584482267,-1855.2984584482267,-1855.2984584482267,0.0,0.0,0.0,2389.859303854755,2211.373
2003-03-31,4262.436520733047,1532.720290995448,2949.637558617862,4262.436520733047,4262.436520733047,-2028.976969481449,-2028.976969481449,-2028.976969481449,-2028.976969481449,-2028.976969481449,-2028.976969481449,0.0,0.0,0.0,2233.4595512515975,2242.622
2003-06-30,4279.907265177403,1507.7712586003718,2901.848524132362,4279.907265177403,4279.907265177403,-2073.1486204650328,-2073.1486204650328,-2073.1486204650328,-2073.1486204650328,-2073.1486204650328,-2073.1486204650328,0.0,0.0,0.0,2206.7586447123704,1800.376
2003-09-30,4297.569995824446,2459.9310476070295,3876.323390998275,4297.569995824446,4297.569995824446,-1164.4174672979648,-1164.4174672979648,-1164.4174672979648,-1164.4174672979648,-1164.4174672979648,-1164.4174672979648,0.0,0.0,0.0,3133.152528526481,2994.418
2003-12-31,4315.232726471487,1945.2187343730675,3247.0034055559277,4315.232726471487,4315.232726471487,-1692.9497905338728,-1692.9497905338728,-1692.9497905338728,-1692.9497905338728,-1692.9497905338728,-1692.9497905338728,0.0,0.0,0.0,2622.2829359376137,2188.618
2004-03-31,4332.703470623933,1788.2923436013405,3146.205741513924,4332.703470623933,4332.703470623933,-1857.9627887520637,-1857.9627887520637,-1857.9627887520637,-1857.9627887520637,-1857.9627887520637,-1857.9627887520637,0.0,0.0,0.0,2474.740681871869,2125.23062
2004-06-30,4350.174214776378,1855.1479863732732,3265.5335335763325,4350.174214776378,4350.174214776378,-1794.1459954871893,-1794.1459954871893,-1794.1459954871893,-1794.1459954871893,-1794.1459954871893,-1794.1459954871893,0.0,0.0,0.0,2556.0282192891887,2473.29867
2004-09-30,4367.8369450194405,2593.659100957114,3991.680574975859,4367.8369450194405,4367.8369450194405,-1083.8728151315472,-1083.8728151315472,-1083.8728151315472,-1083.8728151315472,-1083.8728151315472,-1083.8728151315472,0.0,0.0,0.0,3283.9641298878933,3071.99667
2004-12-31,4385.499675262504,1604.7656096994124,2953.8408528034515,4385.499675262504,4385.499675262504,-2123.3197949833893,-2123.3197949833893,-2123.3197949833893,-2123.3197949833893,-2123.3197949833893,-2123.3197949833893,0.0,0.0,0.0,2262.1798802791145,3076.97034
2005-03-31,4402.778433108978,1813.0510231210615,3150.987869214038,4402.778433108978,4402.778433108978,-1911.1213258752666,-1911.1213258752666,-1911.1213258752666,-1911.1213258752666,-1911.1213258752666,-1911.1213258752666,0.0,0.0,0.0,2491.657107233711,2626.95083
2005-06-30,4420.249176754064,1825.5752069886887,3258.919862096929,4420.249176754064,4420.249176754064,-1892.9997602271778,-1892.9997602271778,-1892.9997602271778,-1892.9997602271778,-1892.9997602271778,-1892.9997602271778,0.0,0.0,0.0,2527.2494165268863,2641.75489
2005-09-30,4437.911906593054,2617.6395590980965,3995.9205053201463,4437.911906593054,4437.911906593054,-1131.079566496756,-1131.079566496756,-1131.079566496756,-1131.079566496756,-1131.079566496756,-1131.079566496756,0.0,0.0,0.0,3306.8323400962977,3582.45871
2005-12-31,4455.574636172779,1746.2789716122056,3162.535533602127,4455.574636172779,4455.574636172779,-1998.755859735686,-1998.755859735686,-1998.755859735686,-1998.755859735686,-1998.755859735686,-1998.755859735686,0.0,0.0,0.0,2456.8187764370928,3072.12571
2006-03-31,4472.853393370337,1831.5917199949795,3174.595090013583,4472.853393370337,4472.853393370337,-1968.1828906436535,-1968.1828906436535,-1968.1828906436535,-1968.1828906436535,-1968.1828906436535,-1968.1828906436535,0.0,0.0,0.0,2504.670502726683,2972.74396
2006-06-30,4490.324136758977,1776.2010676377338,3195.1196566143535,4490.324136758977,4490.324136758977,-1985.964994811947,-1985.964994811947,-1985.964994811947,-1985.964994811947,-1985.964994811947,-1985.964994811947,0.0,0.0,0.0,2504.3591419470304,2514.99879
2006-09-30,4507.986866417306,2662.0132203519156,4011.07771551475,4507.986866417306,4507.986866417306,-1157.9201750853786,-1157.9201750853786,-1157.9201750853786,-1157.9201750853786,-1157.9201750853786,-1157.9201750853786,0.0,0.0,0.0,3350.066691331928,3243.02014
2006-12-31,4525.649596075636,1958.2252940753888,3348.9088160997558,4525.649596075636,4525.649596075636,-1855.2984584475707,-1855.2984584475707,-1855.2984584475707,-1855.2984584475707,-1855.2984584475707,-1855.2984584475707,0.0,0.0,0.0,2670.351137628065,3187.87655
2007-03-31,4542.928353350088,1813.785685801598,3106.0983938716213,4542.928353350088,4542.928353350088,-2028.9769694803795,-2028.9769694803795,-2028.9769694803795,-2028.9769694803795,-2028.9769694803795,-2028.9769694803795,0.0,0.0,0.0,2513.951383869709,3027.7087
2007-06-30,4560.399096931792,1821.590315820877,3178.5583392230433,4560.399096931792,4560.399096931792,-2073.1486204647817,-2073.1486204647817,-2073.1486204647817,-2073.1486204647817,-2073.1486204647817,-2073.1486204647817,0.0,0.0,0.0,2487.2504764670102,3523.79754
