ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-18051.38432515542,14764.95965618451,17719.919663948604,-18051.38432515542,-18051.38432515542,34271.21349317578,34271.21349317578,34271.21349317578,34271.21349317578,34271.21349317578,34271.21349317578,0.0,0.0,0.0,16219.829168020362,17255.281
2001-06-30,-18124.771563888575,15762.9119157473,18584.256509214796,-18124.771563888575,-18124.771563888575,35266.51821196004,35266.51821196004,35266.51821196004,35266.51821196004,35266.51821196004,35266.51821196004,0.0,0.0,0.0,17141.74664807147,17139.762
2001-09-30,-18198.96525579462,17635.690521716253,20461.407894965305,-18198.96525579462,-18198.96525579462,37237.81867583157,37237.81867583157,37237.81867583157,37237.81867583157,37237.81867583157,37237.81867583157,0.0,0.0,0.0,19038.85342003695,18269.513
2001-12-31,-18273.158947700664,15607.913111345202,18326.09772314588,-18273.158947700664,-18273.158947700664,35199.46194737861,35199.46194737861,35199.46194737861,35199.46194737861,35199.46194737861,35199.46194737861,0.0,0.0,0.0,16926.302999677944,15563.182
2002-03-31,-18345.739733310187,14927.545571823652,17781.56379074779,-18345.739733310187,-18345.739733310187,34659.807896809565,34659.807896809565,34659.807896809565,34659.807896809565,34659.807896809565,34659.807896809565,0.0,0.0,0.0,16314.068163499378,15070.336
2002-06-30,-18419.12697209315,15840.774933867624,18586.880278137898,-18419.12697209315,-18419.12697209315,35589.79923740842,35589.79923740842,35589.79923740842,35589.79923740842,35589.79923740842,35589.79923740842,0.0,0.0,0.0,17170.672265315272,15456.768
2002-09-30,-18493.320663974864,17415.288088315283,20226.532779550882,-18493.320663974864,-18493.320663974864,37384.27879029169,37384.27879029169,37384.27879029169,37384.27879029169,37384.27879029169,37384.27879029169,0.0,0.0,0.0,18890.958126316826,18784.886
2002-12-31,-18567.514355856583,15126.75412872829,17980.464281221244,-18567.514355856583,-18567.514355856583,35169.68006500046,35169.68006500046,35169.68006500046,35169.68006500046,35169.68006500046,35169.68006500046,0.0,0.0,0.0,16602.165709143876,16614.403
2003-03-31,-18640.095141393045,14871.740018604589,17668.02415061476,-18640.095141393045,-18640.095141393045,34917.53256280044,34917.53256280044,34917.53256280044,34917.53256280044,34917.53256280044,34917.53256280044,0.0,0.0,0.0,16277.437421407398,16705.601
2003-06-30,-18713.482380144113,15631.854973290321,18587.128723133563,-18713.482380144113,-18713.482380144113,35860.29453811772,35860.29453811772,35860.29453811772,35860.29453811772,35860.29453811772,35860.29453811772,0.0,0.0,0.0,17146.812157973607,17174.718
2003-09-30,-18787.676072068265,17484.256614329926,20196.98708993162,-18787.676072068265,-18787.676072068265,37578.99598943917,37578.99598943917,37578.99598943917,37578.99598943917,37578.99598943917,37578.99598943917,0.0,0.0,0.0,18791.319917370907,18683.646
2003-12-31,-18861.86976399242,14669.481768747231,17534.743245926413,-18861.86976399242,-18861.86976399242,34970.39976098217,34970.39976098217,34970.39976098217,34970.39976098217,34970.39976098217,34970.39976098217,0.0,0.0,0.0,16108.529996989746,15110.616
2004-03-31,-18935.257002734234,13459.939857038475,16196.201180139828,-18935.257002734234,-18935.257002734234,33753.15230243574,33753.15230243574,33753.15230243574,33753.15230243574,33753.15230243574,33753.15230243574,0.0,0.0,0.0,14817.895299701504,15477.35656
2004-06-30,-19008.64424147605,14453.490628581765,17231.670180948757,-19008.64424147605,-19008.64424147605,34891.5809409091,34891.5809409091,34891.5809409091,34891.5809409091,34891.5809409091,34891.5809409091,0.0,0.0,0.0,15882.936699433052,16055.63363
2004-09-30,-19082.837933353705,16648.833851445448,19432.664146492607,-19082.837933353705,-19082.837933353705,37139.28916060832,37139.28916060832,37139.28916060832,37139.28916060832,37139.28916060832,37139.28916060832,0.0,0.0,0.0,18056.451227254616,17023.29842
2004-12-31,-19157.03162523136,14521.77700416732,17341.353899089794,-19157.03162523136,-19157.03162523136,35058.48790770093,35058.48790770093,35058.48790770093,35058.48790770093,35058.48790770093,35058.48790770093,0.0,0.0,0.0,15901.456282469571,16305.48517
2005-03-31,-19229.612410763853,13658.36493499093,16494.06217099219,-19229.612410763853,-19229.612410763853,34271.21349317651,34271.21349317651,34271.21349317651,34271.21349317651,34271.21349317651,34271.21349317651,0.0,0.0,0.0,15041.601082412657,14217.28959
2005-06-30,-19302.999649562757,14428.199981509626,17410.999025649806,-19302.999649562757,-19302.999649562757,35266.51821196873,35266.51821196873,35266.51821196873,35266.51821196873,35266.51821196873,35266.51821196873,0.0,0.0,0.0,15963.518562405974,14896.10396
2005-09-30,-19377.193341535272,16492.49300605086,19177.560757526215,-19377.193341535272,-19377.193341535272,37237.81867583938,37237.81867583938,37237.81867583938,37237.81867583938,37237.81867583938,37237.81867583938,0.0,0.0,0.0,17860.625334304106,17211.875
2005-12-31,-19451.3870357124,14331.104689954014,17171.268462194475,-19451.3870357124,-19451.3870357124,35199.461947383024,35199.461947383024,35199.461947383024,35199.461947383024,35199.461947383024,35199.461947383024,0.0,0.0,0.0,15748.074911670625,16190.03288
2006-03-31,-19523.967823494375,13697.108269053575,16472.876851919966,-19523.967823494375,-19523.967823494375,34659.807896807346,34659.807896807346,34659.807896807346,34659.807896807346,34659.807896807346,34659.807896807346,0.0,0.0,0.0,15135.840073312971,15504.05318
2006-06-30,-19597.35506447393,14579.933177176648,17432.163413278256,-19597.35506447393,-19597.35506447393,35589.7992374168,35589.7992374168,35589.7992374168,35589.7992374168,35589.7992374168,35589.7992374168,0.0,0.0,0.0,15992.444172942873,15991.95024
2006-09-30,-19671.556182553835,16339.151534831495,19098.642956948763,-19671.556182553835,-19671.556182553835,37384.27879029125,37384.27879029125,37384.27879029125,37384.27879029125,37384.27879029125,37384.27879029125,0.0,0.0,0.0,17712.722607737418,18162.43398
2006-12-31,-19745.757300633744,13877.667152675325,16882.647979701684,-19745.757300633744,-19745.757300633744,35169.68006499042,35169.68006499042,35169.68006499042,35169.68006499042,35169.68006499042,35169.68006499042,0.0,0.0,0.0,15423.922764356674,15764.89876
2007-03-31,-19818.34535092931,13593.610144396363,16527.287783905027,-19818.34535092931,-19818.34535092931,34917.532562787834,34917.532562787834,34917.532562787834,34917.532562787834,34917.532562787834,34917.532562787834,0.0,0.0,0.0,15099.187211858523,16506.54884
2007-06-30,-19891.784982171463,14457.910202532828,17434.73087598177,-19891.784982171463,-19891.784982171463,35860.29453812328,35860.29453812328,35860.29453812328,35860.29453812328,35860.29453812328,35860.29453812328,0.0,0.0,0.0,15968.509555951816,15891.03332
2007-09-30,-19966.031642328362,16257.720861775895,19087.977658398417,-19966.031642328362,-19966.031642328362,37578.99598943888,37578.99598943888,37578.99598943888,37578.99598943888,37578.99598943888,37578.99598943888,0.0,0.0,0.0,17612.96434711052,18734.24557
2007-12-31,-20040.31861026717,13458.446534613431,16286.41901200648,-20040.31861026717,-20040.31861026717,34970.399760985645,34970.399760985645,34970.399760985645,34970.399760985645,34970.399760985645,34970.399760985645,0.0,0.0,0.0,14930.081150718474,16776.28687
2008-03-31,-20113.798111163167,12308.384030139921,15057.48186718921,-20113.798111163167,-20113.798111163167,33753.15230243981,33753.15230243981,33753.15230243981,33753.15230243981,33753.15230243981,33753.15230243981,0.0,0.0,0.0,13639.354191276645,16366.11027
2008-06-30,-20187.277612059162,13277.081490600765,16116.925709574858,-20187.277612059162,-20187.277612059162,34891.58094092638,34891.58094092638,34891.58094092638,34891.58094092638,34891.58094092638,34891.58094092638,0.0,0.0,0.0,14704.30332886722,15794.20243
2008-09-30,-20355.78803285804,15264.96504589534,18182.38913015206,-20355.78803285804,-20355.78803285804,37139.28916059705,37139.28916059705,37139.28916059705,37139.28916059705,37139.28916059705,37139.28916059705,0.0,0.0,0.0,16783.50112773901,18256.05432
2008-12-31,-20524.29845365692,13179.951167366327,15868.557556320278,-20524.29845365692,-20524.29845365692,35058.48790768838,35058.48790768838,35058.48790768838,35058.48790768838,35058.48790768838,35058.48790768838,0.0,0.0,0.0,14534.18945403146,14407.04374
2009-03-31,-20689.14560443843,12241.429728361174,14976.165405864514,-20689.14560443843,-20689.14560443843,34271.21349318071,34271.21349318071,34271.21349318071,34271.21349318071,34271.21349318071,34271.21349318071,0.0,0.0,0.0,13582.06788874228,12245.39447
2009-06-30,-20855.87291390222,13004.763421611488,15923.5682411271,-20855.87291390222,-20855.87291390222,35266.51821196078,35266.51821196078,35266.51821196078,35266.51821196078,35266.51821196078,35266.51821196078,0.0,0.0,0.0,14410.645298058556,13175.31607
2009-09-30,-21024.432391601877,14753.725079204149,17514.344166980318,-21024.432391601877,-21024.432391601877,37237.81867582908,37237.81867582908,37237.81867582908,37237.81867582908,37237.81867582908,37237.81867582908,0.0,0.0,0.0,16213.386284227206,14584.08329
2009-12-31,-21193.025858906774,12529.255039622496,15430.131571904094,-21193.025858906774,-21193.025858906774,35199.46194737549,35199.46194737549,35199.46194737549,35199.46194737549,35199.46194737549,35199.46194737549,0.0,0.0,0.0,14006.436088468712,13998.27794
2010-03-31,-21357.95425083548,11933.401666756083,14593.538781694857,-21357.95425083548,-21357.95425083548,34659.807896805076,34659.807896805076,34659.807896805076,34659.807896805076,34659.807896805076,34659.807896805076,0.0,0.0,0.0,13301.853645969597,14172.60324
2010-06-30,-21524.71518045228,12623.697810111355,15482.255642396787,-21524.71518045228,-21524.71518045228,35589.799237405394,35589.799237405394,35589.799237405394,35589.799237405394,35589.799237405394,35589.799237405394,0.0,0.0,0.0,14065.084056953114,14411.70291
2010-09-30,-21693.348340174303,14189.352132789823,17109.868717242283,-21693.348340174303,-21693.348340174303,37384.278790288874,37384.278790288874,37384.278790288874,37384.278790288874,37384.278790288874,37384.278790288874,0.0,0.0,0.0,15690.93045011457,17137.9366
2010-12-31,-21861.981499896323,11856.586546875093,14757.897674031552,-21861.981499896323,-21861.981499896323,35169.680064992914,35169.680064992914,35169.680064992914,35169.680064992914,35169.680064992914,35169.680064992914,0.0,0.0,0.0,13307.69856509659,14175.19034
2011-03-31,-22026.948721363515,11465.048889466187,14246.506139791998,-22026.948721363515,-22026.948721363515,34917.532562798195,34917.532562798195,34917.532562798195,34917.532562798195,34917.532562798195,34917.532562798195,0.0,0.0,0.0,12890.58384143468,12132.5008
2011-06-30,-22193.814976561032,12165.764725935176,15126.951458976208,-22193.814976561032,-22193.814976561032,35860.29453811045,35860.29453811045,35860.29453811045,35860.29453811045,35860.29453811045,35860.29453811045,0.0,0.0,0.0,13666.479561549419,14448.70139
2011-09-30,-22362.514926870608,13739.84906827856,16626.456958673585,-22362.514926870608,-22362.514926870608,37578.995989439216,37578.995989439216,37578.995989439216,37578.995989439216,37578.995989439216,37578.995989439216,0.0,0.0,0.0,15216.481062568608,15227.93149
2011-12-31,-22531.262262651053,11007.928541964653,13783.994432649424,-22531.262262651053,-22531.262262651053,34970.39976099025,34970.39976099025,34970.39976099025,34970.39976099025,34970.39976099025,34970.39976099025,0.0,0.0,0.0,12439.137498339198,10181.82728
2012-03-31,-22698.17538825997,9648.200252551813,12448.771134782311,-22698.17538825997,-22698.17538825997,33753.152302437695,33753.152302437695,33753.152302437695,33753.152302437695,33753.152302437695,33753.152302437695,0.0,0.0,0.0,11054.976914177725,9566.13203
2012-06-30,-22865.08851386888,10667.513186591243,13502.785424092774,-22865.08851386888,-22865.08851386888,34891.58094092418,34891.58094092418,34891.58094092418,34891.58094092418,34891.58094092418,34891.58094092418,0.0,0.0,0.0,12026.492427055298,11022.25909
2012-09-30,-23033.85925577595,12739.994041023176,15573.700780859108,-23033.85925577595,-23033.85925577595,37139.28916059856,37139.28916059856,37139.28916059856,37139.28916059856,37139.28916059856,37139.28916059856,0.0,0.0,0.0,14105.429904822606,13553.70477
2012-12-31,-23202.629997683027,10423.968595924574,13327.323239023428,-23202.629997683027,-23202.629997683027,35058.48790770269,35058.48790770269,35058.48790770269,35058.48790770269,35058.48790770269,35058.48790770269,0.0,0.0,0.0,11855.857910019666,10144.29499
2013-03-31,-23367.7318104182,9579.045310416433,12272.973645017744,-23367.7318104182,-23367.7318104182,34271.213493179064,34271.213493179064,34271.213493179064,34271.213493179064,34271.213493179064,34271.213493179064,0.0,0.0,0.0,10903.481682760863,9398.78916
2013-06-30,-23534.695561013814,10396.338716008982,13169.285316808177,-23534.695561013814,-23534.695561013814,35266.51821194882,35266.51821194882,35266.51821194882,35266.51821194882,35266.51821194882,35266.51821194882,0.0,0.0,0.0,11731.82265093501,12135.10387
2013-09-30,-23703.494078099495,12009.983631143876,15017.752172498489,-23703.494078099495,-23703.494078099495,37237.81867583224,37237.81867583224,37237.81867583224,37237.81867583224,37237.81867583224,37237.81867583224,0.0,0.0,0.0,13534.324597732746,13592.53474
2013-12-31,-23872.374105209015,9895.133788856305,12825.733858992457,-23872.374105209015,-23872.374105209015,35199.46194738454,35199.46194738454,35199.46194738454,35199.46194738454,35199.46194738454,35199.46194738454,0.0,0.0,0.0,11327.087842175522,11216.12695
2014-03-31,-24037.582827381368,9121.113814264732,11973.779813270246,-24037.582827381368,-24037.582827381368,34659.80789681505,34659.80789681505,34659.80789681505,34659.80789681505,34659.80789681505,34659.80789681505,0.0,0.0,0.0,10622.225069433684,12757.52494
2014-06-30,-24204.627202022304,9997.181661614175,12825.753160516813,-24204.627202022304,-24204.627202022304,35589.799237401436,35589.799237401436,35589.799237401436,35589.799237401436,35589.799237401436,35589.799237401436,0.0,0.0,0.0,11385.172035379132,12506.96504
2014-09-30,-24373.621787432552,11566.148190316886,14491.29990640203,-24373.621787432552,-24373.621787432552,37384.278790291144,37384.278790291144,37384.278790291144,37384.278790291144,37384.278790291144,37384.278790291144,0.0,0.0,0.0,13010.657002858592,14444.54949
2014-12-31,-24542.616372842793,9181.505994368696,12089.292567078654,-24542.616372842793,-24542.616372842793,35169.68006499771,35169.68006499771,35169.68006499771,35169.68006499771,35169.68006499771,35169.68006499771,0.0,0.0,0.0,10627.063692154916,12344.64966
2015-03-31,-24785.356788268207,8845.706507967712,11550.158933836283,-24785.356788268207,-24785.356788268207,34917.53256279502,34917.53256279502,34917.53256279502,34917.53256279502,34917.53256279502,34917.53256279502,0.0,0.0,0.0,10132.175774526815,9606.79104
2015-06-30,-25030.79431942057,9350.406448733625,12227.221174169426,-25030.79431942057,-25030.79431942057,35860.29453812929,35860.29453812929,35860.29453812929,35860.29453812929,35860.29453812929,35860.29453812929,0.0,0.0,0.0,10829.50021870872,11567.79496
