ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,5138.288492724408,1699.6466160392954,1983.048755994847,5138.288492724408,5138.288492724408,-3298.3026901169446,-3298.3026901169446,-3298.3026901169446,-3298.3026901169446,-3298.3026901169446,-3298.3026901169446,0.0,0.0,0.0,1839.985802607463,1640.305
2001-06-30,5139.752148846166,1671.6513979195056,1958.7097833706252,5139.752148846166,5139.752148846166,-3319.7729299795305,-3319.7729299795305,-3319.7729299795305,-3319.7729299795305,-3319.7729299795305,-3319.7729299795305,0.0,0.0,0.0,1819.9792188666356,1673.321
2001-09-30,5141.231889101131,1664.879230036536,1946.591258805667,5141.231889101131,5141.231889101131,-3326.3742775030782,-3326.3742775030782,-3326.3742775030782,-3326.3742775030782,-3326.3742775030782,-3326.3742775030782,0.0,0.0,0.0,1814.8576115980527,1702.692
2001-12-31,5142.711629356096,1663.6714210891096,1937.3584650260614,5142.711629356096,5142.711629356096,-3343.586067241294,-3343.586067241294,-3343.586067241294,-3343.586067241294,-3343.586067241294,-3343.586067241294,0.0,0.0,0.0,1799.1255621148016,1819.788
2002-03-31,5144.159201333972,1735.0906857859222,2016.0978985390846,5144.159201333972,5144.159201333972,-3269.080653901885,-3269.080653901885,-3269.080653901885,-3269.080653901885,-3269.080653901885,-3269.080653901885,0.0,0.0,0.0,1875.0785474320874,1865.447
2002-06-30,5145.622857444937,1696.9864308263873,1964.336315580958,5145.622857444937,5145.622857444937,-3315.038388090876,-3315.038388090876,-3315.038388090876,-3315.038388090876,-3315.038388090876,-3315.038388090876,0.0,0.0,0.0,1830.5844693540607,1607.292
2002-09-30,5147.102597690431,1716.7492657550447,1997.322719294971,5147.102597690431,5147.102597690431,-3283.672382630641,-3283.672382630641,-3283.672382630641,-3283.672382630641,-3283.672382630641,-3283.672382630641,0.0,0.0,0.0,1863.43021505979,1626.039
2002-12-31,5148.582337935927,1701.7498171713635,2001.5734606275228,5148.582337935927,5148.582337935927,-3304.3463898938394,-3304.3463898938394,-3304.3463898938394,-3304.3463898938394,-3304.3463898938394,-3304.3463898938394,0.0,0.0,0.0,1844.2359480420878,1580.797
2003-03-31,5150.029909915216,1775.4117500099878,2045.2671822276366,5150.029909915216,5150.029909915216,-3240.3653628186003,-3240.3653628186003,-3240.3653628186003,-3240.3653628186003,-3240.3653628186003,-3240.3653628186003,0.0,0.0,0.0,1909.664547096616,2002.869
2003-06-30,5151.493566001994,1727.7133922791763,1997.8989046591964,5151.493566001994,5151.493566001994,-3281.645467499003,-3281.645467499003,-3281.645467499003,-3281.645467499003,-3281.645467499003,-3281.645467499003,0.0,0.0,0.0,1869.8480985029905,2072.954
