ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-1835.9826007362065,605.9073275155833,1099.5527261641494,-1835.9826007362065,-1835.9826007362065,2702.4185026388773,2702.4185026388773,2702.4185026388773,2702.4185026388773,2702.4185026388773,2702.4185026388773,0.0,0.0,0.0,866.4359019026708,774.84102
2001-06-30,-1838.4294159895735,652.6947546773791,1157.9748717667267,-1838.4294159895735,-1838.4294159895735,2748.983804823859,2748.983804823859,2748.983804823859,2748.983804823859,2748.983804823859,2748.983804823859,0.0,0.0,0.0,910.5543888342854,758.02701
2001-09-30,-1840.903119322648,700.3075605537094,1192.3249740779947,-1840.903119322648,-1840.903119322648,2783.997627987872,2783.997627987872,2783.997627987872,2783.997627987872,2783.997627987872,2783.997627987872,0.0,0.0,0.0,943.0945086652239,732.15001
2001-12-31,-1843.3768226557227,678.5192292092531,1176.2861066859975,-1843.3768226557227,-1843.3768226557227,2773.9654398015223,2773.9654398015223,2773.9654398015223,2773.9654398015223,2773.9654398015223,2773.9654398015223,0.0,0.0,0.0,930.5886171457996,745.69201
2002-03-31,-1845.7967498144953,612.6307787197736,1103.953942176962,-1845.7967498144953,-1845.7967498144953,2705.441996516227,2705.441996516227,2705.441996516227,2705.441996516227,2705.441996516227,2705.441996516227,0.0,0.0,0.0,859.6452467017316,852.713
2002-06-30,-1848.2435650528096,707.5317900015316,1192.0310793696167,-1848.2435650528096,-1848.2435650528096,2794.1780562050208,2794.1780562050208,2794.1780562050208,2794.1780562050208,2794.1780562050208,2794.1780562050208,0.0,0.0,0.0,945.9344911522112,1989.281
2002-09-30,-1850.7172683669742,732.9095417199633,1216.9355998464418,-1850.7172683669742,-1850.7172683669742,2820.873940087037,2820.873940087037,2820.873940087037,2820.873940087037,2820.873940087037,2820.873940087037,0.0,0.0,0.0,970.1566717200631,1769.509
2002-12-31,-1853.1909716811388,713.9503972819795,1190.6263317061153,-1853.1909716811388,-1853.1909716811388,2813.979464325744,2813.979464325744,2813.979464325744,2813.979464325744,2813.979464325744,2813.979464325744,0.0,0.0,0.0,960.7884926446054,1803.582
2003-03-31,-1855.6108988362996,622.2612863407247,1102.7050219900336,-1855.6108988362996,-1855.6108988362996,2711.282837936753,2711.282837936753,2711.282837936753,2711.282837936753,2711.282837936753,2711.282837936753,0.0,0.0,0.0,855.6719391004533,784.641
2003-06-30,-1858.0577140829514,732.0574684920288,1215.7411667719343,-1858.0577140829514,-1858.0577140829514,2825.8744773758735,2825.8744773758735,2825.8744773758735,2825.8744773758735,2825.8744773758735,2825.8744773758735,0.0,0.0,0.0,967.8167632929221,826.634
2003-09-30,-1860.5314174092364,754.3457125327978,1242.8117049828656,-1860.5314174092364,-1860.5314174092364,2853.6074215467465,2853.6074215467465,2853.6074215467465,2853.6074215467465,2853.6074215467465,2853.6074215467465,0.0,0.0,0.0,993.0760041375102,774.826
2003-12-31,-1863.0051207355218,717.2184307004076,1216.1110294696298,-1863.0051207355218,-1863.0051207355218,2842.282702738431,2842.282702738431,2842.282702738431,2842.282702738431,2842.282702738431,2842.282702738431,0.0,0.0,0.0,979.2775820029092,820.369
2004-03-31,-1865.4519359988199,591.5520559002068,1109.6015326172324,-1865.4519359988199,-1865.4519359988199,2702.205813562807,2702.205813562807,2702.205813562807,2702.205813562807,2702.205813562807,2702.205813562807,0.0,0.0,0.0,836.7538775639873,839.87359
2004-06-30,-1867.898751262118,575.8730031002401,1060.9883255423338,-1867.898751262118,-1867.898751262118,2690.285466441126,2690.285466441126,2690.285466441126,2690.285466441126,2690.285466441126,2690.285466441126,0.0,0.0,0.0,822.3867151790082,837.91317
2004-09-30,-1870.372454574136,621.8827125876776,1128.7768272863766,-1870.372454574136,-1870.372454574136,2743.0179438585205,2743.0179438585205,2743.0179438585205,2743.0179438585205,2743.0179438585205,2743.0179438585205,0.0,0.0,0.0,872.6454892843844,822.12851
2004-12-31,-1872.8461578861538,614.7147938243173,1086.5794617356607,-1872.8461578861538,-1872.8461578861538,2722.3503455933746,2722.3503455933746,2722.3503455933746,2722.3503455933746,2722.3503455933746,2722.3503455933746,0.0,0.0,0.0,849.5041877072208,731.40119
2005-03-31,-1875.266085039215,584.9098270570391,1072.4346133448184,-1875.266085039215,-1875.266085039215,2702.418502639021,2702.418502639021,2702.418502639021,2702.418502639021,2702.418502639021,2702.418502639021,0.0,0.0,0.0,827.1524175998059,817.09165
2005-06-30,-1877.7129002567829,601.870586885571,1125.6282546833472,-1877.7129002567829,-1877.7129002567829,2748.9838048240904,2748.9838048240904,2748.9838048240904,2748.9838048240904,2748.9838048240904,2748.9838048240904,0.0,0.0,0.0,871.2709045673075,821.87745
2005-09-30,-1880.1866035536648,666.4660179821088,1152.0543599192474,-1880.1866035536648,-1880.1866035536648,2783.997627988332,2783.997627988332,2783.997627988332,2783.997627988332,2783.997627988332,2783.997627988332,0.0,0.0,0.0,903.8110244346674,869.80789
2005-12-31,-1882.6602952842243,649.8454661905806,1161.3348158220224,-1882.6602952842243,-1882.6602952842243,2773.965439801397,2773.965439801397,2773.965439801397,2773.965439801397,2773.965439801397,2773.965439801397,0.0,0.0,0.0,891.305144517173,815.63855
2006-03-31,-1885.080211107598,564.5171529052284,1065.7378766937527,-1885.080211107598,-1885.080211107598,2705.4419965164184,2705.4419965164184,2705.4419965164184,2705.4419965164184,2705.4419965164184,2705.4419965164184,0.0,0.0,0.0,820.3617854088204,853.24352
2006-06-30,-1887.5270148845646,676.9964546563021,1166.4537627520842,-1887.5270148845646,-1887.5270148845646,2794.178056204998,2794.178056204998,2794.178056204998,2794.178056204998,2794.178056204998,2794.178056204998,0.0,0.0,0.0,906.6510413204335,846.23911
2006-09-30,-1889.9974671275213,691.1624215753376,1173.5316731784596,-1889.9974671275213,-1889.9974671275213,2820.8739400874806,2820.8739400874806,2820.8739400874806,2820.8739400874806,2820.8739400874806,2820.8739400874806,0.0,0.0,0.0,930.8764729599593,913.19524
2006-12-31,-1892.4679193704783,677.5849559261601,1177.3884138751073,-1892.4679193704783,-1892.4679193704783,2813.9794643268756,2813.9794643268756,2813.9794643268756,2813.9794643268756,2813.9794643268756,2813.9794643268756,0.0,0.0,0.0,921.5115449563973,924.41609
2007-03-31,-1894.8846661298926,560.1294537625371,1059.944964158828,-1894.8846661298926,-1894.8846661298926,2711.282837936819,2711.282837936819,2711.282837936819,2711.282837936819,2711.282837936819,2711.282837936819,0.0,0.0,0.0,816.3981718069263,839.25674
2007-06-30,-1897.3250856414052,697.8983064229706,1180.535640365501,-1897.3250856414052,-1897.3250856414052,2825.874477375803,2825.874477375803,2825.874477375803,2825.874477375803,2825.874477375803,2825.874477375803,0.0,0.0,0.0,928.5493917343979,874.06218
2007-09-30,-1899.7923229497476,703.5579972861926,1187.2949551263218,-1899.7923229497476,-1899.7923229497476,2853.6074215470417,2853.6074215470417,2853.6074215470417,2853.6074215470417,2853.6074215470417,2853.6074215470417,0.0,0.0,0.0,953.8150985972941,907.26009
2007-12-31,-1902.2529706528223,694.7506451938826,1182.7320264429804,-1902.2529706528223,-1902.2529706528223,2842.282702738577,2842.282702738577,2842.282702738577,2842.282702738577,2842.282702738577,2842.282702738577,0.0,0.0,0.0,940.0297320857546,910.34185
2008-03-31,-1904.6868721852113,559.4081361107579,1050.3094147142003,-1904.6868721852113,-1904.6868721852113,2702.2058135628063,2702.2058135628063,2702.2058135628063,2702.2058135628063,2702.2058135628063,2702.2058135628063,0.0,0.0,0.0,797.518941377595,702.05203
2008-06-30,-1907.1207737176003,542.6690384874075,1022.8051193310698,-1907.1207737176003,-1907.1207737176003,2690.285466440366,2690.285466440366,2690.285466440366,2690.285466440366,2690.285466440366,2690.285466440366,0.0,0.0,0.0,783.1646927227655,689.90096
2008-09-30,-1909.5746889208456,583.9706430280911,1079.2187167791678,-1909.5746889208456,-1909.5746889208456,2743.0179438587356,2743.0179438587356,2743.0179438587356,2743.0179438587356,2743.0179438587356,2743.0179438587356,0.0,0.0,0.0,833.4432549378901,741.80039
