ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,594.2960071439636,355.8211811672757,428.5483547274507,594.2960071439636,594.2960071439636,-203.00603103049497,-203.00603103049497,-203.00603103049497,-203.00603103049497,-203.00603103049497,-203.00603103049497,0.0,0.0,0.0,391.28997611346864,401.378
2001-06-30,593.2729307999152,376.1608562834601,449.14568883753634,593.2729307999152,593.2729307999152,-179.38189862053497,-179.38189862053497,-179.38189862053497,-179.38189862053497,-179.38189862053497,-179.38189862053497,0.0,0.0,0.0,413.89103217938026,388.195
2001-09-30,592.2386118586795,396.2955074720852,465.3455850669031,592.2386118586795,592.2386118586795,-162.39228766460502,-162.39228766460502,-162.39228766460502,-162.39228766460502,-162.39228766460502,-162.39228766460502,0.0,0.0,0.0,429.8463241940745,413.178
2001-12-31,591.2042929174438,392.897698141125,460.7295096508413,591.2042929174438,591.2042929174438,-164.27965113814608,-164.27965113814608,-164.27965113814608,-164.27965113814608,-164.27965113814608,-164.27965113814608,0.0,0.0,0.0,426.92464177929776,402.013
2002-03-31,590.192459171304,355.30122609420954,424.2048903619699,590.192459171304,590.192459171304,-201.5107934277066,-201.5107934277066,-201.5107934277066,-201.5107934277066,-201.5107934277066,-201.5107934277066,0.0,0.0,0.0,388.68166574359736,375.783
2002-06-30,589.1693828279848,372.2366953396645,439.45578046732845,589.1693828279848,589.1693828279848,-183.71189548882614,-183.71189548882614,-183.71189548882614,-183.71189548882614,-183.71189548882614,-183.71189548882614,0.0,0.0,0.0,405.45748733915866,402.917
2002-09-30,588.1350638884219,393.7878618781052,462.4696126576224,588.1350638884219,588.1350638884219,-160.21584047998786,-160.21584047998786,-160.21584047998786,-160.21584047998786,-160.21584047998786,-160.21584047998786,0.0,0.0,0.0,427.91922340843405,401.359
2002-12-31,587.1007449488588,374.805956271048,443.2331710056103,587.1007449488588,587.1007449488588,-176.9952545734778,-176.9952545734778,-176.9952545734778,-176.9952545734778,-176.9952545734778,-176.9952545734778,0.0,0.0,0.0,410.105490375381,365.737
2003-03-31,586.0889112036342,359.6835609882197,429.9542082949735,586.0889112036342,586.0889112036342,-191.02181069306562,-191.02181069306562,-191.02181069306562,-191.02181069306562,-191.02181069306562,-191.02181069306562,0.0,0.0,0.0,395.0671005105686,411.512
2003-06-30,585.0658348608641,363.06134678839135,430.8690655911518,585.0658348608641,585.0658348608641,-190.78854341179354,-190.78854341179354,-190.78854341179354,-190.78854341179354,-190.78854341179354,-190.78854341179354,0.0,0.0,0.0,394.2772914490706,410.164
