ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,3138.460763123594,1540.9824486702314,2567.7650008556793,3138.460763123594,3138.460763123594,-1084.615678739716,-1084.615678739716,-1084.615678739716,-1084.615678739716,-1084.615678739716,-1084.615678739716,0.0,0.0,0.0,2053.845084383878,1703.914
2001-06-30,3166.707333624867,2306.660543450518,3287.9814588792938,3166.707333624867,3166.707333624867,-364.6325552252511,-364.6325552252511,-364.6325552252511,-364.6325552252511,-364.6325552252511,-364.6325552252511,0.0,0.0,0.0,2802.0747783996158,2452.995
2001-09-30,3195.2643059997804,2328.734449913492,3336.5218023353764,3195.2643059997804,3195.2643059997804,-337.59717747139257,-337.59717747139257,-337.59717747139257,-337.59717747139257,-337.59717747139257,-337.59717747139257,0.0,0.0,0.0,2857.667128528388,3015.175
2001-12-31,3223.821278374693,1177.3573611371542,2232.9842504993517,3223.821278374693,3223.821278374693,-1518.4989347469354,-1518.4989347469354,-1518.4989347469354,-1518.4989347469354,-1518.4989347469354,-1518.4989347469354,0.0,0.0,0.0,1705.3223436277576,2174.858
2002-03-31,3251.7574469899423,1709.7999343329932,2717.714697667462,3251.7574469899423,3251.7574469899423,-1020.9852452443138,-1020.9852452443138,-1020.9852452443138,-1020.9852452443138,-1020.9852452443138,-1020.9852452443138,0.0,0.0,0.0,2230.7722017456285,2083.163
2002-06-30,3280.0040174786945,2484.447698837341,3532.1923793234987,3280.0040174786945,3280.0040174786945,-314.96880371285977,-314.96880371285977,-314.96880371285977,-314.96880371285977,-314.96880371285977,-314.96880371285977,0.0,0.0,0.0,2965.0352137658347,3098.937
2002-09-30,3308.5609898346083,2562.5495475933653,3595.6129723225968,3308.5609898346083,3308.5609898346083,-244.59164783228113,-244.59164783228113,-244.59164783228113,-244.59164783228113,-244.59164783228113,-244.59164783228113,0.0,0.0,0.0,3063.9693420023273,3080.373
2002-12-31,3337.1179621905226,1335.0336924083329,2371.2202228332467,3337.1179621905226,3337.1179621905226,-1497.060505560194,-1497.060505560194,-1497.060505560194,-1497.060505560194,-1497.060505560194,-1497.060505560194,0.0,0.0,0.0,1840.0574566303285,1524.459
2003-03-31,3365.054130799569,1958.1854746596566,3007.5479360734003,3365.054130799569,3365.054130799569,-906.9520044507107,-906.9520044507107,-906.9520044507107,-906.9520044507107,-906.9520044507107,-906.9520044507107,0.0,0.0,0.0,2458.1021263488583,2026.52
2003-06-30,3393.300701274197,2582.023427798994,3665.7264522591604,3393.300701274197,3393.300701274197,-269.8284151098846,-269.8284151098846,-269.8284151098846,-269.8284151098846,-269.8284151098846,-269.8284151098846,0.0,0.0,0.0,3123.472286164312,3333.14
2003-09-30,3421.8576736221708,2804.8021959560538,3803.739110275343,3421.8576736221708,3421.8576736221708,-121.5110829858798,-121.5110829858798,-121.5110829858798,-121.5110829858798,-121.5110829858798,-121.5110829858798,0.0,0.0,0.0,3300.346590636291,3221.138
2003-12-31,3450.4146459701456,1421.6946374154293,2432.51618344501,3450.4146459701456,3450.4146459701456,-1521.3550375423536,-1521.3550375423536,-1521.3550375423536,-1521.3550375423536,-1521.3550375423536,-1521.3550375423536,0.0,0.0,0.0,1929.059608427792,1842.138
2004-03-31,3478.6612164537637,1850.9211236689218,2889.290685733084,3478.6612164537637,3478.6612164537637,-1097.4285172851298,-1097.4285172851298,-1097.4285172851298,-1097.4285172851298,-1097.4285172851298,-1097.4285172851298,0.0,0.0,0.0,2381.232699168634,2363.59248
