ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,2033.996989058824,1264.5230302117102,2433.1018359876066,2033.996989058824,2033.996989058824,-186.76706837300847,-186.76706837300847,-186.76706837300847,-186.76706837300847,-186.76706837300847,-186.76706837300847,0.0,0.0,0.0,1847.2299206858156,1464.853
2001-06-30,2038.4241626208566,2368.5687838978924,3486.799073530984,2038.4241626208566,2038.4241626208566,876.9915309725639,876.9915309725639,876.9915309725639,876.9915309725639,876.9915309725639,876.9915309725639,0.0,0.0,0.0,2915.4156935934207,2190.07
2001-09-30,2042.8999864418124,1996.965926399584,3118.972965164444,2042.8999864418124,2042.8999864418124,485.041978163252,485.041978163252,485.041978163252,485.041978163252,485.041978163252,485.041978163252,0.0,0.0,0.0,2527.9419646050646,2248.136
2001-12-31,2047.3758102627685,863.3671864722612,1969.3261595929168,2047.3758102627685,2047.3758102627685,-640.6440499526311,-640.6440499526311,-640.6440499526311,-640.6440499526311,-640.6440499526311,-640.6440499526311,0.0,0.0,0.0,1406.7317603101374,1320.068
2002-03-31,2051.7543336108643,1439.644205863592,2571.260240527318,2051.7543336108643,2051.7543336108643,-26.25738395359479,-26.25738395359479,-26.25738395359479,-26.25738395359479,-26.25738395359479,-26.25738395359479,0.0,0.0,0.0,2025.4969496572694,1829.533
2002-06-30,2056.181507218383,2430.3389429400363,3496.045003338159,2056.181507218383,2056.181507218383,904.842073872835,904.842073872835,904.842073872835,904.842073872835,904.842073872835,904.842073872835,0.0,0.0,0.0,2961.023581091218,2842.95
2002-09-30,2060.657331026407,2065.7616908940245,3198.5813500190543,2060.657331026407,2060.657331026407,569.4229946992245,569.4229946992245,569.4229946992245,569.4229946992245,569.4229946992245,569.4229946992245,0.0,0.0,0.0,2630.0803257256316,2794.205
2002-12-31,2065.1331548344315,826.7801400944484,2011.658660555793,2065.1331548344315,2065.1331548344315,-640.0440377341718,-640.0440377341718,-640.0440377341718,-640.0440377341718,-640.0440377341718,-640.0440377341718,0.0,0.0,0.0,1425.0891171002597,1302.633
2003-03-31,2069.51167812489,1641.2306489447767,2776.3834927810917,2069.51167812489,2069.51167812489,153.1652339501722,153.1652339501722,153.1652339501722,153.1652339501722,153.1652339501722,153.1652339501722,0.0,0.0,0.0,2222.676912075062,1519.137
2003-06-30,2073.938851706572,2466.575185172476,3547.7969768607563,2073.938851706572,2073.938851706572,933.362414727392,933.362414727392,933.362414727392,933.362414727392,933.362414727392,933.362414727392,0.0,0.0,0.0,3007.301266433964,3042.331
2003-09-30,2078.4146755473944,2172.3278965829263,3311.1809929203478,2078.4146755473944,2078.4146755473944,675.4751008306973,675.4751008306973,675.4751008306973,675.4751008306973,675.4751008306973,675.4751008306973,0.0,0.0,0.0,2753.8897763780915,2497.705
2003-12-31,2082.890499388216,851.315727722447,2008.5024987965933,2082.890499388216,2082.890499388216,-664.4863722158899,-664.4863722158899,-664.4863722158899,-664.4863722158899,-664.4863722158899,-664.4863722158899,0.0,0.0,0.0,1418.4041271723263,1294.861
