ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-28098.749959223976,10187.966944002188,11837.679414234985,-28098.749959223976,-28098.749959223976,39153.6113202547,39153.6113202547,39153.6113202547,39153.6113202547,39153.6113202547,39153.6113202547,0.0,0.0,0.0,11054.861361030722,10721.553
2001-06-30,-28091.376358601283,10105.058044648096,11714.725725111948,-28091.376358601283,-28091.376358601283,38978.902494594055,38978.902494594055,38978.902494594055,38978.902494594055,38978.902494594055,38978.902494594055,0.0,0.0,0.0,10887.526135992772,10902.346
2001-09-30,-28083.921729400317,11952.484284890577,13653.712375522846,-28083.921729400317,-28083.921729400317,40863.7359001783,40863.7359001783,40863.7359001783,40863.7359001783,40863.7359001783,40863.7359001783,0.0,0.0,0.0,12779.81417077798,12500.576
2001-12-31,-28076.467100199352,10503.038641562624,12135.751422459674,-28076.467100199352,-28076.467100199352,39411.99984856142,39411.99984856142,39411.99984856142,39411.99984856142,39411.99984856142,39411.99984856142,0.0,0.0,0.0,11335.532748362068,10624.047
2002-03-31,-28069.174528095784,10462.47679249045,12094.649366263375,-28069.174528095784,-28069.174528095784,39356.43369087136,39356.43369087136,39356.43369087136,39356.43369087136,39356.43369087136,39356.43369087136,0.0,0.0,0.0,11287.259162775576,11287.717
2002-06-30,-28061.80092741329,10014.716924606899,11622.0733879508,-28061.80092741329,-28061.80092741329,38904.73372787214,38904.73372787214,38904.73372787214,38904.73372787214,38904.73372787214,38904.73372787214,0.0,0.0,0.0,10842.93280045885,10567.646
2002-09-30,-28054.346298200206,12110.161259839411,13700.641768468344,-28054.346298200206,-28054.346298200206,40923.721075837246,40923.721075837246,40923.721075837246,40923.721075837246,40923.721075837246,40923.721075837246,0.0,0.0,0.0,12869.37477763704,13306.399
2002-12-31,-28046.89166898713,10463.109368714751,12030.559835997125,-28046.89166898713,-28046.89166898713,39310.86679315632,39310.86679315632,39310.86679315632,39310.86679315632,39310.86679315632,39310.86679315632,0.0,0.0,0.0,11263.975124169188,12026.683
2003-03-31,-28039.599096930855,10533.17626910323,12104.429237872533,-28039.599096930855,-28039.599096930855,39330.41639255274,39330.41639255274,39330.41639255274,39330.41639255274,39330.41639255274,39330.41639255274,0.0,0.0,0.0,11290.817295621884,11664.505
2003-06-30,-28032.22549645603,9952.103220719879,11615.98342857517,-28032.22549645603,-28032.22549645603,38782.88449266272,38782.88449266272,38782.88449266272,38782.88449266272,38782.88449266272,38782.88449266272,0.0,0.0,0.0,10750.65899620669,11237.937
2003-09-30,-28024.770867404568,12055.487251259532,13667.146728690626,-28024.770867404568,-28024.770867404568,40917.55805214266,40917.55805214266,40917.55805214266,40917.55805214266,40917.55805214266,40917.55805214266,0.0,0.0,0.0,12892.787184738092,12947.409
2003-12-31,-28017.316238353098,10333.412344126711,11940.978515021503,-28017.316238353098,-28017.316238353098,39147.25543043628,39147.25543043628,39147.25543043628,39147.25543043628,39147.25543043628,39147.25543043628,0.0,0.0,0.0,11129.93919208318,10717.71
2004-03-31,-28009.942637727927,9891.101375955448,11536.697175120944,-28009.942637727927,-28009.942637727927,38722.340631543404,38722.340631543404,38722.340631543404,38722.340631543404,38722.340631543404,38722.340631543404,0.0,0.0,0.0,10712.397993815477,11504.02355
2004-06-30,-28002.569037102756,10158.10165952572,11811.259935043377,-28002.569037102756,-28002.569037102756,39006.282091916975,39006.282091916975,39006.282091916975,39006.282091916975,39006.282091916975,39006.282091916975,0.0,0.0,0.0,11003.71305481422,11492.70249
2004-09-30,-27995.114407699737,11935.664410440499,13531.116283876352,-27995.114407699737,-27995.114407699737,40737.78255343657,40737.78255343657,40737.78255343657,40737.78255343657,40737.78255343657,40737.78255343657,0.0,0.0,0.0,12742.668145736832,12308.53713
2004-12-31,-27987.659778296715,10641.964270982604,12286.382488006617,-27987.659778296715,-27987.659778296715,39449.23116685932,39449.23116685932,39449.23116685932,39449.23116685932,39449.23116685932,39449.23116685932,0.0,0.0,0.0,11461.571388562603,11477.39564
2005-03-31,-27980.367206054634,10341.09232371174,12014.190678364861,-27980.367206054634,-27980.367206054634,39153.61132025743,39153.61132025743,39153.61132025743,39153.61132025743,39153.61132025743,39153.61132025743,0.0,0.0,0.0,11173.244114202793,11021.4383
2005-06-30,-27972.993605339037,10184.88697836493,11849.683093999542,-27972.993605339037,-27972.993605339037,38978.90249459798,38978.90249459798,38978.90249459798,38978.90249459798,38978.90249459798,38978.90249459798,0.0,0.0,0.0,11005.908889258946,10345.98664
2005-09-30,-27965.538976044154,12097.236778768804,13685.718494128441,-27965.538976044154,-27965.538976044154,40863.735900180225,40863.735900180225,40863.735900180225,40863.735900180225,40863.735900180225,40863.735900180225,0.0,0.0,0.0,12898.196924136071,13056.18416
2005-12-31,-27958.08434657471,10676.100592443318,12266.318235034825,-27958.08434657471,-27958.08434657471,39411.99984856539,39411.99984856539,39411.99984856539,39411.99984856539,39411.99984856539,39411.99984856539,0.0,0.0,0.0,11453.915501990683,11439.08677
2006-03-31,-27950.79177426764,10604.106926309314,12201.85933391339,-27950.79177426764,-27950.79177426764,39356.43369087082,39356.43369087082,39356.43369087082,39356.43369087082,39356.43369087082,39356.43369087082,0.0,0.0,0.0,11405.641916603181,9973.52724
2006-06-30,-27943.418173379385,10106.919624202574,11769.988329015454,-27943.418173379385,-27943.418173379385,38904.73372787764,38904.73372787764,38904.73372787764,38904.73372787764,38904.73372787764,38904.73372787764,0.0,0.0,0.0,10961.315554498255,10482.9809
2006-09-30,-27935.963543973165,12196.664336793528,13774.11401709803,-27935.963543973165,-27935.963543973165,40923.72107583924,40923.72107583924,40923.72107583924,40923.72107583924,40923.72107583924,40923.72107583924,0.0,0.0,0.0,12987.757531866075,13406.40825
2006-12-31,-27928.508914566944,10540.91817721097,12195.202477289018,-27928.508914566944,-27928.508914566944,39310.866793145426,39310.866793145426,39310.866793145426,39310.866793145426,39310.866793145426,39310.866793145426,0.0,0.0,0.0,11382.357878578481,11660.81994
2007-03-31,-27921.21634232173,10571.876688793871,12209.734297051315,-27921.21634232173,-27921.21634232173,39330.41639255177,39330.41639255177,39330.41639255177,39330.41639255177,39330.41639255177,39330.41639255177,0.0,0.0,0.0,11409.20005023004,12191.68056
2007-06-30,-27913.842741409575,10063.758827653439,11720.280949537202,-27913.842741409575,-27913.842741409575,38782.88449266597,38782.88449266597,38782.88449266597,38782.88449266597,38782.88449266597,38782.88449266597,0.0,0.0,0.0,10869.041751256398,11711.67751
2007-09-30,-27906.388111915963,12176.975113264496,13849.915365134122,-27906.388111915963,-27906.388111915963,40917.558052141125,40917.558052141125,40917.558052141125,40917.558052141125,40917.558052141125,40917.558052141125,0.0,0.0,0.0,13011.169940225162,13800.83969
2007-12-31,-27898.933482725526,10442.564485145398,12079.931598587325,-27898.933482725526,-27898.933482725526,39147.25543043944,39147.25543043944,39147.25543043944,39147.25543043944,39147.25543043944,39147.25543043944,0.0,0.0,0.0,11248.321947713917,12417.99797
2008-03-31,-27891.55988211324,9996.449557844808,11673.974246418962,-27891.55988211324,-27891.55988211324,38722.34063154368,38722.34063154368,38722.34063154368,38722.34063154368,38722.34063154368,38722.34063154368,0.0,0.0,0.0,10830.78074943044,11638.26006
2008-06-30,-27884.186281500955,10273.331090285155,11941.66243851796,-27884.186281500955,-27884.186281500955,39006.28209193344,39006.28209193344,39006.28209193344,39006.28209193344,39006.28209193344,39006.28209193344,0.0,0.0,0.0,11122.095810432485,9913.90176
2008-09-30,-27876.73165204269,12033.303534306322,13694.606074475889,-27876.73165204269,-27876.73165204269,40737.78255343399,40737.78255343399,40737.78255343399,40737.78255343399,40737.78255343399,40737.78255343399,0.0,0.0,0.0,12861.050901391303,13162.01349
2008-12-31,-27869.27702258442,10737.375530229412,12347.405399831072,-27869.27702258442,-27869.27702258442,39449.23116684804,39449.23116684804,39449.23116684804,39449.23116684804,39449.23116684804,39449.23116684804,0.0,0.0,0.0,11579.954144263618,11916.14605
2009-03-31,-27861.984450288284,10478.074926309586,12100.865656669293,-27861.984450288284,-27861.984450288284,39153.61132025777,39153.61132025777,39153.61132025777,39153.61132025777,39153.61132025777,39153.61132025777,0.0,0.0,0.0,11291.626869969485,11857.77637
2009-06-30,-27854.60469744298,10304.807913595449,11933.272137914264,-27854.60469744298,-27854.60469744298,38978.902494589485,38978.902494589485,38978.902494589485,38978.902494589485,38978.902494589485,38978.902494589485,0.0,0.0,0.0,11124.297797146504,11356.53448
2009-09-30,-27847.14384841256,12258.801415883074,13799.998977157584,-27847.14384841256,-27847.14384841256,40863.73590017798,40863.73590017798,40863.73590017798,40863.73590017798,40863.73590017798,40863.73590017798,0.0,0.0,0.0,13016.592051765416,12264.2471
2009-12-31,-27839.682999545534,10774.274846547145,12452.990057461971,-27839.682999545534,-27839.682999545534,39411.999848558466,39411.999848558466,39411.999848558466,39411.999848558466,39411.999848558466,39411.999848558466,0.0,0.0,0.0,11572.316849012932,11198.74961
2010-03-31,-27832.384343045174,10745.515317389092,12342.732073691655,-27832.384343045174,-27832.384343045174,39356.43369087031,39356.43369087031,39356.43369087031,39356.43369087031,39356.43369087031,39356.43369087031,0.0,0.0,0.0,11524.049347825137,11868.32292
2010-06-30,-27825.00459036148,10225.500139736283,12003.093358522525,-27825.00459036148,-27825.00459036148,38904.73372786828,38904.73372786828,38904.73372786828,38904.73372786828,38904.73372786828,38904.73372786828,0.0,0.0,0.0,11079.729137506802,11923.24572
2010-09-30,-27817.506958900136,12324.289549729914,13886.96580803718,-27817.506958900136,-27817.506958900136,40923.721075838956,40923.721075838956,40923.721075838956,40923.721075838956,40923.721075838956,40923.721075838956,0.0,0.0,0.0,13106.21411693882,13560.97856
2010-12-31,-27810.00932743879,10649.243896320948,12360.771557901411,-27810.00932743879,-27810.00932743879,39310.866793147645,39310.866793147645,39310.866793147645,39310.866793147645,39310.866793147645,39310.866793147645,0.0,0.0,0.0,11500.857465708854,10571.21498
2011-03-31,-27802.674687965733,10736.243299407366,12311.387419634531,-27802.674687965733,-27802.674687965733,39330.416392551604,39330.416392551604,39330.416392551604,39330.416392551604,39330.416392551604,39330.416392551604,0.0,0.0,0.0,11527.741704585871,10640.09272
2011-06-30,-27795.20767399977,10145.70051385232,11772.631742391926,-27795.20767399977,-27795.20767399977,38782.88449265397,38782.88449265397,38782.88449265397,38782.88449265397,38782.88449265397,38782.88449265397,0.0,0.0,0.0,10987.6768186542,10116.61671
2011-09-30,-27787.658604935277,12305.497854879224,13956.670715720598,-27787.658604935277,-27787.658604935277,40917.55805214125,40917.55805214125,40917.55805214125,40917.55805214125,40917.55805214125,40917.55805214125,0.0,0.0,0.0,13129.899447205971,12850.07858
2011-12-31,-27780.057164920676,10556.852207178013,12160.680023376177,-27780.057164920676,-27780.057164920676,39147.25543044344,39147.25543044344,39147.25543044344,39147.25543044344,39147.25543044344,39147.25543044344,0.0,0.0,0.0,11367.198265522762,11753.05214
2012-03-31,-27772.53834925406,10168.110341754364,11712.014630860032,-27772.53834925406,-27772.53834925406,38722.34063154206,38722.34063154206,38722.34063154206,38722.34063154206,38722.34063154206,38722.34063154206,0.0,0.0,0.0,10949.802282287998,8278.8062
2012-06-30,-27765.01953358745,10545.41896803634,12037.31238743422,-27765.01953358745,-27765.01953358745,39006.28209193189,39006.28209193189,39006.28209193189,39006.28209193189,39006.28209193189,39006.28209193189,0.0,0.0,0.0,11241.262558344442,11080.56699
2012-09-30,-27744.442504656232,12116.979224256389,13752.075017245546,-27744.442504656232,-27744.442504656232,40737.78255343489,40737.78255343489,40737.78255343489,40737.78255343489,40737.78255343489,40737.78255343489,0.0,0.0,0.0,12993.340048778657,13331.83223
2012-12-31,-27723.865475725015,10965.686056381779,12543.58722112366,-27723.865475725015,-27723.865475725015,39449.23116686158,39449.23116686158,39449.23116686158,39449.23116686158,39449.23116686158,39449.23116686158,0.0,0.0,0.0,11725.365691136565,11733.48535
2013-03-31,-27703.735773509696,10636.217441526793,12267.672117223947,-27703.735773509696,-27703.735773509696,39153.61132025701,39153.61132025701,39153.61132025701,39153.61132025701,39153.61132025701,39153.61132025701,0.0,0.0,0.0,11449.875546747317,11053.37991
2013-06-30,-27683.34877321761,10513.64334915159,12086.165107441238,-27683.34877321761,-27683.34877321761,38978.90249457991,38978.90249457991,38978.90249457991,38978.90249457991,38978.90249457991,38978.90249457991,0.0,0.0,0.0,11295.5537213623,11739.88746
2013-09-30,-27662.737739955282,12347.809820251703,13971.357015694619,-27662.737739955282,-27662.737739955282,40863.73590017959,40863.73590017959,40863.73590017959,40863.73590017959,40863.73590017959,40863.73590017959,0.0,0.0,0.0,13200.99816022431,13583.29529
2013-12-31,-27642.100673354147,10909.911971995482,12580.979523953056,-27642.100673354147,-27642.100673354147,39411.999848565145,39411.999848565145,39411.999848565145,39411.999848565145,39411.999848565145,39411.999848565145,0.0,0.0,0.0,11769.899175210998,12096.01864
2014-03-31,-27621.912238635647,10896.99129046953,12548.84793673695,-27621.912238635647,-27621.912238635647,39356.433690870355,39356.433690870355,39356.433690870355,39356.433690870355,39356.433690870355,39356.433690870355,0.0,0.0,0.0,11734.521452234709,12602.43509
2014-06-30,-27601.49948797583,10455.13956685867,12080.867512228904,-27601.49948797583,-27601.49948797583,38904.73372786397,38904.73372786397,38904.73372786397,38904.73372786397,38904.73372786397,38904.73372786397,0.0,0.0,0.0,11303.234239888137,11524.7912
2014-09-30,-27580.809697118963,12498.581260555218,14170.18542811681,-27580.809697118963,-27580.809697118963,40923.721075839705,40923.721075839705,40923.721075839705,40923.721075839705,40923.721075839705,40923.721075839705,0.0,0.0,0.0,13342.911378720743,13629.06997
2014-12-31,-27560.119906262094,10910.659589875298,12540.055100374228,-27560.119906262094,-27560.119906262094,39310.86679315359,39310.86679315359,39310.86679315359,39310.86679315359,39310.86679315359,39310.86679315359,0.0,0.0,0.0,11750.746886891495,11972.06686
2015-03-31,-27539.814694839843,10927.083914672794,12576.174145584697,-27539.814694839843,-27539.814694839843,39330.416392550076,39330.416392550076,39330.416392550076,39330.416392550076,39330.416392550076,39330.416392550076,0.0,0.0,0.0,11790.601697710234,10652.38972
2015-06-30,-27519.28386995735,10376.023377745556,12059.950705411877,-27519.28386995735,-27519.28386995735,38782.88449266797,38782.88449266797,38782.88449266797,38782.88449266797,38782.88449266797,38782.88449266797,0.0,0.0,0.0,11263.600622710615,11212.72921
2015-09-30,-27498.52743161461,12591.450442876789,14256.912109048686,-27498.52743161461,-27498.52743161461,40917.5580521401,40917.5580521401,40917.5580521401,40917.5580521401,40917.5580521401,40917.5580521401,0.0,0.0,0.0,13419.03062052549,13082.89372
2015-12-31,-27430.470653424658,10938.98699010145,12588.414370994647,-27430.470653424658,-27430.470653424658,39147.25543044706,39147.25543044706,39147.25543044706,39147.25543044706,39147.25543044706,39147.25543044706,0.0,0.0,0.0,11716.784777022403,10579.11101
2016-03-31,-27363.153622823727,10514.719038759356,12212.929700297545,-27363.153622823727,-27363.153622823727,38722.34063154651,38722.34063154651,38722.34063154651,38722.34063154651,38722.34063154651,38722.34063154651,0.0,0.0,0.0,11359.187008722784,11594.22063
2016-06-30,-27295.836592222804,10886.979663075905,12545.132795982425,-27295.836592222804,-27295.836592222804,39006.28209192252,39006.28209192252,39006.28209192252,39006.28209192252,39006.28209192252,39006.28209192252,0.0,0.0,0.0,11710.445499699716,11728.01886
2016-09-30,-27227.717173516947,12655.363700334572,14324.509752493477,-27227.717173516947,-27227.717173516947,40737.78255343623,40737.78255343623,40737.78255343623,40737.78255343623,40737.78255343623,40737.78255343623,0.0,0.0,0.0,13510.06537991928,13208.12794
2016-12-31,-27159.597754811086,11430.089607860682,13072.680837123298,-27159.597754811086,-27159.597754811086,39449.2311668623,39449.2311668623,39449.2311668623,39449.2311668623,39449.2311668623,39449.2311668623,0.0,0.0,0.0,12289.633412051215,11069.62314
2017-03-31,-27092.901522929344,11150.430580973341,12894.117458696704,-27092.901522929344,-27092.901522929344,39153.6113202581,39153.6113202581,39153.6113202581,39153.6113202581,39153.6113202581,39153.6113202581,0.0,0.0,0.0,12060.709797328753,12363.19868
2017-06-30,-27025.46422180447,11171.738213748142,12780.210947310825,-27025.46422180447,-27025.46422180447,38978.902494584014,38978.902494584014,38978.902494584014,38978.902494584014,38978.902494584014,38978.902494584014,0.0,0.0,0.0,11953.438272779546,12169.78595
2017-09-30,-26957.285851436456,13078.304413194452,14693.18722977611,-26957.285851436456,-26957.285851436456,40863.73590018161,40863.73590018161,40863.73590018161,40863.73590018161,40863.73590018161,40863.73590018161,0.0,0.0,0.0,13906.450048745151,13483.65609
2017-12-31,-26889.089506398122,11699.441763445617,13379.331725429442,-26889.089506398122,-26889.089506398122,39411.999848563384,39411.999848563384,39411.999848563384,39411.999848563384,39411.999848563384,39411.999848563384,0.0,0.0,0.0,12522.910342165262,12916.65562
2018-03-31,-26822.37569059975,11679.496960471497,13391.451434184088,-26822.37569059975,-26822.37569059975,39356.43369086951,39356.43369086951,39356.43369086951,39356.43369086951,39356.43369086951,39356.43369086951,0.0,0.0,0.0,12534.05800026976,13387.26016
2018-06-30,-26754.920610181398,11358.831115012319,13008.837670196319,-26754.920610181398,-26754.920610181398,38904.733727864776,38904.733727864776,38904.733727864776,38904.733727864776,38904.733727864776,38904.733727864776,0.0,0.0,0.0,12149.813117683378,11955.37542
2018-09-30,-26686.72426514306,13471.866604567225,15070.930285246382,-26686.72426514306,-26686.72426514306,40923.72107583961,40923.72107583961,40923.72107583961,40923.72107583961,40923.72107583961,40923.72107583961,0.0,0.0,0.0,14236.99681069655,13372.00334
2018-12-31,-26618.527920104727,11829.916334443164,13512.028903906494,-26618.527920104727,-26618.527920104727,39310.866793168876,39310.866793168876,39310.866793168876,39310.866793168876,39310.866793168876,39310.866793168876,0.0,0.0,0.0,12692.338873064149,12995.57432
2019-03-31,-26551.814104306355,11958.233498381336,13677.903486758918,-26551.814104306355,-26551.814104306355,39330.41639255259,39330.41639255259,39330.41639255259,39330.41639255259,39330.41639255259,39330.41639255259,0.0,0.0,0.0,12778.602288246238,12961.77516
2019-06-30,-26484.359023888002,11500.083334350085,13083.263814108608,-26484.359023888002,-26484.359023888002,38782.88449267211,38782.88449267211,38782.88449267211,38782.88449267211,38782.88449267211,38782.88449267211,0.0,0.0,0.0,12298.525468784104,11647.9494
2019-09-30,-26416.16267884967,13615.48160269366,15407.479915207607,-26416.16267884967,-26416.16267884967,40917.558052142835,40917.558052142835,40917.558052142835,40917.558052142835,40917.558052142835,40917.558052142835,0.0,0.0,0.0,14501.395373293166,13912.53626
2019-12-31,-26347.966333811335,12056.932623631863,13616.321937782473,-26347.966333811335,-26347.966333811335,39147.25543044504,39147.25543044504,39147.25543044504,39147.25543044504,39147.25543044504,39147.25543044504,0.0,0.0,0.0,12799.289096633704,12365.7309
2020-03-31,-26280.51125339298,11616.212144742867,13259.358523593242,-26280.51125339298,-26280.51125339298,38722.34063154307,38722.34063154307,38722.34063154307,38722.34063154307,38722.34063154307,38722.34063154307,0.0,0.0,0.0,12441.82937815009,12540.39113
2020-06-30,-26213.056172974626,11970.833272609716,13621.936437326121,-26213.056172974626,-26213.056172974626,39006.28209193172,39006.28209193172,39006.28209193172,39006.28209193172,39006.28209193172,39006.28209193172,0.0,0.0,0.0,12793.22591895709,13292.04186
2020-09-30,-26144.859827936292,13769.745252866116,15480.688677064702,-26144.859827936292,-26144.859827936292,40737.782553436424,40737.782553436424,40737.782553436424,40737.782553436424,40737.782553436424,40737.782553436424,0.0,0.0,0.0,14592.922725500131,14700.9564
