ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-1550.5133624527261,668.4777032015018,1179.1778591606337,-1550.5133624527261,-1550.5133624527261,2487.2635152359044,2487.2635152359044,2487.2635152359044,2487.2635152359044,2487.2635152359044,2487.2635152359044,0.0,0.0,0.0,936.7501527831782,602.501
2001-06-30,-1554.7336098769526,614.9212725957882,1088.8349402366175,-1554.7336098769526,-1554.7336098769526,2421.1974189353887,2421.1974189353887,2421.1974189353887,2421.1974189353887,2421.1974189353887,2421.1974189353887,0.0,0.0,0.0,866.463809058436,894.983
2001-09-30,-1559.0002336464997,551.7029735966179,1087.699919122453,-1559.0002336464997,-1559.0002336464997,2370.938366610975,2370.938366610975,2370.938366610975,2370.938366610975,2370.938366610975,2370.938366610975,0.0,0.0,0.0,811.9381329644755,1542.591
2001-12-31,-1563.2668574160475,515.9029944543294,1039.0759441614475,-1563.2668574160475,-1563.2668574160475,2346.6881586467007,2346.6881586467007,2346.6881586467007,2346.6881586467007,2346.6881586467007,2346.6881586467007,0.0,0.0,0.0,783.4213012306532,815.433
2002-03-31,-1567.4407284793037,635.7425678247915,1182.8137601398448,-1567.4407284793037,-1567.4407284793037,2467.2770374318757,2467.2770374318757,2467.2770374318757,2467.2770374318757,2467.2770374318757,2467.2770374318757,0.0,0.0,0.0,899.8363089525719,1217.476
2002-06-30,-1571.6609758877073,620.6346541116106,1152.295001774268,-1571.6609758877073,-1571.6609758877073,2460.901234905651,2460.901234905651,2460.901234905651,2460.901234905651,2460.901234905651,2460.901234905651,0.0,0.0,0.0,889.2402590179438,1360.982
2002-09-30,-1575.9275996599124,494.63600349699414,1005.6585755040875,-1575.9275996599124,-1575.9275996599124,2325.047844721491,2325.047844721491,2325.047844721491,2325.047844721491,2325.047844721491,2325.047844721491,0.0,0.0,0.0,749.1202450615785,602.015
2002-12-31,-1580.194223432118,482.84035149484885,1014.4193621684448,-1580.194223432118,-1580.194223432118,2334.1295230164988,2334.1295230164988,2334.1295230164988,2334.1295230164988,2334.1295230164988,2334.1295230164988,0.0,0.0,0.0,753.9352995843808,844.276
2003-03-31,-1584.3680945136236,623.5722406232163,1109.2493770277822,-1584.3680945136236,-1584.3680945136236,2445.8266369538937,2445.8266369538937,2445.8266369538937,2445.8266369538937,2445.8266369538937,2445.8266369538937,0.0,0.0,0.0,861.4585424402701,964.694
2003-06-30,-1588.5883419233849,629.3886493135037,1165.3618934116746,-1588.5883419233849,-1588.5883419233849,2489.00342071208,2489.00342071208,2489.00342071208,2489.00342071208,2489.00342071208,2489.00342071208,0.0,0.0,0.0,900.4150787886949,1110.683
2003-09-30,-1592.8549656783082,426.4352104392035,933.9155911262825,-1592.8549656783082,-1592.8549656783082,2276.6641662886295,2276.6641662886295,2276.6641662886295,2276.6641662886295,2276.6641662886295,2276.6641662886295,0.0,0.0,0.0,683.8092006103213,990.314
2003-12-31,-1597.1215894332317,472.9796619741612,978.0721366037825,-1597.1215894332317,-1597.1215894332317,2314.409278165757,2314.409278165757,2314.409278165757,2314.409278165757,2314.409278165757,2314.409278165757,0.0,0.0,0.0,717.2876887325251,882.361
2004-03-31,-1601.3418368654252,638.4172082958032,1176.2065175899447,-1601.3418368654252,-1601.3418368654252,2505.727246614341,2505.727246614341,2505.727246614341,2505.727246614341,2505.727246614341,2505.727246614341,0.0,0.0,0.0,904.3854097489157,1027.60809
