ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-14515.343009500395,4787.530045442528,6113.676642392254,-14515.343009500395,-14515.343009500395,19988.835793316535,19988.835793316535,19988.835793316535,19988.835793316535,19988.835793316535,19988.835793316535,0.0,0.0,0.0,5473.49278381614,4874.759
2001-06-30,-14513.803249684595,4717.973350169667,5947.292620100784,-14513.803249684595,-14513.803249684595,19842.03260134154,19842.03260134154,19842.03260134154,19842.03260134154,19842.03260134154,19842.03260134154,0.0,0.0,0.0,5328.229351656944,5267.529
2001-09-30,-14512.246569431256,5933.152669568244,7213.765204047412,-14512.246569431256,-14512.246569431256,21083.492661041597,21083.492661041597,21083.492661041597,21083.492661041597,21083.492661041597,21083.492661041597,0.0,0.0,0.0,6571.246091610341,6430.027
2001-12-31,-14510.689889177915,5104.952311068776,6336.820169123642,-14510.689889177915,-14510.689889177915,20237.920956877697,20237.920956877697,20237.920956877697,20237.920956877697,20237.920956877697,20237.920956877697,0.0,0.0,0.0,5727.231067699782,5395.831
2002-03-31,-14509.16704979118,5069.7786657587885,6272.988688369073,-14509.16704979118,-14509.16704979118,20181.829238729984,20181.829238729984,20181.829238729984,20181.829238729984,20181.829238729984,20181.829238729984,0.0,0.0,0.0,5672.662188938804,5633.225
2002-06-30,-14507.627289966813,4730.005971654108,5923.476179521997,-14507.627289966813,-14507.627289966813,19806.826120218873,19806.826120218873,19806.826120218873,19806.826120218873,19806.826120218873,19806.826120218873,0.0,0.0,0.0,5299.19883025206,4774.129
2002-09-30,-14506.070609690374,5936.883250866258,7229.481692659981,-14506.070609690374,-14506.070609690374,21116.229773511546,21116.229773511546,21116.229773511546,21116.229773511546,21116.229773511546,21116.229773511546,0.0,0.0,0.0,6610.159163821172,5659.45
2002-12-31,-14504.51392941393,5078.885072801005,6378.754724001519,-14504.51392941393,-14504.51392941393,20247.197564597405,20247.197564597405,20247.197564597405,20247.197564597405,20247.197564597405,20247.197564597405,0.0,0.0,0.0,5742.683635183475,5984.102
2003-03-31,-14502.991090013064,5144.799544573728,6420.51059012458,-14502.991090013064,-14502.991090013064,20295.75940249765,20295.75940249765,20295.75940249765,20295.75940249765,20295.75940249765,20295.75940249765,0.0,0.0,0.0,5792.768312484586,5665.326
2003-06-30,-14501.451330181526,4592.714412476287,5880.076144110297,-14501.451330181526,-14501.451330181526,19766.912188753628,19766.912188753628,19766.912188753628,19766.912188753628,19766.912188753628,19766.912188753628,0.0,0.0,0.0,5265.460858572102,5032.54
2003-09-30,-14499.894649912276,5953.676193798591,7145.700902888017,-14499.894649912276,-14499.894649912276,21076.691416502657,21076.691416502657,21076.691416502657,21076.691416502657,21076.691416502657,21076.691416502657,0.0,0.0,0.0,6576.796766590382,6148.392
2003-12-31,-14498.337969643027,5107.944594446783,6307.981378275105,-14498.337969643027,-14498.337969643027,20206.403532428423,20206.403532428423,20206.403532428423,20206.403532428423,20206.403532428423,20206.403532428423,0.0,0.0,0.0,5708.065562785396,6042.672
2004-03-31,-14496.798209818391,4563.577689542427,5844.799473774157,-14496.798209818391,-14496.798209818391,19717.327165280716,19717.327165280716,19717.327165280716,19717.327165280716,19717.327165280716,19717.327165280716,0.0,0.0,0.0,5220.528955462325,5250.06663
2004-06-30,-14495.258449993753,4732.6570158304185,5977.929848498058,-14495.258449993753,-14495.258449993753,19872.487682734067,19872.487682734067,19872.487682734067,19872.487682734067,19872.487682734067,19872.487682734067,0.0,0.0,0.0,5377.229232740314,5865.37089
2004-09-30,-14493.701769759058,5884.2073925531195,7102.65474217765,-14493.701769759058,-14493.701769759058,20978.346159128952,20978.346159128952,20978.346159128952,20978.346159128952,20978.346159128952,20978.346159128952,0.0,0.0,0.0,6484.644389369894,6689.36249
2004-12-31,-14492.14508952436,5069.944021372722,6308.377168580724,-14492.14508952436,-14492.14508952436,20178.392860364234,20178.392860364234,20178.392860364234,20178.392860364234,20178.392860364234,20178.392860364234,0.0,0.0,0.0,5686.247770839875,5853.01146
2005-03-31,-14490.622250164331,4876.31203187859,6116.923483929864,-14490.622250164331,-14490.622250164331,19988.83579331733,19988.83579331733,19988.83579331733,19988.83579331733,19988.83579331733,19988.83579331733,0.0,0.0,0.0,5498.213543152997,6215.67882
2005-06-30,-14489.09664706852,4746.12782839868,5973.688964252252,-14489.09664706852,-14489.09664706852,19842.03260134076,19842.03260134076,19842.03260134076,19842.03260134076,19842.03260134076,19842.03260134076,0.0,0.0,0.0,5352.935954272241,4802.07336
2005-09-30,-14487.554279103522,5979.871284521393,7221.646931074956,-14487.554279103522,-14487.554279103522,21083.492661044573,21083.492661044573,21083.492661044573,21083.492661044573,21083.492661044573,21083.492661044573,0.0,0.0,0.0,6595.9383819410505,6141.82817
2005-12-31,-14486.01224034198,5124.728995732646,6359.441954502328,-14486.01224034198,-14486.01224034198,20237.92095687844,20237.92095687844,20237.92095687844,20237.92095687844,20237.92095687844,20237.92095687844,0.0,0.0,0.0,5751.90871653646,5927.7844
2006-03-31,-14484.503724162209,5078.1356051810935,6317.485290818119,-14484.503724162209,-14484.503724162209,20181.829238729395,20181.829238729395,20181.829238729395,20181.829238729395,20181.829238729395,20181.829238729395,0.0,0.0,0.0,5697.3255145671865,5422.7649
2006-06-30,-14482.97844669155,4691.017318705092,5933.125305877663,-14482.97844669155,-14482.97844669155,19806.8261202181,19806.8261202181,19806.8261202181,19806.8261202181,19806.8261202181,19806.8261202181,0.0,0.0,0.0,5323.8476735265485,5668.83561
2006-09-30,-14481.474485091152,6041.440138354607,7254.660504457977,-14481.474485091152,-14481.474485091152,21116.22977351073,21116.22977351073,21116.22977351073,21116.22977351073,21116.22977351073,21116.22977351073,0.0,0.0,0.0,6634.755288419579,6796.14579
2006-12-31,-14479.970523490756,5175.402467910542,6409.386930828439,-14479.970523490756,-14479.970523490756,20247.1975645959,20247.1975645959,20247.1975645959,20247.1975645959,20247.1975645959,20247.1975645959,0.0,0.0,0.0,5767.227041105143,6507.45869
2007-03-31,-14478.499256707755,5226.430478944139,6394.939123342301,-14478.499256707755,-14478.499256707755,20295.759402493688,20295.759402493688,20295.759402493688,20295.759402493688,20295.759402493688,20295.759402493688,0.0,0.0,0.0,5817.260145785933,5277.276
2007-06-30,-14477.047127677199,4663.074877449308,5877.34267493457,-14477.047127677199,-14477.047127677199,19766.91218875334,19766.91218875334,19766.91218875334,19766.91218875334,19766.91218875334,19766.91218875334,0.0,0.0,0.0,5289.8650610761415,5198.06796
2007-09-30,-14475.579041184767,5961.7693589223245,7183.786202206397,-14475.579041184767,-14475.579041184767,21076.691416501842,21076.691416501842,21076.691416501842,21076.691416501842,21076.691416501842,21076.691416501842,0.0,0.0,0.0,6601.112375317076,6703.49507
2007-12-31,-14474.125522493323,5141.025244506096,6344.596724733349,-14474.125522493323,-14474.125522493323,20206.403532427965,20206.403532427965,20206.403532427965,20206.403532427965,20206.403532427965,20206.403532427965,0.0,0.0,0.0,5732.278009934642,5872.34362
2008-03-31,-14472.687802918095,4573.524276507276,5835.726030443794,-14472.687802918095,-14472.687802918095,19717.327165282088,19717.327165282088,19717.327165282088,19717.327165282088,19717.327165282088,19717.327165282088,0.0,0.0,0.0,5244.639362363992,6088.65603
