ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-4279.697988083303,3435.646098853843,4873.28160935233,-4279.697988083303,-4279.697988083303,8421.226601872868,8421.226601872868,8421.226601872868,8421.226601872868,8421.226601872868,8421.226601872868,0.0,0.0,0.0,4141.528613789565,4445.494
2001-06-30,-4281.67365929046,3387.4542973283283,4893.47673466149,-4281.67365929046,-4281.67365929046,8432.861588252023,8432.861588252023,8432.861588252023,8432.861588252023,8432.861588252023,8432.861588252023,0.0,0.0,0.0,4151.187928961563,4270.548
2001-09-30,-4283.671041170222,3778.9132394997323,5247.134982639377,-4283.671041170222,-4283.671041170222,8768.844606806133,8768.844606806133,8768.844606806133,8768.844606806133,8768.844606806133,8768.844606806133,0.0,0.0,0.0,4485.173565635911,4390.94
2001-12-31,-4285.668423049985,3486.350781602811,4922.779474566192,-4285.668423049985,-4285.668423049985,8482.383173160857,8482.383173160857,8482.383173160857,8482.383173160857,8482.383173160857,8482.383173160857,0.0,0.0,0.0,4196.714750110872,4229.153
2002-03-31,-4287.622383583456,3271.3325732552944,4689.231102620097,-4287.622383583456,-4287.622383583456,8287.64966012323,8287.64966012323,8287.64966012323,8287.64966012323,8287.64966012323,8287.64966012323,0.0,0.0,0.0,4000.027276539774,4279.751
2002-06-30,-4289.598054789521,3292.6191391424227,4771.826764274783,-4289.598054789521,-4289.598054789521,8318.490446946336,8318.490446946336,8318.490446946336,8318.490446946336,8318.490446946336,8318.490446946336,0.0,0.0,0.0,4028.8923921568157,3939.41
2002-09-30,-4291.595436666298,3835.51175727607,5238.6948044195,-4291.595436666298,-4291.595436666298,8857.150545088505,8857.150545088505,8857.150545088505,8857.150545088505,8857.150545088505,8857.150545088505,0.0,0.0,0.0,4565.555108422207,4457.452
2002-12-31,-4293.592818543075,3542.641614091727,4940.1790612690875,-4293.592818543075,-4293.592818543075,8528.512608581887,8528.512608581887,8528.512608581887,8528.512608581887,8528.512608581887,8528.512608581887,0.0,0.0,0.0,4234.919790038812,4628.715
2003-03-31,-4295.546779074704,3155.219625266724,4550.049266398759,-4295.546779074704,-4295.546779074704,8139.76679362367,8139.76679362367,8139.76679362367,8139.76679362367,8139.76679362367,8139.76679362367,0.0,0.0,0.0,3844.220014548966,3858.057
2003-06-30,-4297.522450276737,3096.958497953597,4586.653809599924,-4297.522450276737,-4297.522450276737,8187.250518474704,8187.250518474704,8187.250518474704,8187.250518474704,8187.250518474704,8187.250518474704,0.0,0.0,0.0,3889.7280681979673,4180.596
2003-09-30,-4299.519832151321,3902.841904061525,5337.957726208858,-4299.519832151321,-4299.519832151321,8961.111653547929,8961.111653547929,8961.111653547929,8961.111653547929,8961.111653547929,8961.111653547929,0.0,0.0,0.0,4661.591821396608,4482.503
2003-12-31,-4301.517214025904,3421.2443087523293,4952.564410522713,-4301.517214025904,-4301.517214025904,8518.484265201974,8518.484265201974,8518.484265201974,8518.484265201974,8518.484265201974,8518.484265201974,0.0,0.0,0.0,4216.9670511760705,3605.166
2004-03-31,-4303.492885229643,3473.4105858747484,4936.73815734177,-4303.492885229643,-4303.492885229643,8540.69952212147,8540.69952212147,8540.69952212147,8540.69952212147,8540.69952212147,8540.69952212147,0.0,0.0,0.0,4237.206636891826,4539.022
2004-06-30,-4305.468556433384,3450.1743049669667,4944.046754054013,-4305.468556433384,-4305.468556433384,8530.340252464237,8530.340252464237,8530.340252464237,8530.340252464237,8530.340252464237,8530.340252464237,0.0,0.0,0.0,4224.871696030853,4508.47
2004-09-30,-4307.465938312818,3698.8380732012643,5101.36758640951,-4307.465938312818,-4307.465938312818,8696.086845024282,8696.086845024282,8696.086845024282,8696.086845024282,8696.086845024282,8696.086845024282,0.0,0.0,0.0,4388.620906711463,4456.844
2004-12-31,-4309.4633201922525,3339.8589651596767,4726.8121459447275,-4309.4633201922525,-4309.4633201922525,8379.944615543855,8379.944615543855,8379.944615543855,8379.944615543855,8379.944615543855,8379.944615543855,0.0,0.0,0.0,4070.481295351602,3575.645
2005-03-31,-4311.41728072648,3375.9106972746404,4784.89898363467,-4311.41728072648,-4311.41728072648,8421.22660186988,8421.22660186988,8421.22660186988,8421.22660186988,8421.22660186988,8421.22660186988,0.0,0.0,0.0,4109.809321143399,4062.718
2005-06-30,-4313.3929519314415,3469.9504927713583,4841.476170580228,-4313.3929519314415,-4313.3929519314415,8432.86158825165,8432.86158825165,8432.86158825165,8432.86158825165,8432.86158825165,8432.86158825165,0.0,0.0,0.0,4119.468636320208,2828.422
2005-09-30,-4315.390333808985,3761.670895533181,5194.716362936205,-4315.390333808985,-4315.390333808985,8768.8446068088,8768.8446068088,8768.8446068088,8768.8446068088,8768.8446068088,8768.8446068088,0.0,0.0,0.0,4453.454272999815,4141.851
2005-12-31,-4317.3877156839935,3456.85700379384,4907.535148602273,-4317.3877156839935,-4317.3877156839935,8482.383173162152,8482.383173162152,8482.383173162152,8482.383173162152,8482.383173162152,8482.383173162152,0.0,0.0,0.0,4164.995457478159,4643.362
2006-03-31,-4319.341676213894,3270.7881494719245,4702.012398345004,-4319.341676213894,-4319.341676213894,8287.649660119841,8287.649660119841,8287.649660119841,8287.649660119841,8287.649660119841,8287.649660119841,0.0,0.0,0.0,3968.3079839059474,4381.274
2006-06-30,-4321.31734741635,3292.5415939753752,4721.288605382514,-4321.31734741635,-4321.31734741635,8318.490446945285,8318.490446945285,8318.490446945285,8318.490446945285,8318.490446945285,8318.490446945285,0.0,0.0,0.0,3997.1730995289354,4069.143
2006-09-30,-4323.314729288108,3805.157846557796,5270.95779658667,-4323.314729288108,-4323.314729288108,8857.150545088252,8857.150545088252,8857.150545088252,8857.150545088252,8857.150545088252,8857.150545088252,0.0,0.0,0.0,4533.835815800145,4660.727
2006-12-31,-4325.312111159866,3490.4011318493535,4945.527768772853,-4325.312111159866,-4325.312111159866,8528.512608580559,8528.512608580559,8528.512608580559,8528.512608580559,8528.512608580559,8528.512608580559,0.0,0.0,0.0,4203.200497420693,3624.304
2007-03-31,-4327.266071686585,3100.1685355249424,4577.005367961691,-4327.266071686585,-4327.266071686585,8139.766793618606,8139.766793618606,8139.766793618606,8139.766793618606,8139.766793618606,8139.766793618606,0.0,0.0,0.0,3812.5007219320214,4636.413
2007-06-30,-4329.241742890139,3185.06448589274,4567.193911734393,-4329.241742890139,-4329.241742890139,8187.250518474167,8187.250518474167,8187.250518474167,8187.250518474167,8187.250518474167,8187.250518474167,0.0,0.0,0.0,3858.0087755840277,3968.057
2007-09-30,-4331.239124766262,3928.895489940904,5351.530780556833,-4331.239124766262,-4331.239124766262,8961.11165354712,8961.11165354712,8961.11165354712,8961.11165354712,8961.11165354712,8961.11165354712,0.0,0.0,0.0,4629.8725287808575,4619.833
2007-12-31,-4333.236506645876,3483.1666466199367,4895.940887900931,-4333.236506645876,-4333.236506645876,8518.4842652026,8518.4842652026,8518.4842652026,8518.4842652026,8518.4842652026,8518.4842652026,0.0,0.0,0.0,4185.247758556724,3853.269
2008-03-31,-4335.212177852885,3472.570530361452,4892.935931466752,-4335.212177852885,-4335.212177852885,8540.699522122986,8540.699522122986,8540.699522122986,8540.699522122986,8540.699522122986,8540.699522122986,0.0,0.0,0.0,4205.487344270101,3038.344
2008-06-30,-4337.187849059896,3447.3534354932344,4933.209478586042,-4337.187849059896,-4337.187849059896,8530.340252467711,8530.340252467711,8530.340252467711,8530.340252467711,8530.340252467711,8530.340252467711,0.0,0.0,0.0,4193.152403407816,3613.758
2008-09-30,-4339.185230933867,3690.370348552425,5074.524572085061,-4339.185230933867,-4339.185230933867,8696.086845020824,8696.086845020824,8696.086845020824,8696.086845020824,8696.086845020824,8696.086845020824,0.0,0.0,0.0,4356.901614086956,3911.092
2008-12-31,-4341.182612807838,3291.50893459594,4709.113944871165,-4341.182612807838,-4341.182612807838,8379.944615541526,8379.944615541526,8379.944615541526,8379.944615541526,8379.944615541526,8379.944615541526,0.0,0.0,0.0,4038.762002733688,4807.794
2009-03-31,-4343.136573336723,3367.407599478502,4782.870711394957,-4343.136573336723,-4343.136573336723,8421.226601872122,8421.226601872122,8421.226601872122,8421.226601872122,8421.226601872122,8421.226601872122,0.0,0.0,0.0,4078.090028535399,4690.209
2009-06-30,-4345.112244534171,3372.5038523564704,4807.228517821803,-4345.112244534171,-4345.112244534171,8432.861588250826,8432.861588250826,8432.861588250826,8432.861588250826,8432.861588250826,8432.861588250826,0.0,0.0,0.0,4087.749343716655,4694.133
2009-09-30,-4347.109626404117,3705.0663455422023,5124.665248249905,-4347.109626404117,-4347.109626404117,8768.84460680609,8768.84460680609,8768.84460680609,8768.84460680609,8768.84460680609,8768.84460680609,0.0,0.0,0.0,4421.734980401972,4443.274
2009-12-31,-4349.107008271944,3433.878870239274,4860.640318294099,-4349.107008271944,-4349.107008271944,8482.383173160832,8482.383173160832,8482.383173160832,8482.383173160832,8482.383173160832,8482.383173160832,0.0,0.0,0.0,4133.276164888887,2954.461
2010-03-31,-4351.060968794819,3230.595331643041,4667.004562349388,-4351.060968794819,-4351.060968794819,8287.649660119445,8287.649660119445,8287.649660119445,8287.649660119445,8287.649660119445,8287.649660119445,0.0,0.0,0.0,3936.588691324626,4657.427
2010-06-30,-4353.0366399901695,3259.937043868644,4704.136377009857,-4353.0366399901695,-4353.0366399901695,8318.490446943993,8318.490446943993,8318.490446943993,8318.490446943993,8318.490446943993,8318.490446943993,0.0,0.0,0.0,3965.453806953824,4676.749
2010-09-30,-4355.034021862186,3798.1984843484456,5206.902889370211,-4355.034021862186,-4355.034021862186,8857.150545088418,8857.150545088418,8857.150545088418,8857.150545088418,8857.150545088418,8857.150545088418,0.0,0.0,0.0,4502.116523226232,4559.654
2010-12-31,-4357.031403734202,3469.1294928741395,4848.376828317058,-4357.031403734202,-4357.031403734202,8528.512608580791,8528.512608580791,8528.512608580791,8528.512608580791,8528.512608580791,8528.512608580791,0.0,0.0,0.0,4171.481204846589,4745.517
2011-03-31,-4358.985364261175,3097.551278229458,4554.019343937753,-4358.985364261175,-4358.985364261175,8139.766793621136,8139.766793621136,8139.766793621136,8139.766793621136,8139.766793621136,8139.766793621136,0.0,0.0,0.0,3780.7814293599604,3726.788
2011-06-30,-4360.9610354578635,3137.3296363123404,4512.84253604708,-4360.9610354578635,-4360.9610354578635,8187.250518472044,8187.250518472044,8187.250518472044,8187.250518472044,8187.250518472044,8187.250518472044,0.0,0.0,0.0,3826.2894830141804,3519.344
2011-09-30,-4362.958417327042,3903.9778028856003,5262.207015674164,-4362.958417327042,-4362.958417327042,8961.111653546908,8961.111653546908,8961.111653546908,8961.111653546908,8961.111653546908,8961.111653546908,0.0,0.0,0.0,4598.153236219866,4709.049
2011-12-31,-4364.955799194923,3498.418172078877,4854.142588258231,-4364.955799194923,-4364.955799194923,8518.48426520308,8518.48426520308,8518.48426520308,8518.48426520308,8518.48426520308,8518.48426520308,0.0,0.0,0.0,4153.528466008157,4659.794
2012-03-31,-4366.931470390328,3448.7816578055144,4860.250440359568,-4366.931470390328,-4366.931470390328,8540.69952212343,8540.69952212343,8540.69952212343,8540.69952212343,8540.69952212343,8540.69952212343,0.0,0.0,0.0,4173.768051733102,4670.702
2012-06-30,-4368.9071415857325,3487.798938265391,4876.466099837745,-4368.9071415857325,-4368.9071415857325,8530.340252467447,8530.340252467447,8530.340252467447,8530.340252467447,8530.340252467447,8530.340252467447,0.0,0.0,0.0,4161.433110881715,3923.734
2012-09-30,-4370.9045234563455,3570.726543180325,5031.306707670335,-4370.9045234563455,-4370.9045234563455,8696.086845020873,8696.086845020873,8696.086845020873,8696.086845020873,8696.086845020873,8696.086845020873,0.0,0.0,0.0,4325.182321564527,4496.755
2012-12-31,-4372.901905326959,3297.0512879474704,4713.592844879926,-4372.901905326959,-4372.901905326959,8379.94461554473,8379.94461554473,8379.94461554473,8379.94461554473,8379.94461554473,8379.94461554473,0.0,0.0,0.0,4007.04271021777,2567.941
2013-03-31,-4374.85586585256,3298.977483669292,4744.92318772212,-4374.85586585256,-4374.85586585256,8421.22660187195,8421.22660187195,8421.22660187195,8421.22660187195,8421.22660187195,8421.22660187195,0.0,0.0,0.0,4046.3707360193894,3200.24
2013-06-30,-4376.83153705287,3336.999781071022,4776.08578391399,-4376.83153705287,-4376.83153705287,8432.861588247562,8432.861588247562,8432.861588247562,8432.861588247562,8432.861588247562,8432.861588247562,0.0,0.0,0.0,4056.0300511946925,4347.048
2013-09-30,-4378.82891892571,3692.768982967468,5099.916008095701,-4378.82891892571,-4378.82891892571,8768.844606806024,8768.844606806024,8768.844606806024,8768.844606806024,8768.844606806024,8768.844606806024,0.0,0.0,0.0,4390.015687880314,4675.06
