ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-8709.256237473059,4873.601676668816,5747.301125268544,-8709.256237473059,-8709.256237473059,14049.241888604865,14049.241888604865,14049.241888604865,14049.241888604865,14049.241888604865,14049.241888604865,0.0,0.0,0.0,5339.985651131807,4614.576
2001-06-30,-8744.004421280642,4590.322308511122,5465.661301029597,-8744.004421280642,-8744.004421280642,13766.644025025449,13766.644025025449,13766.644025025449,13766.644025025449,13766.644025025449,13766.644025025449,0.0,0.0,0.0,5022.639603744807,4533.897
2001-09-30,-8779.134453261937,4843.059712744354,5719.4977943304875,-8779.134453261937,-8779.134453261937,14068.038165718992,14068.038165718992,14068.038165718992,14068.038165718992,14068.038165718992,14068.038165718992,0.0,0.0,0.0,5288.903712457055,5449.129
2001-12-31,-8814.264485243231,4752.956850930815,5618.331652851143,-8814.264485243231,-8814.264485243231,13985.197423309515,13985.197423309515,13985.197423309515,13985.197423309515,13985.197423309515,13985.197423309515,0.0,0.0,0.0,5170.932938066284,4967.219
2002-03-31,-8848.6308208607,4774.250250203358,5639.223342190364,-8848.6308208607,-8848.6308208607,14034.408994530473,14034.408994530473,14034.408994530473,14034.408994530473,14034.408994530473,14034.408994530473,0.0,0.0,0.0,5185.7781736697725,5503.745
2002-06-30,-8883.379004651695,4425.913610043955,5266.058007583722,-8883.379004651695,-8883.379004651695,13725.082004473137,13725.082004473137,13725.082004473137,13725.082004473137,13725.082004473137,13725.082004473137,0.0,0.0,0.0,4841.702999821442,5486.003
2002-09-30,-8918.509036646035,4650.976264729769,5499.374855420349,-8918.509036646035,-8918.509036646035,14010.244332814751,14010.244332814751,14010.244332814751,14010.244332814751,14010.244332814751,14010.244332814751,0.0,0.0,0.0,5091.735296168716,5863.315
2002-12-31,-8953.639068640377,4632.493204537955,5474.102298655852,-8953.639068640377,-8953.639068640377,14010.199602896153,14010.199602896153,14010.199602896153,14010.199602896153,14010.199602896153,14010.199602896153,0.0,0.0,0.0,5056.560534255776,5681.973
2003-03-31,-8988.005404287016,4634.443011121208,5519.493853037153,-8988.005404287016,-8988.005404287016,14065.610300277047,14065.610300277047,14065.610300277047,14065.610300277047,14065.610300277047,14065.610300277047,0.0,0.0,0.0,5077.604895990031,4965.524
2003-06-30,-9022.753588135954,4187.064003578162,4978.574945394732,-9022.753588135954,-9022.753588135954,13621.711409061541,13621.711409061541,13621.711409061541,13621.711409061541,13621.711409061541,13621.711409061541,0.0,0.0,0.0,4598.957820925587,4256.344
2003-09-30,-9057.88362015906,4391.545673156709,5277.542586324943,-9057.88362015906,-9057.88362015906,13889.095486690156,13889.095486690156,13889.095486690156,13889.095486690156,13889.095486690156,13889.095486690156,0.0,0.0,0.0,4831.211866531095,4679.616
2003-12-31,-9093.013652182164,4500.633971845482,5343.347075223815,-9093.013652182164,-9093.013652182164,13988.136247972028,13988.136247972028,13988.136247972028,13988.136247972028,13988.136247972028,13988.136247972028,0.0,0.0,0.0,4895.122595789864,5070.151
2004-03-31,-9127.761836006246,4605.010105971228,5403.172001732035,-9127.761836006246,-9127.761836006246,14109.990623155913,14109.990623155913,14109.990623155913,14109.990623155913,14109.990623155913,14109.990623155913,0.0,0.0,0.0,4982.2287871496665,5302.32582
2004-06-30,-9162.510019830326,4145.586323879604,4974.803094748215,-9162.510019830326,-9162.510019830326,13745.633487620129,13745.633487620129,13745.633487620129,13745.633487620129,13745.633487620129,13745.633487620129,0.0,0.0,0.0,4583.123467789803,4426.96427
2004-09-30,-9197.640051814871,4416.731495405611,5304.216715125086,-9197.640051814871,-9197.640051814871,14062.480395950799,14062.480395950799,14062.480395950799,14062.480395950799,14062.480395950799,14062.480395950799,0.0,0.0,0.0,4864.840344135928,4619.48499
2004-12-31,-9232.770083799418,4243.330163966322,5081.7484047623,-9232.770083799418,-9232.770083799418,13913.959782461141,13913.959782461141,13913.959782461141,13913.959782461141,13913.959782461141,13913.959782461141,0.0,0.0,0.0,4681.189698661723,4750.11038
2005-03-31,-9267.136419436476,4341.7923220806215,5192.063682131206,-9267.136419436476,-9267.136419436476,14049.241888604834,14049.241888604834,14049.241888604834,14049.241888604834,14049.241888604834,14049.241888604834,0.0,0.0,0.0,4782.1054691683585,4917.9181
2005-06-30,-9301.884603235445,4038.27290903625,4889.34524607361,-9301.884603235445,-9301.884603235445,13766.644025020702,13766.644025020702,13766.644025020702,13766.644025020702,13766.644025020702,13766.644025020702,0.0,0.0,0.0,4464.759421785257,4539.76845
2005-09-30,-9337.01463520803,4294.8568324218195,5161.711360175692,-9337.01463520803,-9337.01463520803,14068.038165717971,14068.038165717971,14068.038165717971,14068.038165717971,14068.038165717971,14068.038165717971,0.0,0.0,0.0,4731.023530509941,4934.39474
2005-12-31,-9372.144667180819,4165.485245970108,5029.972427794884,-9372.144667180819,-9372.144667180819,13985.197423305894,13985.197423305894,13985.197423305894,13985.197423305894,13985.197423305894,13985.197423305894,0.0,0.0,0.0,4613.052756125075,4451.89629
2006-03-31,-9406.511002806375,4186.487834832678,5077.4042519421255,-9406.511002806375,-9406.511002806375,14034.40899453077,14034.40899453077,14034.40899453077,14034.40899453077,14034.40899453077,14034.40899453077,0.0,0.0,0.0,4627.897991724394,3886.19314
2006-06-30,-9441.259186605546,3840.9352657186223,4720.6869097114695,-9441.259186605546,-9441.259186605546,13725.082004466502,13725.082004466502,13725.082004466502,13725.082004466502,13725.082004466502,13725.082004466502,0.0,0.0,0.0,4283.822817860955,4012.22653
2006-09-30,-9476.389218549206,4085.605727513088,4989.623972269699,-9476.389218549206,-9476.389218549206,14010.244332814003,14010.244332814003,14010.244332814003,14010.244332814003,14010.244332814003,14010.244332814003,0.0,0.0,0.0,4533.8551142647975,4625.44333
2006-12-31,-9511.519250492865,4026.8539047119225,4901.076166760133,-9511.519250492865,-9511.519250492865,14010.199602902832,14010.199602902832,14010.199602902832,14010.199602902832,14010.199602902832,14010.199602902832,0.0,0.0,0.0,4498.680352409967,4292.30972
2007-03-31,-9545.885586089924,4132.276293115557,4920.919042929671,-9545.885586089924,-9545.885586089924,14065.610300279015,14065.610300279015,14065.610300279015,14065.610300279015,14065.610300279015,14065.610300279015,0.0,0.0,0.0,4519.724714189091,4323.26879
2007-06-30,-9580.633769850292,3622.874316590019,4460.773770159178,-9580.633769850292,-9580.633769850292,13621.71140905739,13621.71140905739,13621.71140905739,13621.71140905739,13621.71140905739,13621.71140905739,0.0,0.0,0.0,4041.0776392070984,3825.03116
2007-09-30,-9615.763801783853,3849.1356233372508,4693.090242343776,-9615.763801783853,-9615.763801783853,13889.095486688833,13889.095486688833,13889.095486688833,13889.095486688833,13889.095486688833,13889.095486688833,0.0,0.0,0.0,4273.331684904981,4193.02632
2007-12-31,-9650.89383369936,3919.594979996156,4771.969603507108,-9650.89383369936,-9650.89383369936,13988.1362479694,13988.1362479694,13988.1362479694,13988.1362479694,13988.1362479694,13988.1362479694,0.0,0.0,0.0,4337.24241427004,3787.24119
2008-03-31,-9685.642017441873,3981.9524626123143,4862.291807040455,-9685.642017441873,-9685.642017441873,14109.990623155367,14109.990623155367,14109.990623155367,14109.990623155367,14109.990623155367,14109.990623155367,0.0,0.0,0.0,4424.348605713494,4146.90111
2008-06-30,-9720.390201184386,3608.5523790302614,4451.304518992561,-9720.390201184386,-9720.390201184386,13745.63348761041,13745.63348761041,13745.63348761041,13745.63348761041,13745.63348761041,13745.63348761041,0.0,0.0,0.0,4025.2432864260245,4216.32479
