ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-66.0290578455771,7122.26503707932,8778.246178470888,-66.0290578455771,-66.0290578455771,8008.611790617767,8008.611790617767,8008.611790617767,8008.611790617767,8008.611790617767,8008.611790617767,0.0,0.0,0.0,7942.58273277219,7004.189
2001-06-30,-107.46941589880794,6261.503372535099,7989.612528971423,-107.46941589880794,-107.46941589880794,7258.669482318825,7258.669482318825,7258.669482318825,7258.669482318825,7258.669482318825,7258.669482318825,0.0,0.0,0.0,7151.200066420018,6687.761
2001-09-30,-149.36516250207427,7692.071155189101,9368.760685640305,-149.36516250207427,-149.36516250207427,8649.103675882548,8649.103675882548,8649.103675882548,8649.103675882548,8649.103675882548,8649.103675882548,0.0,0.0,0.0,8499.738513380475,8026.013
2001-12-31,-191.26090910534057,6493.1062109773675,8248.423342615455,-191.26090910534057,-191.26090910534057,7562.846806827519,7562.846806827519,7562.846806827519,7562.846806827519,7562.846806827519,7562.846806827519,0.0,0.0,0.0,7371.585897722178,6661.446
2002-03-31,-232.2458786751266,7223.257777174028,8914.109142319581,-232.2458786751266,-232.2458786751266,8355.445887978622,8355.445887978622,8355.445887978622,8355.445887978622,8355.445887978622,8355.445887978622,0.0,0.0,0.0,8123.200009303495,6287.258
2002-06-30,-273.686236795688,6287.934160761468,8037.807163346162,-273.686236795688,-273.686236795688,7406.550827773131,7406.550827773131,7406.550827773131,7406.550827773131,7406.550827773131,7406.550827773131,0.0,0.0,0.0,7132.864590977442,7161.618
2002-09-30,-315.58198353265226,7390.603665204343,9148.61964441407,-315.58198353265226,-315.58198353265226,8573.444761988107,8573.444761988107,8573.444761988107,8573.444761988107,8573.444761988107,8573.444761988107,0.0,0.0,0.0,8257.862778455454,8325.206
2002-12-31,-357.4777302696165,6343.020008953604,8074.241746902872,-357.4777302696165,-357.4777302696165,7508.121298638431,7508.121298638431,7508.121298638431,7508.121298638431,7508.121298638431,7508.121298638431,0.0,0.0,0.0,7150.643568368814,6937.971
2003-03-31,-398.46269990360315,7387.898302183367,9132.98142548023,-398.46269990360315,-398.46269990360315,8683.588148597883,8683.588148597883,8683.588148597883,8683.588148597883,8683.588148597883,8683.588148597883,0.0,0.0,0.0,8285.12544869428,8215.478
2003-06-30,-439.90305802989195,6146.411642231963,7898.797358660371,-439.90305802989195,-439.90305802989195,7503.917781561577,7503.917781561577,7503.917781561577,7503.917781561577,7503.917781561577,7503.917781561577,0.0,0.0,0.0,7064.0147235316845,5959.986
