ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-942.7842965994948,2964.561588490472,4188.731243019213,-942.7842965994948,-942.7842965994948,4540.634675655569,4540.634675655569,4540.634675655569,4540.634675655569,4540.634675655569,4540.634675655569,0.0,0.0,0.0,3597.8503790560735,3154.208
2001-06-30,-988.4022680839892,2518.3420456496306,3685.5246237505658,-988.4022680839892,-988.4022680839892,4078.351433050519,4078.351433050519,4078.351433050519,4078.351433050519,4078.351433050519,4078.351433050519,0.0,0.0,0.0,3089.9491649665297,2479.79
2001-09-30,-1034.5215359584229,2688.5182314940675,3871.090033822903,-1034.5215359584229,-1034.5215359584229,4329.899928918066,4329.899928918066,4329.899928918066,4329.899928918066,4329.899928918066,4329.899928918066,0.0,0.0,0.0,3295.378392959643,2525.323
2001-12-31,-1080.6408038328568,2690.9555858506565,3847.0271635933213,-1080.6408038328568,-1080.6408038328568,4405.9437773567315,4405.9437773567315,4405.9437773567315,4405.9437773567315,4405.9437773567315,4405.9437773567315,0.0,0.0,0.0,3325.3029735238747,2892.012
2002-03-31,-1125.7574789279745,2934.4727777513694,4127.156398317668,-1125.7574789279745,-1125.7574789279745,4633.912618029567,4633.912618029567,4633.912618029567,4633.912618029567,4633.912618029567,4633.912618029567,0.0,0.0,0.0,3508.155139101593,2736.994
2002-06-30,-1171.375450413038,2325.8909091506007,3516.7672974943193,-1171.375450413038,-1171.375450413038,4091.2827196752546,4091.2827196752546,4091.2827196752546,4091.2827196752546,4091.2827196752546,4091.2827196752546,0.0,0.0,0.0,2919.9072692622167,2454.74
2002-09-30,-1217.4947182769656,2506.232634758405,3680.6767719547574,-1217.4947182769656,-1217.4947182769656,4311.197966191085,4311.197966191085,4311.197966191085,4311.197966191085,4311.197966191085,4311.197966191085,0.0,0.0,0.0,3093.703247914119,2900.967
2002-12-31,-1263.613986140893,2444.4807860168444,3614.8955657890497,-1263.613986140893,-1263.613986140893,4318.451111764143,4318.451111764143,4318.451111764143,4318.451111764143,4318.451111764143,4318.451111764143,0.0,0.0,0.0,3054.8371256232504,3410.158
2003-03-31,-1308.73066122517,2767.8356784932575,3985.6634067469,-1308.73066122517,-1308.73066122517,4714.130166660579,4714.130166660579,4714.130166660579,4714.130166660579,4714.130166660579,4714.130166660579,0.0,0.0,0.0,3405.3995054354086,3013.233
2003-06-30,-1354.3486326887728,2135.799819297377,3322.2843821251477,-1354.3486326887728,-1354.3486326887728,4101.906741372171,4101.906741372171,4101.906741372171,4101.906741372171,4101.906741372171,4101.906741372171,0.0,0.0,0.0,2747.5581086833986,2410.881
2003-09-30,-1400.4679005420853,2297.441969502385,3457.177392939052,-1400.4679005420853,-1400.4679005420853,4292.099078679497,4292.099078679497,4292.099078679497,4292.099078679497,4292.099078679497,4292.099078679497,0.0,0.0,0.0,2891.631178137412,2896.687
2003-12-31,-1446.5871683953983,2186.910476290287,3347.0374546560324,-1446.5871683953983,-1446.5871683953983,4220.53627704971,4220.53627704971,4220.53627704971,4220.53627704971,4220.53627704971,4220.53627704971,0.0,0.0,0.0,2773.949108654312,2575.688
2004-03-31,-1492.2051398610886,2354.1532292356374,3554.380191460378,-1492.2051398610886,-1492.2051398610886,4434.465545973154,4434.465545973154,4434.465545973154,4434.465545973154,4434.465545973154,4434.465545973154,0.0,0.0,0.0,2942.2604061120655,2836.98945
2004-06-30,-1537.8231113267789,1902.7770558740813,3093.1425944715356,-1537.8231113267789,-1537.8231113267789,4063.1718580725037,4063.1718580725037,4063.1718580725037,4063.1718580725037,4063.1718580725037,4063.1718580725037,0.0,0.0,0.0,2525.348746745725,2271.10271
2004-09-30,-1583.942379189689,2172.3272190480084,3360.316065925357,-1583.942379189689,-1583.942379189689,4348.1716841215875,4348.1716841215875,4348.1716841215875,4348.1716841215875,4348.1716841215875,4348.1716841215875,0.0,0.0,0.0,2764.2293049318987,2797.21254
2004-12-31,-1630.0616470525993,2215.162903770394,3443.8889035608963,-1630.0616470525993,-1630.0616470525993,4482.822208188989,4482.822208188989,4482.822208188989,4482.822208188989,4482.822208188989,4482.822208188989,0.0,0.0,0.0,2852.7605611363897,2621.05702
2005-03-31,-1675.1783221358808,2254.429050397628,3425.1327339183977,-1675.1783221358808,-1675.1783221358808,4540.63467565631,4540.63467565631,4540.63467565631,4540.63467565631,4540.63467565631,4540.63467565631,0.0,0.0,0.0,2865.456353520429,3050.36421
2005-06-30,-1720.7962938383987,1735.208704414327,2991.993569321218,-1720.7962938383987,-1720.7962938383987,4078.3514330507833,4078.3514330507833,4078.3514330507833,4078.3514330507833,4078.3514330507833,4078.3514330507833,0.0,0.0,0.0,2357.5551392123843,2821.62539
2005-09-30,-1766.9155619332523,1948.7362273949834,3129.317596453186,-1766.9155619332523,-1766.9155619332523,4329.89992891818,4329.89992891818,4329.89992891818,4329.89992891818,4329.89992891818,4329.89992891818,0.0,0.0,0.0,2562.984366984928,3081.96645
2005-12-31,-1813.0351191417024,1974.0690498450672,3171.71347007847,-1813.0351191417024,-1813.0351191417024,4405.943777356487,4405.943777356487,4405.943777356487,4405.943777356487,4405.943777356487,4405.943777356487,0.0,0.0,0.0,2592.9086582147847,3079.59044
2006-03-31,-1858.1520772804038,2184.4228389686677,3403.222227548843,-1858.1520772804038,-1858.1520772804038,4633.912618029811,4633.912618029811,4633.912618029811,4633.912618029811,4633.912618029811,4633.912618029811,0.0,0.0,0.0,2775.760540749407,2860.42597
2006-06-30,-1903.770334953979,1577.1630141689118,2790.472703079848,-1903.770334953979,-1903.770334953979,4091.28271967572,4091.28271967572,4091.28271967572,4091.28271967572,4091.28271967572,4091.28271967572,0.0,0.0,0.0,2187.512384721741,2277.76628
2006-09-30,-1949.8950876554327,1770.9725583590482,3008.220311531504,-1949.8950876554327,-1949.8950876554327,4311.197966190916,4311.197966190916,4311.197966190916,4311.197966190916,4311.197966190916,4311.197966190916,0.0,0.0,0.0,2361.3028785354836,3054.77768
2006-12-31,-1996.0198403568868,1710.3416261255663,2869.6778469524133,-1996.0198403568868,-1996.0198403568868,4318.451111762238,4318.451111762238,4318.451111762238,4318.451111762238,4318.451111762238,4318.451111762238,0.0,0.0,0.0,2322.4312714053513,2945.37154
2007-03-31,-2041.1418810430912,2107.5189101696774,3289.441149426004,-2041.1418810430912,-2041.1418810430912,4714.130166660129,4714.130166660129,4714.130166660129,4714.130166660129,4714.130166660129,4714.130166660129,0.0,0.0,0.0,2672.988285617038,3078.97951
2007-06-30,-2086.7705040904307,1406.0811823426566,2595.5705466422087,-2086.7705040904307,-2086.7705040904307,4101.90674137245,4101.90674137245,4101.90674137245,4101.90674137245,4101.90674137245,4101.90674137245,0.0,0.0,0.0,2015.136237282019,3129.03048
2007-09-30,-2132.900540577851,1534.3338270985123,2756.200758075444,-2132.900540577851,-2132.900540577851,4292.0990786792145,4292.0990786792145,4292.0990786792145,4292.0990786792145,4292.0990786792145,4292.0990786792145,0.0,0.0,0.0,2159.1985381013633,3084.93321
2007-12-31,-2179.037193293705,1414.6579150767488,2667.567895421659,-2179.037193293705,-2179.037193293705,4220.536277049312,4220.536277049312,4220.536277049312,4220.536277049312,4220.536277049312,4220.536277049312,0.0,0.0,0.0,2041.499083755607,2731.40375
2008-03-31,-2224.6723606539513,1596.6785901028725,2841.4125981591724,-2224.6723606539513,-2224.6723606539513,4434.465545973284,4434.465545973284,4434.465545973284,4434.465545973284,4434.465545973284,4434.465545973284,0.0,0.0,0.0,2209.7931853193327,2588.93422
2008-06-30,-2270.307528014198,1229.641043383165,2382.71733523154,-2270.307528014198,-2270.307528014198,4063.1718580739166,4063.1718580739166,4063.1718580739166,4063.1718580739166,4063.1718580739166,4063.1718580739166,0.0,0.0,0.0,1792.8643300597187,2399.61697
2008-09-30,-2316.4468742278646,1446.7939428789887,2653.9264855859124,-2316.4468742278646,-2316.4468742278646,4348.171684120694,4348.171684120694,4348.171684120694,4348.171684120694,4348.171684120694,4348.171684120694,0.0,0.0,0.0,2031.7248098928299,2638.09155
2008-12-31,-2362.5862204415316,1469.590904602153,2716.005841770973,-2362.5862204415316,-2362.5862204415316,4482.8222081880585,4482.8222081880585,4482.8222081880585,4482.8222081880585,4482.8222081880585,4482.8222081880585,0.0,0.0,0.0,2120.235987746527,3002.04564
2009-03-31,-2407.722537389684,1582.1752139410103,2721.667203045783,-2407.722537389684,-2407.722537389684,4540.634675656522,4540.634675656522,4540.634675656522,4540.634675656522,4540.634675656522,4540.634675656522,0.0,0.0,0.0,2132.9121382668377,2754.15292
2009-06-30,-2453.363999670644,1004.7486766828204,2229.100774495526,-2453.363999670644,-2453.363999670644,4078.351433050604,4078.351433050604,4078.351433050604,4078.351433050604,4078.351433050604,4078.351433050604,0.0,0.0,0.0,1624.9874333799603,2081.8438
2009-09-30,-2499.507016482164,1197.1568737552368,2427.4435443138236,-2499.507016482164,-2499.507016482164,4329.899928917662,4329.899928917662,4329.899928917662,4329.899928917662,4329.899928917662,4329.899928917662,0.0,0.0,0.0,1830.3929124354977,2103.69991
2009-12-31,-2545.6500925349205,1317.169042505956,2460.0232135639344,-2545.6500925349205,-2545.6500925349205,4405.943777356003,4405.943777356003,4405.943777356003,4405.943777356003,4405.943777356003,4405.943777356003,0.0,0.0,0.0,1860.2936848210825,2088.41329
2010-03-31,-2590.790058238704,1459.0638670354726,2622.436555636372,-2590.790058238704,-2590.790058238704,4633.912618029434,4633.912618029434,4633.912618029434,4633.912618029434,4633.912618029434,4633.912618029434,0.0,0.0,0.0,2043.12255979073,2534.95595
2010-06-30,-2636.4315791169743,877.5413042075111,2061.633662640637,-2636.4315791169743,-2636.4315791169743,4091.282719675135,4091.282719675135,4091.282719675135,4091.282719675135,4091.282719675135,4091.282719675135,0.0,0.0,0.0,1454.8511405581608,1928.12411
2010-09-30,-2682.5746552166443,1068.6982841125669,2251.2847997008353,-2682.5746552166443,-2682.5746552166443,4311.197966191039,4311.197966191039,4311.197966191039,4311.197966191039,4311.197966191039,4311.197966191039,0.0,0.0,0.0,1628.6233109743948,2210.68833
2010-12-31,-2728.7177313163143,1029.5674534561315,2181.9031339344556,-2728.7177313163143,-2728.7177313163143,4318.451111762493,4318.451111762493,4318.451111762493,4318.451111762493,4318.451111762493,4318.451111762493,0.0,0.0,0.0,1589.7333804461791,1632.12202
2011-03-31,-2773.857697065992,1397.3440699433793,2538.576739063033,-2773.857697065992,-2773.857697065992,4714.130166661022,4714.130166661022,4714.130166661022,4714.130166661022,4714.130166661022,4714.130166661022,0.0,0.0,0.0,1940.2724695950296,1926.28617
2011-06-30,-2819.499218001433,702.1610437147492,1896.0075384052373,-2819.499218001433,-2819.499218001433,4101.906741371643,4101.906741371643,4101.906741371643,4101.906741371643,4101.906741371643,4101.906741371643,0.0,0.0,0.0,1282.4075233702101,897.81265
2011-09-30,-2865.6422941119886,868.8189730319506,2023.6421368346384,-2865.6422941119886,-2865.6422941119886,4292.099078679353,4292.099078679353,4292.099078679353,4292.099078679353,4292.099078679353,4292.099078679353,0.0,0.0,0.0,1426.4567845673641,870.75076
2011-12-31,-2911.785370227706,730.5087451627647,1934.6689301309311,-2911.785370227706,-2911.785370227706,4220.5362770498095,4220.5362770498095,4220.5362770498095,4220.5362770498095,4220.5362770498095,4220.5362770498095,0.0,0.0,0.0,1308.7509068221034,363.95778
2012-03-31,-2957.4268911682525,866.565313772855,2097.707523121264,-2957.4268911682525,-2957.4268911682525,4434.46554597309,4434.46554597309,4434.46554597309,4434.46554597309,4434.46554597309,4434.46554597309,0.0,0.0,0.0,1477.0386548048377,564.40463
2012-06-30,-3003.068412108799,458.3177668754685,1652.6732620772143,-3003.068412108799,-3003.068412108799,4063.1718580736765,4063.1718580736765,4063.1718580736765,4063.1718580736765,4063.1718580736765,4063.1718580736765,0.0,0.0,0.0,1060.1034459648777,183.06096
2012-09-30,-3049.2114882153037,776.5748297287327,1880.4818552026381,-3049.2114882153037,-3049.2114882153037,4348.1716841209045,4348.1716841209045,4348.1716841209045,4348.1716841209045,4348.1716841209045,4348.1716841209045,0.0,0.0,0.0,1298.9601959056008,753.2046
2012-12-31,-3095.354564321807,739.348839677975,2001.7631506116297,-3095.354564321807,-3095.354564321807,4482.82220818892,4482.82220818892,4482.82220818892,4482.82220818892,4482.82220818892,4482.82220818892,0.0,0.0,0.0,1387.4676438671127,636.25188
2013-03-31,-3140.49453007817,870.862358940496,2009.8695729276044,-3140.49453007817,-3140.49453007817,4540.634675656299,4540.634675656299,4540.634675656299,4540.634675656299,4540.634675656299,4540.634675656299,0.0,0.0,0.0,1400.1401455781288,1617.74503
2013-06-30,-3186.136050999356,329.60754374095956,1508.866622261495,-3186.136050999356,-3186.136050999356,4078.3514330494863,4078.3514330494863,4078.3514330494863,4078.3514330494863,4078.3514330494863,4078.3514330494863,0.0,0.0,0.0,892.2153820501303,479.58329
2013-09-30,-3232.279127095501,521.8552237450424,1697.582922356727,-3232.279127095501,-3232.279127095501,4329.899928917909,4329.899928917909,4329.899928917909,4329.899928917909,4329.899928917909,4329.899928917909,0.0,0.0,0.0,1097.6208018224083,829.62503
2013-12-31,-3278.4222031790996,543.9620755427317,1762.773877205608,-3278.4222031790996,-3278.4222031790996,4405.9437773562495,4405.9437773562495,4405.9437773562495,4405.9437773562495,4405.9437773562495,4405.9437773562495,0.0,0.0,0.0,1127.52157417715,1032.27593
2014-03-31,-3323.5621689130544,689.7271571428819,1949.2401953153744,-3323.5621689130544,-3323.5621689130544,4633.912618030067,4633.912618030067,4633.912618030067,4633.912618030067,4633.912618030067,4633.912618030067,0.0,0.0,0.0,1310.3504491170129,1855.58345
2014-06-30,-3369.2036898218316,134.11379927587092,1322.0960231798506,-3369.2036898218316,-3369.2036898218316,4091.282719674651,4091.282719674651,4091.282719674651,4091.282719674651,4091.282719674651,4091.282719674651,0.0,0.0,0.0,722.0790298528195,310.67285
2014-09-30,-3415.3467659137114,326.94911226035117,1465.2321990031633,-3415.3467659137114,-3415.3467659137114,4311.197966191223,4311.197966191223,4311.197966191223,4311.197966191223,4311.197966191223,4311.197966191223,0.0,0.0,0.0,895.8512002775115,185.81421
2014-12-31,-3461.4898420055915,261.17691707892953,1475.584118838093,-3461.4898420055915,-3461.4898420055915,4318.451111763238,4318.451111763238,4318.451111763238,4318.451111763238,4318.451111763238,4318.451111763238,0.0,0.0,0.0,856.9612697576467,442.81851
2015-03-31,-3506.6298077286447,601.9720680959674,1801.4886041784284,-3506.6298077286447,-3506.6298077286447,4714.13016666049,4714.13016666049,4714.13016666049,4714.13016666049,4714.13016666049,4714.13016666049,0.0,0.0,0.0,1207.5003589318458,1496.15002
2015-06-30,-3552.271328626399,-61.436090567730076,1124.9316283258306,-3552.271328626399,-3552.271328626399,4101.906741372864,4101.906741372864,4101.906741372864,4101.906741372864,4101.906741372864,4101.906741372864,0.0,0.0,0.0,549.6354127464656,32.84189
2015-09-30,-3598.414404698854,96.38179630738904,1304.3269061727194,-3598.414404698854,-3598.414404698854,4292.099078678515,4292.099078678515,4292.099078678515,4292.099078678515,4292.099078678515,4292.099078678515,0.0,0.0,0.0,693.684673979661,218.35081
2015-12-31,-3644.557480775703,-22.972890104753443,1192.5010504886588,-3644.557480775703,-3644.557480775703,4220.536277049289,4220.536277049289,4220.536277049289,4220.536277049289,4220.536277049289,4220.536277049289,0.0,0.0,0.0,575.9787962735863,505.3216
2016-03-31,-3690.1990016778036,171.319759442365,1331.289097791768,-3690.1990016778036,-3690.1990016778036,4434.465545974232,4434.465545974232,4434.465545974232,4434.465545974232,4434.465545974232,4434.465545974232,0.0,0.0,0.0,744.266544296428,792.35769
2016-06-30,-3735.8405225799042,-194.50034615589328,940.8701330225892,-3735.8405225799042,-3735.8405225799042,4063.171858072616,4063.171858072616,4063.171858072616,4063.171858072616,4063.171858072616,4063.171858072616,0.0,0.0,0.0,327.3313354927118,264.69215
2016-09-30,-3781.983598659443,-28.794692744662356,1160.1406719063523,-3781.983598659443,-3781.983598659443,4348.171684121559,4348.171684121559,4348.171684121559,4348.171684121559,4348.171684121559,4348.171684121559,0.0,0.0,0.0,566.1880854621163,392.7209
2016-12-31,-3828.1266747389823,56.43285251090672,1237.102825425262,-3828.1266747389823,-3828.1266747389823,4482.822208189186,4482.822208189186,4482.822208189186,4482.822208189186,4482.822208189186,4482.822208189186,0.0,0.0,0.0,654.695533450204,425.16092
2017-03-31,-3873.266640478404,99.47544242764133,1275.8525933319977,-3873.266640478404,-3873.266640478404,4540.634675657012,4540.634675657012,4540.634675657012,4540.634675657012,4540.634675657012,4540.634675657012,0.0,0.0,0.0,667.3680351786079,1032.58988
2017-06-30,-3918.908161392708,-410.1393090315009,743.7889758066917,-3918.908161392708,-3918.908161392708,4078.351433049962,4078.351433049962,4078.351433049962,4078.351433049962,4078.351433049962,4078.351433049962,0.0,0.0,0.0,159.44327165725417,103.7281
2017-09-30,-3965.0512374818936,-269.06088786498714,973.8040506838663,-3965.0512374818936,-3965.0512374818936,4329.8999289185085,4329.8999289185085,4329.8999289185085,4329.8999289185085,4329.8999289185085,4329.8999289185085,0.0,0.0,0.0,364.8486914366149,0.0
2017-12-31,-4011.194313554676,-194.13307254798156,991.3769406715915,-4011.194313554676,-4011.194313554676,4405.943777356262,4405.943777356262,4405.943777356262,4405.943777356262,4405.943777356262,4405.943777356262,0.0,0.0,0.0,394.74946380158644,0.0
2018-03-31,-4056.334279278051,-16.081825372636697,1127.7680581643938,-4056.334279278051,-4056.334279278051,4633.91261802903,4633.91261802903,4633.91261802903,4633.91261802903,4633.91261802903,4633.91261802903,0.0,0.0,0.0,577.5783387509796,0.0
2018-06-30,-4101.975800176129,-570.0475544021012,639.4017088407633,-4101.975800176129,-4101.975800176129,4091.282719674596,4091.282719674596,4091.282719674596,4091.282719674596,4091.282719674596,4091.282719674596,0.0,0.0,0.0,-10.693080501533132,0.0
2018-09-30,-4148.118876248913,-439.62375699013074,767.9966628525306,-4148.118876248913,-4148.118876248913,4311.197966191562,4311.197966191562,4311.197966191562,4311.197966191562,4311.197966191562,4311.197966191562,0.0,0.0,0.0,163.07908994264926,0.0
2018-12-31,-4194.2619523216945,-492.75751350855927,785.1587881029986,-4194.2619523216945,-4194.2619523216945,4318.451111764318,4318.451111764318,4318.451111764318,4318.451111764318,4318.451111764318,4318.451111764318,0.0,0.0,0.0,124.18915944262335,0.0
2019-03-31,-4239.40191804507,-116.21603794870421,1045.6016731247912,-4239.40191804507,-4239.40191804507,4714.1301666608815,4714.1301666608815,4714.1301666608815,4714.1301666608815,4714.1301666608815,4714.1301666608815,0.0,0.0,0.0,474.72824861581194,0.0
2019-06-30,-4285.043438943148,-819.5666349846537,435.2920659839257,-4285.043438943148,-4285.043438943148,4101.906741373388,4101.906741373388,4101.906741373388,4101.906741373388,4101.906741373388,4101.906741373388,0.0,0.0,0.0,-183.13669756976014,0.0
2019-09-30,-4331.186515015931,-605.8793200029047,575.9456266104818,-4331.186515015931,-4331.186515015931,4292.09907867952,4292.09907867952,4292.09907867952,4292.09907867952,4292.09907867952,4292.09907867952,0.0,0.0,0.0,-39.087436336410974,0.0
2019-12-31,-4377.329591088714,-696.066768983314,385.0211249763012,-4377.329591088714,-4377.329591088714,4220.536277049655,4220.536277049655,4220.536277049655,4220.536277049655,4220.536277049655,4220.536277049655,0.0,0.0,0.0,-156.7933140390587,0.0
2020-03-31,-4422.9711119867925,-592.9156425240326,613.1808843928035,-4422.9711119867925,-4422.9711119867925,4434.465545973317,4434.465545973317,4434.465545973317,4434.465545973317,4434.465545973317,4434.465545973317,0.0,0.0,0.0,11.4944339865242,0.0
2020-06-30,-4468.61263288487,-1018.7444320406837,190.29254145200466,-4468.61263288487,-4468.61263288487,4063.171858074031,4063.171858074031,4063.171858074031,4063.171858074031,4063.171858074031,4063.171858074031,0.0,0.0,0.0,-405.44077481083923,0.0
2020-09-30,-4514.755708957653,-778.9682684305455,399.77355033983105,-4514.755708957653,-4514.755708957653,4348.171684120965,4348.171684120965,4348.171684120965,4348.171684120965,4348.171684120965,4348.171684120965,0.0,0.0,0.0,-166.5840248366876,0.0
2020-12-31,-4560.898785030437,-634.2005274532107,541.1335026316493,-4560.898785030437,-4560.898785030437,4482.8222081887,4482.8222081887,4482.8222081887,4482.8222081887,4482.8222081887,4482.8222081887,0.0,0.0,0.0,-78.07657684173682,0.0
2021-03-31,-4606.038750753811,-642.8778953477397,532.7160072811823,-4606.038750753811,-4606.038750753811,4540.634675656852,4540.634675656852,4540.634675656852,4540.634675656852,4540.634675656852,4540.634675656852,0.0,0.0,0.0,-65.40407509695888,0.0
2021-06-30,-4651.68027165189,-1150.7246620892072,50.473240913034324,-4651.68027165189,-4651.68027165189,4078.351433050133,4078.351433050133,4078.351433050133,4078.351433050133,4078.351433050133,4078.351433050133,0.0,0.0,0.0,-573.3288386017566,0.0
2021-09-30,-4697.823347724672,-994.9144022406747,250.76105988688758,-4697.823347724672,-4697.823347724672,4329.899928918453,4329.899928918453,4329.899928918453,4329.899928918453,4329.899928918453,4329.899928918453,0.0,0.0,0.0,-367.92341880621916,0.0
2021-12-31,-4743.966423797455,-960.847645941778,283.59259365337806,-4743.966423797455,-4743.966423797455,4405.943777355057,4405.943777355057,4405.943777355057,4405.943777355057,4405.943777355057,4405.943777355057,0.0,0.0,0.0,-338.0226464423977,0.0
2022-03-31,-4789.106389520829,-708.619133883446,407.3222182975624,-4789.106498831948,-4789.106375496756,4633.912618029716,4633.912618029716,4633.912618029716,4633.912618029716,4633.912618029716,4633.912618029716,0.0,0.0,0.0,-155.19377149111278,-155.19377149111278
2022-06-30,-4834.747910418909,-1304.8824160570673,-147.13129227612538,-4834.748846976126,-4834.747297673541,4091.2827196730286,4091.2827196730286,4091.2827196730286,4091.2827196730286,4091.2827196730286,4091.2827196730286,0.0,0.0,0.0,-743.4651907458801,-743.4651907458801
2022-09-30,-4880.890986491691,-1195.6961699662445,31.181544906409915,-4880.893164031477,-4880.889402149958,4311.197966190875,4311.197966190875,4311.197966190875,4311.197966190875,4311.197966190875,4311.197966190875,0.0,0.0,0.0,-569.693020300816,-569.693020300816
2022-12-31,-4927.034062564473,-1215.8963871008582,-8.66811541814834,-4927.037739568171,-4927.031181746582,4318.451111763759,4318.451111763759,4318.451111763759,4318.451111763759,4318.451111763759,4318.451111763759,0.0,0.0,0.0,-608.5829508007137,-608.5829508007137
2023-03-31,-4972.174028287847,-842.4496219713664,320.0329993975979,-4972.1792059601885,-4972.169914853379,4714.130166661755,4714.130166661755,4714.130166661755,4714.130166661755,4714.130166661755,4714.130166661755,0.0,0.0,0.0,-258.0438616260926,-258.0438616260926
2023-06-30,-5017.815549185926,-1536.67539690158,-310.70131482479576,-5017.822833425358,-5017.809739976302,4101.906741371776,4101.906741371776,4101.906741371776,4101.906741371776,4101.906741371776,4101.906741371776,0.0,0.0,0.0,-915.9088078141504,-915.9088078141504
2023-09-30,-5063.95862525871,-1342.8177320822638,-160.10485201786642,-5063.968241284612,-5063.951188753122,4292.099078679394,4292.099078679394,4292.099078679394,4292.099078679394,4292.099078679394,4292.099078679394,0.0,0.0,0.0,-771.859546579316,-771.859546579316
2023-12-31,-5110.101701331492,-1467.9243889089896,-273.40962159789467,-5110.113591890703,-5110.0924693384795,4220.536277047611,4220.536277047611,4220.536277047611,4220.536277047611,4220.536277047611,4220.536277047611,0.0,0.0,0.0,-889.5654242838809,-889.5654242838809
