ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,40.02910154747408,1210.2844855101127,2133.1029605769463,40.02910154747408,40.02910154747408,1637.7791702467555,1637.7791702467555,1637.7791702467555,1637.7791702467555,1637.7791702467555,1637.7791702467555,0.0,0.0,0.0,1677.8082717942295,1431.336
2001-06-30,28.432399866729433,998.5697532885903,1996.100519871275,28.432399866729433,28.432399866729433,1465.268759135565,1465.268759135565,1465.268759135565,1465.268759135565,1465.268759135565,1465.268759135565,0.0,0.0,0.0,1493.7011590022944,920.769
2001-09-30,16.7082619037788,1214.151548664121,2179.993048359257,16.7082619037788,16.7082619037788,1658.49675969484,1658.49675969484,1658.49675969484,1658.49675969484,1658.49675969484,1658.49675969484,0.0,0.0,0.0,1675.2050215986187,1378.791
2001-12-31,4.9841239408281774,1237.3877296016747,2204.024556487051,4.9841239408281774,4.9841239408281774,1696.625461686374,1696.625461686374,1696.625461686374,1696.625461686374,1696.625461686374,1696.625461686374,0.0,0.0,0.0,1701.609585627202,1413.137
2002-03-31,-6.485141458180664,1240.5757720032138,2162.7638829215575,-6.485141458180664,-6.485141458180664,1683.5097437424956,1683.5097437424956,1683.5097437424956,1683.5097437424956,1683.5097437424956,1683.5097437424956,0.0,0.0,0.0,1677.024602284315,1443.435
2002-06-30,-18.081843139400714,917.0649153600431,1866.9488851578105,-18.081843139400714,-18.081843139400714,1432.7434882300706,1432.7434882300706,1432.7434882300706,1432.7434882300706,1432.7434882300706,1432.7434882300706,0.0,0.0,0.0,1414.66164509067,1435.926
2002-09-30,-29.80598110682237,1180.3087372313964,2106.9926295394093,-29.80598110682237,-29.80598110682237,1672.023392021334,1672.023392021334,1672.023392021334,1672.023392021334,1672.023392021334,1672.023392021334,0.0,0.0,0.0,1642.2174109145117,1421.486
2002-12-31,-41.53011907424401,1185.603551163224,2134.8449269705425,-41.53011907424401,-41.53011907424401,1691.9154265638667,1691.9154265638667,1691.9154265638667,1691.9154265638667,1691.9154265638667,1691.9154265638667,0.0,0.0,0.0,1650.3853074896226,1467.919
2003-03-31,-52.99938447715651,1194.0006041035292,2179.469470546597,-52.99938447715651,-52.99938447715651,1729.554142098612,1729.554142098612,1729.554142098612,1729.554142098612,1729.554142098612,1729.554142098612,0.0,0.0,0.0,1676.5547576214553,1277.996
2003-06-30,-64.59608617616041,856.0823094755673,1815.4761458583798,-64.59608617616041,-64.59608617616041,1400.548265276482,1400.548265276482,1400.548265276482,1400.548265276482,1400.548265276482,1400.548265276482,0.0,0.0,0.0,1335.9521791003215,900.017
2003-09-30,-76.32022415757093,1119.8578551337364,2086.6881680495467,-76.32022415757093,-76.32022415757093,1682.982231643052,1682.982231643052,1682.982231643052,1682.982231643052,1682.982231643052,1682.982231643052,0.0,0.0,0.0,1606.6620074854811,1463.119
2003-12-31,-88.04436213898146,1082.94135868678,2060.871990541394,-88.04436213898146,-88.04436213898146,1682.9982429151607,1682.9982429151607,1682.9982429151607,1682.9982429151607,1682.9982429151607,1682.9982429151607,0.0,0.0,0.0,1594.9538807761792,1336.823
2004-03-31,-99.64106383587419,1027.2103771922446,1952.9593648265786,-99.64106383587419,-99.64106383587419,1592.4511298881746,1592.4511298881746,1592.4511298881746,1592.4511298881746,1592.4511298881746,1592.4511298881746,0.0,0.0,0.0,1492.8100660523005,1448.362
2004-06-30,-111.23776553276696,898.7501520559558,1885.519997481463,-111.23776553276696,-111.23776553276696,1498.0578400245906,1498.0578400245906,1498.0578400245906,1498.0578400245906,1498.0578400245906,1498.0578400245906,0.0,0.0,0.0,1386.8200744918236,1493.92
2004-09-30,-122.9619035268298,1043.5284602379788,1996.0539488368825,-122.9619035268298,-122.9619035268298,1642.4046267623864,1642.4046267623864,1642.4046267623864,1642.4046267623864,1642.4046267623864,1642.4046267623864,0.0,0.0,0.0,1519.4427232355567,1490.209
2004-12-31,-134.68604152089267,1126.4379908259884,2021.2741842238627,-134.68604152089267,-134.68604152089267,1697.130035318094,1697.130035318094,1697.130035318094,1697.130035318094,1697.130035318094,1697.130035318094,0.0,0.0,0.0,1562.4439937972015,1506.109
2005-03-31,-146.1553069498672,1003.2029332739545,1988.7046496166213,-146.1553069498672,-146.1553069498672,1637.7791702470743,1637.7791702470743,1637.7791702470743,1637.7791702470743,1637.7791702470743,1637.7791702470743,0.0,0.0,0.0,1491.623863297207,1457.048
