ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,3597.1278618100005,5628.323855408749,6987.350335150184,3597.1278618100005,3597.1278618100005,2739.5966719114945,2739.5966719114945,2739.5966719114945,2739.5966719114945,2739.5966719114945,2739.5966719114945,0.0,0.0,0.0,6336.724533721495,6326.713
2001-06-30,3619.3140991691166,5357.5925856484455,6765.157729844561,3619.3140991691166,3619.3140991691166,2417.0280577489552,2417.0280577489552,2417.0280577489552,2417.0280577489552,2417.0280577489552,2417.0280577489552,0.0,0.0,0.0,6036.342156918072,5189.139
2001-09-30,3641.744141334378,5800.145451449635,7197.736556547948,3641.744141334378,3641.744141334378,2876.872242221803,2876.872242221803,2876.872242221803,2876.872242221803,2876.872242221803,2876.872242221803,0.0,0.0,0.0,6518.616383556181,6328.141
2001-12-31,3664.174183499639,5992.528016833887,7344.895930848496,3664.174183499639,3664.174183499639,2993.8112565338033,2993.8112565338033,2993.8112565338033,2993.8112565338033,2993.8112565338033,2993.8112565338033,0.0,0.0,0.0,6657.9854400334425,6388.494
2002-03-31,3686.1166161606156,5858.482165620971,7247.556547342385,3686.1166161606156,3686.1166161606156,2875.382448794222,2875.382448794222,2875.382448794222,2875.382448794222,2875.382448794222,2875.382448794222,0.0,0.0,0.0,6561.499064954838,5977.095
2002-06-30,3708.3028536289366,5648.130598315669,7003.310579005279,3708.3028536289366,3708.3028536289366,2640.977264485411,2640.977264485411,2640.977264485411,2640.977264485411,2640.977264485411,2640.977264485411,0.0,0.0,0.0,6349.280118114348,6557.661
2002-09-30,3730.7328959432366,6153.0123116825525,7520.333943537656,3730.7328959432366,3730.7328959432366,3109.7566126867296,3109.7566126867296,3109.7566126867296,3109.7566126867296,3109.7566126867296,3109.7566126867296,0.0,0.0,0.0,6840.489508629966,6886.393
2002-12-31,3753.162938257536,6101.014038410688,7416.056030264214,3753.162938257536,3753.162938257536,2999.717768191369,2999.717768191369,2999.717768191369,2999.717768191369,2999.717768191369,2999.717768191369,0.0,0.0,0.0,6752.880706448905,6052.557
2003-03-31,3775.105370956308,6148.711012384573,7487.164619476395,3775.105370956308,3775.105370956308,3011.6773051858245,3011.6773051858245,3011.6773051858245,3011.6773051858245,3011.6773051858245,3011.6773051858245,0.0,0.0,0.0,6786.782676142133,6045.811
2003-06-30,3797.2916086807313,5889.863480057157,7296.319550712754,3797.2916086807313,3797.2916086807313,2815.5825844689025,2815.5825844689025,2815.5825844689025,2815.5825844689025,2815.5825844689025,2815.5825844689025,0.0,0.0,0.0,6612.874193149633,6521.003
2003-09-30,3819.7216512153136,6583.040377797316,7921.877384809976,3819.7216512153136,3819.7216512153136,3402.4718857118974,3402.4718857118974,3402.4718857118974,3402.4718857118974,3402.4718857118974,3402.4718857118974,0.0,0.0,0.0,7222.1935369272105,7171.5
2003-12-31,3842.151693749895,6157.50494227547,7501.641531856205,3842.151693749895,3842.151693749895,3012.2278549955545,3012.2278549955545,3012.2278549955545,3012.2278549955545,3012.2278549955545,3012.2278549955545,0.0,0.0,0.0,6854.37954874545,6530.412
2004-03-31,3864.3379311694584,5764.3467451707265,7145.946386544252,3864.3379311694584,3864.3379311694584,2604.0863555762508,2604.0863555762508,2604.0863555762508,2604.0863555762508,2604.0863555762508,2604.0863555762508,0.0,0.0,0.0,6468.424286745709,6604.19492
2004-06-30,3886.524168589022,5319.654368775565,6657.345266444138,3886.524168589022,3886.524168589022,2144.317606754042,2144.317606754042,2144.317606754042,2144.317606754042,2144.317606754042,2144.317606754042,0.0,0.0,0.0,6030.841775343064,6088.70447
2004-09-30,3908.9542108648825,5960.521174619303,7287.736258616051,3908.9542108648825,3908.9542108648825,2704.364894203313,2704.364894203313,2704.364894203313,2704.364894203313,2704.364894203313,2704.364894203313,0.0,0.0,0.0,6613.319105068195,7073.75824
2004-12-31,3931.3842531407436,6248.082218592305,7614.811068287962,3931.3842531407436,3931.3842531407436,2994.237926661124,2994.237926661124,2994.237926661124,2994.237926661124,2994.237926661124,2994.237926661124,0.0,0.0,0.0,6925.622179801868,7022.11002
2005-03-31,3953.3266858019115,6000.653529238836,7388.322365416743,3953.3266858019115,3953.3266858019115,2739.59667191543,2739.59667191543,2739.59667191543,2739.59667191543,2739.59667191543,2739.59667191543,0.0,0.0,0.0,6692.923357717342,6111.33975
2005-06-30,3975.482018868659,5675.854392167552,7109.606801658551,3975.482018868659,3975.482018868659,2417.028057753703,2417.028057753703,2417.028057753703,2417.028057753703,2417.028057753703,2417.028057753703,0.0,0.0,0.0,6392.510076622362,7505.40321
2005-09-30,3997.8808171339424,6172.3903527101165,7639.3580327588525,3997.8808171339424,3997.8808171339424,2876.8722422216283,2876.8722422216283,2876.8722422216283,2876.8722422216283,2876.8722422216283,2876.8722422216283,0.0,0.0,0.0,6874.753059355571,7388.4603
2005-12-31,4020.235110164921,6322.159521149404,7721.99446743565,4020.235110164921,4020.235110164921,2993.8112565345536,2993.8112565345536,2993.8112565345536,2993.8112565345536,2993.8112565345536,2993.8112565345536,0.0,0.0,0.0,7014.046366699475,6933.57449
2006-03-31,4042.103440303922,6262.301596261903,7576.966155601181,4042.103440303922,4042.103440303922,2875.3824487978427,2875.3824487978427,2875.3824487978427,2875.3824487978427,2875.3824487978427,2875.3824487978427,0.0,0.0,0.0,6917.485889101765,6907.43178
2006-06-30,4064.214751888912,5987.802668406839,7319.587665104002,4064.214751888912,4064.214751888912,2640.9772644907357,2640.9772644907357,2640.9772644907357,2640.9772644907357,2640.9772644907357,2640.9772644907357,0.0,0.0,0.0,6705.192016379648,7207.28419
2006-09-30,4086.5565883638915,6503.070924441374,7846.9557637980415,4086.5565883638915,4086.5565883638915,3109.7566126923566,3109.7566126923566,3109.7566126923566,3109.7566126923566,3109.7566126923566,3109.7566126923566,0.0,0.0,0.0,7196.313201056248,7213.57974
2006-12-31,4108.89842483887,6450.197209220634,7827.4762414392435,4108.89842483887,4108.89842483887,2999.7177681901076,2999.7177681901076,2999.7177681901076,2999.7177681901076,2999.7177681901076,2999.7177681901076,0.0,0.0,0.0,7108.616193028977,6915.2407
2007-03-31,4130.754569216567,6505.830951786579,7881.868674801721,4130.754569216567,4130.754569216567,3011.6773051913183,3011.6773051913183,3011.6773051913183,3011.6773051913183,3011.6773051913183,3011.6773051913183,0.0,0.0,0.0,7142.431874407885,7065.59061
2007-06-30,4152.836537237607,6244.961019688227,7612.11015233378,4152.836537237607,4152.836537237607,2815.582584471292,2815.582584471292,2815.582584471292,2815.582584471292,2815.582584471292,2815.582584471292,0.0,0.0,0.0,6968.419121708899,7477.2621
2007-09-30,4175.16116424789,6881.715972922489,8257.338647711542,4175.16116424789,4175.16116424789,3402.4718857149223,3402.4718857149223,3402.4718857149223,3402.4718857149223,3402.4718857149223,3402.4718857149223,0.0,0.0,0.0,7577.633049962813,7425.39328
2007-12-31,4197.471531090179,6526.914255057912,7868.505914267045,4197.471531090179,4197.471531090179,3012.2278549977605,3012.2278549977605,3012.2278549977605,3012.2278549977605,3012.2278549977605,3012.2278549977605,0.0,0.0,0.0,7209.699386087939,6963.24705
2008-03-31,4219.539393945052,6160.305246111739,7521.479836967596,4219.539393945052,4219.539393945052,2604.0863555743053,2604.0863555743053,2604.0863555743053,2604.0863555743053,2604.0863555743053,2604.0863555743053,0.0,0.0,0.0,6823.625749519358,7040.93488
2008-06-30,4241.607256799925,5690.153491549409,7019.345740701755,4241.607256799925,4241.607256799925,2144.3176067587083,2144.3176067587083,2144.3176067587083,2144.3176067587083,2144.3176067587083,2144.3176067587083,0.0,0.0,0.0,6385.924863558634,7432.68507
2008-09-30,4251.690990609942,6313.790759683221,7610.710461185617,4251.690990609942,4251.690990609942,2704.364894207844,2704.364894207844,2704.364894207844,2704.364894207844,2704.364894207844,2704.364894207844,0.0,0.0,0.0,6956.055884817786,7651.93475
2008-12-31,4261.774724419959,6548.337099763765,7935.976569595322,4261.774724419959,4261.774724419959,2994.2379266553944,2994.2379266553944,2994.2379266553944,2994.2379266553944,2994.2379266553944,2994.2379266553944,0.0,0.0,0.0,7256.0126510753535,7511.5823
2009-03-31,4271.63924662541,6306.392623466329,7704.208694693835,4271.63924662541,4271.63924662541,2739.596671911739,2739.596671911739,2739.596671911739,2739.596671911739,2739.596671911739,2739.596671911739,0.0,0.0,0.0,7011.23591853715,7200.93253
2009-06-30,4281.560358886321,6078.5647534941045,7366.678654738294,4281.560358886321,4281.560358886321,2417.028057749105,2417.028057749105,2417.028057749105,2417.028057749105,2417.028057749105,2417.028057749105,0.0,0.0,0.0,6698.588416635426,6356.98643
2009-09-30,4291.59049435889,6511.046705055353,7833.876308195311,4291.59049435889,4291.59049435889,2876.8722422246424,2876.8722422246424,2876.8722422246424,2876.8722422246424,2876.8722422246424,2876.8722422246424,0.0,0.0,0.0,7168.462736583533,6045.8694
2009-12-31,4301.580746738792,6628.5454177783995,7963.378464424063,4301.580746738792,4301.580746738792,2993.811256531491,2993.811256531491,2993.811256531491,2993.811256531491,2993.811256531491,2993.811256531491,0.0,0.0,0.0,7295.392003270283,7108.94691
