ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-9196.856522769538,4207.388331673755,5297.86008851054,-9196.856522769538,-9196.856522769538,13954.354453871818,13954.354453871818,13954.354453871818,13954.354453871818,13954.354453871818,13954.354453871818,0.0,0.0,0.0,4757.49793110228,5221.405
2001-06-30,-9168.647384783337,3592.877454948947,4675.896635563192,-9168.647384783337,-9168.647384783337,13293.390007745209,13293.390007745209,13293.390007745209,13293.390007745209,13293.390007745209,13293.390007745209,0.0,0.0,0.0,4124.742622961872,4593.751
2001-09-30,-9140.128256269816,4916.118215795118,6053.757182715781,-9140.128256269816,-9140.128256269816,14636.02295056492,14636.02295056492,14636.02295056492,14636.02295056492,14636.02295056492,14636.02295056492,0.0,0.0,0.0,5495.894694295104,5454.72
2001-12-31,-9111.609127756297,4421.009615166098,5551.483173674341,-9111.609127756297,-9111.609127756297,14097.130478781244,14097.130478781244,14097.130478781244,14097.130478781244,14097.130478781244,14097.130478781244,0.0,0.0,0.0,4985.521351024947,4968.831
2002-03-31,-9083.709980331112,4320.905895859615,5482.081833702715,-9083.709980331112,-9083.709980331112,13966.860624044839,13966.860624044839,13966.860624044839,13966.860624044839,13966.860624044839,13966.860624044839,0.0,0.0,0.0,4883.150643713727,4849.93
2002-06-30,-9055.500842378982,3753.430206190856,4897.22652334493,-9055.500842378982,-9055.500842378982,13379.610717747837,13379.610717747837,13379.610717747837,13379.610717747837,13379.610717747837,13379.610717747837,0.0,0.0,0.0,4324.109875368855,4771.532
2002-09-30,-9026.981713851877,5143.85144369767,6314.0767792418055,-9026.981713851877,-9026.981713851877,14726.029099014453,14726.029099014453,14726.029099014453,14726.029099014453,14726.029099014453,14726.029099014453,0.0,0.0,0.0,5699.047385162576,5308.349
2002-12-31,-8998.462585324774,4588.663066129144,5657.420302072152,-8998.462585324774,-8998.462585324774,14117.918762983894,14117.918762983894,14117.918762983894,14117.918762983894,14117.918762983894,14117.918762983894,0.0,0.0,0.0,5119.45617765912,5014.096
2003-03-31,-8970.563437852608,4418.79300502646,5514.546230733655,-8970.563437852608,-8970.563437852608,13948.143321824586,13948.143321824586,13948.143321824586,13948.143321824586,13948.143321824586,13948.143321824586,0.0,0.0,0.0,4977.579883971977,5469.478
2003-06-30,-8942.35429980486,3982.0143738387,5057.132536828439,-8942.35429980486,-8942.35429980486,13430.22992578583,13430.22992578583,13430.22992578583,13430.22992578583,13430.22992578583,13430.22992578583,0.0,0.0,0.0,4487.875625980971,4337.339
