ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-2586.726828484284,3601.2332301974875,5150.278108583485,-2586.726828484284,-2586.726828484284,6974.46858003371,6974.46858003371,6974.46858003371,6974.46858003371,6974.46858003371,6974.46858003371,0.0,0.0,0.0,4387.741751549426,4308.855
2001-06-30,-2657.581576246729,3364.6307544571305,4884.963115253385,-2657.581576246729,-2657.581576246729,6791.037644916593,6791.037644916593,6791.037644916593,6791.037644916593,6791.037644916593,6791.037644916593,0.0,0.0,0.0,4133.456068669864,3971.853
2001-09-30,-2729.21494761096,4037.90376397835,5532.94850290396,-2729.21494761096,-2729.21494761096,7500.316381195455,7500.316381195455,7500.316381195455,7500.316381195455,7500.316381195455,7500.316381195455,0.0,0.0,0.0,4771.101433584495,4808.536
2001-12-31,-2800.8483189751905,3753.1735286748485,5258.39086424554,-2800.8483189751905,-2800.8483189751905,7311.834252296772,7311.834252296772,7311.834252296772,7311.834252296772,7311.834252296772,7311.834252296772,0.0,0.0,0.0,4510.985933321582,4647.726
2002-03-31,-2870.924443170089,3344.854675216022,4789.876790529357,-2870.924443170089,-2870.924443170089,6938.16415239144,6938.16415239144,6938.16415239144,6938.16415239144,6938.16415239144,6938.16415239144,0.0,0.0,0.0,4067.2397092213514,4185.033
2002-06-30,-2941.779190967154,2988.3522740851768,4534.679671433524,-2941.779190967154,-2941.779190967154,6678.456107625486,6678.456107625486,6678.456107625486,6678.456107625486,6678.456107625486,6678.456107625486,0.0,0.0,0.0,3736.6769166583317,3798.4
2002-09-30,-3013.412562325193,3596.755409953972,5060.003848823666,-3013.412562325193,-3013.412562325193,7361.785774810509,7361.785774810509,7361.785774810509,7361.785774810509,7361.785774810509,7361.785774810509,0.0,0.0,0.0,4348.373212485316,4419.367
2002-12-31,-3085.045933683232,3336.2191083557095,4881.405216043467,-3085.045933683232,-3085.045933683232,7215.876309185716,7215.876309185716,7215.876309185716,7215.876309185716,7215.876309185716,7215.876309185716,0.0,0.0,0.0,4130.8303755024845,4010.225
2003-03-31,-3155.122057837835,2950.4917228335567,4484.1861368367745,-3155.122057837835,-3155.122057837835,6882.929052436775,6882.929052436775,6882.929052436775,6882.929052436775,6882.929052436775,6882.929052436775,0.0,0.0,0.0,3727.80699459894,4290.615
2003-06-30,-3225.9768055924387,2558.4080819103433,4028.0289468314,-3225.9768055924387,-3225.9768055924387,6538.142010467745,6538.142010467745,6538.142010467745,6538.142010467745,6538.142010467745,6538.142010467745,0.0,0.0,0.0,3312.1652048753067,3372.019
2003-09-30,-3297.6101769487404,3174.6761717928043,4715.497272259535,-3297.6101769487404,-3297.6101769487404,7222.573702383046,7222.573702383046,7222.573702383046,7222.573702383046,7222.573702383046,7222.573702383046,0.0,0.0,0.0,3924.9635254343057,4438.973
2003-12-31,-3369.243548305042,2963.593477581069,4599.432982849644,-3369.243548305042,-3369.243548305042,7116.486315206332,7116.486315206332,7116.486315206332,7116.486315206332,7116.486315206332,7116.486315206332,0.0,0.0,0.0,3747.2427669012895,4984.352
2004-03-31,-3440.0982960941155,2792.959264240705,4301.2812844076,-3440.0982960941155,-3440.0982960941155,6991.632946000832,6991.632946000832,6991.632946000832,6991.632946000832,6991.632946000832,6991.632946000832,0.0,0.0,0.0,3551.5346499067164,4399.966
2004-06-30,-3510.95304388319,2575.074489054014,4169.771190405637,-3510.95304388319,-3510.95304388319,6875.892608366894,6875.892608366894,6875.892608366894,6875.892608366894,6875.892608366894,6875.892608366894,0.0,0.0,0.0,3364.939564483704,4048.542
2004-09-30,-3582.5864152517297,3287.5896499631494,4821.75955581932,-3582.5864152517297,-3582.5864152517297,7638.176734838621,7638.176734838621,7638.176734838621,7638.176734838621,7638.176734838621,7638.176734838621,0.0,0.0,0.0,4055.5903195868914,4845.716
2004-12-31,-3654.21978662027,2990.612935851669,4479.058715976967,-3654.21978662027,-3654.21978662027,7404.158106289754,7404.158106289754,7404.158106289754,7404.158106289754,7404.158106289754,7404.158106289754,0.0,0.0,0.0,3749.938319669484,4963.041
2005-03-31,-3724.295910785146,2550.6869514058803,3960.6726770000814,-3724.295910785146,-3724.295910785146,6974.468580034068,6974.468580034068,6974.468580034068,6974.468580034068,6974.468580034068,6974.468580034068,0.0,0.0,0.0,3250.1726692489215,4598.287
2005-06-30,-3795.150658518224,2199.374280018698,3790.7157590456186,-3795.150658518224,-3795.150658518224,6791.037644915775,6791.037644915775,6791.037644915775,6791.037644915775,6791.037644915775,6791.037644915775,0.0,0.0,0.0,2995.8869863975506,4149.668
2005-09-30,-3866.784029852766,2856.1605664973476,4409.554607896329,-3866.784029852766,-3866.784029852766,7500.316381192578,7500.316381192578,7500.316381192578,7500.316381192578,7500.316381192578,7500.316381192578,0.0,0.0,0.0,3633.532351339812,4755.674
2005-12-31,-3938.4174011444993,2537.422651645179,4166.840760447999,-3938.4174011444993,-3938.4174011444993,7311.834252296288,7311.834252296288,7311.834252296288,7311.834252296288,7311.834252296288,7311.834252296288,0.0,0.0,0.0,3373.4168511517883,4880.632
2006-03-31,-4008.4935252342393,2154.0893931504033,3681.2415349001703,-4008.4935252342393,-4008.4935252342393,6938.164152391451,6938.164152391451,6938.164152391451,6938.164152391451,6938.164152391451,6938.164152391451,0.0,0.0,0.0,2929.670627157212,1847.472
2006-06-30,-4079.3482729249763,1806.0139321414667,3364.4137114699533,-4079.3482729249763,-4079.3482729249763,6678.456107624751,6678.456107624751,6678.456107624751,6678.456107624751,6678.456107624751,6678.456107624751,0.0,0.0,0.0,2599.1078346997747,1353.141
2006-09-30,-4150.981643187017,2428.3854805691453,3974.979874366435,-4150.981643187017,-4150.981643187017,7361.785774809947,7361.785774809947,7361.785774809947,7361.785774809947,7361.785774809947,7361.785774809947,0.0,0.0,0.0,3210.80413162293,2005.693
2006-12-31,-4222.615013449058,2257.158105337838,3720.126025261437,-4222.615013449058,-4222.615013449058,7215.876309183961,7215.876309183961,7215.876309183961,7215.876309183961,7215.876309183961,7215.876309183961,0.0,0.0,0.0,2993.261295734903,2047.215
2007-03-31,-4292.69113653149,1843.1609242173622,3310.8614279921794,-4292.69113653149,-4292.69113653149,6882.92905243966,6882.92905243966,6882.92905243966,6882.92905243966,6882.92905243966,6882.92905243966,0.0,0.0,0.0,2590.23791590817,1773.61965
2007-06-30,-4363.52572228617,1352.2938088399092,2984.925457056913,-4363.52572228617,-4363.52572228617,6538.1420104671615,6538.1420104671615,6538.1420104671615,6538.1420104671615,6538.1420104671615,6538.1420104671615,0.0,0.0,0.0,2174.6162881809914,1352.84456
2007-09-30,-4435.138710082111,2018.2884150807683,3552.949704292895,-4435.138710082111,-4435.138710082111,7222.573702381582,7222.573702381582,7222.573702381582,7222.573702381582,7222.573702381582,7222.573702381582,0.0,0.0,0.0,2787.4349922994707,2010.42232
2007-12-31,-4506.742264472253,1838.0164894767584,3387.3603433774965,-4506.742264472253,-4506.742264472253,7116.486315206352,7116.486315206352,7116.486315206352,7116.486315206352,7116.486315206352,7116.486315206352,0.0,0.0,0.0,2609.744050734099,1954.02407
2008-03-31,-4577.567519358156,1617.6845881760235,3255.712818468774,-4577.567519358156,-4577.567519358156,6991.632945999878,6991.632945999878,6991.632945999878,6991.632945999878,6991.632945999878,6991.632945999878,0.0,0.0,0.0,2414.0654266417223,1759.07975
2008-06-30,-4648.392774244057,1540.23997748127,2964.3830686886567,-4648.392774244057,-4648.392774244057,6875.892608369333,6875.892608369333,6875.892608369333,6875.892608369333,6875.892608369333,6875.892608369333,0.0,0.0,0.0,2227.499834125276,1410.31764
2008-09-30,-4719.9606518656,2158.153748115336,3679.6089819001704,-4719.9606518656,-4719.9606518656,7638.176734840604,7638.176734840604,7638.176734840604,7638.176734840604,7638.176734840604,7638.176734840604,0.0,0.0,0.0,2918.2160829750037,2438.89276
2008-12-31,-4791.528529487143,1862.9012939432132,3388.3400685910233,-4791.528529487143,-4791.528529487143,7404.158106287503,7404.158106287503,7404.158106287503,7404.158106287503,7404.158106287503,7404.158106287503,0.0,0.0,0.0,2612.62957680036,2204.0623
2009-03-31,-4861.540583682131,1332.6358460022495,2911.117268517609,-4861.540583682131,-4861.540583682131,6974.468580033475,6974.468580033475,6974.468580033475,6974.468580033475,6974.468580033475,6974.468580033475,0.0,0.0,0.0,2112.9279963513436,2094.03881
2009-06-30,-4932.287225391871,1143.2463190053454,2550.759589245469,-4932.287225391871,-4932.287225391871,6791.0376449152745,6791.0376449152745,6791.0376449152745,6791.0376449152745,6791.0376449152745,6791.0376449152745,0.0,0.0,0.0,1858.7504195234033,1508.39967
