ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-211.78039581914715,251.4980914971238,455.2159510207337,-211.78039581914715,-211.78039581914715,568.971012135745,568.971012135745,568.971012135745,568.971012135745,568.971012135745,568.971012135745,0.0,0.0,0.0,357.19061631659787,275.261
2001-06-30,-211.89634380594683,364.0129999806275,571.869393157449,-211.89634380594683,-211.89634380594683,682.2605810402225,682.2605810402225,682.2605810402225,682.2605810402225,682.2605810402225,682.2605810402225,0.0,0.0,0.0,470.3642372342757,406.857
2001-09-30,-212.0135659464476,130.74620244336245,339.67863235848836,-212.0135659464476,-212.0135659464476,444.7885799709309,444.7885799709309,444.7885799709309,444.7885799709309,444.7885799709309,444.7885799709309,0.0,0.0,0.0,232.7750140244833,148.863
2001-12-31,-212.1307880869484,220.21707909214362,430.80111050187037,-212.1307880869484,-212.1307880869484,540.7619224759767,540.7619224759767,540.7619224759767,540.7619224759767,540.7619224759767,540.7619224759767,0.0,0.0,0.0,328.63113438902826,159.598
2002-03-31,-212.24546192700254,243.5890200610241,443.7932450633921,-212.24546192700254,-212.24546192700254,550.252292719964,550.252292719964,550.252292719964,550.252292719964,550.252292719964,550.252292719964,0.0,0.0,0.0,338.0068307929614,241.446
2002-06-30,-212.36140992083514,400.7335616182634,593.7854863331332,-212.36140992083514,-212.36140992083514,705.3235568587359,705.3235568587359,705.3235568587359,705.3235568587359,705.3235568587359,705.3235568587359,0.0,0.0,0.0,492.9621469379007,487.397
2002-09-30,-212.47863206274482,116.25970411941285,319.81616719182824,-212.47863206274482,-212.47863206274482,428.7964785752984,428.7964785752984,428.7964785752984,428.7964785752984,428.7964785752984,428.7964785752984,0.0,0.0,0.0,216.3178465125536,112.887
2002-12-31,-212.59585420465447,260.61655618826745,464.86579993649724,-212.59585420465447,-212.59585420465447,568.8295179694574,568.8295179694574,568.8295179694574,568.8295179694574,568.8295179694574,568.8295179694574,0.0,0.0,0.0,356.2336637648029,299.207
2003-03-31,-212.71052803913133,208.78624638436196,421.5368081602094,-212.71052803913133,-212.71052803913133,532.5883645653752,532.5883645653752,532.5883645653752,532.5883645653752,532.5883645653752,532.5883645653752,0.0,0.0,0.0,319.87783652624387,244.591
2003-06-30,-212.8264760241525,420.8821841394332,628.2599580808446,-212.8264760241525,-212.8264760241525,728.1057164859174,728.1057164859174,728.1057164859174,728.1057164859174,728.1057164859174,728.1057164859174,0.0,0.0,0.0,515.2792404617649,389.004
