ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,2216.4449508668204,254.37699881725632,1645.5060981727959,2216.4449508668204,2216.4449508668204,-1263.6741970319142,-1263.6741970319142,-1263.6741970319142,-1263.6741970319142,-1263.6741970319142,-1263.6741970319142,0.0,0.0,0.0,952.7707538349061,20.365
2001-06-30,2217.9593545896087,341.13099411190194,1664.322046326253,2217.9593545896087,2217.9593545896087,-1228.744463274602,-1228.744463274602,-1228.744463274602,-1228.744463274602,-1228.744463274602,-1228.744463274602,0.0,0.0,0.0,989.2148913150068,24.228
2001-09-30,2219.490400111549,804.450407717903,2081.303661616078,2219.490400111549,2219.490400111549,-766.3943490365158,-766.3943490365158,-766.3943490365158,-766.3943490365158,-766.3943490365158,-766.3943490365158,0.0,0.0,0.0,1453.0960510750333,32.318
2001-12-31,2221.021445633489,339.0409034923038,1727.213256891311,2221.021445633489,2221.021445633489,-1175.3431538021673,-1175.3431538021673,-1175.3431538021673,-1175.3431538021673,-1175.3431538021673,-1175.3431538021673,0.0,0.0,0.0,1045.6782918313215,41.615
2002-03-31,2222.5192075667137,248.1079290144408,1514.4025390012016,2222.5192075667137,2222.5192075667137,-1344.2063056136155,-1344.2063056136155,-1344.2063056136155,-1344.2063056136155,-1344.2063056136155,-1344.2063056136155,0.0,0.0,0.0,878.3129019530982,18.194
2002-06-30,2224.0336112991968,258.0940842816529,1566.2881042668025,2224.0336112991968,2224.0336112991968,-1304.66553114901,-1304.66553114901,-1304.66553114901,-1304.66553114901,-1304.66553114901,-1304.66553114901,0.0,0.0,0.0,919.3680801501869,36.392
2002-09-30,2225.5646568285156,835.8547019170677,2133.775373505372,2225.5646568285156,2225.5646568285156,-750.7065593396896,-750.7065593396896,-750.7065593396896,-750.7065593396896,-750.7065593396896,-750.7065593396896,0.0,0.0,0.0,1474.858097488826,61.488
2002-12-31,2227.0957023578353,396.33423481511824,1711.8235740482771,2227.0957023578353,2227.0957023578353,-1141.0936317742467,-1141.0936317742467,-1141.0936317742467,-1141.0936317742467,-1141.0936317742467,-1141.0936317742467,0.0,0.0,0.0,1086.0020705835886,104.296
2003-03-31,2228.593464288691,162.9358712022606,1505.4354905592486,2228.593464288691,2228.593464288691,-1416.2402628135849,-1416.2402628135849,-1416.2402628135849,-1416.2402628135849,-1416.2402628135849,-1416.2402628135849,0.0,0.0,0.0,812.3532014751061,849.773
2003-06-30,2230.107868007285,214.80928786038442,1497.8185358910239,2230.107868007285,2230.107868007285,-1376.187137651993,-1376.187137651993,-1376.187137651993,-1376.187137651993,-1376.187137651993,-1376.187137651993,0.0,0.0,0.0,853.9207303552921,622.962
