ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-13408.229818150387,12178.664205737747,14859.669847969879,-13408.229818150387,-13408.229818150387,26978.979280107003,26978.979280107003,26978.979280107003,26978.979280107003,26978.979280107003,26978.979280107003,0.0,0.0,0.0,13570.749461956617,14958.668
2001-06-30,-13352.587763272444,11803.173220204008,14299.985207995003,-13352.587763272444,-13352.587763272444,26423.75895741862,26423.75895741862,26423.75895741862,26423.75895741862,26423.75895741862,26423.75895741862,0.0,0.0,0.0,13071.171194146176,13713.258
2001-09-30,-13296.334257241992,15840.921959938745,18323.48591190464,-13296.334257241992,-13296.334257241992,30335.17617595363,30335.17617595363,30335.17617595363,30335.17617595363,30335.17617595363,30335.17617595363,0.0,0.0,0.0,17038.841918711638,17061.454
2001-12-31,-13240.080751211543,11681.049349104529,14178.969744254022,-13240.080751211543,-13240.080751211543,26189.63669929698,26189.63669929698,26189.63669929698,26189.63669929698,26189.63669929698,26189.63669929698,0.0,0.0,0.0,12949.555948085439,13687.88
2002-03-31,-13185.050146930927,12709.771865239802,15142.175455819835,-13185.050146930927,-13185.050146930927,27159.8242800632,27159.8242800632,27159.8242800632,27159.8242800632,27159.8242800632,27159.8242800632,0.0,0.0,0.0,13974.774133132272,14445.135
2002-06-30,-13129.408091491636,12063.898809344546,14633.43592404209,-13129.408091491636,-13129.408091491636,26481.748669747925,26481.748669747925,26481.748669747925,26481.748669747925,26481.748669747925,26481.748669747925,0.0,0.0,0.0,13352.34057825629,13834.627
2002-09-30,-13073.154585370141,15995.374726668939,18459.98700131722,-13073.154585370141,-13073.154585370141,30313.598153511648,30313.598153511648,30313.598153511648,30313.598153511648,30313.598153511648,30313.598153511648,0.0,0.0,0.0,17240.443568141505,18841.112
2002-12-31,-13016.901079248646,12485.188384891435,14984.362880952624,-13016.901079248646,-13016.901079248646,26734.766137647122,26734.766137647122,26734.766137647122,26734.766137647122,26734.766137647122,26734.766137647122,0.0,0.0,0.0,13717.865058398476,14448.512
2003-03-31,-12961.870475434138,13207.952232492255,15695.18822556303,-12961.870475434138,-12961.870475434138,27411.304607092432,27411.304607092432,27411.304607092432,27411.304607092432,27411.304607092432,27411.304607092432,0.0,0.0,0.0,14449.434131658294,15474.549
2003-06-30,-12906.228420298996,12380.048261456453,14944.614717849856,-12906.228420298996,-12906.228420298996,26550.050321583072,26550.050321583072,26550.050321583072,26550.050321583072,26550.050321583072,26550.050321583072,0.0,0.0,0.0,13643.821901284076,13232.918
2003-09-30,-12849.974914008522,16308.276865511161,18726.447603335644,-12849.974914008522,-12849.974914008522,30275.182025240447,30275.182025240447,30275.182025240447,30275.182025240447,30275.182025240447,30275.182025240447,0.0,0.0,0.0,17425.207111231925,16012.323
2003-12-31,-12793.721407718047,12835.195308051452,15421.739701897914,-12793.721407718047,-12793.721407718047,26990.574399142486,26990.574399142486,26990.574399142486,26990.574399142486,26990.574399142486,26990.574399142486,0.0,0.0,0.0,14196.85299142444,12679.561
2004-03-31,-12738.079351283604,12812.018385959465,15398.88522231637,-12738.079351283604,-12738.079351283604,26871.26673540924,26871.26673540924,26871.26673540924,26871.26673540924,26871.26673540924,26871.26673540924,0.0,0.0,0.0,14133.187384125637,14063.42004
2004-06-30,-12682.437294849164,12390.569679060261,14927.324355471414,-12682.437294849164,-12682.437294849164,26375.12454682891,26375.12454682891,26375.12454682891,26375.12454682891,26375.12454682891,26375.12454682891,0.0,0.0,0.0,13692.687251979745,12966.99617
2004-09-30,-12626.18130186544,16633.357781496656,18988.93562300989,-12626.18130186544,-12626.18130186544,30338.283516925578,30338.283516925578,30338.283516925578,30338.283516925578,30338.283516925578,30338.283516925578,0.0,0.0,0.0,17712.10221506014,16682.92466
2004-12-31,-12569.925308881719,11559.458324600066,14118.56747190254,-12569.925308881719,-12569.925308881719,25356.291228267062,25356.291228267062,25356.291228267062,25356.291228267062,25356.291228267062,25356.291228267062,0.0,0.0,0.0,12786.365919385344,12169.00079
2005-03-31,-12514.892272267209,13325.443751127877,15777.013993743652,-12514.892272267209,-12514.892272267209,26978.979280097403,26978.979280097403,26978.979280097403,26978.979280097403,26978.979280097403,26978.979280097403,0.0,0.0,0.0,14464.087007830194,13909.86049
2005-06-30,-12459.058884325239,12720.571176918504,15251.321747523398,-12459.058884325239,-12459.058884325239,26423.758957415583,26423.758957415583,26423.758957415583,26423.758957415583,26423.758957415583,26423.758957415583,0.0,0.0,0.0,13964.700073090344,13184.35421
2005-09-30,-12402.611942669626,16660.142544615494,19227.684406017917,-12402.611942669626,-12402.611942669626,30335.176175968918,30335.176175968918,30335.176175968918,30335.176175968918,30335.176175968918,30335.176175968918,0.0,0.0,0.0,17932.564233299294,18781.67436
2005-12-31,-12346.12913665677,12505.697063102883,15016.804872668845,-12346.12913665677,-12346.12913665677,26189.636699299295,26189.636699299295,26189.636699299295,26189.636699299295,26189.636699299295,26189.636699299295,0.0,0.0,0.0,13843.507562642526,14673.69391
2006-03-31,-12290.87421773115,13616.155005579507,16085.628426989255,-12290.87421773115,-12290.87421773115,27159.824280053188,27159.824280053188,27159.824280053188,27159.824280053188,27159.824280053188,27159.824280053188,0.0,0.0,0.0,14868.950062322037,14465.6836
2006-06-30,-12235.005355261914,13019.318408890285,15506.035041975127,-12235.005355261914,-12235.005355261914,26481.748669739172,26481.748669739172,26481.748669739172,26481.748669739172,26481.748669739172,26481.748669739172,0.0,0.0,0.0,14246.743314477259,14353.47708
2006-09-30,-12178.322884992362,16917.29811178414,19349.18280279006,-12178.322884992362,-12178.322884992362,30313.598153499748,30313.598153499748,30313.598153499748,30313.598153499748,30313.598153499748,30313.598153499748,0.0,0.0,0.0,18135.275268507386,18050.72377
2006-12-31,-12121.64041472281,13414.287145743976,15765.869526304828,-12121.64041472281,-12121.64041472281,26734.76613765596,26734.76613765596,26734.76613765596,26734.76613765596,26734.76613765596,26734.76613765596,0.0,0.0,0.0,14613.12572293315,13830.25416
2007-03-31,-12066.190172067812,14051.335842094957,16624.863956781286,-12066.190172067812,-12066.190172067812,27411.304607059737,27411.304607059737,27411.304607059737,27411.304607059737,27411.304607059737,27411.304607059737,0.0,0.0,0.0,15345.114434991925,14423.485
2007-06-30,-12009.971267441551,13274.388738497297,15848.403250989064,-12009.971267441551,-12009.971267441551,26550.050321579733,26550.050321579733,26550.050321579733,26550.050321579733,26550.050321579733,26550.050321579733,0.0,0.0,0.0,14540.079054138181,14145.09412
2007-09-30,-11953.134572654564,17060.550983384328,19590.605802751255,-11953.134572654564,-11953.134572654564,30275.182025237144,30275.182025237144,30275.182025237144,30275.182025237144,30275.182025237144,30275.182025237144,0.0,0.0,0.0,18322.047452582578,18833.36046
2007-12-31,-11896.192551420565,13849.868218701024,16391.864394517062,-11896.192551420565,-11896.192551420565,26990.574399141147,26990.574399141147,26990.574399141147,26990.574399141147,26990.574399141147,26990.574399141147,0.0,0.0,0.0,15094.381847720582,15269.3054
2008-03-31,-11839.869465199976,13736.860124396691,16270.503439731154,-11839.869465199976,-11839.869465199976,26871.26673542022,26871.26673542022,26871.26673542022,26871.26673542022,26871.26673542022,26871.26673542022,0.0,0.0,0.0,15031.397270220245,15707.72719
2008-06-30,-11783.54637897939,13276.15059231419,15813.052909203794,-11783.54637897939,-11783.54637897939,26375.124546821455,26375.124546821455,26375.124546821455,26375.124546821455,26375.124546821455,26375.124546821455,0.0,0.0,0.0,14591.578167842064,15232.49649
2008-09-30,-11726.554808008172,17306.48662979014,19912.257693436168,-11726.554808008172,-11726.554808008172,30338.283516900447,30338.283516900447,30338.283516900447,30338.283516900447,30338.283516900447,30338.283516900447,0.0,0.0,0.0,18611.728708892275,18934.41188
2008-12-31,-11669.563237036953,12520.625023241488,14892.842472120135,-11669.563237036953,-11669.563237036953,25356.291228280083,25356.291228280083,25356.291228280083,25356.291228280083,25356.291228280083,25356.291228280083,0.0,0.0,0.0,13686.72799124313,13800.15345
2009-03-31,-11613.81061326076,14147.615661503285,16686.803412556616,-11613.81061326076,-11613.81061326076,26978.979280111245,26978.979280111245,26978.979280111245,26978.979280111245,26978.979280111245,26978.979280111245,0.0,0.0,0.0,15365.168666850484,14958.43066
2009-06-30,-11543.46378785244,13682.58899924194,16122.409211069233,-11543.46378785244,-11543.46378785244,26423.758957426482,26423.758957426482,26423.758957426482,26423.758957426482,26423.758957426482,26423.758957426482,0.0,0.0,0.0,14880.295169574041,13913.47139
2009-09-30,-11472.343920406669,17611.56082722763,20147.84868531886,-11472.343920406669,-11472.343920406669,30335.17617594649,30335.17617594649,30335.17617594649,30335.17617594649,30335.17617594649,30335.17617594649,0.0,0.0,0.0,18862.83225553982,17533.90176
2009-12-31,-11401.096539194124,13565.169558847154,16099.289940586928,-11401.096539194124,-11401.096539194124,26189.636699304487,26189.636699304487,26189.636699304487,26189.636699304487,26189.636699304487,26189.636699304487,0.0,0.0,0.0,14788.540160110362,15405.43523
2010-03-31,-11331.398014094897,14621.106876535778,17144.074125125993,-11331.398014094897,-11331.398014094897,27159.82428004741,27159.82428004741,27159.82428004741,27159.82428004741,27159.82428004741,27159.82428004741,0.0,0.0,0.0,15828.426265952514,15873.64997
