ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,12630.67484954775,267.45590940139243,3249.9711673370707,12630.67484954775,12630.67484954775,-10802.88712713289,-10802.88712713289,-10802.88712713289,-10802.88712713289,-10802.88712713289,-10802.88712713289,0.0,0.0,0.0,1827.7877224148597,3113.661
2001-06-30,12717.759812626462,1397.03022683532,4424.8031083129235,12717.759812626462,12717.759812626462,-9787.990999444464,-9787.990999444464,-9787.990999444464,-9787.990999444464,-9787.990999444464,-9787.990999444464,0.0,0.0,0.0,2929.7688131819978,4095.986
2001-09-30,12805.801753321424,3852.4691790070433,6737.388145131074,12805.801753321424,12805.801753321424,-7499.385358158917,-7499.385358158917,-7499.385358158917,-7499.385358158917,-7499.385358158917,-7499.385358158917,0.0,0.0,0.0,5306.416395162507,5421.733
2001-12-31,12893.843694016387,812.6800201449078,3835.3816955011093,12893.843694016387,12893.843694016387,-10490.787607294234,-10490.787607294234,-10490.787607294234,-10490.787607294234,-10490.787607294234,-10490.787607294234,0.0,0.0,0.0,2403.056086722152,4076.821
2002-03-31,12979.971679491087,637.7585226934091,3747.3411990448176,12979.971679491087,12979.971679491087,-10731.11035419894,-10731.11035419894,-10731.11035419894,-10731.11035419894,-10731.11035419894,-10731.11035419894,0.0,0.0,0.0,2248.8613252921477,3963.99
2002-06-30,13067.056642582173,1881.4634758354955,4788.511911433322,13067.056642582173,13067.056642582173,-9814.83414336225,-9814.83414336225,-9814.83414336225,-9814.83414336225,-9814.83414336225,-9814.83414336225,0.0,0.0,0.0,3252.2224992199226,4505.935
2002-09-30,13155.098583335193,4177.73798666176,7164.659512423494,13155.098583335193,13155.098583335193,-7509.032421423022,-7509.032421423022,-7509.032421423022,-7509.032421423022,-7509.032421423022,-7509.032421423022,0.0,0.0,0.0,5646.066161912171,6824.12
2002-12-31,13243.140524088214,1618.7743434064932,4674.223944878878,13243.140524088214,13243.140524088214,-10065.815733222915,-10065.815733222915,-10065.815733222915,-10065.815733222915,-10065.815733222915,-10065.815733222915,0.0,0.0,0.0,3177.3247908652993,3775.312
2003-03-31,13329.268509607473,1175.1763460684178,4270.434173397096,13329.268509607473,13329.268509607473,-10593.98693134294,-10593.98693134294,-10593.98693134294,-10593.98693134294,-10593.98693134294,-10593.98693134294,0.0,0.0,0.0,2735.281578264532,3228.96
2003-06-30,13416.353472778983,2202.8424554335515,5104.630063396608,13416.353472778983,13416.353472778983,-9778.140308867813,-9778.140308867813,-9778.140308867813,-9778.140308867813,-9778.140308867813,-9778.140308867813,0.0,0.0,0.0,3638.2131639111703,3557.811
2003-09-30,13504.395413567765,4499.0431457648465,7369.617848120936,13504.395413567765,13504.395413567765,-7493.360698377666,-7493.360698377666,-7493.360698377666,-7493.360698377666,-7493.360698377666,-7493.360698377666,0.0,0.0,0.0,6011.034715190099,4786.74
2003-12-31,13592.437354356545,2380.324501583384,5431.684308368746,13592.437354356545,13592.437354356545,-9648.431227704175,-9648.431227704175,-9648.431227704175,-9648.431227704175,-9648.431227704175,-9648.431227704175,0.0,0.0,0.0,3944.00612665237,3202.066
2004-03-31,13679.522317521085,1329.6492551433225,4299.744780120438,13679.522317521085,13679.522317521085,-10808.754574369312,-10808.754574369312,-10808.754574369312,-10808.754574369312,-10808.754574369312,-10808.754574369312,0.0,0.0,0.0,2870.767743151773,2446.7732
2004-06-30,13766.607280685625,2598.2199102351146,5445.60412579489,13766.607280685625,13766.607280685625,-9697.892441554917,-9697.892441554917,-9697.892441554917,-9697.892441554917,-9697.892441554917,-9697.892441554917,0.0,0.0,0.0,4068.7148391307073,4584.51814
2004-09-30,13854.650492597782,5041.61602751932,7932.83113475785,13854.650492597782,13854.650492597782,-7464.872409114821,-7464.872409114821,-7464.872409114821,-7464.872409114821,-7464.872409114821,-7464.872409114821,0.0,0.0,0.0,6389.778083482962,5242.37244
2004-12-31,13942.69370450994,1549.59619648189,4567.389408209889,13942.69370450994,13942.69370450994,-10922.6503284185,-10922.6503284185,-10922.6503284185,-10922.6503284185,-10922.6503284185,-10922.6503284185,0.0,0.0,0.0,3020.04337609144,3688.53106
2005-03-31,14028.82293355444,1766.2465328230794,4688.113875448527,14028.82293355444,14028.82293355444,-10802.88712713481,-10802.88712713481,-10802.88712713481,-10802.88712713481,-10802.88712713481,-10802.88712713481,0.0,0.0,0.0,3225.9358064196294,2650.12209
2005-06-30,14115.938305204174,2820.2946520938444,5696.282397103226,14115.938305204174,14115.938305204174,-9787.9909994448,-9787.9909994448,-9787.9909994448,-9787.9909994448,-9787.9909994448,-9787.9909994448,0.0,0.0,0.0,4327.947305759373,3442.75298
2005-09-30,14204.010988630278,5190.641294836461,8212.025348743853,14204.010988630278,14204.010988630278,-7499.385358155268,-7499.385358155268,-7499.385358155268,-7499.385358155268,-7499.385358155268,-7499.385358155268,0.0,0.0,0.0,6704.62563047501,6410.76171
2005-12-31,14292.099005669603,2360.4188952175896,5340.279334554621,14292.099005669603,14292.099005669603,-10490.787607291291,-10490.787607291291,-10490.787607291291,-10490.787607291291,-10490.787607291291,-10490.787607291291,0.0,0.0,0.0,3801.3113983783114,2862.52805
2006-03-31,14378.27206581677,2150.904535591877,5099.346002706141,14378.27206581677,14378.27206581677,-10731.110354199842,-10731.110354199842,-10731.110354199842,-10731.110354199842,-10731.110354199842,-10731.110354199842,0.0,0.0,0.0,3647.1617116169273,2685.66303
