ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-967.4864582716407,-178.93773187417818,163.95200607032572,-967.4864582716407,-967.4864582716407,950.1982506811588,950.1982506811588,950.1982506811588,950.1982506811588,950.1982506811588,950.1982506811588,0.0,0.0,0.0,-17.288207590481875,4.642
2001-06-30,-949.0277230638002,-324.88518709675174,28.796974036036723,-949.0277230638002,-949.0277230638002,798.2382569663645,798.2382569663645,798.2382569663645,798.2382569663645,798.2382569663645,798.2382569663645,0.0,0.0,0.0,-150.7894660974357,5.281
2001-09-30,-930.3661446119172,-466.7814334039072,-135.97270841456125,-930.3661446119172,-930.3661446119172,629.6051173734527,629.6051173734527,629.6051173734527,629.6051173734527,629.6051173734527,629.6051173734527,0.0,0.0,0.0,-300.7610272384645,5.589
2001-12-31,-911.7045661600345,-172.22232197154602,180.7757673611577,-911.7045661600345,-911.7045661600345,918.8750795287741,918.8750795287741,918.8750795287741,918.8750795287741,918.8750795287741,918.8750795287741,0.0,0.0,0.0,7.170513368739648,5.027
2002-03-31,-893.4486742076244,-90.5266354887024,245.9411461146447,-893.4486742076244,-893.4486742076244,965.3672140348298,965.3672140348298,965.3672140348298,965.3672140348298,965.3672140348298,965.3672140348298,0.0,0.0,0.0,71.91853982720534,14.486
2002-06-30,-874.9899390112986,-226.4270521203069,123.3663901499821,-874.9899390112986,-874.9899390112986,818.1291126562555,818.1291126562555,818.1291126562555,818.1291126562555,818.1291126562555,818.1291126562555,0.0,0.0,0.0,-56.86082635504306,15.906
2002-09-30,-856.328360573325,-378.4596752832253,-43.18292029670413,-856.328360573325,-856.328360573325,641.2482109781793,641.2482109781793,641.2482109781793,641.2482109781793,641.2482109781793,641.2482109781793,0.0,0.0,0.0,-215.0801495951457,17.282
2002-12-31,-837.6667821353512,-97.14455991898623,252.19094547962908,-837.6667821353512,-837.6667821353512,918.9039730488357,918.9039730488357,918.9039730488357,918.9039730488357,918.9039730488357,918.9039730488357,0.0,0.0,0.0,81.23719091348448,33.95
2003-03-31,-819.4108901851597,-3.7561820258579988,353.5295177866994,-819.4108901851597,-819.4108901851597,985.8318488041814,985.8318488041814,985.8318488041814,985.8318488041814,985.8318488041814,985.8318488041814,0.0,0.0,0.0,166.4209586190217,10.515
2003-06-30,-800.9521549868832,-147.09827360930043,204.10586535792234,-800.9521549868832,-800.9521549868832,829.213503031959,829.213503031959,829.213503031959,829.213503031959,829.213503031959,829.213503031959,0.0,0.0,0.0,28.261348045075806,8.439
