ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2001-03-31,-11156.307436707611,-1842.6286058827768,900.0510091159553,-11156.307436707611,-11156.307436707611,10714.088375322604,10714.088375322604,10714.088375322604,10714.088375322604,10714.088375322604,10714.088375322604,0.0,0.0,0.0,-442.2190613850071,61.426
2001-06-30,-11082.966055430456,-2161.070024463089,601.3403536349813,-11082.966055430456,-11082.966055430456,10347.496678705958,10347.496678705958,10347.496678705958,10347.496678705958,10347.496678705958,10347.496678705958,0.0,0.0,0.0,-735.4693767244971,310.075
2001-09-30,-11008.818724908495,-546.2819914898934,2113.6131479425712,-11008.818724908495,-11008.818724908495,11818.444829492504,11818.444829492504,11818.444829492504,11818.444829492504,11818.444829492504,11818.444829492504,0.0,0.0,0.0,809.6261045840092,1028.629
2001-12-31,-10934.671394386536,-2027.4439378844586,767.6931768593967,-10934.671394386536,-10934.671394386536,10305.857184830673,10305.857184830673,10305.857184830673,10305.857184830673,10305.857184830673,10305.857184830673,0.0,0.0,0.0,-628.8142095558633,134.225
2002-03-31,-10862.135962128237,-1584.3876786365713,1077.8173755805278,-10862.135962128237,-10862.135962128237,10544.980154488787,10544.980154488787,10544.980154488787,10544.980154488787,10544.980154488787,10544.980154488787,0.0,0.0,0.0,-317.15580763945036,509.114
2002-06-30,-10788.794580622625,-1769.6989904379318,1135.6764287069,-10788.794580622625,-10788.794580622625,10465.211018057254,10465.211018057254,10465.211018057254,10465.211018057254,10465.211018057254,10465.211018057254,0.0,0.0,0.0,-323.5835625653708,741.181
2002-09-30,-10714.647250096552,-206.62534792161063,2541.0517242107353,-10714.647250096552,-10714.647250096552,11883.387664204887,11883.387664204887,11883.387664204887,11883.387664204887,11883.387664204887,11883.387664204887,0.0,0.0,0.0,1168.7404141083352,1883.322
2002-12-31,-10640.499919570479,-1587.1653196563836,1118.5024334936568,-10640.499919570479,-10640.499919570479,10374.489874330357,10374.489874330357,10374.489874330357,10374.489874330357,10374.489874330357,10374.489874330357,0.0,0.0,0.0,-266.01004524012205,427.254
2003-03-31,-10567.964487534102,-1462.5339987485793,1258.5807761685805,-10567.964487534102,-10567.964487534102,10445.916773493042,10445.916773493042,10445.916773493042,10445.916773493042,10445.916773493042,10445.916773493042,0.0,0.0,0.0,-122.04771404106032,267.16
2003-06-30,-10494.623105886549,-1278.5442532760392,1390.812730646161,-10494.623105886549,-10494.623105886549,10552.493320559262,10552.493320559262,10552.493320559262,10552.493320559262,10552.493320559262,10552.493320559262,0.0,0.0,0.0,57.8702146727137,164.692
2003-09-30,-10420.475774990122,268.4327368818576,2841.898099186064,-10420.475774990122,-10420.475774990122,11917.865658588216,11917.865658588216,11917.865658588216,11917.865658588216,11917.865658588216,11917.865658588216,0.0,0.0,0.0,1497.3898835980945,1044.189
2003-12-31,-10346.328444093695,-1359.342779084907,1281.7538187595426,-10346.328444093695,-10346.328444093695,10298.12499391851,10298.12499391851,10298.12499391851,10298.12499391851,10298.12499391851,10298.12499391851,0.0,0.0,0.0,-48.203450175184116,104.326
2004-03-31,-10272.987062188486,-641.7609644764148,2000.013498331204,-10272.987062188486,-10272.987062188486,10953.946034697397,10953.946034697397,10953.946034697397,10953.946034697397,10953.946034697397,10953.946034697397,0.0,0.0,0.0,680.9589725089118,343.94274
2004-06-30,-10199.645680283276,-1320.5576173854208,1361.59870030624,-10199.645680283276,-10199.645680283276,10198.62501175648,10198.62501175648,10198.62501175648,10198.62501175648,10198.62501175648,10198.62501175648,0.0,0.0,0.0,-1.020668526796726,894.45822
2004-09-30,-10125.498348858582,181.81619452590766,2924.100693539327,-10125.498348858582,-10125.498348858582,11722.42545604951,11722.42545604951,11722.42545604951,11722.42545604951,11722.42545604951,11722.42545604951,0.0,0.0,0.0,1596.927107190928,1092.96247
2004-12-31,-10051.351017433888,-1386.0824969657851,1394.5632211303387,-10051.351017433888,-10051.351017433888,10093.04544399771,10093.04544399771,10093.04544399771,10093.04544399771,10093.04544399771,10093.04544399771,0.0,0.0,0.0,41.69442656382125,227.29084
2005-03-31,-9978.81558451843,-635.8691606448909,2123.1212249421724,-9978.81558451843,-9978.81558451843,10714.088375315963,10714.088375315963,10714.088375315963,10714.088375315963,10714.088375315963,10714.088375315963,0.0,0.0,0.0,735.2727907975332,540.32894
2005-06-30,-9905.474159124082,-911.6708729648474,1822.3170846857818,-9905.474159124082,-9905.474159124082,10347.496678702593,10347.496678702593,10347.496678702593,10347.496678702593,10347.496678702593,10347.496678702593,0.0,0.0,0.0,442.0225195785115,514.30496
